"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume","ED.Adjusted"
"2020-07-01",71.93,73.419998,71.82,73.099998,1692100,67.599052
"2020-07-02",73.099998,74.360001,73.010002,73.809998,1430400,68.255615
"2020-07-06",74.470001,75.120003,72.5,73.099998,1520800,67.599052
"2020-07-07",72.209999,72.760002,72.120003,72.5,1775800,67.044212
"2020-07-08",72.669998,72.879997,71.839996,72.43,1455100,66.979485
"2020-07-09",71.989998,72.099998,70.010002,71.709999,1698600,66.31366
"2020-07-10",71.709999,72.699997,71.459999,72.480003,1746100,67.025711
"2020-07-13",72.489998,72.779999,71.690002,72.160004,1868300,66.729797
"2020-07-14",72.190002,73.260002,71.610001,72.169998,2122900,66.739037
"2020-07-15",72.309998,72.900002,71.379997,71.510002,2357500,66.1287
"2020-07-16",71.68,72.290001,71.459999,71.839996,1158000,66.433876
"2020-07-17",72.029999,74.120003,72.029999,74.07,1742300,68.496056
"2020-07-20",73.620003,73.849998,72.879997,73.260002,1455000,67.747017
"2020-07-21",73.019997,74.980003,72.889999,74.279999,2174700,68.690254
"2020-07-22",74.029999,76.18,73.550003,75.760002,1714700,70.058884
"2020-07-23",75.769997,76.769997,75.540001,76.25,1574700,70.512009
"2020-07-24",76.620003,77.650002,75.260002,75.580002,1619200,69.892426
"2020-07-27",75.379997,75.389999,74.089996,74.760002,1731900,69.134132
"2020-07-28",74.43,76.669998,74.43,76.360001,1520600,70.613731
"2020-07-29",76.279999,76.900002,75.5,76.699997,1515700,70.928146
"2020-07-30",76.110001,77.139999,75.870003,76.940002,2133000,71.150085
"2020-07-31",76.559998,77.110001,75.849998,76.830002,4369300,71.048363
"2020-08-03",76.550003,76.650002,75.239998,75.910004,1645800,70.197586
"2020-08-04",75.75,76.690002,75.660004,75.900002,2008500,70.188347
"2020-08-05",75.589996,75.949997,73.5,73.660004,2035900,68.116913
"2020-08-06",73.889999,74.120003,73.150002,73.919998,1579600,68.357353
"2020-08-07",73.25,75.800003,73.220001,75.110001,1633800,69.457802
"2020-08-10",75.940002,76.339996,75.199997,75.379997,1505800,69.707474
"2020-08-11",75,75.410004,73.120003,73.260002,1970600,67.747017
"2020-08-12",73.510002,74.889999,73.440002,74.260002,1370100,68.671753
"2020-08-13",73.849998,74.029999,72.989998,73.769997,1566400,68.218636
"2020-08-14",73.349998,74.089996,72.790001,73.529999,1641600,67.996689
