"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume","ED.Adjusted"
"2020-08-17",73.809998,75.019997,73.400002,74.410004,2529200,68.810478
"2020-08-18",73.650002,73.949997,73.110001,73.349998,1548700,68.534843
"2020-08-19",73.349998,73.889999,72.900002,73.440002,1742300,68.618935
"2020-08-20",73.099998,73.720001,72.32,72.400002,2444100,67.647209
"2020-08-21",72.669998,72.699997,71.18,72.199997,3823700,67.460335
"2020-08-24",72.32,74.330002,71.849998,74.32,2326500,69.441162
"2020-08-25",74.360001,74.480003,72.690002,73.010002,2057000,68.217163
"2020-08-26",72.449997,72.449997,70.309998,70.779999,2667500,66.133545
"2020-08-27",71,71.790001,70.550003,71.07,1808700,66.40451
"2020-08-28",71.260002,71.260002,70.099998,70.919998,1479900,66.264359
"2020-08-31",70.610001,71.449997,70.589996,71.339996,2461900,66.656784
"2020-09-01",70.879997,71,69.370003,69.650002,1867700,65.077736
"2020-09-02",69.559998,72.410004,69.300003,72.230003,2391800,67.488365
"2020-09-03",72.610001,73.57,71.779999,72.400002,3609400,67.647209
"2020-09-04",72.860001,73.510002,71.900002,73.040001,3121300,68.245186
"2020-09-08",72.989998,73.440002,72.080002,72.800003,3104400,68.02095
"2020-09-09",73.339996,74.550003,72.860001,72.910004,1970100,68.123718
"2020-09-10",72.629997,74.25,71.68,72.769997,8656400,67.992912
"2020-09-11",72.68,73.040001,72.110001,72.739998,2176200,67.964874
"2020-09-14",73.440002,74.480003,72.82,74.220001,2308900,69.347725
"2020-09-15",74.739998,75.589996,73.959999,74.470001,2637300,69.581306
"2020-09-16",74.300003,76.339996,74,75.68,3961200,70.711884
"2020-09-17",75.269997,76.550003,74.610001,75.93,3690400,70.945473
"2020-09-18",75.379997,75.919998,73.639999,73.879997,4431900,69.030037
"2020-09-21",73.330002,73.720001,71.730003,72.839996,3213100,68.058311
"2020-09-22",72.639999,74.190002,72.480003,73.699997,2868200,68.861862
"2020-09-23",73.739998,73.959999,73.209999,73.32,2228600,68.506813
"2020-09-24",73.370003,74.160004,72.550003,73.93,1878100,69.076767
"2020-09-25",73.489998,75.879997,73.470001,75.769997,1561400,70.795975
"2020-09-28",75.980003,77.160004,75.510002,76.32,1657600,71.30986
"2020-09-29",76.730003,77.699997,76.25,76.980003,1608500,71.926552
"2020-09-30",77.449997,78.059998,77.160004,77.800003,1773100,72.692711
"2020-10-01",78.050003,79.080002,77.739998,79.040001,1562300,73.851303
"2020-10-02",78.529999,80.209999,78.260002,79.769997,1718900,74.533386
"2020-10-05",79.599998,80.330002,79.110001,79.93,1357800,74.682892
"2020-10-06",80.059998,81.220001,79.459999,80.760002,1530700,75.458397
"2020-10-07",81.089996,81.230003,79.839996,80.830002,1335900,75.523804
"2020-10-08",81.25,82.349998,80.889999,82.269997,1211900,76.869263
"2020-10-09",82.389999,82.919998,81.519997,82.550003,1170200,77.130882
"2020-10-12",82.449997,83.129997,82.400002,82.889999,946400,77.44857
"2020-10-13",82.099998,82.629997,80.839996,82.32,1213400,76.915993
"2020-10-14",82.400002,82.699997,81.529999,82.239998,1074900,76.841248
"2020-10-15",81.150002,82.260002,80.889999,81.739998,1286500,76.374054
"2020-10-16",81.699997,82.709999,81.309998,81.699997,2205200,76.336685
"2020-10-19",81.690002,82.339996,80.519997,80.790001,2936200,75.486435
"2020-10-20",80,81.290001,79.82,80.599998,1627600,75.308907
"2020-10-21",80.370003,81,79.900002,80.330002,1487000,75.056625
"2020-10-22",80.57,81.610001,80,81.440002,1509500,76.09375
"2020-10-23",81.970001,82.089996,81.230003,81.599998,1473600,76.243248
"2020-10-26",81.230003,82.889999,80.940002,82.739998,1342100,77.308418
"2020-10-27",82.949997,83.919998,82.220001,83.050003,1553300,77.598076
"2020-10-28",82.050003,82.940002,79.959999,80.160004,1778800,74.897781
"2020-10-29",79.980003,80.75,78.860001,79.769997,1599300,74.533386
"2020-10-30",79.370003,79.82,77.639999,78.489998,2353700,73.337418
"2020-11-02",79.389999,80.080002,78.129997,79.779999,2603500,74.542725
"2020-11-03",80.589996,82.059998,80.379997,81.32,1722200,75.981636
"2020-11-04",81.32,82.279999,79.540001,79.559998,1437700,74.337173
"2020-11-05",80.360001,81.559998,79.440002,79.730003,1659700,74.496017
"2020-11-06",79.300003,79.970001,77.279999,77.800003,2928800,72.692711
"2020-11-09",80.279999,81.660004,78.849998,79.279999,2248800,74.075554
"2020-11-10",79.739998,82.279999,79.349998,82.080002,3040300,76.69175
"2020-11-11",82.349998,82.730003,81.410004,81.720001,2693000,76.355377
"2020-11-12",81.449997,81.709999,79.510002,80.510002,2077800,75.224815
"2020-11-13",80.910004,81.75,80.5,81.629997,1712200,76.271278
"2020-11-16",82.489998,82.75,81.919998,82.709999,2330100,77.280373
"2020-11-17",81.830002,82.199997,79.190002,79.25,3695700,74.7388
"2020-11-18",79.5,79.660004,77.550003,77.690002,2034800,73.267593
"2020-11-19",77.639999,77.639999,76.480003,77.099998,1722900,72.711182
"2020-11-20",77.43,77.660004,76.699997,77.389999,4305000,72.98468
"2020-11-23",77.580002,78.050003,77.010002,77.57,1814500,73.154434
"2020-11-24",78.07,78.900002,77.629997,78.379997,1869400,73.91832
"2020-11-25",78.419998,78.720001,77.43,78.660004,1631500,74.182381
"2020-11-27",78.510002,78.589996,77.510002,77.769997,722100,73.34304
"2020-11-30",77.5,77.769997,75.919998,76.25,2605200,71.909569
"2020-12-01",76.660004,77.5,76.349998,76.910004,2241600,72.531998
"2020-12-02",75.839996,77.080002,75.349998,77.029999,3485600,72.645172
"2020-12-03",76.790001,76.790001,75.400002,75.910004,1946900,71.588928
"2020-12-04",75.830002,76.540001,75.010002,75.309998,3239600,71.023079
"2020-12-07",75.169998,75.660004,74.599998,74.839996,3177100,70.579826
"2020-12-08",74.550003,75.290001,74.120003,74.559998,2623600,70.315765
"2020-12-09",74.519997,74.910004,73.550003,74.239998,2905600,70.013977
"2020-12-10",74.230003,74.5,73.059998,73.349998,3525800,69.174652
"2020-12-11",72.959999,74.110001,72.889999,73.160004,4566000,68.995476
"2020-12-14",73.650002,74.269997,72.309998,72.410004,4119300,68.288162
"2020-12-15",72.790001,73.57,72.370003,73,3451100,68.844574
"2020-12-16",73.059998,73.489998,71.550003,71.75,3596100,67.665726
"2020-12-17",72.099998,72.860001,71.599998,71.620003,2229500,67.543121
"2020-12-18",71.860001,72.489998,70.68,71.150002,6443800,67.099892
"2020-12-21",70.68,70.949997,69.279999,69.949997,4621900,65.968185
"2020-12-22",69.870003,69.870003,69.290001,69.650002,2362600,65.685272
"2020-12-23",70.010002,71.25,69.889999,70.07,2829400,66.081367
"2020-12-24",70.230003,70.459999,69.650002,70.440002,843500,66.430298
"2020-12-28",70.709999,71.589996,70.599998,71.260002,2107200,67.203621
"2020-12-29",71.550003,71.809998,70.589996,70.760002,1472100,66.732079
"2020-12-30",70.769997,71.25,70.589996,71.019997,1509600,66.97728
"2020-12-31",70.879997,72.32,70.760002,72.269997,2081400,68.156113
"2021-01-04",72.269997,72.360001,70.220001,70.660004,2488700,66.637772
"2021-01-05",70.699997,70.940002,69.610001,69.870003,2192600,65.892746
"2021-01-06",70,71.669998,69.910004,71.360001,2417200,67.297928
"2021-01-07",71.300003,71.489998,69.82,69.910004,3066400,65.930481
"2021-01-08",70.400002,70.400002,69.519997,69.93,2504100,65.949333
"2021-01-11",69.699997,70.099998,68.25,68.730003,2773100,64.817635
"2021-01-12",68.43,68.650002,66.919998,67.919998,2766500,64.053741
"2021-01-13",68.120003,69.739998,68,69.610001,1930600,65.647545
"2021-01-14",69.870003,69.949997,68.349998,68.459999,4223300,64.563004
"2021-01-15",68.260002,69.669998,68.040001,69.599998,2139600,65.638115
"2021-01-19",69.82,69.910004,68.940002,69.480003,2555000,65.52494
"2021-01-20",68.980003,70.18,68.870003,69.940002,2784100,65.958755
"2021-01-21",69.040001,69.900002,68.940002,69.150002,2241600,65.213737
"2021-01-22",68.410004,69.089996,67.860001,68.830002,2364900,64.911942
"2021-01-25",68.699997,70.68,68.629997,70.639999,3095400,66.618919
"2021-01-26",70.599998,70.639999,69.720001,70.279999,2261000,66.279404
"2021-01-27",69.919998,73.089996,69.720001,71.540001,5693800,67.467674
"2021-01-28",71.309998,72,70.040001,70.209999,3986200,66.213387
"2021-01-29",70.07,71.419998,69.519997,70.779999,6527600,66.750938
"2021-02-01",70.779999,71.580002,69.519997,70.75,2429300,66.722656
"2021-02-02",70.900002,72.040001,70.199997,70.260002,2185700,66.260536
"2021-02-03",70.019997,70.860001,70,70.510002,1767200,66.496315
"2021-02-04",70.599998,71,70.029999,70.589996,2390900,66.571754
"2021-02-05",71.019997,71.849998,70.620003,71.5,1642300,67.429955
"2021-02-08",71.779999,71.959999,71.029999,71.279999,1817600,67.222481
"2021-02-09",71.519997,71.639999,70.470001,71.349998,1447600,67.288498
"2021-02-10",71.800003,72.32,71.379997,72.309998,1412600,68.19384
"2021-02-11",72.309998,72.419998,71.660004,71.82,1792000,67.731743
"2021-02-12",71.870003,72.089996,70.699997,71.059998,1595700,67.015007
"2021-02-16",70.260002,70.489998,69.400002,70.050003,2264400,66.790932
"2021-02-17",70.160004,70.519997,69.690002,70.160004,1473800,66.895821
"2021-02-18",70,70.449997,69.809998,70.019997,3041900,66.762329
"2021-02-19",69.510002,69.639999,67.940002,68.18,4358700,65.007935
"2021-02-22",67.75,68.080002,66.629997,67.970001,3936900,64.807701
"2021-02-23",68.57,68.699997,67.309998,67.669998,3356800,64.52166
"2021-02-24",67.739998,67.900002,66.589996,66.650002,3339500,63.549122
"2021-02-25",66.699997,67.349998,66.610001,67.150002,2200300,64.025864
"2021-02-26",67.190002,67.620003,65.559998,65.650002,4072600,62.59565
"2021-03-01",66.129997,67.599998,66.059998,67.040001,4424300,63.920971
"2021-03-02",67.129997,67.650002,66.309998,67.080002,2253900,63.959118
"2021-03-03",66.830002,67.620003,66.400002,67.43,1999300,64.292831
"2021-03-04",67.5,69.029999,66.790001,66.959999,2850100,63.844692
"2021-03-05",67.360001,68.669998,66.82,68.300003,3702700,65.122368
"2021-03-08",68.82,70.050003,68.330002,69.5,2990200,66.266518
"2021-03-09",69.099998,69.970001,68.860001,69.690002,3908500,66.447693
"2021-03-10",69.82,71.019997,69.440002,70.370003,3268500,67.096046
"2021-03-11",69.93,70.559998,69.57,69.82,3595300,66.57164
"2021-03-12",70.379997,71.370003,70.18,70.940002,2896500,67.639526
"2021-03-15",71.260002,72.220001,71.230003,71.82,3187400,68.478584
"2021-03-16",71.300003,72.309998,71.220001,72.080002,2775400,68.726501
"2021-03-17",72.32,72.93,71.730003,71.790001,4615300,68.449982
"2021-03-18",71.919998,72.82,71.540001,72.220001,3839500,68.859978
"2021-03-19",72.580002,72.870003,71.68,72.300003,5562600,68.936256
"2021-03-22",71.809998,72.25,71.410004,72.050003,3343500,68.697891
"2021-03-23",71.940002,73.400002,71.889999,73.239998,3325200,69.83252
"2021-03-24",72.760002,73.940002,72.559998,73.43,2049100,70.01368
"2021-03-25",73.93,74.739998,73.349998,74.269997,2039500,70.814598
"2021-03-26",73.900002,74.5,73.449997,74.440002,1649200,70.976685
"2021-03-29",74.440002,76.050003,74.260002,75.449997,1724500,71.939705
"2021-03-30",75.25,75.279999,73.940002,74.379997,1594900,70.919479
"2021-03-31",74.120003,74.940002,74.099998,74.800003,3505800,71.319946
"2021-04-01",74.510002,74.739998,73.82,74.290001,2038200,70.833672
"2021-04-05",74.400002,75.540001,74.360001,75.279999,1818000,71.777603
"2021-04-06",74.989998,75.690002,74.75,75.690002,1255100,72.168541
"2021-04-07",75.760002,76.07,74.940002,75.309998,1487800,71.806213
"2021-04-08",75.650002,75.709999,75.029999,75.120003,1855500,71.625053
"2021-04-09",75,75.599998,75,75.169998,1680400,71.672729
"2021-04-12",75.349998,76,75.120003,75.32,1454700,71.815742
"2021-04-13",75.010002,76.059998,74.82,75.870003,1855100,72.340164
"2021-04-14",75.57,76.18,75.32,76.160004,1408600,72.616669
"2021-04-15",75.959999,77.239998,75.959999,77.190002,3009200,73.598755
"2021-04-16",77.470001,78.480003,77.379997,78.209999,2229700,74.571289
"2021-04-19",78.480003,78.57,77.639999,78.349998,1716700,74.704781
"2021-04-20",78.5,79.800003,78.349998,79.349998,2589900,75.658257
"2021-04-21",79.489998,79.75,78.269997,78.360001,1860800,74.714317
"2021-04-22",78.18,78.43,77.720001,78.110001,1490700,74.475952
"2021-04-23",78.099998,78.279999,77.389999,77.449997,1349500,73.846649
"2021-04-26",77.449997,77.629997,76.650002,76.870003,1547000,73.29364
"2021-04-27",76.900002,76.940002,76.120003,76.190002,1592900,72.645279
"2021-04-28",76.519997,76.68,75.82,76.209999,1374400,72.664337
"2021-04-29",76.080002,76.989998,76.080002,76.709999,3188100,73.141083
"2021-04-30",77.050003,77.43,76.25,77.410004,1962000,73.808517
"2021-05-03",77.5,78.669998,77.349998,77.75,1517500,74.132698
"2021-05-04",77.919998,78.629997,77.57,78.120003,1526100,74.485489
"2021-05-05",78,78.330002,76.089996,76.889999,1928500,73.312706
"2021-05-06",77.199997,77.989998,76.57,77.860001,1793600,74.237579
"2021-05-07",78.120003,80.129997,78.089996,78.089996,2656200,74.456863
"2021-05-10",78.400002,80.43,78.400002,79.849998,2391100,76.134995
"2021-05-11",80.080002,80.339996,78.559998,79.339996,1954700,75.648712
"2021-05-12",79.489998,79.540001,77.760002,77.900002,2054400,74.275719
"2021-05-13",77.629997,79.82,77.629997,79.279999,2065600,75.591515
"2021-05-14",79.610001,80.099998,78.870003,78.970001,1535500,75.295937
"2021-05-17",79.080002,79.910004,78.720001,78.730003,2743800,75.067101
"2021-05-18",77.879997,78.099998,77.239998,77.739998,2344100,74.860069
"2021-05-19",77.690002,78.059998,77.120003,77.980003,2783400,75.091179
"2021-05-20",78.129997,79.339996,78.129997,78.419998,1810800,75.51487
"2021-05-21",78.480003,79.080002,78.349998,78.959999,3270200,76.034866
"2021-05-24",79.169998,79.349998,78.32,78.379997,1344300,75.476349
"2021-05-25",78.279999,78.43,77.290001,77.809998,1090700,74.92746
"2021-05-26",77.660004,78.230003,77.559998,78,1466100,75.110428
"2021-05-27",78,78.07,76.510002,76.870003,2866800,74.022301
"2021-05-28",77.190002,77.489998,76.980003,77.239998,1629000,74.378578
"2021-06-01",77.459999,77.489998,76.400002,76.43,1745700,73.598595
"2021-06-02",76.510002,77.449997,76.279999,76.790001,2678900,73.945267
"2021-06-03",76.610001,77.440002,76.459999,77.260002,3276900,74.39785
"2021-06-04",77.550003,77.779999,77.220001,77.239998,1418900,74.378578
"2021-06-07",77.410004,77.550003,77.139999,77.309998,960000,74.445999
"2021-06-08",77.260002,77.389999,76.209999,76.290001,1497500,73.463776
"2021-06-09",76.540001,76.940002,76.309998,76.879997,1229300,74.031921
"2021-06-10",76.879997,77.25,76.589996,77.040001,1217400,74.185997
"2021-06-11",77,77.330002,76.68,77.230003,1297900,74.368965
"2021-06-14",77.190002,77.830002,76.949997,77.75,1451500,74.869698
"2021-06-15",77.75,78.489998,77.300003,77.75,1991400,74.869698
"2021-06-16",77.169998,77.610001,76.139999,76.220001,2930100,73.396385
"2021-06-17",76.279999,76.669998,75.989998,76.279999,2658000,73.454147
"2021-06-18",76.050003,76.050003,74.379997,74.489998,3831300,71.730469
"2021-06-21",74.620003,75.339996,74.410004,75.190002,2609300,72.404533
"2021-06-22",75.07,75.379997,74.400002,74.459999,2235100,71.701576
"2021-06-23",74.330002,74.489998,73.040001,73.470001,2169000,70.748245
"2021-06-24",73.459999,73.620003,73.059998,73.43,1611000,70.709732
"2021-06-25",73.370003,73.949997,73.269997,73.870003,2076200,71.13343
"2021-06-28",73.870003,74.330002,73.589996,73.82,2285300,71.085289
"2021-06-29",73.5,73.68,71.860001,72.050003,2552400,69.380859
"2021-06-30",72.099998,72.25,71.550003,71.720001,2270400,69.06308
"2021-07-01",71.870003,72.730003,71.169998,72.540001,2297400,69.852707
"2021-07-02",72.559998,72.660004,72.199997,72.470001,1117000,69.785294
"2021-07-06",72.379997,72.980003,71.57,72.940002,1940800,70.237885
"2021-07-07",72.730003,73.349998,72.400002,73.339996,1805200,70.62307
"2021-07-08",73.349998,74.150002,73.040001,73.360001,2445200,70.642326
"2021-07-09",73.599998,73.830002,72.769997,73.300003,1932000,70.584557
"2021-07-12",73.230003,73.650002,72.849998,73.360001,1154300,70.642326
"2021-07-13",73.279999,73.540001,72.5,72.629997,1992400,69.939362
"2021-07-14",72.459999,73.419998,72.07,73.190002,2206600,70.47863
"2021-07-15",73.18,74.379997,73.010002,74.360001,2135500,71.60527
"2021-07-16",74.5,75.260002,74.25,74.93,2100100,72.15416
"2021-07-19",74.830002,75.650002,72.93,73.769997,2450200,71.037132
"2021-07-20",72.629997,74.629997,72.620003,73.57,3083100,70.844551
"2021-07-21",73.610001,73.93,72.709999,72.779999,1601300,70.083817
"2021-07-22",72.849998,73.269997,72.440002,73.040001,1754300,70.334183
"2021-07-23",73.230003,74.209999,73.099998,74.18,1403100,71.431946
"2021-07-26",74.239998,74.510002,73.629997,73.959999,1477600,71.220093
"2021-07-27",73.870003,75.699997,73.43,75.529999,1625500,72.731934
"2021-07-28",75.510002,75.599998,74.010002,74.589996,1513200,71.826759
"2021-07-29",74.57,74.800003,74.040001,74.519997,1381500,71.759354
"2021-07-30",74.68,75.32,73.459999,73.769997,4354200,71.037132
"2021-08-02",73.970001,74.769997,73.940002,74.5,1495600,71.740097
"2021-08-03",74.5,75.459999,74.199997,74.849998,1439900,72.077126
"2021-08-04",74.519997,74.940002,73.93,74.870003,1862900,72.096397
"2021-08-05",74.709999,75.32,74.190002,75.32,1740000,72.529709
"2021-08-06",75.300003,76.309998,74.360001,75.519997,2218200,72.722298
"2021-08-09",75.790001,76.099998,75.360001,76.07,1386300,73.25193
"2021-08-10",76.199997,76.760002,75.739998,76.400002,1938500,73.56971
"2021-08-11",76.540001,77.330002,76.470001,77.120003,1522200,74.263039
"2021-08-12",77.279999,77.849998,77.029999,77.25,2388600,74.388222
"2021-08-13",77.330002,78.010002,77.07,77.739998,1448600,74.860069
"2021-08-16",77.919998,78.760002,77.620003,78.25,2077600,75.351173
"2021-08-17",77.449997,77.57,76.360001,77.239998,1737700,75.122604
"2021-08-18",77.239998,77.379997,76.260002,76.599998,1710200,74.50016
"2021-08-19",76.760002,77.57,76.559998,76.690002,1558600,74.587692
"2021-08-20",76.519997,77.25,76.07,76.949997,1834000,74.840561
"2021-08-23",76.949997,76.949997,75.620003,75.790001,1655700,73.712364
"2021-08-24",75.720001,75.75,74.730003,75.019997,1575400,72.963463
"2021-08-25",74.949997,75.529999,74.470001,75.269997,1674300,73.206619
"2021-08-26",75,75.360001,74.660004,75.220001,1592600,73.15799
"2021-08-27",75.339996,75.690002,75.089996,75.639999,1547700,73.566475
"2021-08-30",75.720001,76.029999,75.5,75.699997,1938000,73.624825
"2021-08-31",75.660004,76.110001,75.239998,75.449997,3234400,73.381683
"2021-09-01",75.510002,76.650002,75.459999,76.440002,2834200,74.344551
"2021-09-02",76.660004,77.129997,76.620003,77.129997,1483300,75.015625
"2021-09-03",77.129997,77.190002,76.279999,76.300003,1948000,74.208389
"2021-09-07",76.330002,76.459999,74.82,74.879997,1828800,72.827309
"2021-09-08",74.959999,77.050003,74.769997,76.919998,2427400,74.811386
"2021-09-09",76.800003,76.940002,76.300003,76.379997,1925700,74.286186
"2021-09-10",76.080002,76.269997,74.660004,74.690002,2146200,72.642517
"2021-09-13",75.349998,75.730003,74.199997,74.410004,2416200,72.370201
"2021-09-14",74.690002,74.870003,73.949997,74.190002,2048400,72.156227
"2021-09-15",73.980003,74.879997,73.849998,73.989998,2766000,71.9617
"2021-09-16",74.080002,74.489998,73.589996,73.660004,1979900,71.640755
"2021-09-17",73.110001,73.940002,72.93,73.07,7274000,71.066925
"2021-09-20",73.089996,74.370003,72.809998,73.309998,2743200,71.300339
"2021-09-21",73.25,74.010002,72.959999,73.050003,1570500,71.047478
"2021-09-22",73.25,73.699997,72.669998,73.25,1865800,71.241989
"2021-09-23",73.199997,73.889999,72.989998,73.110001,1606400,71.105835
"2021-09-24",72.970001,73.699997,72.910004,73,1734600,70.998848
"2021-09-27",73.290001,74.169998,72.470001,72.529999,1871300,70.541725
"2021-09-28",72.730003,72.900002,71.860001,72.160004,2258800,70.181877
"2021-09-29",72.080002,74.029999,72.080002,73.449997,1499300,71.436508
"2021-09-30",73.379997,73.669998,72.589996,72.589996,2752100,70.600082
"2021-10-01",73.290001,73.290001,71.540001,71.599998,2237400,69.637215
"2021-10-04",71.550003,73.480003,71.519997,73.220001,2150500,71.212807
"2021-10-05",73.300003,73.489998,72.709999,73.040001,2160500,71.037743
"2021-10-06",72.919998,74.660004,72.699997,74.610001,2696000,72.564713
"2021-10-07",74.699997,75.300003,74.220001,74.379997,1624600,72.341011
"2021-10-08",74.220001,74.32,73.410004,73.470001,1788500,71.455963
"2021-10-11",75.68,76.550003,73.910004,73.919998,7765700,71.893631
"2021-10-12",73.940002,76.089996,73.75,75.690002,4354400,73.615105
"2021-10-13",75.580002,76.379997,75.400002,76.050003,3608800,73.96524
"2021-10-14",76.010002,76.410004,75.589996,75.669998,3854100,73.59565
"2021-10-15",75.599998,75.75,74.269997,74.470001,16582100,72.428543
"2021-10-18",72.989998,73.32,72.050003,72.889999,6172200,70.891861
"2021-10-19",73.349998,73.760002,72.889999,73.730003,1986600,71.708839
"2021-10-20",74,75.610001,73.839996,75.510002,2198600,73.440041
"2021-10-21",75.629997,75.830002,75.050003,75.440002,1519600,73.371964
"2021-10-22",75.730003,76.330002,75.620003,76.089996,1248900,74.004135
"2021-10-25",75.900002,76.279999,75.5,75.879997,1637500,73.799889
"2021-10-26",75.879997,76.790001,75.75,76.279999,1625200,74.188927
"2021-10-27",76.629997,76.629997,75.720001,75.989998,1581700,73.906876
"2021-10-28",76.120003,76.510002,75.839996,76.290001,1320000,74.198654
"2021-10-29",76.290001,76.589996,75.169998,75.400002,2475800,73.333054
"2021-11-01",75.400002,76.669998,75.129997,76.110001,1659800,74.023598
"2021-11-02",76.190002,76.699997,75.400002,76.440002,1976500,74.344551
"2021-11-03",76.160004,77.220001,75.940002,76.980003,2173500,74.869751
"2021-11-04",76.870003,77.300003,75.519997,76.279999,2128100,74.188927
"2021-11-05",77.290001,78.790001,77.290001,78.209999,3651700,76.066025
"2021-11-08",78,78.050003,76.75,77.050003,2418800,74.93782
"2021-11-09",77.300003,78.019997,77.220001,77.830002,1688300,75.696442
"2021-11-10",78,78.639999,77.290001,77.959999,2345300,75.822876
"2021-11-11",77.68,77.879997,76.989998,77.580002,1566800,75.4533
"2021-11-12",77.610001,77.610001,77.019997,77.150002,3386200,75.03508
"2021-11-15",77.699997,78.809998,77.449997,78.769997,1880400,76.610664
"2021-11-16",78.080002,78.470001,77.5,77.519997,1560000,76.144096
"2021-11-17",77.379997,77.650002,76.849998,77.5,1603500,76.124458
"2021-11-18",77.300003,77.769997,76.419998,77.660004,1739900,76.281624
"2021-11-19",77.739998,78.43,77.660004,78.029999,1841000,76.64505
"2021-11-22",77.910004,79.370003,77.599998,78.57,1899300,77.175461
"2021-11-23",78.68,79.589996,78.550003,79.169998,1552300,77.764816
"2021-11-24",79.349998,79.559998,78.839996,79.220001,1295500,77.813927
"2021-11-26",78.839996,79.889999,78.620003,78.669998,1337400,77.273682
"2021-11-29",79.029999,80.5,78.620003,80.349998,3064700,78.923866
"2021-11-30",79.650002,79.919998,77.639999,77.639999,5229000,76.261971
"2021-12-01",78,79.57,77.5,77.940002,1775200,76.556648
"2021-12-02",78.339996,79.379997,78.169998,78.690002,1830200,77.293343
"2021-12-03",79.050003,80.559998,78.709999,80.529999,2618700,79.100677
"2021-12-06",81,82.040001,80.830002,81.349998,2842800,79.906128
"2021-12-07",81.059998,81.709999,80.730003,81.559998,2061700,80.112396
"2021-12-08",81.739998,82.220001,81.040001,81.529999,1439400,80.082924
"2021-12-09",81.690002,81.940002,80.449997,81.68,4671600,80.230263
"2021-12-10",81.919998,82.790001,81.559998,82.610001,1526200,81.143761
"2021-12-13",82.519997,83.980003,82.400002,83.470001,3965300,81.988495
"2021-12-14",83.589996,83.940002,82.910004,83.169998,1532200,81.693817
"2021-12-15",83.230003,84.650002,83.110001,84.519997,2603500,83.019859
"2021-12-16",84.25,85.220001,83.620003,84.690002,1932100,83.186844
"2021-12-17",84.760002,85.129997,83.650002,83.82,4627100,82.332283
"2021-12-20",83.230003,84.25,82.660004,84.040001,1592400,82.548378
"2021-12-21",84.459999,84.629997,83.050003,83.370003,1368200,81.890274
"2021-12-22",83.349998,83.940002,83.139999,83.849998,4738800,82.361748
"2021-12-23",84.089996,84.339996,83.639999,83.769997,1313500,82.283165
"2021-12-27",83.550003,83.93,83.309998,83.730003,974200,82.243889
"2021-12-28",83.730003,84.410004,83.610001,84.400002,786600,82.901993
"2021-12-29",84.57,85.18,84.269997,85.099998,1343300,83.589561
"2021-12-30",85.220001,85.389999,84.660004,85.18,1396500,83.668144
"2021-12-31",85.040001,85.599998,84.669998,85.32,1048000,83.805656
"2022-01-03",85.349998,85.43,84.019997,85.129997,1450500,83.619026
"2022-01-04",84.860001,85.919998,84.690002,84.970001,2844600,83.461876
"2022-01-05",85,86.25,84.959999,85.550003,3592300,84.031586
