"","TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume","TXN.Adjusted"
"2020-07-01",126.599998,126.860001,124.669998,124.800003,4022000,117.860352
"2020-07-02",126.389999,127.169998,125.019997,125.809998,4799000,118.814194
"2020-07-06",127.510002,130.529999,126.199997,129.529999,4957000,122.327339
"2020-07-07",128.729996,129.470001,128.25,128.600006,3778200,121.449051
"2020-07-08",129.669998,129.740005,127.690002,129.259995,3584300,122.072342
"2020-07-09",128.789993,131.990005,126.900002,130.429993,4977300,123.177292
"2020-07-10",130.220001,131.240005,128.960007,130.529999,2659200,123.271713
"2020-07-13",132,133.589996,128.490005,128.820007,4861600,121.65683
"2020-07-14",127.790001,132.229996,126.709999,131.889999,4247500,124.556091
"2020-07-15",131.429993,132.449997,130.089996,132.149994,3625100,124.801643
"2020-07-16",130.850006,132.690002,130.509995,132.179993,3337600,124.829956
"2020-07-17",133.509995,135,132.25,133.889999,4666100,126.444901
"2020-07-20",134.199997,137,133.190002,136.580002,4623100,128.985321
"2020-07-21",137.089996,137.649994,135.259995,135.479996,7715800,127.94648
"2020-07-22",134.600006,135.179993,130.490005,132.529999,10911900,125.160507
"2020-07-23",133,133.149994,128.320007,129.039993,7793500,121.864586
"2020-07-24",129.75,131.970001,128.110001,129.630005,5077100,122.421783
"2020-07-27",130.350006,132.330002,130.039993,132.119995,3874500,124.773315
"2020-07-28",130.899994,131.809998,129.720001,130.130005,3545300,122.893982
"2020-07-29",130.929993,132.300003,130.589996,131.639999,2818300,124.32
"2020-07-30",128.449997,129.869995,127.739998,128.889999,4146900,122.560867
"2020-07-31",128.350006,128.600006,125.43,127.550003,8044000,121.286652
"2020-08-03",128.149994,129.5,127.68,129.320007,4311800,122.969734
"2020-08-04",129.039993,132.330002,128.710007,132.229996,5361500,125.736816
"2020-08-05",130.5,132.789993,130.479996,132.699997,4370200,126.183777
"2020-08-06",132.589996,133.820007,132.029999,133.740005,2961800,127.172707
"2020-08-07",133.740005,134.110001,132.470001,133.559998,2856700,127.001534
"2020-08-10",133.220001,135.809998,132.470001,135.410004,5526400,128.760696
"2020-08-11",136.809998,138.830002,135.649994,136.039993,5383800,129.359756
"2020-08-12",137.470001,139.139999,136.649994,138.639999,3073700,131.832092
"2020-08-13",138.110001,138.600006,136.949997,137.149994,2945100,130.415237
"2020-08-14",137.729996,138.309998,137,137.350006,2062900,130.605423
"2020-08-17",137.860001,139.240005,137.630005,138.279999,2380400,131.489761
"2020-08-18",138.960007,139.460007,138.199997,139.309998,2760400,132.469162
"2020-08-19",139.669998,140.880005,138.029999,138.479996,3803200,131.679932
"2020-08-20",137.309998,139.130005,136.619995,138.570007,2761200,131.765518
"2020-08-21",138.119995,140.490005,137.190002,140.330002,4382500,133.439072
"2020-08-24",140.860001,141.809998,139.919998,141.020004,2841300,134.095215
"2020-08-25",141.580002,142.220001,140.979996,141.660004,2840700,134.703796
"2020-08-26",141.320007,142.690002,141.119995,142.449997,2974100,135.454971
"2020-08-27",143.059998,143.229996,140.520004,141.490005,2801000,134.54213
"2020-08-28",141.509995,143.589996,141.100006,143.490005,2884700,136.443924
"2020-08-31",142.649994,143.270004,141.820007,142.149994,4344600,135.169739
"2020-09-01",143,145.059998,142.039993,144.960007,3563400,137.841705
"2020-09-02",146.449997,148.369995,145.490005,147.639999,4579200,140.390152
"2020-09-03",147,147.440002,140.559998,141.669998,5866400,134.713272
"2020-09-04",140.850006,142.520004,137.710007,140.470001,5251600,133.572235
"2020-09-08",136.199997,138.710007,135.75,136.039993,5893700,129.359756
"2020-09-09",138.210007,140.850006,137.190002,139.679993,5418500,132.820999
"2020-09-10",139.419998,141.25,136.220001,137.190002,3985800,130.453278
"2020-09-11",138.220001,139,135.25,136.369995,3524400,129.673538
"2020-09-14",138.320007,139.110001,137.630005,138.529999,3120400,131.727493
"2020-09-15",139.789993,141.820007,139.360001,140.639999,2718700,133.733887
"2020-09-16",142.089996,142.130005,139.610001,139.679993,3591700,132.820999
"2020-09-17",136.419998,140.529999,135.919998,140.399994,5646100,133.505646
"2020-09-18",141.139999,141.800003,137,138.660004,7025900,131.851089
"2020-09-21",135.869995,137.119995,134.320007,136.979996,6036000,130.253601
"2020-09-22",137.779999,138.820007,135.630005,138.649994,3213200,131.841568
"2020-09-23",139.089996,139.089996,134.720001,135.160004,5766400,128.52298
"2020-09-24",134.119995,138.320007,134.119995,136.690002,2911000,129.977829
"2020-09-25",135.949997,139.100006,134.75,138.320007,3036000,131.527786
"2020-09-28",140.220001,142,139.720001,141.940002,3454100,134.970047
"2020-09-29",142.289993,143.050003,141.199997,141.5,2722900,134.551636
"2020-09-30",141.160004,144.25,140.509995,142.789993,5599600,135.778275
"2020-10-01",145.440002,147.220001,143.990005,144.910004,4431200,137.794205
"2020-10-02",142.080002,143.929993,140.839996,141.089996,3928600,134.161774
"2020-10-05",142.289993,144.229996,141.570007,144.080002,3052800,137.004944
"2020-10-06",143.850006,147.139999,142.970001,143.850006,3418700,136.786255
"2020-10-07",145.339996,147.289993,144.809998,146.75,2845500,139.543823
"2020-10-08",146.830002,148.309998,146.559998,148.059998,2323700,140.789505
"2020-10-09",150.080002,151.520004,148.850006,150.910004,4209800,143.499557
"2020-10-12",152.580002,155.759995,151.830002,154.899994,5147800,147.293625
"2020-10-13",155.110001,155.880005,153.679993,154.490005,3524000,146.903793
"2020-10-14",154.5,154.729996,152.179993,152.770004,3267400,145.268234
"2020-10-15",151.820007,153.050003,150.860001,152.550003,2936000,145.059036
"2020-10-16",153.970001,154.919998,152.729996,153.119995,4599700,145.601028
"2020-10-19",153.279999,154.919998,150.259995,150.759995,4225400,143.356918
"2020-10-20",151.789993,152.240005,149.690002,150.830002,3916100,143.423508
"2020-10-21",149.100006,149.460007,144.660004,146.130005,6700600,138.954285
"2020-10-22",146.820007,148.880005,145.830002,148.220001,3167200,140.94165
"2020-10-23",148.419998,150,148.320007,149.960007,3509100,142.596207
"2020-10-26",148.199997,148.5,144.220001,145.949997,4290700,138.783127
"2020-10-27",147.630005,148.330002,146.550003,147.119995,4102400,139.89566
"2020-10-28",144.699997,145.860001,141.759995,143,7413600,135.977982
"2020-10-29",141.690002,147.309998,141.330002,146.190002,5600400,140.01001
"2020-10-30",145,145.949997,142.529999,144.589996,5427000,138.477631
"2020-11-02",146.460007,146.899994,144.220001,145.600006,3756600,139.444946
"2020-11-03",146.860001,148.589996,146.660004,147.300003,3588600,141.07309
"2020-11-04",150.800003,153.5,148.440002,152.029999,5015300,145.603134
"2020-11-05",154.839996,156.300003,154.149994,155.559998,4638100,148.983917
"2020-11-06",156.050003,158.210007,154.940002,157.740005,4217700,151.071762
"2020-11-09",162,164.630005,156.059998,156.220001,5308600,149.615997
"2020-11-10",155.380005,156.350006,151.020004,151.490005,5697900,145.085953
"2020-11-11",154.940002,155.940002,153.639999,155.699997,3497200,149.117996
"2020-11-12",156.020004,156.929993,153.660004,154.5,2607100,147.968704
"2020-11-13",156.639999,157.979996,155.160004,156.649994,2439800,150.027802
"2020-11-16",157.270004,159.389999,156.619995,158.309998,3456500,151.617645
"2020-11-17",157.389999,158.309998,155.179993,155.5,3526700,148.926437
"2020-11-18",155.740005,156.339996,153.410004,153.550003,2998400,147.058868
"2020-11-19",153.119995,157.429993,152.710007,157.270004,2465300,150.621613
"2020-11-20",157.320007,158.75,156.550003,156.820007,3013000,150.190643
"2020-11-23",156.899994,158.710007,155.139999,157.419998,2803000,150.765289
"2020-11-24",158.619995,159.460007,156.690002,159.350006,4962800,152.613708
"2020-11-25",159.550003,160.020004,157.259995,157.600006,3543700,150.937668
"2020-11-27",159.380005,160.289993,158.779999,158.990005,3084400,152.268921
"2020-11-30",159.229996,161.509995,157.720001,161.25,4845200,154.43335
"2020-12-01",162.630005,164.330002,161.630005,163.490005,4894400,156.57869
"2020-12-02",162.789993,163.570007,161.820007,162.720001,4212300,155.841248
"2020-12-03",163.160004,164.559998,161.600006,161.979996,4778600,155.132507
"2020-12-04",163.009995,166.600006,162.520004,166.520004,3741600,159.480606
"2020-12-07",166.369995,166.449997,165.240005,166.289993,4645300,159.2603
"2020-12-08",166.300003,167.240005,165,166.679993,3259900,159.63382
"2020-12-09",164.800003,166.470001,161.960007,162.759995,5593900,155.879547
"2020-12-10",162.160004,162.869995,160.779999,162,5597300,155.151672
"2020-12-11",160.610001,161.949997,159.630005,160.610001,4145800,153.820404
"2020-12-14",161.449997,162.75,159.990005,160.119995,5994200,153.35112
"2020-12-15",162.020004,162.729996,161.210007,162.380005,5732100,155.51561
"2020-12-16",162.940002,163.360001,160.919998,162.119995,3147900,155.266571
"2020-12-17",162.910004,163.009995,161.410004,162.690002,5253400,155.8125
"2020-12-18",163.369995,164.610001,162.100006,164.070007,7072600,157.134155
"2020-12-21",161.550003,162.800003,159.559998,162.429993,3077300,155.563507
"2020-12-22",162.190002,163.460007,162.059998,162.520004,2640900,155.649689
"2020-12-23",162.199997,163.229996,160.809998,160.979996,2012400,154.174774
"2020-12-24",160.720001,161.850006,160.479996,161.639999,1044400,154.8069
"2020-12-28",163.759995,163.759995,161,161.470001,2139300,154.644058
"2020-12-29",161.960007,162.679993,160.570007,161.179993,2433700,154.366302
"2020-12-30",161.889999,163.130005,161.759995,162.699997,2213800,155.822052
"2020-12-31",162.869995,164.389999,161.889999,164.130005,2906200,157.191635
"2021-01-04",164.600006,167.839996,160.759995,162.220001,4659900,155.362366
"2021-01-05",161.699997,163.529999,161.279999,163.410004,4734100,156.50206
"2021-01-06",162.300003,167.449997,162.070007,164.220001,5254400,157.277817
"2021-01-07",165.330002,168.699997,164.820007,167.940002,5673600,160.840576
"2021-01-08",171.119995,172.75,168.860001,171.160004,4556500,163.924438
"2021-01-11",170.240005,172.039993,169.139999,171.309998,4553100,164.068085
"2021-01-12",171.289993,173.660004,170.970001,172.300003,3406600,165.016251
"2021-01-13",172.289993,172.850006,170.869995,171.410004,2953900,164.163849
"2021-01-14",171.100006,172.539993,170.350006,171.710007,3416300,164.451172
"2021-01-15",170.979996,171.089996,167.570007,169.190002,3734600,162.03772
"2021-01-19",171.190002,174.699997,171.190002,174.190002,6277800,166.82634
"2021-01-20",174.839996,175.179993,172.789993,173.330002,4329500,166.002716
"2021-01-21",174.419998,175.470001,172.110001,175.100006,3583900,167.697891
"2021-01-22",174.490005,175.449997,172.75,172.809998,3736800,165.5047
"2021-01-25",173.369995,174.570007,170.679993,172.919998,5401900,165.610031
"2021-01-26",172.070007,174.279999,171.300003,171.470001,5341900,164.221344
"2021-01-27",166.449997,167.619995,162.039993,162.929993,10011200,156.042343
"2021-01-28",167.880005,171.100006,165.139999,169.229996,6796600,162.076004
"2021-01-29",166.649994,168,164.020004,165.690002,5969800,159.647934
"2021-02-01",167.360001,173,167.020004,172.460007,5715600,166.171036
"2021-02-02",173.050003,175.699997,172.009995,174.75,4861200,168.377518
"2021-02-03",174.779999,175.259995,168.5,168.580002,5019200,162.432541
"2021-02-04",169.960007,172.119995,168.059998,172,3519800,165.727814
"2021-02-05",172.800003,173.179993,168.059998,169.929993,4045000,163.733292
"2021-02-08",171.339996,175.389999,170.839996,175.119995,4597600,168.734024
"2021-02-09",174.5,175.220001,173.330002,173.690002,2777700,167.356186
"2021-02-10",175.199997,176.139999,172.619995,174.360001,3414600,168.00174
"2021-02-11",176,179.649994,175.440002,179.220001,4776000,172.68454
"2021-02-12",178,179.899994,177.330002,179.639999,2532500,173.089218
"2021-02-16",180,181.800003,178.839996,180.759995,3887600,174.168381
"2021-02-17",178.320007,180.210007,176.360001,178.529999,4315100,172.019699
"2021-02-18",177.429993,177.520004,174.199997,176.509995,4195100,170.073364
"2021-02-19",177.860001,179.570007,176.639999,178.350006,4248500,171.846252
"2021-02-22",176,176.919998,172.679993,173.089996,4386900,166.778061
"2021-02-23",174.169998,174.440002,168.509995,172.850006,6514400,166.546829
"2021-02-24",171.630005,179.770004,170.570007,179.389999,5100500,172.848328
"2021-02-25",178.5,178.5,170.059998,170.529999,6099600,164.311432
"2021-02-26",173.279999,173.850006,169.130005,172.270004,6060600,165.987991
"2021-03-01",174.5,177.860001,173.089996,177.669998,4771500,171.19104
"2021-03-02",177.570007,177.660004,174.149994,174.889999,5401500,168.512436
"2021-03-03",174.089996,175.619995,170.360001,170.589996,4715900,164.369232
"2021-03-04",170.5,170.850006,161.669998,163.25,8318900,157.29689
"2021-03-05",167.539993,168.830002,162.029999,167.940002,5681200,161.815872
"2021-03-08",166.389999,168.270004,161.770004,162.110001,6065400,156.198471
"2021-03-09",167.169998,171.850006,166.289993,170.360001,7610300,164.147644
"2021-03-10",171.649994,173,169.309998,169.419998,4270500,163.241898
"2021-03-11",172.509995,175.600006,172.470001,174.949997,5002700,168.570236
"2021-03-12",173.020004,174.100006,170.75,173.570007,3514600,167.24057
"2021-03-15",173.470001,175.089996,171.759995,174.910004,3876500,168.531693
"2021-03-16",176.25,178.809998,175.830002,177.139999,4132600,170.680374
"2021-03-17",175.440002,180.179993,174.419998,179.350006,4004800,172.809799
"2021-03-18",176.160004,179.770004,174.240005,174.360001,4214400,168.00174
"2021-03-19",175.690002,178.050003,172.449997,175.979996,8447300,169.562668
"2021-03-22",178.289993,181.690002,177.75,180.100006,4476100,173.532455
"2021-03-23",181.910004,182.570007,177.710007,178.779999,4688500,172.260574
"2021-03-24",179.990005,182.690002,178.779999,178.899994,5056100,172.37619
"2021-03-25",177.529999,179.449997,173.75,178.490005,4878500,171.98114
"2021-03-26",177.759995,188.869995,177.009995,188.199997,6363500,181.337051
"2021-03-29",184.850006,187.699997,183.740005,186.179993,4983600,179.390717
"2021-03-30",188.509995,188.509995,184.619995,185.940002,4458700,179.15947
"2021-03-31",187.600006,190.449997,186.529999,188.990005,5427500,182.098282
"2021-04-01",191.110001,192.539993,190.020004,192.059998,4581300,185.056305
"2021-04-05",194,197.580002,193.630005,196.929993,4323900,189.748703
"2021-04-06",194.220001,196.839996,193.039993,194.589996,3506900,187.494049
"2021-04-07",194.460007,194.490005,191.509995,193.089996,3678900,186.048737
"2021-04-08",196.089996,196.089996,193.350006,195.199997,3157200,188.081787
"2021-04-09",193.309998,195.559998,192.740005,195.429993,3127300,188.303406
"2021-04-12",192.639999,194.720001,191.339996,192.429993,4504800,185.412811
"2021-04-13",192.139999,193,189.759995,191.240005,4009300,184.26622
"2021-04-14",190.460007,191.5,189.009995,190.330002,3555000,183.389404
"2021-04-15",191.929993,193.529999,190.820007,193.169998,4471900,186.125824
"2021-04-16",193.660004,194.779999,191.639999,191.929993,5792900,184.93103
"2021-04-19",190.350006,191.100006,186.720001,187.059998,5334900,180.238617
"2021-04-20",186.979996,186.979996,184.279999,185.270004,4258900,178.513916
"2021-04-21",187.899994,189.139999,184.960007,188.899994,4796500,182.01152
"2021-04-22",186.660004,188.789993,184.770004,185.800003,3853100,179.024612
"2021-04-23",187.020004,190.009995,186.509995,188.820007,3512400,181.934464
"2021-04-26",188.860001,192.179993,187.889999,191.360001,3842300,184.381836
"2021-04-27",191.059998,192.509995,189.779999,190.210007,3864100,183.273788
"2021-04-28",181.639999,184,180,181.820007,9434200,175.189743
"2021-04-29",183.630005,186.050003,182.649994,185.820007,4547300,179.043869
"2021-04-30",182.179993,182.899994,179.130005,180.509995,6193600,174.887466
"2021-05-03",181.490005,181.800003,177.559998,178.800003,5136100,173.230743
"2021-05-04",178.259995,179.25,175.529999,179.029999,5222300,173.453583
"2021-05-05",181.009995,183.179993,179.479996,181.649994,5257100,175.991959
"2021-05-06",181.929993,184.839996,179.949997,184.270004,4525800,178.530365
"2021-05-07",186.699997,188.100006,185.419998,187.759995,4591400,181.911652
"2021-05-10",187.289993,187.289993,181.820007,182.050003,4580400,176.379501
"2021-05-11",178.410004,183.529999,177.410004,183.199997,4641300,177.493668
"2021-05-12",179.690002,180.100006,176.270004,176.600006,5297900,171.099274
"2021-05-13",179.990005,180.630005,177.25,178.990005,4361000,173.414825
"2021-05-14",180.699997,184.919998,179.5,183.270004,4433500,177.561508
"2021-05-17",182.25,182.380005,178.850006,180.830002,4162300,175.19751
"2021-05-18",181.110001,181.860001,178.589996,178.869995,3454100,173.298553
"2021-05-19",175.240005,181.929993,175,181.720001,4780000,176.059799
"2021-05-20",182.279999,186.539993,182.279999,185.300003,5387000,179.52829
"2021-05-21",186.690002,186.690002,184.139999,185.009995,3682300,179.247299
"2021-05-24",186.449997,189.350006,186.449997,188.690002,4175900,182.812698
"2021-05-25",189.470001,189.679993,187.880005,188.699997,4270100,182.822372
"2021-05-26",188.059998,189.779999,186.929993,188.360001,4221600,182.49295
"2021-05-27",188.740005,190.050003,187.880005,189.130005,10107700,183.238983
"2021-05-28",190.050003,191.029999,189.270004,189.820007,3306500,183.907501
"2021-06-01",191.380005,192.029999,188.039993,189,4817300,183.113022
"2021-06-02",189.5,190.860001,188.339996,190.75,3137900,184.808517
"2021-06-03",187.690002,187.860001,184.899994,186,4205300,180.206467
"2021-06-04",187.779999,190.380005,187.479996,190.070007,3462900,184.149704
"2021-06-07",189.199997,189.800003,187.660004,188.550003,2726100,182.677032
"2021-06-08",189.970001,189.970001,186.110001,186.929993,3063600,181.107483
"2021-06-09",188.089996,188.130005,186.169998,186.449997,2866900,180.642456
"2021-06-10",186.339996,188.899994,185.899994,188,3188700,182.144165
"2021-06-11",188.080002,188.740005,186.940002,188.669998,2309400,182.793304
"2021-06-14",188.259995,190.350006,187.070007,190.259995,3360300,184.333786
"2021-06-15",190.460007,190.729996,188.119995,188.610001,2600100,182.735199
"2021-06-16",189.910004,190.490005,186.300003,187.729996,3357900,181.882584
"2021-06-17",187.240005,189.529999,186.199997,187.649994,3222300,181.805069
"2021-06-18",186.009995,186.309998,182.5,183.070007,7535200,177.367722
"2021-06-21",184.25,186.639999,183.360001,186.110001,3771200,180.313019
"2021-06-22",185.490005,187.279999,184.339996,187.039993,3299700,181.214081
"2021-06-23",186.479996,187.479996,185.990005,186.100006,2473300,180.303375
"2021-06-24",188.050003,188.699997,187.449997,188.610001,2876700,182.735199
"2021-06-25",188.050003,190.25,187.350006,188.169998,4639100,182.308899
"2021-06-28",188.970001,192.380005,188.970001,191.529999,3228700,185.564224
"2021-06-29",191.520004,193.009995,190.929993,192.880005,2108700,186.872177
"2021-06-30",192.839996,193,191.490005,192.300003,2687600,186.310257
"2021-07-01",192.020004,192.479996,190.059998,190.839996,3455900,184.895706
"2021-07-02",192.630005,192.800003,190.910004,192.210007,2389900,186.223053
"2021-07-06",192.580002,192.770004,189.550003,191.199997,2619600,185.244492
"2021-07-07",192.770004,192.990005,188.979996,189.779999,2749500,183.868729
"2021-07-08",187.559998,189.300003,185.369995,188.240005,3146900,182.376694
"2021-07-09",188.169998,190.869995,187,190.270004,3109200,184.34346
"2021-07-12",190.550003,192.020004,190.089996,191.919998,4069500,185.942078
"2021-07-13",191.229996,192.460007,190.720001,191.199997,2695100,185.244492
"2021-07-14",193,194.089996,190.729996,191.279999,3590200,185.322021
"2021-07-15",190.470001,191.279999,187.399994,188.259995,4259900,182.396088
"2021-07-16",189.270004,190.240005,185.729996,186.119995,4337500,180.322723
"2021-07-19",184.279999,186.330002,183.369995,186.240005,4181300,180.438995
"2021-07-20",187.059998,189.179993,185.759995,187.770004,4287300,181.921341
"2021-07-21",188.449997,194.25,188.449997,194.240005,6352800,188.189819
"2021-07-22",185.740005,187.660004,183.529999,183.910004,12673900,178.18158
"2021-07-23",184.190002,186.929993,182.160004,186.850006,5983000,182.039627
"2021-07-26",185.360001,188.990005,185.309998,188.259995,4516600,183.41333
"2021-07-27",187.520004,187.839996,182.229996,185.130005,4649900,180.363907
"2021-07-28",186.320007,187.5,185.020004,186.850006,2956700,182.039627
"2021-07-29",187.839996,190.460007,187.460007,189.830002,3081800,184.942917
"2021-07-30",188.5,190.949997,188.369995,190.619995,2521600,185.71257
"2021-08-02",192.399994,193.600006,190.410004,190.720001,2922600,185.809998
"2021-08-03",190.929993,191.449997,187.440002,189.339996,3703400,184.465515
"2021-08-04",189.889999,193.369995,189.25,192.380005,3793600,187.427261
"2021-08-05",193.800003,193.899994,191.589996,193.160004,2769500,188.18718
"2021-08-06",192.369995,193.630005,192.190002,192.960007,2414300,187.99234
"2021-08-09",193.279999,193.529999,190.330002,190.449997,2395900,185.546951
"2021-08-10",190.539993,190.539993,186.820007,189.649994,3497100,184.767532
"2021-08-11",191.169998,191.169998,188,189.5,2339300,184.621399
"2021-08-12",188.850006,189.059998,186.160004,187.869995,3949600,183.033356
"2021-08-13",187.539993,188.779999,187,188.699997,1923700,183.841995
"2021-08-16",188.490005,189.960007,188.100006,189.850006,2506100,184.962402
"2021-08-17",188.550003,188.740005,185.100006,186.320007,3411800,181.52327
"2021-08-18",185.710007,186.559998,183.559998,183.800003,2862500,179.068161
"2021-08-19",182.75,185.970001,181.960007,185.039993,3871700,180.276215
"2021-08-20",185.259995,186.160004,183.320007,184.970001,3855300,180.208023
"2021-08-23",185.800003,188.639999,185.570007,187.850006,3529000,183.013885
"2021-08-24",187.919998,189.529999,187.529999,187.820007,3268200,182.984665
"2021-08-25",188.369995,189.119995,187.330002,188.089996,3163600,183.247696
"2021-08-26",187.660004,188.589996,186.570007,187.970001,3643700,183.130798
"2021-08-27",188.399994,190.800003,188.059998,190.520004,2859800,185.615143
"2021-08-30",191.389999,192.289993,190.710007,191.429993,2356500,186.501709
"2021-08-31",192.100006,192.699997,189.110001,190.910004,4227500,185.995102
"2021-09-01",191.779999,191.779999,188.169998,188.350006,4536600,183.501022
"2021-09-02",189.210007,189.419998,188.039993,189.410004,2061400,184.533722
"2021-09-03",188.669998,190.830002,188.199997,189.880005,2103400,184.991623
"2021-09-07",189.330002,190.100006,188.479996,189.460007,2295900,184.582443
"2021-09-08",188.5,189.039993,187.119995,188.800003,2021600,183.939438
"2021-09-09",189.660004,190.630005,188.259995,188.470001,1827900,183.61792
"2021-09-10",189.339996,193.449997,189.339996,190.649994,3331700,185.741791
"2021-09-13",192.960007,194.130005,191.240005,193.979996,3687200,188.986069
"2021-09-14",195,196.339996,193.800003,195.110001,3239600,190.08696
"2021-09-15",196.130005,197.589996,194.830002,197.5,3995900,192.415436
"2021-09-16",196.589996,197.339996,194.850006,196.820007,2661500,191.75296
"2021-09-17",197.309998,197.309998,194.610001,196.25,5819300,191.197632
"2021-09-20",192.880005,193.740005,189.759995,192.589996,4614300,187.631851
"2021-09-21",193.960007,194.490005,190.839996,192.960007,3093400,187.99234
"2021-09-22",194.75,196.699997,193.740005,195.919998,3526100,190.876129
"2021-09-23",196.300003,199.100006,195.789993,198.669998,2756900,193.555313
"2021-09-24",197.369995,200.919998,197.119995,200.649994,3191500,195.48436
"2021-09-27",198.229996,200.449997,197.669998,200.330002,3022300,195.172607
"2021-09-28",197.490005,199.110001,194.550003,194.889999,4274600,189.872635
"2021-09-29",194.529999,195.820007,192.110001,193.070007,3436800,188.099487
"2021-09-30",194.479996,194.990005,192.100006,192.210007,3270800,187.261658
"2021-10-01",193.429993,194.330002,190.179993,193.789993,2986100,188.800949
"2021-10-04",193.039993,194.380005,189.029999,190.399994,3934100,185.49823
