"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2020-10-16",120.169998,121,119.010002,119.260002,1249400,115.635826
"2020-10-19",119.32,119.93,116.82,116.919998,1628800,113.366936
"2020-10-20",118.470001,120.120003,117.489998,119.300003,2469300,115.674614
"2020-10-21",119.269997,128.580002,118.43,128.220001,3800300,124.323547
"2020-10-22",127.529999,128.5,125.949997,127.629997,2174000,123.751465
"2020-10-23",129.059998,129.550003,127.489998,129.020004,1259800,125.099258
"2020-10-26",127.040001,127.669998,124.870003,125.989998,1323600,122.161316
"2020-10-27",125.93,126.519997,123.309998,123.410004,1519000,119.659721
"2020-10-28",129.110001,129.600006,125.559998,127.419998,4251900,123.547867
"2020-10-29",128.570007,134.729996,126.559998,132.75,3946000,128.715881
"2020-10-30",131.679993,133.5,128.520004,129.910004,3557200,125.962189
"2020-11-02",132.270004,134.660004,130.259995,134.619995,2708800,130.529068
"2020-11-03",135.699997,138.550003,135.070007,135.279999,3096200,131.169022
"2020-11-04",132.130005,136.199997,131.100006,132.949997,1799500,128.909805
"2020-11-05",133.330002,138.5,133.009995,136.729996,1697200,132.574921
"2020-11-06",137.380005,138.630005,136.770004,137.690002,1724900,133.505768
"2020-11-09",149.660004,150.610001,142.289993,146.979996,4092900,142.513443
"2020-11-10",147.830002,151.990005,147.339996,151.5,3016000,146.896103
"2020-11-11",151.350006,151.449997,147.320007,149.029999,1603500,144.50116
"2020-11-12",147.869995,147.869995,144.440002,146.179993,1872200,141.737778
"2020-11-13",148.389999,149.330002,146.729996,149.259995,1583700,144.724136
"2020-11-16",152.380005,153.270004,149.929993,151.360001,1433100,146.760361
"2020-11-17",150.669998,150.940002,148.220001,150.029999,1670700,145.470749
"2020-11-18",150.110001,151.410004,148.470001,149.279999,1595400,144.743576
"2020-11-19",147.929993,148.770004,145.929993,147.369995,2126300,142.891602
"2020-11-20",147.389999,149.389999,145.880005,148.880005,2042200,144.355698
"2020-11-23",149.880005,150.300003,147.770004,149.029999,1444000,144.50116
"2020-11-24",154.110001,154.970001,151.119995,154.75,2375000,150.047333
"2020-11-25",152.740005,153.100006,150.759995,152.529999,1690100,147.894806
"2020-11-27",152.199997,153.289993,150.960007,151.419998,906400,146.818527
"2020-11-30",149.610001,150.770004,147.080002,147.830002,5984100,143.337601
"2020-12-01",151.440002,153.169998,149.330002,152.630005,2197200,147.991776
"2020-12-02",151.619995,153.300003,150.789993,153.179993,2082900,148.525024
"2020-12-03",152.729996,154.139999,151.839996,153.990005,2002000,149.310425
"2020-12-04",154.710007,155.440002,153.830002,155.419998,1457100,150.696976
"2020-12-07",153.880005,154.929993,151.720001,152.339996,1260500,147.710556
"2020-12-08",151.839996,153.410004,151.139999,152.399994,1525400,147.768753
"2020-12-09",153.539993,154.25,151.550003,153.029999,2088900,148.379593
"2020-12-10",152.100006,154.770004,151.770004,153.679993,1997100,149.009842
"2020-12-11",152.470001,154.220001,152.470001,153.740005,1504500,149.068039
"2020-12-14",155.529999,155.529999,150.740005,150.860001,1639100,146.275558
"2020-12-15",152.210007,154.429993,150.759995,154.389999,1825200,149.698288
"2020-12-16",154.539993,154.660004,152.110001,154.160004,1563300,149.475266
"2020-12-17",153.699997,154.179993,152.429993,153.410004,1671300,149.504501
"2020-12-18",153.639999,154.339996,151.199997,152.360001,3609400,148.481232
"2020-12-21",152.929993,153,149.5,151.75,1638800,147.88678
"2020-12-22",149.160004,151.229996,149.160004,150.169998,1523300,146.346985
"2020-12-23",151.179993,151.919998,150.389999,151.059998,965100,147.214325
"2020-12-24",151.320007,151.320007,149.600006,150.830002,422400,146.990189
"2020-12-28",151.589996,153.029999,150.770004,151.880005,865900,148.013443
"2020-12-29",153.009995,153.009995,150.669998,150.899994,727400,147.05838
"2020-12-30",151.630005,152.679993,151.309998,151.929993,675300,148.06218
"2020-12-31",152.360001,154.119995,150.619995,153.919998,1220300,150.001511
"2021-01-04",152.440002,153.509995,148.410004,149.729996,1799100,145.918167
"2021-01-05",149.990005,151.190002,148.389999,149.850006,946900,146.035126
"2021-01-06",151.619995,157.380005,151.5,156.979996,1718800,152.983597
"2021-01-07",157.949997,157.990005,155.210007,155.860001,1410100,151.89212
"2021-01-08",156.410004,157.309998,153.330002,155.399994,1287700,151.443832
"2021-01-11",154.589996,155.449997,153.619995,154.130005,1471200,150.206177
"2021-01-12",154.320007,156.729996,154.059998,156.610001,1064900,152.623016
"2021-01-13",155.669998,157.979996,155.380005,157.119995,1113100,153.120056
"2021-01-14",157.429993,157.630005,155.639999,155.820007,934900,151.853149
"2021-01-15",154.789993,156.050003,152.809998,155.190002,1436300,151.239166
