"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2020-07-01",70.958504,72.424004,70.709,72.099998,42182000,72.099998
"2020-07-02",72.592003,74.426003,72.553497,73.496498,57218000,73.496498
"2020-07-06",74.407501,75.5,73.848999,74.982498,44712000,74.982498
"2020-07-07",74.806503,76.066002,74.485001,74.496002,42364000,74.496002
"2020-07-08",75.040001,75.558502,74.614998,75.18,31766000,75.18
"2020-07-09",75.496498,76.457001,74.779503,75.932999,41836000,75.932999
"2020-07-10",75.662498,77.067001,75.036003,76.9505,35918000,76.9505
"2020-07-13",77.497002,78.818001,75.328003,75.611504,42954000,75.611504
"2020-07-14",74.639503,76.139999,74.296501,76.042999,38108000,76.042999
"2020-07-15",76.161499,76.816498,74.891502,75.844002,31026000,75.844002
"2020-07-16",75.074997,75.795502,74.413498,75.746002,26484000,75.746002
"2020-07-17",75.845497,76.171501,74.904999,75.842499,34264000,75.842499
"2020-07-20",75.75,78.4505,75.135002,78.192001,30166000,78.192001
"2020-07-21",79.251503,79.352501,77.630997,77.795998,27486000,77.795998
"2020-07-22",77.7855,78.348999,77.161499,78.2425,24482000,78.2425
"2020-07-23",78.296501,78.517502,75.429497,75.837502,33910000,75.837502
"2020-07-24",74.959503,75.7715,74.379501,75.4105,29902000,75.4105
"2020-07-27",75.663002,76.877998,75.616501,76.471497,27124000,76.471497
"2020-07-28",76.25,76.300499,75.026001,75.182503,30910000,75.182503
"2020-07-29",75.25,76.666496,75.150497,76.175499,22676000,76.175499
"2020-07-30",74.898499,77.044502,74.758499,76.918503,36042000,76.918503
"2020-07-31",74.852501,75.250999,72.699997,74.397499,91468000,74.397499
"2020-08-03",74.550003,74.886497,73.585999,74.138,45482000,74.138
"2020-08-04",74.335503,74.655502,73.2015,73.665001,37212000,73.665001
"2020-08-05",73.841003,74.5,73.560997,73.954498,29134000,73.954498
"2020-08-06",73.807503,75.313499,73.595001,75.247498,33306000,75.247498
"2020-08-07",75.452003,76.004501,74.313499,74.918503,27718000,74.918503
"2020-08-10",74.540001,75.357498,73.874496,74.841003,20546000,74.841003
"2020-08-11",74.699997,75.522003,73.9095,74.027,31098000,74.027
"2020-08-12",74.356003,75.583504,74.25,75.362,22512000,75.362
"2020-08-13",75.4105,76.848503,75.4105,75.832497,22388000,75.832497
"2020-08-14",75.680496,75.989502,74.949997,75.231499,21942000,75.231499
"2020-08-17",75.7985,76.189003,75.25,75.811996,19990000,75.811996
"2020-08-18",76.306,77.8685,76.083504,77.789001,28378000,77.789001
"2020-08-19",77.624496,78.443001,77,77.230499,30472000,77.230499
"2020-08-20",76.998497,79.008499,76.723,78.8125,26382000,78.8125
"2020-08-21",78.589996,79.594002,78.115501,78.778503,34838000,78.778503
"2020-08-24",79.623497,80.439003,78.751999,79.2575,25638000,79.2575
"2020-08-25",79.004997,80.444,78.893997,80.292503,25150000,80.292503
"2020-08-26",80.315002,82.639503,80.049004,82.206497,52188000,82.206497
"2020-08-27",82.330498,82.399498,80.940498,81.426003,31350000,81.426003
"2020-08-28",81.473503,82.067497,81.280502,81.971497,22418000,81.971497
"2020-08-31",82.178497,82.224998,81.266502,81.476501,26422000,81.476501
"2020-09-01",81.608002,82.960999,81.476501,82.753998,22652000,82.753998
"2020-09-02",83.400497,86.305,83.009499,85.869499,49522000,85.869499
"2020-09-03",84.975998,85,80.385498,81.475502,63726000,81.475502
"2020-09-04",80.449997,81.749496,76.898499,79.060501,55850000,79.060501
"2020-09-08",76.25,77.777496,75.824997,76.18,54032000,76.18
"2020-09-09",77.445,77.935997,76.258499,77.361504,39242000,77.361504
"2020-09-10",77.509003,78.682999,76,76.302498,33024000,76.302498
"2020-09-11",76.407501,76.934998,74.651001,75.788002,30706000,75.788002
"2020-09-14",76.582497,77.849998,75.255501,75.441498,42660000,75.441498
"2020-09-15",76.394501,77.5495,76.105003,76.755997,23042000,76.755997
"2020-09-16",77.124001,77.718498,75.579498,75.6045,22128000,75.6045
"2020-09-17",74.290497,74.932999,73.123001,74.351997,40008000,74.351997
"2020-09-18",74.415001,74.760002,71.581001,72.554497,63056000,72.554497
"2020-09-21",71.581001,72.002998,70.134003,71.507004,56908000,71.507004
"2020-09-22",72.515999,73.198502,71.474998,72.990997,33950000,72.990997
"2020-09-23",72.6045,72.653999,70.134003,70.469498,37726000,70.469498
"2020-09-24",70.134003,71.899498,70.107498,71.142998,34552000,71.142998
"2020-09-25",71.252502,72.296997,70.384003,71.953003,30326000,71.953003
"2020-09-28",73.599503,73.649498,72.314003,72.932999,30784000,72.932999
"2020-09-29",73.195503,73.599998,72.699997,73.301003,31816000,73.301003
"2020-09-30",73.046997,74.309998,72.788002,73.279999,40924000,73.279999
"2020-10-01",74.182999,74.753502,73.839996,74.394997,32884000,74.394997
"2020-10-02",72.981499,73.9515,72.3675,72.779999,31222000,72.779999
"2020-10-05",73.1325,74.235001,73.004501,74.141502,21602000,74.141502
"2020-10-06",73.775002,74.225998,72.250504,72.551003,26096000,72.551003
"2020-10-07",72.9655,73.448502,71.661499,72.957001,36108000,72.957001
"2020-10-08",73.272499,74.401497,73.272499,74.171501,26076000,74.171501
"2020-10-09",74.642998,75.592499,74.349998,75.522499,32966000,75.522499
"2020-10-12",76.900002,79.420998,76.464996,78.2295,55344000,78.2295
"2020-10-13",78.850502,79.258003,77.931503,78.3535,39072000,78.3535
"2020-10-14",78.730003,79.192497,77.294998,78.171997,33174000,78.171997
"2020-10-15",77.224998,78.57,77.056503,77.773499,31210000,77.773499
"2020-10-16",78.091499,78.885498,77.883003,78.385002,34194000,78.385002
"2020-10-19",78.796501,79.196503,76.146004,76.497498,29734000,76.497498
"2020-10-20",76.155502,78.692001,76.025002,77.554001,41670000,77.554001
"2020-10-21",78.4925,80.757004,78.357002,79.2995,60322000,79.2995
"2020-10-22",79.25,80.670998,78.874001,80.333,30512000,80.333
"2020-10-23",80.752502,81.706001,80.595497,81.649002,30548000,81.649002
"2020-10-26",80.75,81.478996,78.389,79.2145,35826000,79.2145
"2020-10-27",79.446503,80.099998,78.849503,79.944,25902000,79.944
"2020-10-28",77.500504,77.690498,75.424004,75.540001,45174000,75.540001
"2020-10-29",75.850998,79.436996,75.827499,77.844002,55406000,77.844002
"2020-10-30",83.372002,84.066002,80.078499,80.805496,99878000,80.805496
"2020-11-02",81.177002,82.912003,80.711998,81.216003,44228000,81.216003
