"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2020-09-03",219.990005,222.990005,214.470001,216,198800,207.087555
"2020-09-04",219.600006,220.380005,213.979996,215.550003,202400,206.656128
"2020-09-08",214.880005,214.880005,208.490005,211.550003,268200,202.821182
"2020-09-09",213.460007,216.990005,211.660004,213.589996,265200,204.776993
"2020-09-10",214.690002,215.190002,207.460007,207.589996,205800,199.024551
"2020-09-11",207.820007,209.039993,205.970001,206.339996,241000,197.826141
"2020-09-14",207.589996,211.919998,207.25,209.699997,238900,201.047516
"2020-09-15",210.110001,211.220001,205.389999,206.119995,172500,197.615204
"2020-09-16",206.889999,210.380005,205.410004,206.279999,232200,197.768616
"2020-09-17",204.399994,206.860001,202.389999,204.960007,245500,196.503098
"2020-09-18",204.25,206.539993,200.429993,201.350006,366700,193.042038
"2020-09-21",196.720001,202.5,195.990005,202.309998,516100,193.962418
"2020-09-22",201.949997,206.740005,199.160004,200.110001,272300,191.853195
"2020-09-23",200.199997,201.710007,195.929993,197.100006,240400,188.967392
"2020-09-24",196.699997,201.449997,194.789993,199.669998,285400,191.431351
"2020-09-25",197.070007,199.509995,196.009995,198.639999,196400,190.443848
"2020-09-28",201.759995,204.399994,201.009995,201.600006,149100,193.281723
"2020-09-29",200.330002,201.949997,197.309998,199.779999,185600,191.536804
"2020-09-30",201.009995,201.75,194.539993,197.539993,473700,189.389221
"2020-10-01",197.589996,200.779999,194.75,196.929993,346700,188.804413
"2020-10-02",195.300003,199.910004,193.029999,198.660004,217500,190.463043
"2020-10-05",200.679993,204.110001,200.210007,203.979996,262200,195.563522
"2020-10-06",206.429993,206.490005,199.199997,199.820007,184400,191.57518
"2020-10-07",200.449997,201.720001,194.869995,198.330002,290000,190.146637
"2020-10-08",198.960007,204.990005,198.960007,204.089996,222100,195.668976
"2020-10-09",206.220001,206.580002,203.220001,204.940002,190500,196.483902
"2020-10-12",205.179993,207.470001,204.339996,205.699997,157300,197.212555
"2020-10-13",203.910004,205.169998,199.880005,202.509995,290600,194.15416
"2020-10-14",200.460007,205.690002,198.669998,202.360001,405100,194.010361
"2020-10-15",199.679993,202.279999,198.929993,201.800003,150700,193.47348
"2020-10-16",201.550003,203.5,200.050003,200.800003,109700,192.51474
"2020-10-19",200.699997,201.850006,197.25,197.289993,133300,189.149551
"2020-10-20",199.690002,201.699997,198.539993,199.839996,212900,191.59433
"2020-10-21",200.960007,206,198.649994,205.470001,298100,196.99202
"2020-10-22",205.759995,207.759995,204.679993,207.039993,263200,198.497269
"2020-10-23",209.5,214.440002,208,214.020004,313700,205.189255
"2020-10-26",212.169998,212.789993,207.179993,209.110001,328200,200.481857
"2020-10-27",208.850006,208.850006,201.770004,202.100006,294000,193.761108
"2020-10-28",199.270004,201.509995,196.199997,196.199997,293700,188.104523
"2020-10-29",195.429993,203.389999,193.690002,202.110001,351000,193.77066
"2020-10-30",204.509995,206.210007,193.619995,197.080002,675900,188.948227
"2020-11-02",199.190002,207.179993,196.940002,207,365400,198.458893
"2020-11-03",210.830002,218.449997,209.899994,215.639999,472400,206.742416
"2020-11-04",210.369995,217.850006,208.240005,211.639999,357200,202.907455
"2020-11-05",213.360001,216.660004,209.839996,211.830002,251800,203.089615
"2020-11-06",212.860001,212.860001,208.029999,210.679993,271300,201.987045
"2020-11-09",227.479996,235.039993,224.25,231.690002,621000,222.130157
"2020-11-10",232.690002,241.350006,231.75,240.199997,398100,230.289047
"2020-11-11",240.300003,240.520004,233.350006,235.029999,236200,225.332352
"2020-11-12",232.869995,233.710007,227.490005,230.300003,280600,220.797516
"2020-11-13",232.259995,234.990005,231.089996,232.309998,241600,222.724564
"2020-11-16",238.229996,239.710007,233.899994,238.800003,284100,228.946808
"2020-11-17",235.360001,238.740005,233.770004,238.389999,181700,228.553726
"2020-11-18",239.440002,241.080002,235.119995,235.130005,205700,225.428223
"2020-11-19",233.210007,234.679993,227.449997,233.830002,268600,224.18187
"2020-11-20",234.020004,234.020004,228.880005,231.100006,218400,221.564514
"2020-11-23",233.199997,234.600006,231.100006,233.729996,188900,224.085999
"2020-11-24",237.960007,242.690002,234.809998,241.539993,334400,231.573746
"2020-11-25",240.419998,240.419998,235.029999,237.490005,236200,227.690857
"2020-11-27",236.559998,236.600006,232.570007,233.449997,138500,223.817535
"2020-11-30",231.190002,233.039993,225.529999,227.330002,1072000,217.950058
"2020-12-01",231.089996,233.800003,228.869995,230.710007,271300,222.709106
"2020-12-02",229.690002,232.729996,228.649994,232.389999,210600,224.330826
"2020-12-03",231.880005,234.080002,231.289993,232.570007,202400,224.504593
