"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"2020-12-01",149.720001,151.330002,149.149994,150.380005,3466500,146.793365
"2020-12-02",150.380005,150.529999,147.820007,148.589996,2962400,145.046021
"2020-12-03",148.679993,149.139999,146.639999,147.279999,2608300,143.767303
"2020-12-04",147.830002,149.949997,147.399994,149.860001,2090600,146.285736
"2020-12-07",150.600006,151.610001,149.770004,150.559998,3104700,146.969055
"2020-12-08",150.720001,151.369995,149.690002,151.179993,1879600,147.574249
"2020-12-09",151.169998,151.169998,146.770004,147.770004,4007600,144.245636
"2020-12-10",147.929993,149.029999,146.460007,147.470001,2381500,143.952759
"2020-12-11",145.830002,148.25,145.830002,147.820007,2044100,144.63768
"2020-12-14",147.820007,148.139999,144.020004,144.220001,4316500,141.115189
"2020-12-15",145.070007,145.740005,143.309998,145.089996,3015300,141.966461
"2020-12-16",142.529999,145.550003,141,143.600006,4472500,140.50853
"2020-12-17",144.270004,146.539993,143.970001,145.970001,2126100,142.827515
"2020-12-18",145.759995,146.919998,144.050003,145.220001,4727800,142.093658
"2020-12-21",142.309998,142.979996,135.949997,139.910004,6277100,136.89798
"2020-12-22",140.110001,140.169998,134.600006,134.809998,5573000,131.907761
"2020-12-23",135.410004,135.580002,133.949997,134.710007,5749200,131.809921
"2020-12-24",134.630005,141.789993,134.509995,140.789993,6349900,137.759033
"2020-12-28",140.5,140.990005,139.25,140.279999,3389400,137.26001
"2020-12-29",141.710007,142.5,140.809998,141.289993,2890800,138.248245
"2020-12-30",141.759995,141.850006,139.440002,139.529999,2279600,136.526154
"2020-12-31",139.509995,141.720001,139.509995,141.460007,2696500,138.414612
"2021-01-04",141.460007,141.860001,138.190002,139.910004,4078900,136.89798
"2021-01-05",139.699997,140.679993,136.440002,136.679993,3532700,133.737503
"2021-01-06",136.880005,139.619995,135.580002,137.990005,3966900,135.019302
"2021-01-07",137.559998,138.990005,135.470001,135.770004,4984000,132.847092
"2021-01-08",135.320007,138.720001,135.320007,138.660004,6412400,135.674881
"2021-01-11",136.889999,139.679993,135.820007,136.059998,4036200,133.130829
"2021-01-12",136.059998,136.899994,132.860001,133.630005,3783900,130.753174
"2021-01-13",134.119995,135.259995,130.789993,130.940002,7738700,128.121094
"2021-01-14",131.440002,131.470001,128.789993,129.190002,11781500,126.408752
"2021-01-15",128.559998,130.419998,126,129.729996,6515200,126.937111
"2021-01-19",130.350006,130.839996,127.940002,128.059998,3886500,125.303078
"2021-01-20",128.619995,131.600006,127.559998,131.089996,3646800,128.267838
"2021-01-21",130.75,134,130.5,133.600006,4439400,130.723816
"2021-01-22",132.679993,132.919998,129.059998,129.080002,5505000,126.301117
"2021-01-25",128.880005,129.539993,125.879997,127.809998,5320100,125.058456
"2021-01-26",128.580002,129.720001,126.540001,128.160004,4343000,125.400932
"2021-01-27",126.709999,126.949997,121.879997,122.529999,6258900,119.892136
"2021-01-28",123.440002,127.260002,122.660004,125.32,4705900,122.62207
"2021-01-29",125.25,125.489998,123.129997,123.459999,4543700,120.802101
"2021-02-01",126.639999,130.259995,126,129.229996,6556100,126.447884
"2021-02-02",130.550003,134.970001,130,132.320007,4846900,129.471375
"2021-02-03",130.059998,133.369995,130.059998,131.570007,2480500,128.737534
"2021-02-04",132.399994,134.119995,132.160004,132.779999,2214200,129.921463
"2021-02-05",133.330002,134.610001,131.710007,132.229996,2829900,129.383301
"2021-02-08",133.279999,134.240005,131.550003,133.429993,3690700,130.55748
"2021-02-09",127,133.679993,125.610001,132.869995,7568000,130.009537
"2021-02-10",133.5,133.979996,131.419998,133.360001,4995200,130.488983
"2021-02-11",133.770004,135.5,133.070007,135.149994,4044900,132.240417
"2021-02-12",135.220001,136.630005,134.679993,135.600006,4128200,132.680771
"2021-02-16",136.240005,136.270004,132.399994,133.110001,5258700,130.24437
"2021-02-17",133.080002,133.619995,130.690002,132.990005,2604600,130.126968
"2021-02-18",131.970001,135,131.970001,134.259995,2736300,131.369614
"2021-02-19",134.289993,134.529999,130.899994,130.990005,5532700,128.170029
"2021-02-22",131.679993,136.029999,129.550003,135.529999,4368400,132.612259
"2021-02-23",135.710007,138.699997,135.300003,136.720001,5472000,133.776642
"2021-02-24",136.580002,141,136.059998,139.440002,6780400,136.438095
"2021-02-25",138.429993,140.990005,138,138.809998,4656200,135.821655
"2021-02-26",139.300003,139.690002,136.779999,138,4181800,135.029068
"2021-03-01",139.880005,141.199997,138.669998,139.600006,3529800,136.594635
"2021-03-02",138.320007,140.070007,137.610001,138.929993,4389600,135.939072
"2021-03-03",138.460007,139.610001,137.679993,138.929993,3516300,135.939072
"2021-03-04",139.050003,139.679993,135.589996,136.929993,5527100,133.982132
"2021-03-05",138.839996,141.910004,137.360001,141.139999,5338300,138.101471
"2021-03-08",142.570007,146.660004,141.809998,144.520004,5506400,141.408722
"2021-03-09",145.369995,146.289993,142.729996,142.839996,3961800,139.764893
"2021-03-10",143.179993,145.570007,141.830002,145.520004,4028900,142.387192
"2021-03-11",146,147.919998,145.039993,145.059998,3615000,142.318527
