"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"2020-07-01",122.290001,122.419998,120.300003,120.370003,1587300,116.157677
"2020-07-02",122.410004,122.809998,120.739998,121.239998,1624100,116.997215
"2020-07-06",122.959999,124.510002,122.879997,123.620003,1273300,119.29393
"2020-07-07",121.690002,124.360001,121.540001,122.620003,1920300,118.328941
"2020-07-08",123.07,123.599998,120.989998,122.860001,1818900,118.560532
"2020-07-09",122.470001,125.040001,121.040001,124.190002,1840900,119.843987
"2020-07-10",124.410004,125.080002,122.809998,124.5,1769000,120.14315
"2020-07-13",121.730003,122.93,116.459999,117.25,14320000,113.146851
"2020-07-14",116.190002,118.279999,113.809998,118.010002,6274100,113.880249
"2020-07-15",119.260002,119.360001,116.959999,117.900002,4159200,113.774109
"2020-07-16",116.720001,116.900002,114.910004,115.980003,4183100,111.921295
"2020-07-17",116.459999,117.169998,115.760002,116.75,2709200,112.664345
"2020-07-20",117.040001,117.849998,115.540001,117.059998,3532200,112.963493
"2020-07-21",117.290001,117.489998,113.889999,114.580002,5033300,110.570297
"2020-07-22",114.639999,115.010002,113.050003,113.879997,4271300,109.894783
"2020-07-23",113.559998,113.989998,110.470001,111.940002,4216300,108.022675
"2020-07-24",110.989998,113.970001,110.839996,112.209999,3736100,108.283226
"2020-07-27",113.120003,116.080002,112.910004,115.800003,3977500,111.747604
"2020-07-28",114.769997,115.989998,113.769997,115.43,4393700,111.390549
"2020-07-29",115.959999,117.760002,115.610001,117.529999,3944200,113.417053
"2020-07-30",114.739998,116.559998,114.169998,116.300003,3164100,112.230087
"2020-07-31",116.529999,116.529999,113.370003,114.849998,3293300,110.830841
"2020-08-03",115.870003,116.809998,115.110001,116.57,3068200,112.490631
"2020-08-04",116.370003,118.040001,116.120003,117.18,3310000,113.079308
"2020-08-05",116.580002,116.739998,114.93,116.169998,3115000,112.104645
"2020-08-06",116.110001,117.150002,115.07,116.739998,2299200,112.654686
"2020-08-07",116.870003,117.300003,115.519997,116.32,2110800,112.249397
"2020-08-10",116.239998,117.309998,115.459999,116.760002,3412000,112.673988
"2020-08-11",117.32,119.43,116.330002,116.559998,4316100,112.481003
"2020-08-12",117.199997,119.57,116.75,119.220001,3601900,115.04792
"2020-08-13",118.25,119.139999,117.550003,118.110001,2894300,113.976753
"2020-08-14",118.57,119.059998,117.07,117.18,2079800,113.079308
"2020-08-17",118.43,118.5,117.25,117.440002,2592400,113.3302
"2020-08-18",118.010002,118.690002,117.190002,117.879997,5718000,113.754807
"2020-08-19",118.5,119.470001,117.510002,118.150002,4722400,114.01535
"2020-08-20",117.720001,118.5,116.639999,117.449997,2866800,113.339844
"2020-08-21",117.07,117.230003,115.739998,116.019997,3055900,111.959892
"2020-08-24",117.209999,117.540001,116.220001,117.230003,2292200,113.127548
"2020-08-25",117.400002,120,117.400002,119.900002,3007000,115.704117
"2020-08-26",119.910004,121.25,118.980003,120.510002,3462600,116.292763
"2020-08-27",120.949997,120.970001,117.949997,119.040001,3055400,115.468262
"2020-08-28",119.129997,119.620003,118.290001,119.580002,2123100,115.992065
"2020-08-31",118.75,118.980003,116.800003,116.879997,2948000,113.373077
"2020-09-01",117.790001,118.870003,116.860001,118.760002,2787000,115.196671
"2020-09-02",119.129997,122.519997,118.75,121.830002,5158000,118.174561
"2020-09-03",121.349998,121.360001,116.760002,117.120003,5880300,113.605881
"2020-09-04",117.110001,118.389999,114.25,117.440002,3766400,113.916267
"2020-09-08",114.389999,116.239998,112.800003,112.93,5379100,109.541595
"2020-09-09",114.959999,116.25,114.209999,115.459999,3698400,111.995674
"2020-09-10",115.809998,116.849998,113.669998,114.269997,2403800,110.841393
"2020-09-11",115.120003,115.790001,112.5,113.800003,2361900,110.38549
"2020-09-14",115.779999,115.779999,113.690002,114.620003,2350500,111.180901
"2020-09-15",115.519997,116.980003,115.150002,116.059998,2237300,112.577667
"2020-09-16",117.010002,117.730003,115.440002,115.559998,2476800,112.092674
"2020-09-17",112.809998,115.629997,112.599998,115.489998,2537800,112.024788
"2020-09-18",116.040001,116.300003,114.089996,114.910004,5849900,111.462189
"2020-09-21",112.970001,114.040001,111.879997,113.93,3282100,110.511589
"2020-09-22",114.139999,114.75,112.910004,114.699997,2220100,111.258484
"2020-09-23",114.889999,115.629997,112.18,112.5,3149800,109.124504
"2020-09-24",111.989998,114.32,111.459999,112.68,2255500,109.299088
"2020-09-25",111.769997,113.660004,110.660004,113.480003,2293600,110.075089
"2020-09-28",115.32,117.07,114.769997,117.059998,2071500,113.547668
"2020-09-29",115.989998,117.940002,115.839996,116.650002,2293900,113.149979
"2020-09-30",116.709999,118.25,116.209999,116.739998,3185100,113.237274
"2020-10-01",118.980003,119.639999,117.370003,118.989998,3092800,115.419769
"2020-10-02",116.5,117.949997,114,114.010002,3172700,110.589203
"2020-10-05",115.360001,116.690002,114.970001,116.599998,4414000,113.101486
"2020-10-06",115.959999,118.93,115.029999,115.540001,3773000,112.07328
"2020-10-07",117.099998,118.980003,115.790001,118.669998,4256000,115.10936
"2020-10-08",119.93,121.099998,119.290001,120.339996,3992900,116.729256
"2020-10-09",122.330002,124.410004,121.760002,123.330002,3984700,119.629555
"2020-10-12",124.720001,126.32,124.010002,126.110001,3053000,122.326126
"2020-10-13",126.349998,126.489998,123.32,123.589996,2439600,119.881744
"2020-10-14",123.709999,124.190002,122.489998,123.040001,1494900,119.348259
"2020-10-15",121.440002,124.559998,120.900002,123.980003,2033100,120.260048
"2020-10-16",124.75,125.82,123.540001,123.639999,2232500,119.930229
"2020-10-19",124.620003,125.260002,122.330002,122.610001,2390800,118.931145
"2020-10-20",122.959999,124.519997,122.489998,123.620003,2898400,119.910843
"2020-10-21",124.080002,125.809998,123,124.760002,3992800,121.016647
"2020-10-22",124.559998,125.139999,122.919998,124.75,2070400,121.006943
"2020-10-23",125.220001,125.650002,123.449997,124.199997,2304100,120.473442
"2020-10-26",123.379997,123.650002,119.809998,121.129997,2186200,117.495552
"2020-10-27",121.589996,122.199997,120.230003,120.290001,2475100,116.680756
"2020-10-28",118.900002,119.540001,116.199997,116.470001,3387200,112.97538
"2020-10-29",116.230003,119.449997,115.639999,118.480003,2680200,114.925072
"2020-10-30",117.309998,118.660004,116.330002,118.529999,3099200,114.973564
"2020-11-02",120.139999,120.139999,117.620003,118.480003,2445300,114.925072
"2020-11-03",119.5,121.309998,119.269997,119.75,2549900,116.15696
"2020-11-04",122.389999,126.379997,121.019997,125.940002,3765300,122.161232
"2020-11-05",127.449997,130.949997,126.860001,130.399994,3752900,126.487411
"2020-11-06",130.979996,133.779999,130,133.5,3814600,129.4944
"2020-11-09",138.559998,140.380005,135.699997,135.820007,5150800,131.744797
"2020-11-10",135,136.860001,133.899994,134.779999,4742600,130.735977
"2020-11-11",135.559998,138.639999,135.559998,137.380005,2515200,133.257996
"2020-11-12",137.350006,137.690002,134.389999,135.479996,2013500,131.414978
"2020-11-13",137.429993,137.929993,135.679993,136.270004,2220300,132.18129
"2020-11-16",137.779999,140.169998,136.809998,138.009995,3433200,133.869064
"2020-11-17",136.990005,137.460007,135.149994,135.869995,2978000,131.793304
"2020-11-18",135.949997,136.509995,132.970001,133.229996,2359100,129.232498
"2020-11-19",131.660004,136.229996,131.5,136.169998,2473900,132.08429
"2020-11-20",136.619995,136.910004,134.679993,134.880005,2295000,130.833008
"2020-11-23",135.279999,137.339996,135.179993,137.070007,2881900,132.957306
"2020-11-24",137.690002,137.919998,132.839996,136.889999,4677800,132.782684
"2020-11-25",136.610001,137.949997,134.960007,135.949997,2040200,131.87088
"2020-11-27",138.119995,138.550003,137.240005,137.75,1305700,133.616882
"2020-11-30",137.649994,139.320007,137.100006,139.080002,3010400,134.906952
"2020-12-01",140,141.910004,138.809998,140.729996,3161000,136.507462
"2020-12-02",140.710007,141.639999,140.070007,140.660004,2193000,136.43959
"2020-12-03",140.580002,141.419998,139.330002,139.75,1734100,136.157028
"2020-12-04",139.75,144.139999,139.210007,143.970001,3349100,140.268524
"2020-12-07",144.679993,144.679993,142.5,143.710007,1734400,140.015213
"2020-12-08",143.25,146.309998,143.210007,146.130005,2837400,142.373001
"2020-12-09",145.399994,146.309998,140.910004,141.779999,3019500,138.134842
"2020-12-10",140.570007,142.669998,140.139999,141.279999,2704300,137.647675
"2020-12-11",140.039993,142.059998,139.490005,141.149994,3216000,137.521011
"2020-12-14",142.059998,143.929993,141.660004,142.330002,2214400,138.67067
"2020-12-15",145.259995,145.259995,143.490005,144.059998,2554500,140.356201
"2020-12-16",144.759995,144.759995,141.570007,142.800003,1583100,139.128601
"2020-12-17",143.550003,143.869995,142.610001,143.779999,2354200,140.083389
"2020-12-18",144.380005,145,143.440002,144.559998,4230700,140.843353
