"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume","DLR.Adjusted"
"2020-08-17",153.339996,157,153.309998,156.520004,1098600,146.646164
"2020-08-18",156.550003,157.199997,154.809998,156.460007,762300,146.589966
"2020-08-19",157.199997,157.330002,151.410004,151.979996,1185400,142.392563
"2020-08-20",151.479996,156.039993,151.119995,155.149994,1055300,145.362564
"2020-08-21",155.759995,155.759995,152.779999,154.559998,757100,144.809814
"2020-08-24",154.25,154.740005,150.309998,152.850006,844400,143.207703
"2020-08-25",153.929993,155.809998,152.669998,154.75,1312800,144.987823
"2020-08-26",153.759995,154.089996,152.339996,153.960007,815600,144.247665
"2020-08-27",154.669998,155.580002,153.449997,153.699997,870000,144.004074
"2020-08-28",153.949997,154.350006,151.619995,154.289993,1049000,144.556824
"2020-08-31",154.910004,157,154.470001,155.649994,1328200,145.831039
"2020-09-01",155.110001,155.240005,152.100006,153.559998,735500,143.872879
"2020-09-02",152.339996,155.240005,151.309998,155,2040800,145.222031
"2020-09-03",154.770004,155.460007,146.660004,148.160004,1350000,138.813568
"2020-09-04",148.199997,148.990005,142.029999,145.179993,2312300,136.02153
"2020-09-08",144.600006,145.460007,140.339996,144.309998,2021800,135.206406
"2020-09-09",145.619995,149.759995,145.190002,147.580002,2120200,138.270142
"2020-09-10",147.110001,148.539993,145.449997,145.630005,928100,136.443161
"2020-09-11",146.580002,147.470001,145.110001,145.600006,1532200,136.415054
"2020-09-14",145.009995,146.339996,143.220001,144.279999,1745700,136.226227
"2020-09-15",144.860001,148.470001,144.839996,147.279999,1881900,139.058746
"2020-09-16",150,152.979996,149.369995,150.429993,2125400,142.032913
"2020-09-17",148.830002,149.690002,145.539993,146.729996,1855000,138.539444
"2020-09-18",145.690002,147.080002,144.029999,144.880005,2608700,136.792725
"2020-09-21",144.320007,144.649994,141.350006,141.860001,2085400,133.941315
"2020-09-22",141.600006,144.970001,141.089996,143.410004,1770700,135.404785
"2020-09-23",142.449997,143.25,138.710007,139.190002,2067300,131.420349
"2020-09-24",139.529999,143.110001,139.479996,141.25,1166500,133.365372
"2020-09-25",141.25,142.080002,139.75,142.020004,1225500,134.092377
"2020-09-28",144.179993,146.139999,143.839996,145.940002,1414600,137.793549
"2020-09-29",146,148.169998,145.740005,147.520004,1017500,139.285355
"2020-09-30",148.139999,148.789993,145.440002,146.759995,1656400,138.56778
"2020-10-01",146.889999,148.25,145.199997,147.25,1482900,139.030426
"2020-10-02",146.399994,149.779999,145.399994,149.350006,1726000,141.013199
"2020-10-05",149.070007,152.419998,147.139999,151.979996,1339300,143.496384
"2020-10-06",151.979996,153.479996,150.179993,153.029999,1222200,144.487778
"2020-10-07",153.580002,154.199997,152.190002,152.580002,1438100,144.062897
"2020-10-08",153.259995,158,153.139999,156.850006,1000800,148.094543
"2020-10-09",157.589996,158.699997,156.820007,158.339996,1205400,149.501358
"2020-10-12",158.270004,159.580002,156.929993,159.059998,1320700,150.181168
"2020-10-13",158.619995,159.509995,157.410004,157.979996,1120200,149.161484
"2020-10-14",157.990005,158.279999,155.389999,156.360001,1044500,147.631897
"2020-10-15",155.589996,158.660004,155,156.669998,1038600,147.924591
"2020-10-16",156.539993,158.990005,155.889999,157.699997,1336500,148.89711
"2020-10-19",158.160004,158.699997,154.529999,155.179993,1021000,146.517776
"2020-10-20",155.770004,156.639999,154.520004,155.600006,705900,146.914322
"2020-10-21",154.619995,156.389999,153.729996,154.869995,1025100,146.225067
"2020-10-22",154.789993,155,151.960007,152.300003,1223600,143.798538
"2020-10-23",152.5,152.869995,150.25,152.600006,743000,144.081802
"2020-10-26",151.759995,152.729996,150.460007,152.669998,878900,144.147873
"2020-10-27",152.979996,153.559998,150.660004,150.660004,737700,142.250076
"2020-10-28",148.729996,151.160004,148.160004,149.880005,995500,141.513611
"2020-10-29",149.869995,150.330002,147.559998,148.720001,1118100,140.418381
"2020-10-30",147.580002,147.580002,140.910004,144.300003,1855300,136.245087
"2020-11-02",146.259995,148.289993,145,145.949997,1175800,137.802994
"2020-11-03",147.479996,147.910004,145.339996,145.889999,1404600,137.746323
"2020-11-04",146.5,151.229996,146.160004,148.009995,2445200,139.748001
"2020-11-05",150.529999,151.399994,147.410004,147.509995,1874500,139.275909
"2020-11-06",148.339996,148.339996,146.429993,146.679993,2211100,138.492233
"2020-11-09",149.869995,150.830002,138,138.220001,3239100,130.504486
"2020-11-10",138.559998,138.949997,134.419998,135.820007,2867600,128.238449
"2020-11-11",138.190002,141.690002,137.270004,140.990005,2579100,133.119858
"2020-11-12",141.399994,142.610001,140.149994,141.399994,1263300,133.506973
"2020-11-13",142.610001,144.990005,141.009995,144.649994,1500900,136.575562
"2020-11-16",145,145.149994,140.410004,142,1875600,134.073486
"2020-11-17",141.860001,143.279999,140.389999,142.419998,1131600,134.470047
"2020-11-18",142.229996,145.110001,141.660004,142.399994,1812200,134.451157
"2020-11-19",141.970001,143.449997,140.410004,143,1229600,135.01767
"2020-11-20",143,144.320007,142.009995,142.699997,1457800,134.734421
"2020-11-23",142.649994,143.970001,139.729996,139.970001,1230700,132.156799
"2020-11-24",139.75,140.440002,131.910004,132.600006,3999800,125.198212
"2020-11-25",133.949997,135.940002,132.710007,135.75,3046600,128.172363
"2020-11-27",136.279999,136.820007,135.210007,136.729996,487100,129.097656
"2020-11-30",137,137.070007,134.270004,134.75,2116500,127.228157
"2020-12-01",135.839996,137.75,134.789993,135.130005,2106100,127.586967
"2020-12-02",134.75,135.220001,132.080002,132.160004,1680000,124.782761
"2020-12-03",133.649994,135.350006,133.020004,133.649994,1672800,126.189583
"2020-12-04",133.770004,135.800003,132.710007,135.470001,1805600,127.908005
"2020-12-07",135.229996,137.559998,134.789993,135.229996,1556900,127.681396
"2020-12-08",135.369995,136.389999,133.080002,133.369995,1927900,125.925209
"2020-12-09",133.449997,133.610001,129.720001,129.75,2580200,122.507278
"2020-12-10",130,131.169998,128.679993,129.660004,2774900,122.42231
"2020-12-11",129.220001,130.880005,128,130.270004,1767000,122.998253
"2020-12-14",129.160004,131.059998,128,128.089996,1847600,121.988747
"2020-12-15",128.270004,129.199997,126.790001,128.800003,2529300,122.66494
"2020-12-16",129.240005,130.779999,128.039993,129.580002,1494600,123.407784
"2020-12-17",130.199997,134.910004,130.199997,133.929993,2303000,127.550575
"2020-12-18",134.070007,134.949997,132.190002,134.020004,5403600,127.636292
"2020-12-21",131.979996,134.740005,131.279999,134.649994,2065700,128.236267
"2020-12-22",134.339996,138.600006,134.190002,138.539993,2023300,131.940994
"2020-12-23",139.229996,139.960007,136.789993,136.789993,1959300,130.274353
"2020-12-24",136.880005,138.169998,136.529999,137.429993,460100,130.883865
"2020-12-28",137.720001,138.880005,137.369995,138.610001,1140600,132.007645
"2020-12-29",139,139.570007,137.720001,138,1009200,131.426712
"2020-12-30",138.210007,139.779999,137.720001,138.350006,1032800,131.76004
"2020-12-31",138.190002,139.720001,137,139.509995,1019000,132.864792
"2021-01-04",139.990005,139.990005,135.089996,135.289993,1858100,128.845779
"2021-01-05",135.429993,136.279999,132.880005,132.960007,1614000,126.626793
"2021-01-06",132.130005,132.820007,130.059998,132.110001,1823800,125.817245
"2021-01-07",131.899994,134.160004,131.600006,133.610001,2187100,127.245827
"2021-01-08",133.509995,134.899994,132.009995,133.600006,2341500,127.236313
"2021-01-11",133.179993,133.369995,129.570007,131.270004,1917500,125.017273
"2021-01-12",130.990005,131.919998,130.050003,131.509995,1748700,125.245842
"2021-01-13",131.75,133.600006,131.75,133.149994,1272800,126.807724
"2021-01-14",132.940002,134.210007,131.630005,133.449997,1442200,127.093452
"2021-01-15",133.100006,136.649994,132.699997,136.479996,1762600,129.979111
"2021-01-19",139.199997,139.259995,137.080002,137.990005,1622100,131.417191
"2021-01-20",137.990005,141.419998,137.139999,140.720001,1814000,134.017166
"2021-01-21",140.009995,141.539993,139.139999,141.220001,1459500,134.493332
"2021-01-22",140.669998,142.039993,140.149994,140.460007,1109700,133.769531
"2021-01-25",141.039993,143.75,140.610001,142.630005,1651800,135.836166
"2021-01-26",142.289993,146,141.860001,145.850006,1167100,138.902817
"2021-01-27",145.360001,149.690002,144,149.169998,2866100,142.064636
