"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2020-09-16",30.879999,33.880001,30.6,32.91,3570800,30.975075
"2020-09-17",32.060001,33.82,31.809999,33.790001,3290200,31.803335
"2020-09-18",33.490002,34,32.990002,33.77,4801000,31.784508
"2020-09-21",32.549999,32.790001,31.030001,32.080002,2850900,30.193878
"2020-09-22",32.369999,33.099998,30.940001,31.610001,2702700,29.751509
"2020-09-23",31.610001,32.02,29.860001,29.9,2398000,28.142044
"2020-09-24",29.870001,30.93,28.85,29.99,2031200,28.226753
"2020-09-25",29.6,30.139999,28.84,29.9,3254500,28.142044
"2020-09-28",30.809999,32.029999,30.66,31.49,2581200,29.638561
"2020-09-29",31.07,31.309999,30.26,31.200001,2002600,29.365614
"2020-09-30",31.32,31.77,29.99,30.120001,2935100,28.349113
"2020-10-01",30.01,30.01,28.59,29.09,4321700,27.379671
"2020-10-02",28.17,30.969999,28.049999,30.469999,3746800,28.678535
"2020-10-05",31,31.280001,30.23,30.870001,2377900,29.055017
"2020-10-06",31.629999,32.43,29.030001,29.209999,3605300,27.492615
"2020-10-07",29.65,29.870001,28.92,29.469999,3222600,27.737329
"2020-10-08",29.85,31.15,29.5,31.120001,2542400,29.290321
"2020-10-09",31.5,31.860001,30.42,30.690001,2767900,28.885601
"2020-10-12",30.34,31.52,29.57,31.200001,1891700,29.365614
"2020-10-13",30.83,31.450001,30.379999,30.41,1866100,28.622059
"2020-10-14",30.690001,32.389999,30.48,30.49,2691400,28.697357
"2020-10-15",29.91,30.629999,29.209999,30.629999,2778900,28.829128
"2020-10-16",30.52,30.59,29.200001,29.290001,2778000,27.567911
"2020-10-19",29.68,29.690001,28.01,28.040001,4017700,26.391407
"2020-10-20",28.389999,29.08,27.58,28.450001,2940000,26.777298
"2020-10-21",28.209999,28.440001,27.51,27.709999,3020000,26.080803
"2020-10-22",27.77,29.4,27.690001,29.17,3398000,27.454967
"2020-10-23",29.299999,29.66,28.629999,29.030001,2758800,27.323198
"2020-10-26",28.540001,28.74,27.24,27.530001,2738100,25.91139
"2020-10-27",27.35,27.440001,26.450001,26.57,4581200,25.00783
"2020-10-28",25.5,26.07,24.51,24.6,5808200,23.15366
"2020-10-29",24,25.629999,23.629999,25.540001,4695000,24.038393
"2020-10-30",25.389999,25.99,24.85,25.959999,3394700,24.433695
"2020-11-02",26.450001,28.209999,25.43,27.709999,4311300,26.080803
"2020-11-03",28.709999,29.469999,27.85,28.120001,4269200,26.466702
"2020-11-04",28.040001,28.83,26.9,27.120001,3972000,25.525496
"2020-11-05",27.299999,27.83,26.16,26.200001,3870000,24.659586
"2020-11-06",26.08,26.35,24.57,24.74,4655900,23.285423
"2020-11-09",28.25,33.599998,28.01,32.400002,10946900,30.49506
"2020-11-10",33.439999,33.799999,31.5,33.73,5136900,32.11861
"2020-11-11",34.099998,34.23,32.48,32.849998,4373600,31.280645
"2020-11-12",31.799999,33.240002,31.139999,31.66,2862200,30.147499
"2020-11-13",32.150002,34.200001,32.130001,33.599998,3066800,31.994814
"2020-11-16",35.450001,36.310001,35.09,35.93,4228600,34.213509
"2020-11-17",35.02,37.360001,34.700001,37.310001,3521400,35.52758
"2020-11-18",37.75,39.849998,37.119999,37.740002,5090200,35.937038
"2020-11-19",37.080002,39.650002,36.459999,39.439999,6155600,37.55582
"2020-11-20",39.389999,40,38.599998,39.84,3236500,37.936714
"2020-11-23",40.73,44.790001,40.599998,44.490002,5003500,42.364571
"2020-11-24",46.529999,47.25,45,47.139999,5386400,44.887966
"2020-11-25",46.310001,47.150002,44.189999,45.389999,4276800,43.221569
"2020-11-27",44.610001,44.75,42.5,43.52,3677400,41.44091
"2020-11-30",42.810001,43.290001,39.779999,39.959999,16587200,38.050983
"2020-12-01",41.52,41.93,39.540001,39.849998,4307200,37.946232
"2020-12-02",39.59,42.360001,39.299999,40.52,4252800,38.584229
"2020-12-03",41.080002,42.580002,40.599998,41.91,3509900,39.907825
"2020-12-04",43.099998,47.389999,43.099998,47.220001,6387500,44.964149
"2020-12-07",46.389999,47.150002,45.139999,45.639999,3446900,43.459625
"2020-12-08",45.009998,46.98,44.720001,46.139999,3125200,43.935741
"2020-12-09",46.77,48.32,46.139999,47.330002,4312000,45.068893
"2020-12-10",47.119999,51.18,47.119999,49.939999,4896100,47.554199
"2020-12-11",50.07,50.290001,48.75,50.110001,2533300,47.716084
"2020-12-14",51.310001,51.529999,46.91,46.950001,3596800,44.707043
"2020-12-15",47.849998,48.630001,46.220001,48.16,2919900,45.859234
"2020-12-16",48.450001,48.5,47.009998,47.650002,2818500,45.373604
"2020-12-17",48.189999,48.27,46.57,47.389999,2430500,45.126022
"2020-12-18",46.98,47.77,45.380001,45.84,6740600,43.650074
"2020-12-21",42.259998,45.240002,42,45.02,6601700,42.869247
