"","MOH.Open","MOH.High","MOH.Low","MOH.Close","MOH.Volume","MOH.Adjusted"
"2020-12-09",215.759995,216.360001,207.580002,209.759995,240100,209.759995
"2020-12-10",209.75,209.75,203.389999,204.690002,369500,204.690002
"2020-12-11",204.380005,205.880005,199.669998,200.179993,387100,200.179993
"2020-12-14",202.490005,203.880005,198.389999,199.679993,287200,199.679993
"2020-12-15",201.369995,204.039993,200.339996,204.039993,242000,204.039993
"2020-12-16",205.619995,205.619995,199,200.649994,228900,200.649994
"2020-12-17",201.449997,205.320007,200.649994,203.649994,281300,203.649994
"2020-12-18",204.860001,204.860001,199.399994,201.960007,977700,201.960007
"2020-12-21",198.289993,202.419998,196.080002,202.160004,215600,202.160004
"2020-12-22",201.330002,206.830002,200.729996,205.729996,266400,205.729996
"2020-12-23",207.399994,210.259995,205.910004,208.490005,202800,208.490005
"2020-12-24",207.960007,208.860001,205.929993,207.100006,58600,207.100006
"2020-12-28",208.5,209.229996,205.440002,206.520004,138900,206.520004
"2020-12-29",207.880005,209.380005,205.800003,207.339996,183800,207.339996
"2020-12-30",206.880005,209.720001,206.169998,206.759995,151900,206.759995
"2020-12-31",207.740005,213.509995,207.229996,212.679993,216800,212.679993
"2021-01-04",214.979996,216.910004,210.979996,216.080002,357700,216.080002
"2021-01-05",215.710007,219.990005,215.229996,215.949997,211500,215.949997
"2021-01-06",214.380005,236.690002,214.300003,235.729996,585400,235.729996
"2021-01-07",236.320007,243.779999,236.320007,242.050003,340500,242.050003
"2021-01-08",241.660004,246.720001,238.729996,243.100006,253500,243.100006
"2021-01-11",241.860001,244.850006,238.509995,241.800003,232800,241.800003
"2021-01-12",240.529999,243.050003,236.919998,237.889999,259700,237.889999
"2021-01-13",236.850006,236.850006,228.050003,228.589996,331800,228.589996
"2021-01-14",228.220001,234.100006,223.009995,223.759995,402100,223.759995
"2021-01-15",222.009995,224.419998,218.460007,220.740005,255500,220.740005
"2021-01-19",223.820007,224.460007,217.860001,219.100006,348900,219.100006
"2021-01-20",218.710007,223.440002,217.139999,222.630005,290800,222.630005
"2021-01-21",221.720001,224.570007,218.929993,222.309998,385200,222.309998
"2021-01-22",222.130005,224.089996,218.009995,223.119995,257600,223.119995
"2021-01-25",223.839996,228.149994,222.270004,224.839996,330500,224.839996
"2021-01-26",227.419998,228.75,219.220001,219.320007,275500,219.320007
"2021-01-27",215,217.570007,211.789993,216.929993,401500,216.929993
"2021-01-28",218.929993,221.919998,216.199997,218.470001,293700,218.470001
"2021-01-29",217.779999,217.779999,211.460007,213.610001,534900,213.610001
"2021-02-01",214.809998,215.669998,212.490005,214.110001,328300,214.110001
"2021-02-02",217.320007,219.229996,211.800003,212.059998,294000,212.059998
"2021-02-03",212.580002,215.270004,208.660004,210.899994,349000,210.899994
"2021-02-04",211.309998,211.440002,205.779999,206.649994,261900,206.649994
"2021-02-05",210.020004,210.020004,200.699997,204.699997,702100,204.699997
"2021-02-08",206.679993,206.679993,199.809998,202.539993,594800,202.539993
"2021-02-09",202.399994,209.949997,202.399994,206.009995,422400,206.009995
"2021-02-10",207.570007,208.399994,203.850006,206.199997,481600,206.199997
"2021-02-11",203.470001,222.389999,202.649994,216.259995,901600,216.259995
"2021-02-12",213.619995,217.320007,205.610001,216.279999,833700,216.279999
"2021-02-16",216.210007,220,213.889999,215.429993,344800,215.429993
"2021-02-17",215.199997,218.360001,214.190002,216.899994,298700,216.899994
"2021-02-18",216.369995,217.880005,212.270004,216.110001,275900,216.110001
"2021-02-19",219.990005,221.759995,216.029999,220.830002,381600,220.830002
"2021-02-22",219.440002,224.619995,217.330002,224.350006,306600,224.350006
"2021-02-23",223.789993,227.880005,221.529999,225.139999,277300,225.139999
"2021-02-24",224.050003,226.869995,222.990005,226.020004,228900,226.020004
"2021-02-25",225.149994,226.809998,216.389999,218.759995,240600,218.759995
"2021-02-26",219.789993,221.940002,214.970001,216.759995,376300,216.759995
"2021-03-01",219.059998,225.589996,219.059998,222.240005,227200,222.240005
"2021-03-02",221.429993,224.119995,219.899994,222.860001,255500,222.860001
"2021-03-03",220.869995,221.610001,211.440002,212.089996,347000,212.089996
"2021-03-04",210.679993,217.419998,209.220001,210.100006,379000,210.100006
"2021-03-05",212.009995,220.5,209.410004,219.550003,313700,219.550003
"2021-03-08",219.570007,221.070007,216.830002,217.240005,297100,217.240005
"2021-03-09",219.720001,224.960007,217.350006,218.089996,259700,218.089996
"2021-03-10",224.490005,224.550003,220.619995,223.470001,463300,223.470001
"2021-03-11",224.809998,229.600006,224.449997,229.089996,340300,229.089996
"2021-03-12",227.979996,232.679993,227.979996,232.490005,357300,232.490005
"2021-03-15",232.75,236.770004,230.559998,234.020004,344900,234.020004
"2021-03-16",234.330002,234.960007,229.860001,233.839996,326400,233.839996
"2021-03-17",234.660004,234.960007,225.589996,227.050003,352600,227.050003
"2021-03-18",225.589996,232.25,225.559998,230.119995,263200,230.119995
"2021-03-19",231.449997,235.600006,228.649994,233.169998,719500,233.169998
"2021-03-22",233.550003,235.699997,231.119995,234.479996,284600,234.479996
"2021-03-23",233.949997,236.25,231.559998,234.710007,313900,234.710007
"2021-03-24",234.770004,238.130005,234.770004,235.100006,225300,235.100006
"2021-03-25",235.330002,235.330002,230.529999,234.039993,236900,234.039993
"2021-03-26",235.179993,235.179993,231.429993,234.190002,299400,234.190002
"2021-03-29",234.669998,239.929993,232.970001,233.279999,236800,233.279999
"2021-03-30",234.130005,237.529999,233.559998,235.199997,254500,235.199997
"2021-03-31",235.220001,237.720001,233.720001,233.759995,349500,233.759995
"2021-04-01",233.770004,236.839996,231.259995,235.479996,300900,235.479996
"2021-04-05",236.520004,237.199997,233.779999,236.720001,233200,236.720001
"2021-04-06",237.419998,237.419998,232.669998,233.339996,235100,233.339996
"2021-04-07",233.350006,233.929993,229.979996,231.309998,230600,231.309998
"2021-04-08",232.050003,233.309998,229.690002,230.669998,224200,230.669998
"2021-04-09",231.809998,241.330002,229.809998,240.979996,353500,240.979996
"2021-04-12",240.580002,245.470001,239.300003,240.850006,321900,240.850006
"2021-04-13",240.759995,245.399994,240.589996,242.440002,232400,242.440002
"2021-04-14",243.179993,246.479996,242.899994,244.160004,193600,244.160004
"2021-04-15",245.470001,250.570007,245.470001,249.029999,176800,249.029999
"2021-04-16",250.360001,251.860001,248.240005,250.300003,237800,250.300003
"2021-04-19",249.149994,255.490005,248.839996,254.669998,298900,254.669998
"2021-04-20",253.550003,257.679993,249.830002,252.490005,406900,252.490005
"2021-04-21",254.149994,255.080002,250.990005,254.429993,239600,254.429993
"2021-04-22",253.929993,254.360001,249.899994,253.160004,175400,253.160004
"2021-04-23",254.029999,256.01001,251.720001,255.440002,196000,255.440002
"2021-04-26",256.579987,256.579987,253.279999,253.529999,262400,253.529999
"2021-04-27",251.440002,252.619995,247.839996,250.830002,346100,250.830002
"2021-04-28",251.830002,255.789993,247.75,248.660004,316100,248.660004
"2021-04-29",252,261.5,249.800003,253.770004,363600,253.770004
"2021-04-30",254.830002,256.119995,249.619995,255.100006,269500,255.100006
"2021-05-03",254.820007,259.630005,253.410004,256.230011,311900,256.230011
"2021-05-04",256,265.049988,256,264.609985,262400,264.609985
"2021-05-05",264.76001,265.399994,259.880005,262.980011,202200,262.980011
"2021-05-06",263.299988,267.179993,261.160004,263.619995,260400,263.619995
"2021-05-07",262.970001,268.98999,262.059998,267.839996,274700,267.839996
"2021-05-10",269.140015,273.01001,267.440002,268.73999,224700,268.73999
"2021-05-11",267.619995,268.269989,261.859985,263.029999,221900,263.029999
"2021-05-12",260.980011,262.230011,256.589996,257.01001,282900,257.01001
"2021-05-13",257.480011,265.980011,257.480011,265.040009,368600,265.040009
"2021-05-14",266.690002,267.190002,259.820007,260.480011,236400,260.480011
"2021-05-17",258.880005,262.73999,257.309998,262.049988,133900,262.049988
"2021-05-18",262.309998,263.339996,258.48999,261.75,253500,261.75
"2021-05-19",258.26001,259.23999,252.080002,258.5,338100,258.5
"2021-05-20",259.070007,259.980011,255.550003,256.23999,349200,256.23999
"2021-05-21",256.380005,260.01001,255.529999,256.5,459400,256.5
"2021-05-24",256.890015,257.540009,252.910004,254,315100,254
"2021-05-25",254.050003,255.929993,250.679993,253,696300,253
"2021-05-26",254.130005,254.130005,248.399994,251.619995,445800,251.619995
"2021-05-27",252.710007,252.710007,248.419998,250.279999,429800,250.279999
"2021-05-28",251.339996,253.740005,249.419998,251.360001,171100,251.360001
"2021-06-01",252.5,252.5,246.899994,249.100006,310900,249.100006
"2021-06-02",250.490005,250.490005,246.720001,248.929993,313100,248.929993
"2021-06-03",248.919998,252.25,247.110001,250.369995,277900,250.369995
"2021-06-04",251.089996,251.990005,247.970001,249,160100,249
"2021-06-07",250.050003,250.050003,244.759995,245.199997,279500,245.199997
"2021-06-08",245.910004,252.839996,245.910004,252.240005,259400,252.240005
"2021-06-09",252.970001,252.970001,248.179993,248.350006,192000,248.350006
"2021-06-10",249.119995,253.779999,249.119995,250.839996,301200,250.839996
"2021-06-11",251.559998,253.110001,246.570007,248.389999,379800,248.389999
"2021-06-14",248.389999,248.389999,239.199997,243.610001,397200,243.610001
"2021-06-15",244.5,250.619995,242.169998,247.880005,252800,247.880005
"2021-06-16",248.309998,249.830002,243.139999,243.339996,275700,243.339996
"2021-06-17",242.979996,251.360001,241.740005,249.779999,422500,249.779999
"2021-06-18",248,248.990005,239.300003,239.539993,654900,239.539993
"2021-06-21",240.830002,247.259995,239.940002,246.399994,481800,246.399994
"2021-06-22",246.350006,248.339996,243.649994,246.289993,372800,246.289993
"2021-06-23",246.5,249.639999,244.789993,248.490005,322600,248.490005
"2021-06-24",250.580002,253.199997,248.130005,249.660004,280900,249.660004
"2021-06-25",249.809998,256.880005,248.529999,254.649994,1056700,254.649994
"2021-06-28",255.089996,255.130005,251.660004,254.029999,184900,254.029999
"2021-06-29",254.809998,259.029999,254.589996,256.829987,288300,256.829987
"2021-06-30",256.929993,256.929993,252.429993,253.059998,297800,253.059998
"2021-07-01",253.860001,256.529999,253.050003,256.049988,216300,256.049988
"2021-07-02",256.450012,259.130005,254.360001,257,162000,257
"2021-07-06",255.070007,256.970001,252.899994,255.660004,134300,255.660004
"2021-07-07",255.350006,257.200012,252.289993,256.730011,319400,256.730011
"2021-07-08",253.960007,254.679993,250.869995,253.470001,228900,253.470001
"2021-07-09",255.440002,258.600006,254.029999,257.25,191400,257.25
"2021-07-12",257,258.579987,256.029999,257.709991,144600,257.709991
"2021-07-13",256.880005,258.929993,256.730011,257.049988,111400,257.049988
"2021-07-14",257.809998,258.75,255.029999,255.100006,234400,255.100006
"2021-07-15",253.600006,262.130005,251.529999,260.76001,318500,260.76001
"2021-07-16",261.769989,262.299988,255.779999,257.130005,188000,257.130005
"2021-07-19",255,257.079987,249,250.139999,191400,250.139999
"2021-07-20",251.710007,258.070007,251.710007,254.210007,309900,254.210007
"2021-07-21",256.540009,257.220001,253.259995,256.5,281700,256.5
"2021-07-22",257.820007,259.519989,254.470001,257.570007,138800,257.570007
"2021-07-23",258.290009,261.609985,256.040009,261.200012,150700,261.200012
"2021-07-26",260.75,261.320007,253.839996,257.829987,193600,257.829987
"2021-07-27",256.850006,260.440002,254.080002,260.320007,253000,260.320007
"2021-07-28",259.359985,261.290009,256.140015,259.170013,293700,259.170013
"2021-07-29",258.350006,258.350006,243.320007,255.210007,546000,255.210007
"2021-07-30",256.570007,273.320007,255.550003,273.01001,480600,273.01001
"2021-08-02",272.899994,274.940002,269.320007,274.25,845900,274.25
"2021-08-03",276,277.670013,273.100006,277.450012,508000,277.450012
"2021-08-04",276.820007,283.429993,276.48999,278.790009,478200,278.790009
"2021-08-05",277.880005,280,262.130005,268.640015,258400,268.640015
"2021-08-06",268.579987,269.890015,263.119995,265.059998,248100,265.059998
"2021-08-09",265.160004,267,258.73999,261.25,290500,261.25
"2021-08-10",261,261,255.610001,256.040009,222000,256.040009
"2021-08-11",255.529999,255.550003,249.020004,249.770004,234900,249.770004
"2021-08-12",249.589996,250.850006,246.789993,247.539993,168400,247.539993
"2021-08-13",247.309998,249.330002,244.75,248.279999,164600,248.279999
"2021-08-16",247.169998,253.979996,245.720001,253.320007,179400,253.320007
"2021-08-17",253.529999,260.350006,252.770004,259.920013,218700,259.920013
"2021-08-18",259.899994,259.899994,253.139999,253.270004,235400,253.270004
"2021-08-19",251.600006,263.309998,250.119995,263,218400,263
"2021-08-20",264.459991,267.25,262.01001,266.98999,206100,266.98999
"2021-08-23",268.329987,268.329987,261.329987,262.820007,159100,262.820007
"2021-08-24",264.579987,267.880005,261.890015,267.640015,157100,267.640015
"2021-08-25",265.950012,269.359985,264.859985,264.880005,174500,264.880005
"2021-08-26",264.579987,266.359985,261.859985,264.130005,115400,264.130005
"2021-08-27",263.670013,273.809998,261.769989,268.73999,320400,268.73999
"2021-08-30",269,270.190002,265.390015,265.519989,180200,265.519989
"2021-08-31",265.640015,269.910004,264.730011,268.769989,366800,268.769989
"2021-09-01",268.859985,268.859985,259.820007,265.179993,239400,265.179993
"2021-09-02",265.320007,272.959991,264.829987,272.670013,246200,272.670013
"2021-09-03",271.390015,275.070007,270.089996,274.75,176700,274.75
"2021-09-07",274.649994,274.649994,267.160004,268.369995,223000,268.369995
"2021-09-08",268.209991,268.630005,261.170013,262.100006,272100,262.100006
"2021-09-09",263.579987,264.529999,258.589996,258.709991,315400,258.709991
"2021-09-10",262.769989,262.769989,249.570007,252.389999,350300,252.389999
"2021-09-13",254.229996,265.190002,252.389999,262.98999,265600,262.98999
"2021-09-14",264.369995,264.369995,259.309998,262.049988,260200,262.049988
"2021-09-15",260.600006,267.320007,260.190002,266.109985,277900,266.109985
"2021-09-16",266.429993,270.029999,262.51001,269.630005,443900,269.630005
"2021-09-17",270.26001,279.549988,263.809998,278.140015,897600,278.140015
"2021-09-20",276.040009,279.790009,272.970001,277.390015,350100,277.390015
"2021-09-21",279.809998,283.809998,278.850006,279.329987,399100,279.329987
"2021-09-22",281.029999,281.029999,275.119995,277.220001,259900,277.220001
"2021-09-23",279.079987,286.059998,276.269989,282.73999,233000,282.73999
"2021-09-24",282.339996,288.529999,280.679993,287.640015,313800,287.640015
"2021-09-27",287,289.600006,281.670013,282.700012,218400,282.700012
"2021-09-28",281.350006,283.299988,275.730011,275.839996,266000,275.839996
"2021-09-29",277.690002,281.149994,276.75,280.130005,163200,280.130005
"2021-09-30",279.700012,282.640015,271.290009,271.309998,343600,271.309998
"2021-10-01",271.209991,272.670013,260.100006,271.51001,260700,271.51001
"2021-10-04",269.359985,274.75,267.910004,269.5,167700,269.5
"2021-10-05",272.079987,275.929993,267.179993,269.410004,305600,269.410004
"2021-10-06",266.980011,270.529999,261.890015,270.51001,197900,270.51001
"2021-10-07",273.700012,279.820007,272.170013,277.119995,168200,277.119995
"2021-10-08",279.350006,280.839996,275.649994,280.619995,131600,280.619995
"2021-10-11",280.970001,284.049988,278.910004,279.130005,171400,279.130005
"2021-10-12",280.380005,283.769989,279.809998,280.690002,151900,280.690002
"2021-10-13",279.890015,280.350006,272.390015,275.570007,194700,275.570007
"2021-10-14",283.109985,290.809998,279.089996,280.040009,386900,280.040009
"2021-10-15",281.429993,283.649994,279.429993,280.089996,260000,280.089996
"2021-10-18",279.790009,280.48999,275.910004,276.279999,209500,276.279999
"2021-10-19",278.600006,283.179993,276.309998,281.920013,268200,281.920013
"2021-10-20",284,293.579987,283.709991,290.100006,253500,290.100006
"2021-10-21",289.200012,296.619995,288.299988,296.25,286100,296.25
"2021-10-22",296.26001,298.700012,293.730011,297.890015,204700,297.890015
"2021-10-25",299.700012,299.700012,295.309998,297.600006,183200,297.600006
"2021-10-26",299,302.149994,292.420013,299.459991,200800,299.459991
"2021-10-27",298.51001,301.079987,295.190002,295.619995,297100,295.619995
"2021-10-28",301.799988,304,295.040009,297.140015,304800,297.140015
"2021-10-29",298.48999,300.809998,294.609985,295.720001,392200,295.720001
"2021-11-01",296.359985,299,292.029999,297.970001,299700,297.970001
"2021-11-02",299.5,301.980011,293.790009,294.459991,246800,294.459991
"2021-11-03",292.690002,305,290.309998,303.98999,246200,303.98999
"2021-11-04",304,306.850006,299.51001,303.049988,207100,303.049988
"2021-11-05",304.059998,312.519989,302.429993,304.179993,199900,304.179993
"2021-11-08",305.01001,306.980011,302.070007,305.040009,129000,305.040009
"2021-11-09",304.420013,306.040009,303.429993,305.380005,136500,305.380005
"2021-11-10",306.429993,307.579987,300.540009,302.679993,124700,302.679993
"2021-11-11",303.140015,312.859985,301.369995,312.570007,222500,312.570007
"2021-11-12",313.390015,316.040009,312.480011,313.220001,176200,313.220001
"2021-11-15",313.059998,314.700012,307.769989,308.820007,134600,308.820007
"2021-11-16",308.690002,313.700012,307.970001,308.299988,199400,308.299988
"2021-11-17",307.480011,311,306.869995,307.75,316600,307.75
"2021-11-18",309.98999,310,304.829987,306.959991,300600,306.959991
"2021-11-19",307.390015,307.73999,296.730011,298,263400,298
"2021-11-22",297.859985,305.570007,295.059998,302.890015,177600,302.890015
"2021-11-23",303.920013,307.48999,301.200012,306.5,157000,306.5
"2021-11-24",305.399994,309.679993,305.399994,307,135700,307
"2021-11-26",304.119995,304.119995,291.290009,292.420013,122500,292.420013
"2021-11-29",296,300.75,291.410004,297.529999,163600,297.529999
"2021-11-30",296.059998,298,284.829987,285.179993,421700,285.179993
"2021-12-01",289.309998,292.209991,281.929993,282.279999,317000,282.279999
"2021-12-02",281.720001,290.329987,278.51001,288.019989,369500,288.019989
"2021-12-03",288.850006,289.429993,279.519989,285.950012,253900,285.950012
"2021-12-06",289.26001,289.26001,281.910004,285.049988,289200,285.049988
"2021-12-07",289.690002,293.26001,288.640015,291.130005,339600,291.130005
"2021-12-08",292.26001,298.160004,289.559998,297.329987,133700,297.329987
"2021-12-09",296.529999,298.940002,293.339996,295.23999,185000,295.23999
"2021-12-10",296.040009,303.01001,295.299988,302.980011,268600,302.980011
"2021-12-13",304.309998,306.579987,300.350006,300.940002,233500,300.940002
"2021-12-14",303.440002,306.649994,299.619995,306.179993,207300,306.179993
"2021-12-15",307.170013,314.459991,305.380005,314,280700,314
"2021-12-16",313.73999,314.01001,306.320007,306.869995,210800,306.869995
"2021-12-17",305.730011,308.459991,301,302.920013,542500,302.920013
"2021-12-20",300,301.269989,294.700012,299.049988,275100,299.049988
"2021-12-21",301.579987,310.519989,298.959991,308.549988,219500,308.549988
"2021-12-22",306.899994,316.690002,305.98999,316.380005,164900,316.380005
"2021-12-23",318.279999,318.279999,313.350006,316.730011,130500,316.730011
"2021-12-27",318.100006,322.529999,316,322.329987,180100,322.329987
"2021-12-28",323.190002,325.190002,320.619995,322.890015,90000,322.890015
"2021-12-29",323.790009,326.809998,321.579987,324.880005,206500,324.880005
"2021-12-30",327.98999,328.109985,320.399994,320.679993,147800,320.679993
"2021-12-31",320.070007,323.959991,318.059998,318.079987,215300,318.079987
"2022-01-03",315.380005,316.779999,309.720001,316.570007,218400,316.570007
"2022-01-04",316.279999,317.179993,303.76001,303.940002,255700,303.940002
"2022-01-05",303.829987,310.209991,301.470001,302.209991,412500,302.209991
"2022-01-06",295.220001,301.350006,287.809998,291.769989,348400,291.769989
"2022-01-07",290.179993,293.459991,287.070007,289.769989,339400,289.769989
"2022-01-10",286.179993,290.980011,285.269989,289.700012,204800,289.700012
"2022-01-11",291.519989,294.920013,288.290009,294.23999,411800,294.23999
"2022-01-12",293.170013,297.549988,290.790009,292.079987,212200,292.079987
"2022-01-13",292.100006,292.23999,285.950012,289.190002,169500,289.190002
"2022-01-14",290.019989,291.779999,282.359985,286.100006,239400,286.100006
"2022-01-18",282.160004,282.98999,274.420013,276.320007,270400,276.320007
"2022-01-19",279.170013,283.910004,275.980011,280.440002,277100,280.440002
"2022-01-20",282.619995,289.179993,279.220001,281.049988,296800,281.049988
