"","MOH.Open","MOH.High","MOH.Low","MOH.Close","MOH.Volume","MOH.Adjusted"
"2020-07-01",179.809998,181.559998,176.75,179.119995,399100,179.119995
"2020-07-02",180.169998,183.729996,180.169998,182.050003,920200,182.050003
"2020-07-06",183.570007,184.589996,180.190002,182.940002,442000,182.940002
"2020-07-07",181.839996,186.279999,181.419998,182.419998,257100,182.419998
"2020-07-08",182.779999,183.600006,179.339996,182.350006,334100,182.350006
"2020-07-09",182.100006,182.610001,176.059998,178.619995,348000,178.619995
"2020-07-10",179.380005,179.380005,176.270004,176.539993,412700,176.539993
"2020-07-13",177.440002,180.220001,176.169998,176.669998,500300,176.669998
"2020-07-14",177.179993,185.660004,176.860001,185.479996,386100,185.479996
"2020-07-15",185.089996,187.850006,181.880005,185.860001,318100,185.860001
"2020-07-16",186.059998,187.600006,183.160004,184.179993,262000,184.179993
"2020-07-17",185.910004,187.529999,182.970001,185.880005,218600,185.880005
"2020-07-20",185.710007,186.479996,178.360001,179.199997,3e+05,179.199997
"2020-07-21",181.429993,182.679993,179.649994,181.460007,265700,181.460007
"2020-07-22",181.279999,184.279999,179.580002,183.75,225500,183.75
"2020-07-23",184.059998,187.360001,182.910004,183.539993,164900,183.539993
"2020-07-24",183.399994,184.960007,181.300003,184.25,206200,184.25
"2020-07-27",183.880005,184.649994,179.669998,182.240005,231000,182.240005
"2020-07-28",182.300003,183.440002,179.380005,181.5,276100,181.5
"2020-07-29",181.589996,189.800003,181.520004,187.649994,334000,187.649994
"2020-07-30",184.610001,190.380005,182.710007,187.020004,417500,187.020004
"2020-07-31",181.479996,187.800003,180.270004,184.699997,614300,184.699997
"2020-08-03",187.009995,188.389999,181.679993,185.809998,321400,185.809998
"2020-08-04",185,189.820007,183.559998,186.699997,371800,186.699997
"2020-08-05",188.779999,193.970001,186.889999,193.970001,480900,193.970001
"2020-08-06",193.619995,195.339996,191.5,194.259995,480700,194.259995
"2020-08-07",194.070007,196.539993,192.050003,196.009995,374300,196.009995
"2020-08-10",196.009995,196.009995,188.970001,189.300003,305800,189.300003
"2020-08-11",190.710007,191.289993,185.389999,185.610001,270300,185.610001
"2020-08-12",187.669998,192.160004,186.479996,191.800003,265300,191.800003
"2020-08-13",191.559998,193.490005,188.089996,193.020004,275500,193.020004
"2020-08-14",192.559998,194.229996,190.470001,193.759995,143800,193.759995
"2020-08-17",194.800003,198.380005,193.789993,195.550003,369900,195.550003
"2020-08-18",195.309998,195.570007,192.350006,192.800003,165100,192.800003
"2020-08-19",192.630005,196.690002,192.190002,193.509995,262200,193.509995
"2020-08-20",191.910004,192.119995,189.059998,189.960007,366500,189.960007
"2020-08-21",189.5,192.300003,187.070007,188.550003,334300,188.550003
"2020-08-24",190,190.5,180.699997,181.589996,226300,181.589996
"2020-08-25",182.410004,182.509995,179.850006,182.259995,209800,182.259995
"2020-08-26",183.169998,183.169998,178.199997,181.210007,248400,181.210007
"2020-08-27",182,186.089996,180.199997,183.740005,216900,183.740005
"2020-08-28",183.520004,186.309998,181.020004,183.820007,190600,183.820007
"2020-08-31",182.779999,186.970001,182.690002,184.970001,407100,184.970001
"2020-09-01",187.429993,190.270004,184.360001,186.029999,272000,186.029999
"2020-09-02",186.520004,193.929993,183.809998,193.149994,383600,193.149994
"2020-09-03",193.149994,194.089996,182.050003,184.100006,242400,184.100006
"2020-09-04",184.039993,184.910004,177.899994,183,241900,183
"2020-09-08",181.600006,182.690002,173.869995,175.080002,343000,175.080002
"2020-09-09",176.520004,177.460007,171.610001,175.5,299400,175.5
"2020-09-10",175.699997,177.149994,170.470001,171.449997,420100,171.449997
"2020-09-11",174.149994,174.149994,166.279999,168.839996,293800,168.839996
"2020-09-14",170.710007,179.830002,170.220001,179.279999,443500,179.279999
"2020-09-15",179.570007,182.720001,179.570007,181.789993,266100,181.789993
"2020-09-16",183,188.270004,181.850006,184.169998,348500,184.169998
"2020-09-17",182.279999,183.679993,179.990005,181.309998,294300,181.309998
"2020-09-18",182.75,185.740005,181.089996,184.559998,543900,184.559998
"2020-09-21",174.460007,174.470001,165.389999,168.880005,750800,168.880005
"2020-09-22",169.330002,169.970001,155.350006,156.210007,1017100,156.210007
"2020-09-23",156.600006,158.289993,151.399994,153.070007,1071900,153.070007
"2020-09-24",153.369995,156.770004,151.660004,153.080002,742400,153.080002
"2020-09-25",152.490005,161.759995,152.490005,161.509995,582300,161.509995
"2020-09-28",163.389999,165.490005,161.149994,163.070007,385800,163.070007
"2020-09-29",159,172.600006,159,171.800003,528400,171.800003
"2020-09-30",173.130005,184.199997,171.399994,183.039993,684600,183.039993
"2020-10-01",182.529999,188.380005,181.220001,188.179993,898700,188.179993
"2020-10-02",185.960007,194.880005,185.679993,193.360001,585800,193.360001
"2020-10-05",195,201.869995,195,201.320007,507800,201.320007
"2020-10-06",202.039993,202.399994,196.380005,198.179993,395000,198.179993
"2020-10-07",199.690002,203.899994,198.830002,203.529999,477600,203.529999
"2020-10-08",205.5,206.100006,199.100006,199.75,227100,199.75
"2020-10-09",201.169998,201.919998,197.910004,199.199997,270500,199.199997
"2020-10-12",200.899994,207.649994,200.009995,204.399994,287900,204.399994
"2020-10-13",203.960007,209.220001,203.410004,203.630005,249500,203.630005
"2020-10-14",203.619995,205,200.770004,202.850006,258200,202.850006
"2020-10-15",201.110001,208.860001,201,206.5,229600,206.5
"2020-10-16",206.070007,211.460007,204.100006,210.639999,262500,210.639999
"2020-10-19",210.75,213.779999,205.820007,206.690002,216400,206.690002
"2020-10-20",207.080002,209.509995,205.339996,206.600006,176200,206.600006
"2020-10-21",207.509995,209.199997,205.350006,206.729996,180300,206.729996
"2020-10-22",205.800003,211.860001,205.190002,211.119995,177500,211.119995
"2020-10-23",211.479996,215.619995,210.210007,212.550003,178100,212.550003
"2020-10-26",209.729996,211.039993,202.889999,205.029999,350100,205.029999
"2020-10-27",203.059998,205.669998,199.369995,203.869995,257500,203.869995
"2020-10-28",200.110001,200.690002,192.910004,193.229996,412800,193.229996
"2020-10-29",201,205,185.619995,187.110001,536800,187.110001
"2020-10-30",187.289993,190.210007,183.029999,186.470001,358400,186.470001
"2020-11-02",189.309998,200.070007,189.309998,198.850006,464300,198.850006
"2020-11-03",201.089996,212.740005,199.429993,211.589996,384700,211.589996
"2020-11-04",205.990005,220.839996,205.990005,216.940002,631200,216.940002
"2020-11-05",221.110001,221.110001,215.490005,216.820007,322500,216.820007
"2020-11-06",216.600006,218.050003,214.320007,215.470001,226700,215.470001
"2020-11-09",223.259995,223.259995,206.309998,207.100006,463200,207.100006
"2020-11-10",206.449997,222.559998,203,220.039993,515600,220.039993
"2020-11-11",222.820007,224,217.369995,219.009995,322800,219.009995
"2020-11-12",218.240005,218.929993,212.479996,215.800003,329100,215.800003
"2020-11-13",216.270004,220.360001,215.509995,219.740005,247500,219.740005
"2020-11-16",221.830002,221.949997,215.460007,218.899994,182400,218.899994
"2020-11-17",215.820007,221.199997,214.520004,219.759995,260200,219.759995
"2020-11-18",220.830002,220.830002,212.470001,213.339996,217200,213.339996
"2020-11-19",212.380005,213.720001,207.699997,209.179993,225700,209.179993
"2020-11-20",209.699997,209.699997,206.279999,207.259995,232500,207.259995
"2020-11-23",209.080002,211.020004,206.080002,207.199997,194100,207.199997
"2020-11-24",208.259995,210.289993,204.929993,205.169998,545500,205.169998
"2020-11-25",206.380005,206.380005,200.740005,202.820007,222100,202.820007
"2020-11-27",202.820007,208.520004,202.119995,207.020004,106200,207.020004
"2020-11-30",206.479996,207.470001,203.119995,204.130005,445600,204.130005
"2020-12-01",207.050003,212.929993,205.350006,207.199997,213700,207.199997
"2020-12-02",206.490005,210.240005,206.270004,208.039993,187300,208.039993
"2020-12-03",207.190002,210.630005,206.690002,208.119995,209900,208.119995
"2020-12-04",208.660004,214.300003,208.529999,213.720001,221800,213.720001
"2020-12-07",213.720001,214.449997,209.479996,211.449997,218100,211.449997
"2020-12-08",209.690002,215.809998,209.110001,215.070007,187100,215.070007
