"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2020-08-11",339.190002,345.410004,338.459991,341.850006,1527100,330.353363
"2020-08-12",343.179993,343.98999,337.549988,339.399994,636600,327.985779
"2020-08-13",336.790009,340.820007,335.459991,338.619995,493000,327.231964
"2020-08-14",337.279999,343.839996,336.859985,342.059998,396200,330.556335
"2020-08-17",341.769989,344,338.519989,339.76001,628200,328.333679
"2020-08-18",339.720001,339.920013,337.269989,337.600006,499000,326.246307
"2020-08-19",337,340.320007,336.200012,337.910004,487700,326.545929
"2020-08-20",337.579987,338.440002,336.029999,336.670013,338500,325.347595
"2020-08-21",337.299988,339.130005,336.440002,337.859985,440800,326.497559
"2020-08-24",338.700012,344.51001,338.410004,344.420013,416700,332.837006
"2020-08-25",345,345.070007,341.450012,343,454600,331.464691
"2020-08-26",341.5,342.880005,338.019989,341.410004,607200,329.928223
"2020-08-27",343.459991,349.230011,342.059998,348.98999,669200,337.253265
"2020-08-28",347.779999,348.549988,342.269989,344.75,513500,334.545807
"2020-08-31",343.200012,344.459991,341.570007,342.609985,558000,332.469177
"2020-09-01",340.160004,342.869995,337.109985,340.380005,538800,330.305206
"2020-09-02",338.820007,350.25,338.019989,348.359985,660600,338.048981
"2020-09-03",350.649994,352.119995,339.920013,342.230011,791700,332.100433
"2020-09-04",343.98999,347.059998,337.339996,339.029999,584400,328.995178
"2020-09-08",339.890015,339.890015,334.209991,334.559998,661800,324.657501
"2020-09-09",342.679993,342.76001,336.660004,339.410004,608800,329.363861
"2020-09-10",339.769989,341.040009,329.410004,330.019989,558100,320.251831
"2020-09-11",333.059998,340.170013,331.700012,338.880005,489300,328.849609
"2020-09-14",340.75,341.660004,337.660004,338.450012,552900,328.432343
"2020-09-15",337.549988,339.950012,334.730011,338.019989,523500,328.014984
"2020-09-16",337.25,346.890015,335.73999,343.470001,750000,333.303741
"2020-09-17",341.130005,345.470001,338.079987,343.839996,361300,333.662781
"2020-09-18",341.160004,345.890015,341.160004,341.5,689900,331.392029
"2020-09-21",337.929993,338.559998,324.410004,325.890015,714900,316.24411
"2020-09-22",327.320007,333.459991,326.910004,332.799988,651900,322.949554
"2020-09-23",334.450012,337.329987,326.519989,328.059998,790800,318.349854
"2020-09-24",327.480011,328.700012,321.170013,324.720001,574900,315.108704
"2020-09-25",324.130005,329.579987,322.940002,328,646300,318.291626
"2020-09-28",330.540009,333.559998,328.720001,329.519989,566900,319.766602
"2020-09-29",328.779999,330.420013,324.429993,325.279999,483200,315.652069
"2020-09-30",326.200012,326.730011,312.25,315.48999,1183800,306.151917
"2020-10-01",317.350006,321.049988,309.359985,311.809998,1687900,302.580811
"2020-10-02",309.109985,315.140015,307.119995,313.950012,1380900,304.657532
"2020-10-05",315.850006,317.230011,311.299988,312.179993,881700,302.93985
"2020-10-06",320.329987,320.329987,308.890015,308.970001,1149200,299.82486
"2020-10-07",310.399994,315.570007,310.399994,313.890015,1019500,304.599274
"2020-10-08",314.220001,319.820007,314.220001,319.679993,596800,310.217865
"2020-10-09",320,322.470001,313.630005,315.279999,1210200,305.948151
"2020-10-12",314.519989,318.809998,313.220001,316.589996,834600,307.21933
"2020-10-13",315.100006,318.429993,311.859985,312.600006,636400,303.347443
"2020-10-14",311.429993,317.600006,311.399994,314.890015,1119900,305.569702
"2020-10-15",313.529999,316.26001,312.23999,314.820007,854000,305.50174
"2020-10-16",315.970001,319.730011,315.559998,316.23999,1393700,306.8797
"2020-10-19",316.040009,318.890015,310.820007,311.329987,775300,302.115051
"2020-10-20",313.73999,313.769989,308.279999,309.049988,786300,299.902527
"2020-10-21",308.040009,309.839996,305.910004,308.369995,830000,299.242615
"2020-10-22",309.26001,314.690002,302.98999,302.98999,1388000,294.021881
"2020-10-23",305.160004,309.559998,304,308.429993,1113300,299.300873
"2020-10-26",305.399994,312.350006,301.700012,309.839996,1312700,300.669128
"2020-10-27",308.670013,309.01001,302.070007,302.119995,1081500,293.177612
"2020-10-28",299.579987,304.25,293.540009,293.660004,1221300,284.968018
"2020-10-29",292.540009,297.690002,291.25,292.390015,1260400,283.735626
"2020-10-30",290.869995,293.920013,285.130005,289.820007,1227100,281.241699
"2020-11-02",294.480011,298.980011,292.75,296.630005,852100,287.850128
"2020-11-03",299.309998,307.119995,299.309998,304.820007,864900,295.797668
"2020-11-04",310,324.26001,309,315.640015,1684000,306.297485
"2020-11-05",316.5,317.279999,306.059998,307.399994,1410300,298.301361
"2020-11-06",305.73999,305.940002,296.630005,301.359985,946700,292.440155
"2020-11-09",315,317.600006,300.070007,301.279999,1732000,292.362518
"2020-11-10",302.730011,316.899994,301.480011,314.51001,948500,305.200928
"2020-11-11",314.959991,314.970001,306.019989,309.959991,590700,300.785522
"2020-11-12",308,308.779999,302.339996,306.230011,737400,297.166016
"2020-11-13",308.079987,313.119995,307.109985,311.709991,493400,302.483765
"2020-11-16",315.380005,315.579987,311.420013,312.730011,555100,303.473572
"2020-11-17",310.329987,315.75,309.649994,312.630005,744500,303.376556
"2020-11-18",314.73999,316.420013,310.299988,310.600006,1187100,301.406677
"2020-11-19",311.220001,311.869995,306.920013,309.480011,708100,300.319824
"2020-11-20",308.880005,310.209991,305.200012,306.420013,776900,297.350372
"2020-11-23",309.230011,311.209991,305.5,306.48999,677000,297.418304
"2020-11-24",309.51001,313.609985,308.5,309.980011,918600,300.805023
"2020-11-25",310.059998,314.140015,307.850006,312.26001,698700,303.017548
"2020-11-27",311.369995,311.630005,305.299988,306.029999,475100,298.35733
"2020-11-30",305.299988,306.399994,299.140015,302.26001,1154600,294.681854
"2020-12-01",304.179993,309.869995,300.540009,301.100006,882900,293.550934
"2020-12-02",301.100006,301.690002,297.73999,298.769989,769500,291.279388
"2020-12-03",299.170013,304.75,298.720001,303.429993,992100,295.822479
"2020-12-04",304.029999,307.690002,303.119995,307.230011,794100,299.527313
"2020-12-07",306.799988,306.940002,298.290009,301,907100,293.45343
"2020-12-08",300.76001,308.640015,300.399994,301.959991,764100,294.389404
"2020-12-09",302.140015,304.709991,300.070007,303.730011,730500,296.115021
"2020-12-10",302.100006,305.690002,297.880005,298.429993,1166100,290.947906
"2020-12-11",298.079987,301.209991,295.049988,300.570007,860300,293.034302
"2020-12-14",301.980011,303.390015,298,298,700300,290.528687
"2020-12-15",298.339996,300.660004,297.75,298.51001,885900,291.025909
"2020-12-16",300.420013,304.079987,299.309998,302.01001,995100,294.438141
"2020-12-17",302.269989,306.98999,299.670013,300.679993,1295700,293.141479
"2020-12-18",300.600006,304.959991,299.209991,303.130005,2663200,295.53009
"2020-12-21",299.029999,299.910004,292.76001,297.609985,1428900,290.148407
"2020-12-22",297.440002,297.820007,294.720001,296.320007,963200,288.890808
"2020-12-23",298.290009,302.839996,297.559998,300.660004,787000,293.121979
"2020-12-24",300.589996,301.079987,296.929993,299.600006,332700,292.088562
"2020-12-28",300.51001,304.709991,299.309998,303.019989,603900,295.422821
"2020-12-29",304.809998,305.029999,299.149994,300.98999,524500,293.443726
"2020-12-30",301.459991,305.549988,301.320007,302.609985,528100,295.023071
"2020-12-31",302.609985,304.950012,300.5,304.720001,520500,297.0802
"2021-01-04",304.070007,304.23999,292.25,294.76001,1267500,287.369904
"2021-01-05",295.25,298.48999,294,296.589996,939900,289.154022
"2021-01-06",293.980011,302.089996,293.209991,299.140015,952500,291.640106
"2021-01-07",296.820007,298.940002,292.540009,292.579987,1331000,285.244537
"2021-01-08",292.600006,293.589996,286.600006,288.329987,2090300,281.101105
"2021-01-11",287.76001,294.940002,287.149994,294.73999,1220900,287.350403
"2021-01-12",294.859985,298.549988,293.5,297.540009,1073900,290.080231
"2021-01-13",298,300.01001,294.640015,299.459991,1541400,291.952057
"2021-01-14",302.029999,308.839996,301.970001,303.019989,1375600,295.422821
"2021-01-15",302.700012,303.519989,298.950012,300.75,1782800,293.209717
"2021-01-19",303.5,304,297.859985,298.019989,1360600,290.548126
"2021-01-20",300,301.070007,297.049988,298.779999,985800,291.289124
"2021-01-21",297.470001,299.820007,296.399994,296.869995,975300,289.426971
"2021-01-22",296,300.600006,294.549988,298.160004,989200,290.684662
"2021-01-25",299.679993,305.200012,297.890015,299.350006,1469900,291.844818
"2021-01-26",299.799988,300.399994,292.5,293.109985,985000,285.761261
"2021-01-27",292.890015,296.070007,291.160004,292.23999,1389300,284.913055
"2021-01-28",292.119995,296.209991,291.299988,293.029999,1398500,285.683258
"2021-01-29",289.579987,289.589996,282.880005,286.609985,1659000,279.424194
"2021-02-01",288.429993,294.130005,287.600006,292.309998,1321400,284.981323
"2021-02-02",294.809998,302.119995,294.019989,300,2226000,292.478546
"2021-02-03",298.519989,301.950012,297.769989,300.73999,970600,293.199982
"2021-02-04",301.48999,303.720001,299.720001,301.850006,1298700,294.282196
"2021-02-05",303.359985,304.649994,298.559998,298.790009,1151500,291.298889
"2021-02-08",301,301.600006,298.089996,300.130005,1588800,292.605255
"2021-02-09",299.01001,306.649994,298.059998,303.779999,1296500,296.163757
"2021-02-10",304.649994,304.649994,302.390015,303.630005,847200,296.017517
"2021-02-11",302.579987,304.200012,299.140015,299.630005,1018100,292.117798
"2021-02-12",298.519989,301.51001,296.109985,297.359985,654200,289.904724
"2021-02-16",296.869995,298.130005,290.609985,290.880005,1012300,283.587219
"2021-02-17",290.75,297.230011,288.079987,297.179993,1039800,289.729218
"2021-02-18",295.799988,298.769989,295.049988,297.859985,718900,290.392181
"2021-02-19",298.440002,298.850006,296.290009,297.23999,1202800,289.78775
"2021-02-22",295.100006,299.470001,294.019989,297.940002,1261700,290.470184
"2021-02-23",300.470001,304.559998,295.649994,298.679993,1253400,291.19162
"2021-02-24",299.850006,304.470001,296.910004,301.730011,1141800,294.165161
"2021-02-25",301,306.480011,299.820007,301.890015,1394100,294.321167
"2021-02-26",299.720001,300.079987,291.600006,291.660004,1156100,285.719971
"2021-03-01",292.549988,297.429993,292.549988,293.459991,1077300,287.483307
"2021-03-02",293.5,300.5,293.26001,298.779999,1802100,292.694946
"2021-03-03",298.5,304.980011,297.980011,299.100006,848300,293.008423
"2021-03-04",299.470001,303.880005,295.329987,297.51001,1430600,291.450806
"2021-03-05",298.76001,302.480011,295.160004,300.910004,1007400,294.781586
"2021-03-08",303.390015,310.170013,301.559998,305.619995,1295900,299.395599
"2021-03-09",303.829987,304.519989,297.299988,298.299988,1304100,292.224701
"2021-03-10",299.309998,302.119995,295.869995,300,985300,293.890137
"2021-03-11",299.390015,301.079987,297.279999,299.410004,874000,293.312103
"2021-03-12",302.470001,303.299988,300.929993,301.790009,932000,295.643646
"2021-03-15",304.01001,306.720001,303.23999,305.73999,835700,299.513184
"2021-03-16",305.73999,307.429993,301.299988,305.839996,815400,299.611176
"2021-03-17",306.850006,315.25,306.850006,310.570007,1104000,304.244812
"2021-03-18",310.179993,315.589996,310.179993,314.940002,1022300,308.525848
"2021-03-19",315.579987,316.450012,308.609985,308.649994,2006800,302.363922
"2021-03-22",308.040009,315.700012,307.309998,314.209991,1187100,307.810669
"2021-03-23",313.119995,317.399994,313.119995,314.140015,1162900,307.742126
"2021-03-24",315.140015,321.369995,315.140015,316.029999,1077900,309.593628
"2021-03-25",317.149994,322,316.290009,321.190002,1027200,314.64856
"2021-03-26",321.290009,323.190002,315.670013,319.019989,1052200,312.522736
"2021-03-29",319.700012,326.149994,319.700012,323.149994,907800,316.568604
"2021-03-30",323.059998,324.700012,321.559998,322.679993,893000,316.108185
"2021-03-31",321.619995,324.320007,320.269989,323.640015,1011800,317.048645
"2021-04-01",323.040009,325.079987,321.309998,322.23999,855200,315.677124
"2021-04-05",322.899994,331,322.899994,330.649994,1166100,323.915833
"2021-04-06",327.980011,332.309998,327.100006,331.160004,796400,324.415497
"2021-04-07",332.720001,334.26001,329.869995,333.970001,933400,327.168274
"2021-04-08",332.970001,337.350006,332.970001,336.119995,969100,329.274475
"2021-04-09",336.730011,340.649994,336.369995,339.950012,1005700,333.02652
"2021-04-12",340,342.910004,337.709991,340.690002,732100,333.751404
"2021-04-13",338.970001,340.269989,337.98999,338.609985,781100,331.713745
"2021-04-14",339.23999,343.390015,338.640015,341.820007,737100,334.858368
"2021-04-15",341.850006,345.630005,340.589996,344.589996,850500,337.57196
"2021-04-16",346.579987,347.820007,343.670013,346.429993,1867300,339.374512
"2021-04-19",347,347.25,342.799988,344.640015,817500,337.620972
"2021-04-20",344.799988,346.609985,343.160004,345.140015,800300,338.110809
"2021-04-21",345.119995,346.549988,343.540009,345.519989,748700,338.482971
"2021-04-22",344.130005,345.190002,341.779999,343.429993,728000,336.435577
"2021-04-23",342.959991,343.799988,340.109985,342.040009,1012900,335.073944
"2021-04-26",342.049988,342.98999,336.559998,337.799988,892500,330.920258
"2021-04-27",337.390015,340.869995,336.029999,339.869995,738200,332.94812
"2021-04-28",340.269989,340.269989,336.570007,338.369995,763600,331.478638
"2021-04-29",342,354.170013,341.609985,352.220001,1320900,345.0466
"2021-04-30",353.829987,356.880005,352.230011,354.440002,1275200,347.221375
"2021-05-03",352.040009,362.829987,352.040009,361,1041700,353.647736
"2021-05-04",362.640015,368.51001,361.5,368.119995,1128600,360.622711
"2021-05-05",368.459991,373.23999,366.470001,372.98999,1455900,365.393524
"2021-05-06",374.01001,375.929993,368.299988,370.049988,1072700,362.513458
"2021-05-07",369.179993,372.709991,366.25,370.630005,959600,363.081604
"2021-05-10",373.299988,378.609985,373.299988,373.799988,714800,366.187073
"2021-05-11",372.029999,374.079987,365.980011,368.299988,954500,360.799042
"2021-05-12",368.619995,371.579987,363.119995,363.149994,999600,355.753967
"2021-05-13",362.829987,372.76001,362.540009,370.059998,757000,362.523224
"2021-05-14",371,372.899994,370.160004,371.609985,757100,364.041656
"2021-05-17",372.5,374.679993,371.359985,372.869995,648900,365.276031
"2021-05-18",371.869995,373.709991,368.519989,368.619995,735900,361.112579
"2021-05-19",368.279999,371,363.519989,370.899994,685300,363.34613
"2021-05-20",371.170013,374.299988,371.109985,371.959991,786800,364.384521
"2021-05-21",372.540009,377.019989,369.23999,370.459991,682500,362.9151
"2021-05-24",372.700012,373.970001,368.559998,372.179993,570600,364.600067
"2021-05-25",372.529999,374.380005,369.329987,369.98999,680300,362.454651
"2021-05-26",369.329987,370.350006,365.399994,366.720001,697100,359.251282
"2021-05-27",370.290009,371.23999,366.019989,370.459991,997200,362.9151
"2021-05-28",369.269989,370.459991,365.480011,365.869995,575700,359.94397
"2021-06-01",369.220001,370.049988,365.230011,365.619995,764200,359.698029
"2021-06-02",365.619995,369.690002,364.73999,367.209991,495800,361.262268
"2021-06-03",367.01001,367.380005,364.48999,366.51001,779400,360.573639
"2021-06-04",373.829987,379.029999,372.950012,377.51001,1319300,371.395508
"2021-06-07",376.399994,378,370.269989,371.839996,1125200,365.817261
"2021-06-08",372.040009,372.869995,368.130005,371.109985,613200,365.099091
"2021-06-09",371.109985,372.970001,368.640015,372.600006,689600,366.564972
"2021-06-10",375,375.660004,370.899994,372.51001,741400,366.47644
"2021-06-11",373.880005,375.549988,370.200012,375.059998,636200,368.985138
"2021-06-14",372.450012,373.089996,369.410004,372.230011,865500,366.200989
"2021-06-15",375.399994,377.369995,373.769989,375,687000,368.926117
"2021-06-16",378.179993,378.179993,371.649994,372.209991,883400,366.181335
"2021-06-17",373.23999,373.890015,366.200012,368.700012,737000,362.72818
"2021-06-18",365.920013,370.23999,365.23999,367.190002,2387100,361.242645
"2021-06-21",369.799988,374.579987,368.399994,373.290009,893800,367.243835
"2021-06-22",374.380005,374.380005,371.070007,372.570007,491600,366.535461
"2021-06-23",372.589996,372.589996,368.109985,370.279999,709800,364.282593
"2021-06-24",372.059998,372.059998,367.540009,369.679993,644900,363.692261
"2021-06-25",369,375.410004,368.059998,373.309998,2930400,367.263489
"2021-06-28",373.390015,373.390015,368.350006,370.209991,565000,364.213715
"2021-06-29",369.809998,371.23999,360,360.309998,1151300,354.474091
"2021-06-30",361.299988,364.910004,361.299988,363.429993,613900,357.543518
"2021-07-01",364.529999,367.959991,363.390015,367.619995,449400,361.665619
"2021-07-02",367.920013,371.059998,365.309998,369.200012,338000,363.220062
"2021-07-06",368.029999,368.440002,362.75,367.649994,603300,361.695129
"2021-07-07",367.339996,372.059998,365.799988,371.26001,545500,365.246704
"2021-07-08",368.899994,371.98999,367.940002,369.940002,402700,363.94809
"2021-07-09",372.480011,373.51001,369.380005,371.820007,357400,365.797638
"2021-07-12",370.160004,372.450012,368.290009,370.329987,450300,364.331757
"2021-07-13",370.600006,373.980011,367.290009,367.390015,707400,361.439423
"2021-07-14",367.359985,368.450012,363.619995,363.940002,1044400,358.045258
"2021-07-15",362.339996,365.720001,361.709991,364.119995,491000,358.222351
"2021-07-16",365.420013,365.980011,361.339996,362.809998,778800,356.933563
"2021-07-19",361.369995,362.320007,350.640015,355,866700,349.250092
"2021-07-20",355.640015,362.73999,355.640015,359.970001,911300,354.139557
"2021-07-21",361.089996,363.320007,359.890015,361.459991,632500,355.605408
"2021-07-22",360.799988,361.049988,358.290009,359.26001,549500,353.44104
"2021-07-23",360.609985,361.700012,358.76001,361.309998,478400,355.457855
"2021-07-26",357.920013,359.440002,355.299988,358.26001,715800,352.457245
"2021-07-27",358.519989,365.059998,358.470001,362.200012,573100,356.333466
"2021-07-28",363.470001,364.98999,359.850006,360.109985,564400,354.277283
"2021-07-29",362.809998,369.839996,362.809998,365.660004,1015700,359.737396
"2021-07-30",364.630005,366.380005,362.209991,363.019989,645200,357.140137
"2021-08-02",363.820007,367.359985,361.709991,361.839996,396700,355.979279
"2021-08-03",361.350006,365.619995,358.660004,364.440002,666200,358.53714
"2021-08-04",362.850006,364,356.51001,357.25,641800,351.463623
"2021-08-05",358.649994,359.410004,357,358.720001,351300,352.909821
"2021-08-06",359.859985,362.970001,359.859985,362.109985,361100,356.244843
"2021-08-09",361.720001,361.720001,359.700012,360.98999,356500,355.143036
"2021-08-10",360.220001,363.029999,358.869995,362.679993,642600,356.805634
"2021-08-11",363.799988,367.309998,362.25,366.100006,331200,360.170288
"2021-08-12",367.350006,367.350006,361,363.859985,570400,357.966522
"2021-08-13",363.880005,365.309998,362.730011,363.109985,372100,357.228668
"2021-08-16",362.459991,368.820007,359.549988,368.619995,679900,362.649445
"2021-08-17",369.029999,371.76001,365.910004,368.630005,924700,362.659332
"2021-08-18",366.519989,367.529999,363.029999,363.160004,411700,357.277863
"2021-08-19",362.149994,365,359.880005,361.089996,468100,355.241394
"2021-08-20",360.209991,364.670013,359.26001,363,496000,357.120483
"2021-08-23",365,365.170013,362.660004,362.920013,474400,357.041779
"2021-08-24",364.450012,364.450012,362.269989,362.769989,318800,356.894196
"2021-08-25",362.950012,364.420013,361.660004,362.660004,416600,356.786011
"2021-08-26",362.130005,367.040009,360.779999,366.76001,739600,360.819611
"2021-08-27",367.089996,368.459991,363.549988,364.839996,553700,360.473755
"2021-08-30",364.75,369.299988,363.910004,367.619995,541100,363.22049
"2021-08-31",367.369995,367.910004,364.140015,367.700012,782300,363.299561
"2021-09-01",367.890015,367.890015,364.600006,364.980011,508300,360.612122
"2021-09-02",365,368.399994,365,368.299988,665600,363.892365
"2021-09-03",367.76001,368.269989,365.429993,365.929993,379400,361.55072
"2021-09-07",363.540009,365.519989,358.570007,358.880005,869100,354.585114
"2021-09-08",358.769989,362.48999,358.390015,360.399994,560100,356.086914
"2021-09-09",360.329987,361.790009,356.700012,356.779999,1259200,352.510254
"2021-09-10",357.850006,358.109985,352.859985,354.100006,669300,349.862335
"2021-09-13",355.73999,357.549988,349.76001,353.700012,647800,349.467072
"2021-09-14",355.059998,355.820007,349.109985,351.730011,848300,347.520691
"2021-09-15",352.01001,357.200012,351.429993,355.73999,611500,351.482666
"2021-09-16",356.76001,357.109985,349.26001,349.660004,584300,345.475433
"2021-09-17",350.880005,355.75,347.019989,350.23999,1901700,346.048492
"2021-09-20",346.970001,351.649994,345.160004,348.809998,634800,344.63559
"2021-09-21",348.829987,350.350006,344.890015,345.140015,535200,341.009552
"2021-09-22",347.029999,350.470001,345.820007,348.519989,585700,344.34906
"2021-09-23",351.089996,352.799988,348.25,350.910004,845100,346.71048
"2021-09-24",352.160004,357.140015,351.619995,355.700012,608700,351.443176
"2021-09-27",356.640015,361.329987,356.640015,357.209991,613100,352.93512
"2021-09-28",356.709991,361,356.399994,358.299988,767200,354.012024
"2021-09-29",358.779999,366,355.809998,362.980011,762300,358.636047
"2021-09-30",363.589996,364.640015,359.890015,360.149994,981600,355.839905
"2021-10-01",361.730011,362.890015,356.480011,360.920013,587800,356.600708
"2021-10-04",361.649994,367.290009,361.48999,365.670013,893800,361.293884
"2021-10-05",365.380005,371.269989,363.799988,369.880005,569700,365.453491
"2021-10-06",368.700012,377.470001,366.570007,377.320007,839900,372.804443
"2021-10-07",378,383.850006,378,382.700012,696200,378.120026
"2021-10-08",383.220001,390.940002,382.019989,389.720001,690300,385.05603
"2021-10-11",390.040009,396.579987,387.839996,393.160004,790200,388.454895
"2021-10-12",392.619995,394.649994,389.089996,390.070007,715100,385.401825
"2021-10-13",389.480011,389.920013,383.579987,388.700012,671100,384.048218
"2021-10-14",390.299988,392.820007,388.940002,389.940002,514700,385.273376
"2021-10-15",391.079987,396.720001,391.079987,395.359985,665000,390.62854
"2021-10-18",393.899994,396.820007,392.540009,393.890015,422500,389.176117
"2021-10-19",395.570007,399.329987,392.829987,399.299988,445800,394.521362
"2021-10-20",398.73999,402.01001,397.51001,400.880005,340300,396.082458
"2021-10-21",400,403.359985,396.970001,402.769989,398800,397.94986
"2021-10-22",403.690002,406.309998,400.369995,406.209991,524000,401.348694
"2021-10-25",405.619995,408.029999,403.570007,406.619995,473900,401.753754
"2021-10-26",394.609985,398.75,392.679993,396.570007,1590200,391.824066
"2021-10-27",395.160004,396.040009,387.470001,388.149994,1009200,383.504791
"2021-10-28",380.559998,381.350006,354.149994,358.640015,2011200,354.347992
