"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"2021-12-17",81.620003,83.290001,80.940002,83,23165900,82.636658
"2021-12-20",82.139999,83.25,80.910004,82.029999,22346800,81.670898
"2021-12-21",88.989998,91.139999,87.349998,90.68,58363600,90.283035
"2021-12-22",90,90.480003,88.919998,90.339996,18593900,89.944519
"2021-12-23",90.699997,95,90.349998,94.419998,36400100,94.00666
"2021-12-27",93.720001,94.93,92.730003,94.43,17110100,94.016617
"2021-12-28",93.75,93.889999,92.059998,92.940002,13683800,92.533134
"2021-12-29",94,96.75,93.910004,96.169998,32234600,95.749001
"2021-12-30",94.400002,95.510002,93.43,93.889999,19327800,93.478981
"2021-12-31",94,94.419998,93.029999,93.150002,13660600,92.841103
