"","CBRE.Open","CBRE.High","CBRE.Low","CBRE.Close","CBRE.Volume","CBRE.Adjusted"
"2021-03-12",78.480003,79.360001,78.309998,79.279999,1127900,79.279999
"2021-03-15",79.040001,80.639999,77.529999,80.57,1561700,80.57
"2021-03-16",80.5,81.32,78.029999,78.349998,1350200,78.349998
"2021-03-17",78.410004,79.400002,77.43,79.32,1117600,79.32
"2021-03-18",78.82,80.239998,78.010002,78.349998,1014300,78.349998
"2021-03-19",78.050003,78.239998,76.529999,76.739998,2416100,76.739998
"2021-03-22",76.940002,77.160004,75.620003,75.93,1656400,75.93
"2021-03-23",75.580002,76.18,74.610001,74.980003,2209500,74.980003
"2021-03-24",75.160004,76.169998,74.099998,74.160004,1377400,74.160004
"2021-03-25",73.230003,76.650002,72.879997,76.43,1442500,76.43
"2021-03-26",77.300003,79.18,76.309998,79.089996,1250200,79.089996
"2021-03-29",78.089996,79.050003,77,77.300003,1296100,77.300003
"2021-03-30",77.410004,79.330002,77.099998,79.120003,2002500,79.120003
"2021-03-31",78.940002,79.910004,78.099998,79.110001,2628800,79.110001
"2021-04-01",79.809998,80.099998,78.790001,80.050003,1784700,80.050003
"2021-04-05",80.760002,81.300003,80.099998,80.93,2370400,80.93
"2021-04-06",80.440002,80.900002,78.709999,79.639999,1612400,79.639999
"2021-04-07",79.75,79.75,77.720001,78.400002,1786900,78.400002
"2021-04-08",78.260002,79.110001,77.900002,78.769997,1448000,78.769997
"2021-04-09",79.160004,80.669998,78.980003,80.419998,954700,80.419998
"2021-04-12",80.169998,81.089996,79.080002,80.980003,1172200,80.980003
"2021-04-13",80.940002,81.32,78.860001,78.940002,2113300,78.940002
"2021-04-14",79.110001,81.769997,78.870003,81.019997,1367200,81.019997
"2021-04-15",81.309998,82.07,80.730003,81.779999,1524300,81.779999
"2021-04-16",82.199997,82.5,81.309998,81.82,1369500,81.82
"2021-04-19",81.400002,82.519997,81.120003,82.339996,1222800,82.339996
"2021-04-20",81.860001,82.830002,80.580002,81.410004,1372300,81.410004
"2021-04-21",81.080002,81.709999,80.199997,81.300003,2475900,81.300003
"2021-04-22",81.839996,82.330002,80.790001,81.610001,1574800,81.610001
"2021-04-23",81.660004,83.339996,81.089996,82.900002,1369400,82.900002
"2021-04-26",83.5,84.330002,83.470001,84.050003,1445600,84.050003
"2021-04-27",83.980003,84.349998,83.089996,83.480003,1328200,83.480003
"2021-04-28",83.550003,83.550003,82.300003,82.629997,1394900,82.629997
"2021-04-29",83.190002,85.699997,82.910004,85.150002,1584500,85.150002
"2021-04-30",84.940002,85.690002,84,85.199997,1382500,85.199997
"2021-05-03",85.93,86.050003,84.489998,85.389999,1312800,85.389999
"2021-05-04",84.970001,86.07,84.529999,85.43,1477300,85.43
"2021-05-05",85.879997,86.139999,84.470001,84.959999,1630700,84.959999
"2021-05-06",85.370003,85.370003,83.669998,85.32,2082400,85.32
"2021-05-07",85.220001,87.059998,85.040001,86.900002,1271400,86.900002
"2021-05-10",86.510002,88.239998,86.25,86.589996,1885900,86.589996
"2021-05-11",85.769997,86.68,84.660004,85.730003,1572500,85.730003
"2021-05-12",85.93,86.07,84.18,84.379997,1742700,84.379997
"2021-05-13",84.639999,86.970001,84.639999,86.379997,1600500,86.379997
"2021-05-14",86.75,86.75,85.550003,86.32,2016100,86.32
"2021-05-17",86.480003,86.800003,85.559998,86.68,1053500,86.68
"2021-05-18",87.169998,87.199997,85.639999,85.639999,1765700,85.639999
"2021-05-19",84.150002,85.230003,83.470001,84.889999,1897100,84.889999
"2021-05-20",84.900002,88,84.68,87.75,1365400,87.75
"2021-05-21",87.849998,88.910004,87.110001,87.18,1281500,87.18
"2021-05-24",87.870003,89.349998,87.790001,88.760002,1221700,88.760002
"2021-05-25",88.769997,89.5,88.099998,88.120003,1371800,88.120003
"2021-05-26",88.199997,89.120003,87.849998,88.220001,1557700,88.220001
"2021-05-27",88.540001,88.730003,87.400002,87.589996,3177000,87.589996
"2021-05-28",88.019997,88.260002,87.400002,87.779999,1252700,87.779999
"2021-06-01",88.550003,89.879997,88.129997,89.660004,1906800,89.660004
"2021-06-02",89.669998,90.209999,88.599998,90.010002,1537800,90.010002
"2021-06-03",89.559998,89.949997,88.089996,88.800003,1235000,88.800003
"2021-06-04",88.970001,89.07,87.269997,87.970001,1309600,87.970001
"2021-06-07",88,88.360001,87.379997,87.739998,1716100,87.739998
"2021-06-08",87.629997,89.889999,87.440002,89.410004,1630800,89.410004
"2021-06-09",89.269997,89.620003,88.879997,89.040001,1138300,89.040001
"2021-06-10",89.599998,89.690002,87.989998,88.019997,1232400,88.019997
"2021-06-11",88.260002,88.760002,88.019997,88.709999,1040200,88.709999
"2021-06-14",88.709999,89.080002,87.040001,87.699997,1196600,87.699997
"2021-06-15",88.489998,89.669998,88.199997,89.110001,1457200,89.110001
"2021-06-16",88.580002,89.089996,87.230003,87.790001,1460100,87.790001
"2021-06-17",87.870003,88.18,86.529999,87.330002,1346800,87.330002
"2021-06-18",86.32,87.050003,85.550003,86.360001,2206800,86.360001
"2021-06-21",87.290001,89.269997,86.879997,89,1843100,89
"2021-06-22",88.940002,89.120003,88,88.360001,1581200,88.360001
"2021-06-23",88.209999,88.25,86.550003,86.57,1649300,86.57
"2021-06-24",87.260002,87.809998,86.519997,87.720001,1039400,87.720001
"2021-06-25",87.739998,88.190002,86.949997,87.230003,1730600,87.230003
"2021-06-28",87.089996,87.339996,86.089996,86.720001,829800,86.720001
"2021-06-29",87.050003,87.660004,85.839996,85.989998,1018700,85.989998
"2021-06-30",85.910004,86.389999,85.32,85.730003,1445100,85.730003
"2021-07-01",86.360001,87.760002,86,87.18,1194300,87.18
"2021-07-02",87.349998,87.540001,85.440002,85.919998,983400,85.919998
"2021-07-06",85.919998,86.190002,83.870003,84.940002,2008900,84.940002
"2021-07-07",84.589996,85.540001,84.309998,85.139999,1534700,85.139999
"2021-07-08",84.160004,85.5,83.209999,84.25,1229200,84.25
"2021-07-09",85.410004,86.269997,84.839996,85.830002,1554800,85.830002
"2021-07-12",85.209999,86.139999,84.739998,85.809998,1345000,85.809998
"2021-07-13",85.599998,85.690002,82.889999,83.190002,1156000,83.190002
"2021-07-14",83.040001,84.360001,83.040001,83.489998,936600,83.489998
"2021-07-15",82.910004,84.25,82.75,83.5,1180500,83.5
"2021-07-16",84.370003,84.389999,82.949997,82.959999,684100,82.959999
"2021-07-19",81.75,81.970001,79.839996,80.540001,1692100,80.540001
"2021-07-20",81.07,84.360001,80.940002,83.860001,1270900,83.860001
"2021-07-21",84.410004,86.190002,84.360001,85.959999,1240300,85.959999
"2021-07-22",85.940002,86.760002,84.989998,86.690002,1654600,86.690002
"2021-07-23",87.059998,88.779999,86.860001,87.730003,1834700,87.730003
"2021-07-26",87.589996,89.620003,87.269997,89.199997,1309800,89.199997
"2021-07-27",89.190002,91.440002,88.870003,91.349998,1884400,91.349998
"2021-07-28",91.349998,91.739998,90.169998,91,1991400,91
"2021-07-29",94.5,97.43,94.050003,95.559998,1887500,95.559998
"2021-07-30",95.800003,97.220001,95.010002,96.459999,1670300,96.459999
"2021-08-02",97.379997,97.959999,95.360001,95.650002,1032800,95.650002
"2021-08-03",96.18,96.290001,94.82,96.209999,1166600,96.209999
"2021-08-04",96.5,98.370003,95.910004,96.639999,1713400,96.639999
"2021-08-05",96.900002,98.93,96.900002,98.129997,1377500,98.129997
"2021-08-06",98.470001,98.910004,96.849998,97.75,978100,97.75
"2021-08-09",97.129997,97.510002,95.940002,96.300003,1272200,96.300003
"2021-08-10",96.199997,96.900002,95.949997,96.309998,1338300,96.309998
"2021-08-11",96.669998,97,95.699997,96.099998,1265500,96.099998
"2021-08-12",95.620003,96.269997,94.900002,95.599998,1666300,95.599998
"2021-08-13",95.410004,95.510002,94.400002,95.379997,735800,95.379997
"2021-08-16",94.989998,94.989998,93.709999,94.339996,1060500,94.339996
"2021-08-17",93.660004,94.089996,92.18,92.919998,1481700,92.919998
"2021-08-18",92.760002,93.209999,91.739998,91.839996,1103000,91.839996
"2021-08-19",91.139999,91.779999,90.040001,91.760002,1120500,91.760002
"2021-08-20",91.510002,93.040001,90.730003,92.660004,1183900,92.660004
"2021-08-23",93.199997,93.260002,92.400002,93.160004,800200,93.160004
"2021-08-24",93.160004,93.919998,92.599998,92.889999,943300,92.889999
"2021-08-25",92.529999,94.970001,92.18,94.489998,1175900,94.489998
"2021-08-26",94.459999,94.68,93.300003,93.639999,967000,93.639999
"2021-08-27",94.129997,96.120003,94.129997,95.620003,932500,95.620003
"2021-08-30",95.629997,96.220001,95.07,96.019997,901100,96.019997
"2021-08-31",96.089996,97.519997,95.889999,96.300003,2170400,96.300003
"2021-09-01",96.699997,97.849998,95.580002,97.349998,1628000,97.349998
"2021-09-02",97.720001,98.110001,96.82,97.900002,1121500,97.900002
"2021-09-03",97.730003,98.669998,97.5,98.559998,1157700,98.559998
"2021-09-07",98.089996,98.510002,97.300003,97.980003,1631700,97.980003
"2021-09-08",97.599998,98.389999,97.220001,98.080002,1008500,98.080002
"2021-09-09",97.889999,99.239998,97.419998,98.139999,1544500,98.139999
"2021-09-10",98.739998,99.730003,96.739998,96.910004,1241300,96.910004
"2021-09-13",97.870003,98.540001,97.120003,98.010002,1022800,98.010002
"2021-09-14",98.239998,98.389999,96.169998,96.459999,1138300,96.459999
"2021-09-15",96.459999,97.809998,95.980003,97.410004,878400,97.410004
"2021-09-16",97.260002,98.209999,96.949997,97.290001,736300,97.290001
"2021-09-17",96.309998,97.639999,95.209999,95.779999,2250500,95.779999
"2021-09-20",94.239998,94.660004,93.019997,94.529999,1563600,94.529999
"2021-09-21",95.57,95.769997,93.559998,93.730003,1088600,93.730003
"2021-09-22",95.139999,96.389999,94.379997,95.849998,866300,95.849998
"2021-09-23",96.599998,97.480003,95.959999,96.050003,1215000,96.050003
"2021-09-24",95.459999,96.980003,95.290001,96.519997,811900,96.519997
"2021-09-27",96.809998,97.959999,96.059998,97.099998,1594800,97.099998
"2021-09-28",96.419998,97.580002,95.589996,97.080002,1328400,97.080002
"2021-09-29",97.839996,99.010002,97.459999,98.610001,1037800,98.610001
"2021-09-30",99.160004,99.519997,96.800003,97.360001,1751900,97.360001
"2021-10-01",97.900002,101.019997,97.379997,100.449997,1585500,100.449997
"2021-10-04",100.120003,101.660004,98.800003,99.040001,1175000,99.040001
"2021-10-05",99.040001,100.470001,96.839996,99.879997,1152200,99.879997
"2021-10-06",98.830002,99.459999,95.75,97.089996,1815700,97.089996
"2021-10-07",98.050003,99.93,97.5,98.639999,1312500,98.639999
"2021-10-08",98.550003,99.129997,96.75,97.099998,994700,97.099998
"2021-10-11",97.230003,98.599998,96.949997,97.690002,935500,97.690002
"2021-10-12",98.07,98.519997,97.050003,98.029999,831200,98.029999
"2021-10-13",98.019997,98.370003,96.690002,98.300003,770300,98.300003
"2021-10-14",99.529999,101.459999,98.900002,101.07,1068000,101.07
"2021-10-15",101.82,102.32,101.07,101.470001,895100,101.470001
"2021-10-18",101.370003,102.690002,101.07,102.050003,972800,102.050003
"2021-10-19",103.129997,103.129997,101.690002,101.940002,1053800,101.940002
"2021-10-20",101.550003,103.07,100.650002,102.199997,1475900,102.199997
"2021-10-21",101.760002,103.389999,101.5,102.349998,1222100,102.349998
"2021-10-22",102.910004,104.260002,102.25,103.919998,856100,103.919998
"2021-10-25",104.480003,105.150002,103.440002,104.900002,793100,104.900002
"2021-10-26",105.279999,106.050003,104.540001,104.589996,1048800,104.589996
"2021-10-27",104.32,106.059998,103.349998,103.519997,1044400,103.519997
"2021-10-28",101.209999,105.629997,100.25,105,1680100,105
"2021-10-29",104.730003,105.07,103.239998,104.080002,2065300,104.080002
"2021-11-01",104.959999,104.989998,100.919998,101.230003,1326300,101.230003
"2021-11-02",101.470001,102.919998,101.260002,102.120003,1030100,102.120003
"2021-11-03",102.099998,105.099998,101.25,104.82,1104100,104.82
"2021-11-04",105.139999,106.760002,104.330002,105.379997,962200,105.379997
"2021-11-05",106.760002,107.879997,106.239998,106.68,898400,106.68
"2021-11-08",107.230003,107.230003,105.660004,106.019997,727500,106.019997
"2021-11-09",105.980003,107.510002,105.790001,106.019997,1062200,106.019997
"2021-11-10",105.720001,106.449997,104.370003,104.940002,1080800,104.940002
"2021-11-11",105.099998,105.800003,104.449997,105.370003,693700,105.370003
"2021-11-12",105.419998,105.730003,104.529999,105.290001,674300,105.290001
"2021-11-15",105.550003,105.769997,104.129997,104.589996,788900,104.589996
"2021-11-16",105.059998,105.339996,103.650002,103.790001,1331900,103.790001
"2021-11-17",103.559998,103.639999,99.779999,100.550003,2355600,100.550003
"2021-11-18",101.199997,101.199997,98.860001,99.610001,1989900,99.610001
"2021-11-19",99.68,100.900002,98.540001,99.690002,1686200,99.690002
"2021-11-22",100.370003,101.43,98.980003,99,1504800,99
"2021-11-23",101.470001,104.199997,101.050003,103.839996,1709600,103.839996
"2021-11-24",103.330002,105,102.690002,104.239998,1165500,104.239998
"2021-11-26",100.589996,101.150002,97.239998,98.089996,1559500,98.089996
"2021-11-29",99.75,100.07,96.860001,97.959999,2132900,97.959999
"2021-11-30",96.739998,97.959999,94.629997,95.57,4115200,95.57
"2021-12-01",97.389999,98.910004,94.720001,95.019997,2564800,95.019997
"2021-12-02",95.730003,100.839996,95.730003,99.919998,2303300,99.919998
"2021-12-03",100.5,101.300003,97.760002,98.540001,1537500,98.540001
"2021-12-06",99.830002,102.470001,99.18,101,1866000,101
"2021-12-07",102.279999,103.540001,102.010002,102.309998,1908600,102.309998
"2021-12-08",102.32,104.550003,102.07,102.809998,1540500,102.809998
"2021-12-09",102.5,103.629997,102.050003,102.699997,1244400,102.699997
"2021-12-10",103.559998,104.239998,102.540001,103.699997,1194100,103.699997
"2021-12-13",103.57,104.489998,101.739998,104.089996,1713100,104.089996
"2021-12-14",103.290001,104.440002,102.239998,102.849998,1582700,102.849998
"2021-12-15",102.790001,104.68,102.449997,104.540001,1927900,104.540001
"2021-12-16",105.099998,107.970001,105.099998,105.919998,1928600,105.919998
"2021-12-17",105.599998,105.599998,101.5,101.75,3507000,101.75
"2021-12-20",100.230003,100.660004,97.739998,98.949997,1549300,98.949997
"2021-12-21",100.419998,103.290001,100.010002,103.269997,1203000,103.269997
"2021-12-22",103.059998,106.720001,102.860001,105.480003,806600,105.480003
"2021-12-23",106.040001,106.919998,105.730003,105.82,911700,105.82
"2021-12-27",106.099998,107.809998,105.57,107.790001,824200,107.790001
"2021-12-28",107.419998,108.730003,107.18,107.720001,614500,107.720001
"2021-12-29",107.980003,109.07,107.720001,108.580002,522800,108.580002
"2021-12-30",108.5,109.559998,108.309998,108.510002,644100,108.510002
"2021-12-31",108.169998,109.389999,108.169998,108.510002,596900,108.510002
"2022-01-03",109.349998,110.230003,107.690002,108.669998,933300,108.669998
"2022-01-04",110,111,109.129997,110.300003,1390400,110.300003
"2022-01-05",110.18,110.669998,106.43,106.720001,1171900,106.720001
"2022-01-06",107.32,107.769997,105.43,105.709999,1196800,105.709999
"2022-01-07",105.059998,106.330002,104.540001,104.779999,1023800,104.779999
"2022-01-10",104.099998,104.650002,101.599998,103.400002,1247500,103.400002
