"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2020-09-11",147.050003,148.529999,146.630005,147.779999,3934700,141.331253
"2020-09-14",148.119995,149.470001,148.009995,148.350006,4375800,141.876404
"2020-09-15",149.449997,150.589996,148.520004,148.889999,3658800,142.392822
"2020-09-16",149.389999,150.059998,148.350006,148.399994,4323000,141.924194
"2020-09-17",148.039993,148.630005,146.050003,147.169998,5461400,140.747879
"2020-09-18",146.509995,149.649994,146.199997,149.179993,12174000,142.670181
"2020-09-21",147.580002,147.929993,142.960007,145.100006,7574500,138.768234
"2020-09-22",144.690002,145.350006,143.720001,144.210007,5295900,137.917053
"2020-09-23",147.479996,147.550003,144.380005,144.440002,8784400,138.137009
"2020-09-24",144.559998,145.25,143.339996,144.669998,5614800,138.356949
"2020-09-25",144,146.25,143.889999,145.660004,5531200,139.303787
"2020-09-28",146.729996,148.289993,146.419998,147.110001,5843200,140.690506
"2020-09-29",147.600006,147.919998,146.059998,147.059998,6768600,140.642685
"2020-09-30",147.449997,149.729996,146.839996,148.880005,8487700,142.383286
"2020-10-01",149.309998,149.649994,146.460007,147.320007,6457800,140.891342
"2020-10-02",146.210007,148.410004,145.830002,146.240005,5485600,139.858475
"2020-10-05",147,148.380005,146.419998,148.229996,4992800,141.761612
"2020-10-06",148.279999,148.610001,145.869995,146.259995,5118200,139.877579
"2020-10-07",146.490005,148.229996,145.809998,147.880005,5603100,141.426895
"2020-10-08",148.5,149.850006,148.039993,148.889999,4413500,142.392822
"2020-10-09",149.649994,151.479996,149.449997,150.970001,5054100,144.382034
"2020-10-12",151.600006,153.139999,151.020004,151.839996,7273200,145.214096
"2020-10-13",149,150.119995,147.770004,148.360001,11057600,141.885956
"2020-10-14",148.820007,149.029999,147.389999,148.100006,7706400,141.637314
"2020-10-15",147.479996,147.899994,146.330002,147.190002,5978600,140.767014
"2020-10-16",147.600006,148.759995,147.009995,148.100006,6097000,141.637314
"2020-10-19",148.529999,148.899994,144.130005,144.320007,7250800,138.022263
"2020-10-20",144.660004,145.75,144.119995,144.550003,5325400,138.242218
"2020-10-21",144.119995,145.339996,143.910004,143.929993,5221300,137.649277
"2020-10-22",144.160004,145.690002,143.839996,145.080002,5279700,138.749084
"2020-10-23",145.880005,147.470001,144.350006,145.240005,4154400,138.9021
"2020-10-26",144.429993,144.770004,142.75,143.970001,6929500,137.687515
"2020-10-27",143.740005,144.289993,142.919998,143.149994,4890100,136.903305
"2020-10-28",141.429993,141.979996,138.179993,138.360001,8426100,132.322327
"2020-10-29",138,138.699997,136.050003,137.190002,7205400,131.203384
"2020-10-30",136.679993,137.539993,133.649994,137.110001,7364100,131.126877
"2020-11-02",138.979996,139.009995,137.490005,138.690002,7088000,132.637939
"2020-11-03",140.020004,140.960007,137.779999,138.5,6363000,132.456223
