"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2021-04-29",105.440002,106.32,104.639999,105.68,6894700,105.20504
"2021-04-30",105.279999,106.800003,104.639999,104.959999,6237438,104.488281
"2021-05-03",105.919998,108.239998,105.360001,107.599998,7934063,107.116409
"2021-05-04",106.720001,107.120003,104.559998,104.959999,9692275,104.488281
"2021-05-05",105.279999,106.32,104.720001,105.68,6958038,105.20504
"2021-05-06",105.760002,106.480003,104.239998,105.68,7847150,105.20504
"2021-05-07",105.279999,106.720001,104.559998,106.400002,6735088,105.921814
"2021-05-10",106.480003,108.639999,106.400002,106.800003,8195250,106.320023
"2021-05-11",105.519997,106.32,103.519997,104.720001,8501525,104.249352
"2021-05-12",104.639999,105.040001,102.160004,102.559998,8856213,102.09906
"2021-05-13",102.400002,104.32,101.760002,103.760002,8197850,103.293678
"2021-05-14",104.959999,106.400002,104.239998,106.080002,6334675,105.603241
"2021-05-17",105.839996,106.720001,104.959999,105.199997,9542238,104.727188
"2021-05-18",105.440002,106.160004,103.760002,103.760002,6115788,103.293678
"2021-05-19",103.199997,104.800003,102.32,104.720001,7427025,104.249352
"2021-05-20",104.720001,104.879997,103.360001,104.480003,5809338,104.010437
"2021-05-21",104.879997,106.239998,104.400002,105.839996,6665013,105.364311
"2021-05-24",106.32,106.480003,104.959999,105.440002,4876600,104.966125
"2021-05-25",105.599998,106.32,104.800003,104.959999,5916213,104.488281
"2021-05-26",104.959999,107.440002,104.32,107.199997,7533713,106.718208
"2021-05-27",108.800003,115.199997,108.720001,114.800003,23073575,114.284058
"2021-05-28",114.32,114.720001,112.239998,112.480003,9071488,111.974495
"2021-06-01",113.839996,114.720001,112.800003,113.199997,6284613,112.691238
"2021-06-02",113.440002,113.440002,112.080002,112.720001,4992100,112.213394
"2021-06-03",111.919998,114.959999,111.519997,112.720001,7895475,112.213394
"2021-06-04",113.279999,113.599998,110.879997,111.68,8008900,111.17807
"2021-06-07",112,112.559998,110.879997,111.279999,4668638,110.779869
"2021-06-08",111.760002,111.919998,109.760002,111.199997,5515250,110.700226
"2021-06-09",110.160004,110.480003,109.360001,109.839996,6970963,109.346344
"2021-06-10",110.480003,110.959999,108.720001,109.040001,6229850,108.549934
"2021-06-11",109.199997,110.239998,108.559998,109.519997,5295663,109.027779
"2021-06-14",110.239998,110.639999,107.279999,107.760002,5678225,107.275696
"2021-06-15",107.599998,108.559998,106.480003,108.32,4753238,107.833183
"2021-06-16",108,109.199997,106.32,107.519997,8766413,107.036758
"2021-06-17",107.279999,108.080002,103.279999,104,9626675,103.532593
"2021-06-18",102.720001,104.160004,102,102.239998,10258088,101.78051
"2021-06-21",103.120003,105.519997,102.879997,105.519997,6744263,105.045761
"2021-06-22",104.959999,105.599998,103.519997,104.239998,4783575,103.771507
"2021-06-23",104.160004,105.519997,103.519997,103.599998,5459688,103.134384
"2021-06-24",104.480003,105.599998,103.360001,105.199997,5977550,104.727188
"2021-06-25",105.279999,105.919998,104.800003,105.279999,4264450,104.886597
"2021-06-28",105.279999,105.360001,102.32,103.120003,7723450,102.734673
"2021-06-29",104.480003,105.839996,103.68,104.720001,8649650,104.32869
"2021-06-30",105.199997,108.239998,104.400002,107.68,8568975,107.277626
"2021-07-01",108.639999,109.040001,106.879997,107.839996,5836638,107.437027
"2021-07-02",108.32,108.32,106.480003,106.879997,4144988,106.480614
"2021-07-06",106.239998,106.559998,102.559998,103.360001,8829850,102.973778
"2021-07-07",103.040001,104.639999,101.919998,103.839996,7632563,103.451973
"2021-07-08",101.839996,103.519997,100.879997,102.959999,6727850,102.575264
"2021-07-09",104.080002,105.519997,103.519997,105.279999,5165288,104.886597
"2021-07-12",104.480003,105.120003,103.199997,104.879997,6969838,104.488091
"2021-07-13",104.720001,104.720001,103.040001,103.120003,4926450,102.734673
"2021-07-14",103.040001,103.839996,101.760002,102.480003,5588738,102.097061
"2021-07-15",101.519997,103.360001,100.559998,102.080002,6423850,101.698555
"2021-07-16",102.400002,102.959999,100.160004,100.400002,5695475,100.024834
"2021-07-19",97.519997,97.919998,94.559998,96,12362150,95.641273
"2021-07-20",96.080002,101.919998,95.919998,101.599998,9390363,101.220345
"2021-07-21",102.32,104.879997,102.160004,104.639999,8440725,104.248985
"2021-07-22",104.400002,104.480003,101.599998,101.599998,5427875,101.220345
"2021-07-23",102.400002,103.040001,101.040001,101.68,4722413,101.300056
"2021-07-26",101.279999,103.519997,101.040001,103.360001,6728613,102.973778
"2021-07-27",106.639999,107.760002,102.400002,104.639999,14930538,104.248985
"2021-07-28",105.199997,107.839996,104.32,105.040001,8571038,104.647499
