"","ULTA.Open","ULTA.High","ULTA.Low","ULTA.Close","ULTA.Volume","ULTA.Adjusted"
"2020-07-01",202.619995,209.850006,200.830002,203.570007,1223300,203.570007
"2020-07-02",207.839996,208.429993,202.100006,203.589996,789600,203.589996
"2020-07-06",207.149994,209.429993,204.330002,209,985700,209
"2020-07-07",205.610001,206.830002,201.190002,202.929993,974800,202.929993
"2020-07-08",202.300003,204.429993,199.300003,202.020004,999800,202.020004
"2020-07-09",201.949997,202.139999,191.089996,192.300003,1257200,192.300003
"2020-07-10",193.130005,196.529999,191.839996,195.990005,1641500,195.990005
"2020-07-13",197.880005,199.360001,192.460007,192.710007,1236800,192.710007
"2020-07-14",191.800003,193.339996,186.979996,191.940002,1410700,191.940002
"2020-07-15",199.050003,205.240005,197.75,203.809998,1331300,203.809998
"2020-07-16",200.380005,203.830002,200.369995,203.179993,830400,203.179993
"2020-07-17",203.070007,206.5,201.899994,203,734100,203
"2020-07-20",202.130005,202.399994,196,200.059998,742600,200.059998
"2020-07-21",198,207.850006,196.25,201.960007,1273700,201.960007
"2020-07-22",201.429993,206.070007,200.589996,205.440002,749700,205.440002
"2020-07-23",204.619995,209.169998,203.119995,205.639999,944800,205.639999
"2020-07-24",204.490005,206.320007,202.449997,203.710007,645900,203.710007
"2020-07-27",202.25,202.539993,195.770004,198.839996,1253700,198.839996
"2020-07-28",198.75,202.160004,197.179993,197.559998,595100,197.559998
"2020-07-29",198.910004,205.5,198.529999,203.020004,720200,203.020004
"2020-07-30",200.259995,200.770004,196.210007,198.610001,938600,198.610001
"2020-07-31",198.529999,199.270004,190.839996,192.990005,1306900,192.990005
"2020-08-03",193.139999,193.690002,188.179993,191.289993,1238500,191.289993
"2020-08-04",191.580002,199.110001,191.289993,198.490005,1099400,198.490005
"2020-08-05",199.880005,203.300003,198.110001,201.960007,913400,201.960007
"2020-08-06",200.850006,206.600006,200.850006,204.009995,816800,204.009995
"2020-08-07",204,204.369995,201.410004,203.880005,564400,203.880005
"2020-08-10",205.360001,220.449997,205.020004,219.119995,1666000,219.119995
"2020-08-11",221.929993,226.360001,214.669998,216.190002,1148900,216.190002
"2020-08-12",217.839996,218.720001,212.330002,217.779999,584200,217.779999
"2020-08-13",215.529999,223.110001,215.529999,222.419998,739500,222.419998
"2020-08-14",222.520004,226.589996,219.130005,225.419998,734500,225.419998
"2020-08-17",226.429993,229,220.440002,224.080002,701200,224.080002
"2020-08-18",222.869995,223.580002,215.789993,216.240005,927100,216.240005
"2020-08-19",215.240005,218.369995,212.169998,213.360001,845900,213.360001
"2020-08-20",208.5,210.009995,203.899994,205.399994,1344900,205.399994
"2020-08-21",204.389999,215.199997,203.990005,214,1456400,214
"2020-08-24",214.940002,222.5,210.479996,222.5,1195400,222.5
"2020-08-25",223.270004,224,217.5,219.779999,870300,219.779999
"2020-08-26",219.020004,223.490005,216.059998,220.759995,1023300,220.759995
"2020-08-27",222.490005,226.139999,219.610001,223.949997,2733000,223.949997
"2020-08-28",253.949997,256.600006,234.550003,237.020004,6579300,237.020004
"2020-08-31",235.199997,237.699997,230.800003,232.179993,1307600,232.179993
"2020-09-01",230.529999,233.100006,227.820007,232.880005,1111200,232.880005
"2020-09-02",233.610001,238.139999,230,237.660004,904200,237.660004
"2020-09-03",237.979996,242.580002,234.729996,238.039993,973400,238.039993
"2020-09-04",239.330002,244,236.229996,240.509995,1142500,240.509995
"2020-09-08",234.169998,239.720001,233.029999,233.25,976200,233.25
"2020-09-09",233.720001,237.130005,232.199997,235.399994,990300,235.399994
"2020-09-10",239.270004,242.899994,231.589996,232.100006,897600,232.100006
"2020-09-11",233.429993,233.970001,223.399994,228.899994,867300,228.899994
"2020-09-14",231,234.630005,230.190002,234.139999,796900,234.139999
"2020-09-15",236.110001,241.229996,235.860001,237.320007,745600,237.320007
"2020-09-16",238.720001,244,233.25,239.940002,1012700,239.940002
"2020-09-17",235.919998,238.899994,232.509995,234.729996,803400,234.729996
"2020-09-18",236.740005,238.630005,230.070007,231.740005,982500,231.740005
"2020-09-21",226.789993,227.080002,220.529999,225.880005,900500,225.880005
"2020-09-22",227.199997,230.5,222.100006,223.960007,701900,223.960007
"2020-09-23",224.149994,228.139999,216.179993,217.039993,810700,217.039993
