"","URI.Open","URI.High","URI.Low","URI.Close","URI.Volume","URI.Adjusted"
"2020-07-01",150,151.669998,145.399994,145.800003,950900,145.800003
"2020-07-02",149.309998,152.880005,147.080002,147.910004,1019300,147.910004
"2020-07-06",150.839996,152.25,149.5,150.740005,769600,150.740005
"2020-07-07",149.119995,151.960007,147.5,147.570007,935300,147.570007
"2020-07-08",147.320007,149.360001,145.100006,148.649994,769800,148.649994
"2020-07-09",149.029999,149.869995,142.009995,143.660004,848000,143.660004
"2020-07-10",143.960007,148.929993,143.710007,147.830002,921400,147.830002
"2020-07-13",151.130005,155.389999,149.160004,152.199997,1256500,152.199997
"2020-07-14",151.160004,157.720001,149.639999,157.149994,953200,157.149994
"2020-07-15",160.289993,161.949997,157.460007,160.800003,987400,160.800003
"2020-07-16",160.080002,162.589996,157.639999,158.440002,785700,158.440002
"2020-07-17",159.460007,160.479996,157.75,159.080002,608700,159.080002
"2020-07-20",158,159.5,156.490005,157.240005,517400,157.240005
"2020-07-21",159.149994,163.080002,158.889999,160.300003,824600,160.300003
"2020-07-22",158.880005,163.199997,158.880005,162.75,832000,162.75
"2020-07-23",162.830002,165.850006,161.580002,163.490005,763400,163.490005
"2020-07-24",163.610001,164.440002,160.800003,160.880005,632400,160.880005
"2020-07-27",160.070007,163.899994,159.240005,163.289993,865400,163.289993
"2020-07-28",161.240005,162.289993,157.699997,158.330002,760000,158.330002
"2020-07-29",158.690002,163.589996,158.479996,163.419998,1060800,163.419998
"2020-07-30",161.360001,161.789993,153.759995,156.910004,1861300,156.910004
"2020-07-31",157.350006,157.350006,151.410004,155.369995,1198400,155.369995
"2020-08-03",156.699997,159.979996,155.399994,159.630005,770300,159.630005
"2020-08-04",159.149994,162.360001,158.809998,160.839996,714300,160.839996
"2020-08-05",162.5,169.940002,161.539993,169.559998,1113300,169.559998
"2020-08-06",169.220001,169.869995,167.229996,168.649994,657900,168.649994
"2020-08-07",167.740005,174.110001,167.639999,173.589996,875400,173.589996
"2020-08-10",174.149994,184.210007,174.149994,181.259995,1279500,181.259995
"2020-08-11",183.320007,186.779999,174.860001,175.619995,1644300,175.619995
"2020-08-12",178.029999,180.509995,176.190002,178.600006,588600,178.600006
"2020-08-13",178.130005,181.929993,177.630005,178.369995,676200,178.369995
"2020-08-14",177.789993,181.75,176.910004,179.330002,677900,179.330002
"2020-08-17",179.210007,181.330002,178.729996,179.080002,497800,179.080002
"2020-08-18",179.020004,179.449997,176.220001,176.559998,483300,176.559998
"2020-08-19",176.229996,177.979996,174.919998,175.429993,804400,175.429993
"2020-08-20",172.639999,175.699997,172.089996,174.550003,584900,174.550003
"2020-08-21",174.850006,176.149994,173.690002,175.059998,464800,175.059998
"2020-08-24",177.380005,180.350006,175.419998,176.970001,1076700,176.970001
"2020-08-25",178.070007,179.910004,174.949997,176.820007,421400,176.820007
"2020-08-26",175.679993,178.690002,174.009995,177.589996,608600,177.589996
"2020-08-27",178,180,177.279999,179.020004,518200,179.020004
"2020-08-28",179.490005,182.789993,178.889999,182.529999,516900,182.529999
"2020-08-31",181.850006,182.470001,176.970001,177.050003,695300,177.050003
"2020-09-01",176.020004,183.210007,175.289993,182.539993,935900,182.539993
"2020-09-02",182.490005,185.289993,177.75,184.580002,788800,184.580002
"2020-09-03",183,183.610001,171.660004,174.389999,1006700,174.389999
"2020-09-04",177.690002,179.289993,170.669998,176.429993,966500,176.429993
"2020-09-08",171.610001,176.309998,168.5,172.369995,912200,172.369995
"2020-09-09",174.889999,177.410004,173.899994,175.889999,797400,175.889999
"2020-09-10",176.899994,177.139999,171.399994,171.960007,808100,171.960007
"2020-09-11",173.460007,175.350006,172.220001,174.630005,445300,174.630005
"2020-09-14",177.490005,178.300003,174.910004,176.580002,432200,176.580002
"2020-09-15",177.919998,178.970001,175.270004,176.559998,623800,176.559998
"2020-09-16",177.190002,183.100006,175.429993,181.550003,807700,181.550003
"2020-09-17",178.279999,184,175.889999,180.779999,859100,180.779999
"2020-09-18",180.059998,181.440002,173.589996,176.199997,1305100,176.199997
"2020-09-21",171.199997,172.050003,164.289993,167.479996,746400,167.479996
"2020-09-22",167.699997,168.75,165.320007,167.970001,586100,167.970001
"2020-09-23",168.320007,170.990005,161.75,161.979996,828400,161.979996
"2020-09-24",161.25,168.029999,159.009995,166.630005,1068200,166.630005
