"","LDOS.Open","LDOS.High","LDOS.Low","LDOS.Close","LDOS.Volume","LDOS.Adjusted"
"2020-07-01",93.730003,94.300003,92.459999,93.309998,1741700,90.662468
"2020-07-02",94.620003,95.279999,93.510002,93.639999,763900,90.983109
"2020-07-06",94.779999,94.779999,88.150002,88.449997,1661500,85.940353
"2020-07-07",87.879997,89.489998,87.610001,87.889999,1724200,85.396255
"2020-07-08",88.129997,88.279999,86.089996,88.059998,1371400,85.561424
"2020-07-09",88,88.220001,85.660004,86.410004,1550400,83.958244
"2020-07-10",86.580002,88.099998,86.510002,87.910004,987300,85.415695
"2020-07-13",88.550003,88.959999,84.779999,85.040001,1158800,82.627121
"2020-07-14",84.660004,86.230003,84.050003,86.199997,1424700,83.754196
"2020-07-15",87.709999,88.57,87.419998,87.82,737500,85.328239
"2020-07-16",87.129997,87.370003,85.879997,86.580002,808600,84.123436
"2020-07-17",87.150002,88.589996,86.629997,88.169998,1112100,85.668312
"2020-07-20",87.699997,88.730003,87.510002,88.639999,767100,86.124985
"2020-07-21",88.709999,90.540001,88.629997,89.110001,992400,86.581642
"2020-07-22",89.080002,91.650002,88.989998,91.370003,624800,88.777527
"2020-07-23",91.330002,92.199997,90.389999,90.669998,648400,88.097382
"2020-07-24",90.360001,91.32,90.110001,91.07,754800,88.486031
"2020-07-27",90.660004,91.029999,89.650002,90.160004,861400,87.601852
"2020-07-28",90,91.470001,89.849998,90.18,922100,87.621284
"2020-07-29",90.860001,92.190002,90.589996,91.970001,965900,89.360489
"2020-07-30",91.010002,92.540001,90.809998,92.360001,633100,89.739426
"2020-07-31",92.370003,95.190002,91.519997,95.160004,1120500,92.459991
"2020-08-03",95.360001,98.589996,94.900002,98.300003,1197100,95.510887
"2020-08-04",98.410004,99.879997,91.339996,92.269997,2465300,89.651978
"2020-08-05",92.110001,92.739998,89.330002,89.730003,1235100,87.184052
"2020-08-06",89.949997,91.580002,89.559998,91.010002,1241600,88.427742
"2020-08-07",91.209999,93.82,90.68,93.209999,1511400,90.565315
"2020-08-10",92.870003,95.279999,92.870003,94.419998,1144200,91.740974
"2020-08-11",94.860001,96.699997,94.709999,95.949997,1437000,93.227562
"2020-08-12",96.209999,96.739998,93.139999,94.410004,1288900,91.731262
"2020-08-13",94,95.519997,94,94.389999,999300,91.71183
"2020-08-14",94.330002,95.339996,94.209999,94.720001,620500,92.032463
"2020-08-17",94.790001,95.199997,91.970001,92.239998,899000,89.622826
"2020-08-18",92.25,92.779999,91.510002,91.809998,866700,89.205025
"2020-08-19",91.830002,93.230003,91.589996,92.599998,865700,89.97261
"2020-08-20",91.879997,92.040001,90.809998,91.019997,794000,88.437439
"2020-08-21",91.199997,91.370003,88.940002,89.169998,1046900,86.639946
"2020-08-24",89.589996,90.82,89.099998,90.809998,836400,88.233398
"2020-08-25",90.959999,91.93,90.400002,90.620003,596800,88.048805
"2020-08-26",90.449997,90.800003,89.050003,90.540001,804900,87.971069
"2020-08-27",90.849998,91.870003,90.43,91.68,643300,89.078735
"2020-08-28",92.220001,92.220001,90.730003,91.309998,568200,88.719208
"2020-08-31",90.830002,90.870003,88.959999,90.489998,1467300,87.922478
"2020-09-01",90.059998,90.370003,88.199997,89.699997,929900,87.154892
"2020-09-02",89.82,91.879997,89.5,91.639999,903900,89.039848
"2020-09-03",91.75,91.75,88.220001,89.010002,1155900,86.484482
"2020-09-04",89.260002,90.470001,86.959999,88.489998,1057300,85.979233
"2020-09-08",87.129997,87.900002,85.629997,86.550003,1176300,84.094276
"2020-09-09",87.43,87.889999,86.300003,87.169998,805600,84.696678
"2020-09-10",87.589996,88.07,85.599998,85.900002,973100,83.462715
"2020-09-11",86.760002,87.389999,86.330002,87.169998,621000,84.696678
"2020-09-14",87.660004,89.480003,87.610001,88.339996,714700,86.169579
"2020-09-15",88.720001,89.790001,88.449997,88.739998,1082600,86.559753
"2020-09-16",88.970001,90.089996,88.970001,89.099998,934400,86.910912
