"","FRC.Open","FRC.High","FRC.Low","FRC.Close","FRC.Volume","FRC.Adjusted"
"2020-08-28",116.059998,116.139999,114.25,114.739998,439100,113.475899
"2020-08-31",114.330002,114.779999,112.849998,112.910004,729300,111.666061
"2020-09-01",112.440002,113.839996,111.849998,113.370003,616100,112.120987
"2020-09-02",113.089996,115.099998,112.68,114.389999,1261700,113.129753
"2020-09-03",115.349998,116.760002,112.5,112.989998,1083300,111.745171
"2020-09-04",114.959999,115.809998,112.720001,114.529999,739500,113.268211
"2020-09-08",113.410004,113.459999,109.379997,110.110001,818700,108.896904
"2020-09-09",110.779999,111.080002,109.059998,109.489998,636000,108.283722
"2020-09-10",109.68,110.589996,107.050003,107.5,872400,106.315651
"2020-09-11",107.370003,108.110001,106.019997,106.980003,672300,105.801384
"2020-09-14",107.769997,109.540001,107.419998,107.900002,560000,106.711243
"2020-09-15",108.339996,109.080002,107.050003,108.07,641700,106.879395
"2020-09-16",108.050003,109.57,107.360001,108.379997,849000,107.185966
"2020-09-17",107.129997,108.489998,106.610001,107.879997,721100,106.691475
"2020-09-18",107.089996,108.889999,107.029999,108.43,1134500,107.235413
"2020-09-21",106.050003,107.529999,104.300003,105.860001,884600,104.693733
"2020-09-22",105.599998,106.830002,101.760002,103.199997,1242600,102.063019
"2020-09-23",103.389999,104.580002,100.849998,100.940002,649000,99.827942
"2020-09-24",101.529999,104.190002,100.379997,102.989998,880400,101.855331
"2020-09-25",102.110001,105.099998,102.110001,104.910004,662100,103.754196
"2020-09-28",106.360001,109.199997,105.940002,108.169998,975300,106.978279
"2020-09-29",107.639999,108.970001,107.309998,107.669998,927700,106.483788
"2020-09-30",108,110.260002,107.779999,109.059998,842400,107.858475
"2020-10-01",109.809998,110.879997,108.43,110.370003,658800,109.154037
"2020-10-02",109.199997,113.220001,108.669998,112.940002,545600,111.695732
"2020-10-05",114.029999,117.489998,114.019997,117.370003,612900,116.07692
"2020-10-06",118.860001,121.660004,117.879997,118.790001,1283700,117.481277
"2020-10-07",120,123.900002,119.889999,122.730003,1188200,121.377861
"2020-10-08",123.080002,123.910004,120.32,123.760002,737400,122.396523
"2020-10-09",124.190002,124.800003,122.089996,123.720001,563300,122.356956
"2020-10-12",123.629997,125.809998,123.489998,125.610001,978400,124.226135
"2020-10-13",125.459999,128.789993,122.639999,123.75,1160600,122.386627
"2020-10-14",125,125.610001,120.940002,121.139999,673700,119.805389
"2020-10-15",120.529999,125.68,120.029999,125.620003,787600,124.236031
"2020-10-16",126.120003,127.370003,124.919998,126.779999,749700,125.38324
"2020-10-19",126.910004,128.470001,125.459999,125.919998,839100,124.532715
"2020-10-20",126.910004,129.229996,126.690002,127.660004,927600,126.253555
"2020-10-21",127.660004,129.100006,127.400002,128.039993,989300,126.629379
"2020-10-22",128.389999,130.789993,127.589996,130.619995,726100,129.180923
"2020-10-23",131.509995,131.600006,129.339996,130.979996,800900,129.536972
"2020-10-26",129.460007,129.759995,127.379997,128.669998,660200,127.252411
"2020-10-27",128.179993,128.690002,125.519997,125.75,821300,124.364594
"2020-10-28",123.529999,125.529999,122.830002,123.800003,654700,122.631126
"2020-10-29",123.660004,125.800003,122.730003,125.18,722000,123.998085
"2020-10-30",124.949997,126.75,124.32,126.139999,897700,124.949013
"2020-11-02",127.610001,127.809998,125.790001,127.220001,865500,126.018837
"2020-11-03",129.800003,131.029999,128.389999,129.100006,973000,127.881096
"2020-11-04",125.949997,127.360001,123.010002,123.269997,1539200,122.10611
"2020-11-05",123.82,128.300003,123.440002,127.720001,950600,126.514107
"2020-11-06",129.509995,131.179993,128.729996,129.770004,855600,128.544754
"2020-11-09",140.600006,142.139999,131.339996,137.240005,1448200,135.944229
"2020-11-10",137.520004,138.669998,134.220001,134.839996,1433400,133.566879
"2020-11-11",135.539993,136.970001,134.369995,134.899994,1302600,133.626312
"2020-11-12",129.979996,131.360001,127.599998,131.300003,2212000,130.060318
"2020-11-13",132.580002,134.470001,132.149994,133.970001,926700,132.705093
"2020-11-16",136.839996,138.089996,133.179993,135.279999,862400,134.002731
"2020-11-17",133.850006,134.520004,132.339996,134.470001,818000,133.200363
"2020-11-18",135.240005,135.839996,133.110001,133.110001,657900,131.85321
"2020-11-19",132.809998,132.809998,131.259995,132.240005,480100,130.991455
"2020-11-20",131.759995,132.149994,129.490005,129.899994,941000,128.673508
"2020-11-23",131.699997,132.470001,130.25,130.729996,639300,129.495682
"2020-11-24",132.860001,134.809998,132.380005,134.619995,1133400,133.348953
"2020-11-25",134.539993,134.539993,131.479996,132.960007,689500,131.704651
"2020-11-27",133.029999,133.029999,129.860001,130.339996,804200,129.109375
"2020-11-30",129.919998,130.860001,128.75,129.559998,1012800,128.336716
"2020-12-01",131.449997,132.75,130.580002,131.410004,1013200,130.169266
"2020-12-02",131.089996,132.369995,130.229996,131.679993,534100,130.436707
"2020-12-03",131.5,131.979996,129.539993,129.809998,651500,128.584351
