"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2020-07-01",158.850006,163.649994,155.759995,156.660004,17967500,152.868256
"2020-07-02",158.600006,159.720001,155.279999,155.479996,4046900,151.716812
"2020-07-06",157.899994,158.399994,153.660004,156.270004,3015800,152.487686
"2020-07-07",154.270004,159.949997,154.130005,158.539993,2582800,154.702744
"2020-07-08",158.119995,159.380005,156.270004,158.559998,2110700,154.72226
"2020-07-09",158,158.75,155.320007,155.740005,2238300,151.970535
"2020-07-10",156.199997,159.009995,155.970001,158.589996,1746200,154.751526
"2020-07-13",160,160.220001,155.660004,156.229996,1735900,152.448654
"2020-07-14",156.229996,158.919998,155.529999,158.5,1641100,154.663696
"2020-07-15",160.419998,162.529999,159.039993,161.25,3332800,157.347153
"2020-07-16",161.770004,167.100006,160.470001,166.100006,4100000,162.079788
"2020-07-17",167.279999,168.119995,164.910004,165.979996,2047900,161.962662
"2020-07-20",164.889999,165.550003,162.809998,164.130005,1593300,160.157471
"2020-07-21",165.100006,167.559998,164.410004,165.5,1731700,161.494278
"2020-07-22",164.639999,165.940002,163.440002,165.139999,1231800,161.143005
"2020-07-23",165.410004,167.389999,164.649994,165.990005,1387200,161.972458
"2020-07-24",164.690002,166.880005,164.190002,165.039993,1545900,161.045395
"2020-07-27",165,170.720001,163.860001,170.639999,2926400,166.509888
"2020-07-28",169.419998,170.330002,166.710007,166.929993,2374500,162.889664
"2020-07-29",167.100006,171.369995,167.009995,169.550003,4623800,165.446259
"2020-07-30",174.149994,174.5,169.860001,172.710007,5407300,168.529785
"2020-07-31",172,172.710007,167.990005,168.399994,2488000,164.324081
"2020-08-03",169.550003,170.589996,168.529999,169.220001,1503400,165.124252
"2020-08-04",169.220001,171.479996,169.199997,170.660004,1264000,166.529388
"2020-08-05",171.850006,172.419998,170.240005,171.699997,1309000,167.544235
"2020-08-06",172,173.479996,171.320007,172.240005,1364900,168.071152
"2020-08-07",172.470001,183.880005,172.470001,183.529999,6311100,179.087891
"2020-08-10",188.160004,200.460007,187.339996,199.979996,10815100,195.139755
"2020-08-11",199.990005,203.589996,195.139999,196.449997,5998200,191.69519
"2020-08-12",200,206.240005,199.020004,201.960007,6238400,197.071838
"2020-08-13",200.679993,204.789993,199.610001,203.860001,3663800,198.925842
"2020-08-14",202.070007,209.639999,201.860001,208.600006,4633000,203.551132
"2020-08-17",210,211.559998,206.039993,206.639999,2662000,201.638565
"2020-08-18",206.369995,208.429993,204.179993,206.970001,3040400,201.960556
"2020-08-19",206.839996,210.940002,206.839996,207.880005,2218000,202.848557
"2020-08-20",206.229996,209.199997,205.059998,208.820007,1532800,203.765793
"2020-08-21",209.160004,212.940002,208.5,210.490005,2034100,205.39537
"2020-08-24",212.960007,217.949997,211.990005,217.399994,3393700,212.138138
"2020-08-25",219.169998,219.580002,213.220001,214.309998,2160200,209.12294
"2020-08-26",215.729996,217.119995,214.080002,215.770004,1518200,210.547577
"2020-08-27",216.100006,218.880005,215.080002,218.210007,2014900,212.928543
"2020-08-28",218.229996,223.660004,218.009995,221.899994,2996100,216.52919
"2020-08-31",221.800003,224.199997,219.800003,219.839996,1839300,214.519058
"2020-09-01",219.990005,226.550003,219.139999,225.460007,1901800,220.003036
"2020-09-02",227.119995,229,223.070007,227.910004,1680700,222.393738
"2020-09-03",228.130005,231.580002,218.589996,220.970001,4003800,216.238434
"2020-09-04",222.460007,228.240005,217.399994,226.119995,2879800,221.278152
"2020-09-08",223.789993,225.75,219.720001,221.050003,2121100,216.316727
"2020-09-09",226,228.850006,224.119995,225.75,3222700,220.916077
"2020-09-10",229.490005,229.490005,222.889999,224.440002,2443300,219.634125
"2020-09-11",226.440002,233.669998,225.470001,232.789993,4865200,227.805313
