"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"2020-07-01",50.290001,51.5,48.119999,48.220001,3064900,46.299541
"2020-07-02",49.799999,51.07,48.68,48.849998,3037400,46.904449
"2020-07-06",50.650002,51.400002,49.84,50.610001,2768900,48.594357
"2020-07-07",49.990002,50.200001,47.860001,48.150002,4029500,46.232327
"2020-07-08",48.400002,49.040001,47.400002,48.68,3476400,46.741222
"2020-07-09",48.349998,48.419998,45.400002,46.450001,3955300,44.600029
"2020-07-10",46.509998,48.450001,46.029999,48.380001,3620200,46.453167
"2020-07-13",48.990002,49.799999,47.259998,48.18,3420500,46.261131
"2020-07-14",47.75,48.220001,46.82,47.52,2835600,45.627415
"2020-07-15",48.619999,50.689999,48.619999,50.349998,3759100,48.344707
"2020-07-16",49.790001,51.360001,49.389999,50.290001,2218800,48.287102
"2020-07-17",50.400002,50.740002,48.75,48.990002,2520300,47.038879
"2020-07-20",48.5,48.849998,47.419998,47.490002,2861300,45.598618
"2020-07-21",48.169998,49.419998,47.860001,49.009998,4531700,47.058075
"2020-07-22",48.18,51.099998,48.18,50.700001,4272700,48.680771
"2020-07-23",50.310001,52.98,49.810001,51.630001,6655300,49.57373
"2020-07-24",51.73,52.099998,50.669998,50.82,3763800,48.795986
"2020-07-27",50.34,52.240002,49.459999,51.759998,3654400,49.698555
"2020-07-28",51.16,51.889999,50.049999,50.110001,2728900,48.114265
"2020-07-29",50.16,51.860001,49.720001,51.830002,2583100,49.76577
"2020-07-30",50.369999,50.48,49.290001,50.41,2372800,48.402321
"2020-07-31",50.310001,50.529999,48.360001,49.43,2568400,47.461353
"2020-08-03",49.700001,50.34,48.990002,49.5,3619800,47.528564
"2020-08-04",49.439999,49.720001,48.610001,48.720001,3489300,46.779625
"2020-08-05",49.349998,50.540001,49.23,50.450001,3870100,48.440731
"2020-08-06",50.099998,50.799999,49.43,50.110001,2010200,48.114265
"2020-08-07",49.610001,51.43,48.98,51.389999,2912500,49.343288
"2020-08-10",51.610001,54.369999,51.52,53.77,3748800,51.628502
"2020-08-11",55.68,57.669998,55.099998,55.759998,3754300,53.539242
"2020-08-12",56.939999,56.950001,53.580002,54.490002,3228900,52.319824
"2020-08-13",53.580002,54.759998,53.200001,53.43,1839100,51.302048
"2020-08-14",52.950001,54.869999,52.619999,54.299999,1521200,52.13739
"2020-08-17",54.150002,54.32,52.580002,52.59,2820800,50.495495
"2020-08-18",52.619999,52.990002,50.799999,50.939999,3254200,48.911213
"2020-08-19",50.509998,51.439999,49.860001,50.810001,1891100,49.21146
"2020-08-20",50.040001,50.57,49.75,49.939999,1923100,48.368824
"2020-08-21",49.939999,50.259998,48.919998,49.57,2215300,48.010475
"2020-08-24",49.919998,52.470001,49.830002,52.389999,2580600,50.741753
"2020-08-25",53,53.419998,51.48,52.220001,2119400,50.577099
"2020-08-26",52.110001,52.630001,51.259998,51.529999,2946300,49.908806
"2020-08-27",51.700001,54.25,51.360001,53.709999,3843300,52.020222
"2020-08-28",54.07,54.389999,53.240002,54.25,2253800,52.543236
"2020-08-31",54.259998,54.259998,53.060001,53.080002,3310300,51.410038
"2020-09-01",52.43,53.599998,52.110001,52.970001,1649400,51.303505
"2020-09-02",52.939999,53.919998,52.560001,53.68,1826500,51.991169
"2020-09-03",54.220001,55.990002,54.009998,55.419998,5154300,53.676422
"2020-09-04",56.259998,59.23,56.209999,57.119999,5363400,55.322933
"2020-09-08",56.150002,57.189999,54.959999,55.110001,3531400,53.376175
"2020-09-09",55.720001,55.720001,54.220001,55.040001,1933400,53.308372
"2020-09-10",55.509998,56.939999,53.889999,54.07,1984200,52.368893
"2020-09-11",54.279999,55.029999,53.990002,54.740002,2275100,53.017818
"2020-09-14",55.580002,58.639999,55.470001,57.990002,3468800,56.165573
"2020-09-15",58.110001,59.540001,56.860001,57.049999,3556900,55.255138
"2020-09-16",57.23,60.450001,56.68,59.220001,4180600,57.356876
"2020-09-17",58.299999,60.099998,57.91,59.540001,4110100,57.666801
"2020-09-18",59.330002,60.209999,58.549999,59.029999,4608500,57.172848
"2020-09-21",56.439999,57.09,54.610001,55.02,4310600,53.289005
"2020-09-22",54.689999,55.32,52.779999,54.52,4955000,52.804737
"2020-09-23",54.790001,56.029999,53.150002,53.23,2119800,51.555325
"2020-09-24",53.080002,54.189999,51.740002,53.139999,1687300,51.468151
"2020-09-25",52.66,54.509998,52.610001,54.130001,1607300,52.42701
"2020-09-28",55.790001,57.279999,55.470001,56.459999,3821900,54.683701
"2020-09-29",56.259998,57.029999,55.25,55.639999,2283700,53.8895
"2020-09-30",56.099998,58.630001,56.099998,57.779999,4271200,55.962173
"2020-10-01",57.630001,58.93,57.240002,58.91,2721000,57.056622
"2020-10-02",57.560001,61.110001,56.939999,60.919998,3307700,59.003387
"2020-10-05",62.099998,63.599998,61.130001,63.169998,2791000,61.182598
"2020-10-06",63.91,64.370003,60.419998,61.099998,3266500,59.177719
"2020-10-07",62.290001,64.080002,62.290001,63.720001,2733600,61.715298
"2020-10-08",64.349998,65.949997,63.490002,65.410004,2931300,63.352135
"2020-10-09",66.199997,66.330002,64.389999,64.889999,2097300,62.848484
"2020-10-12",65,65.290001,64.129997,64.629997,1829000,62.596664
"2020-10-13",63.720001,64.910004,63.369999,64.129997,1909900,62.1124
"2020-10-14",64.419998,65.459999,64.029999,64.330002,1661100,62.306103
"2020-10-15",63.43,64.830002,62.310001,64.589996,2225600,62.557919
"2020-10-16",65,66.239998,64.519997,65.480003,2332800,63.419918
"2020-10-19",65.5,65.870003,63.290001,63.560001,2009100,61.560326
"2020-10-20",64.290001,64.639999,62.790001,63,2369400,61.017948
"2020-10-21",62.869999,63.040001,60.419998,60.599998,4484000,58.693451
"2020-10-22",65.360001,67.120003,63.860001,66.160004,6868700,64.078529
"2020-10-23",67.080002,68.669998,66.370003,68,4502700,65.860641
"2020-10-26",66.57,67,64.900002,65.879997,4362600,63.807335
"2020-10-27",65.629997,66.410004,65.059998,65.260002,3804400,63.206844
"2020-10-28",63.040001,64.220001,62.27,62.529999,3307600,60.562733
"2020-10-29",61.889999,64.349998,61.599998,64.010002,2214000,61.996174
"2020-10-30",63.43,65.110001,62.639999,65.010002,3631700,62.964718
"2020-11-02",65.860001,67.57,65.459999,67.209999,3432800,65.095482
"2020-11-03",68.690002,69.940002,68.239998,69.360001,2602100,67.177849
"2020-11-04",67.43,69.790001,65.32,67.870003,3086500,65.734741
"2020-11-05",68.660004,69.809998,68.339996,68.5,2886200,66.34491
"2020-11-06",68.93,69.080002,67.379997,67.910004,1813100,65.773483
"2020-11-09",75,78.790001,74.639999,76.190002,5127000,73.792969
"2020-11-10",76.489998,78.599998,75.849998,76.339996,3321300,73.93824
"2020-11-11",76.139999,76.529999,72.57,74.25,3033800,71.914009
"2020-11-12",73,74.190002,72.669998,73.389999,2804800,71.081062
"2020-11-13",73.849998,77,73.57,76.610001,1690200,74.19976
"2020-11-16",79,79.519997,76.93,77.769997,2210800,75.323265
"2020-11-17",76.519997,77.440002,74.449997,77.099998,3490000,74.674347
"2020-11-18",77.110001,79.18,76.019997,76.080002,3408500,74.109367
"2020-11-19",74.940002,77.099998,74,76.760002,2325700,74.771744
"2020-11-20",76.32,76.470001,74.779999,74.800003,1737900,72.862526
"2020-11-23",76.279999,78.489998,75.879997,78.120003,1824300,76.096527
"2020-11-24",79.989998,81.739998,79.849998,81.599998,3118100,79.486389
"2020-11-25",80.300003,80.550003,78.699997,79.290001,3247100,77.236229
"2020-11-27",78.699997,79.239998,78.360001,78.870003,1037700,76.827095
"2020-11-30",77.860001,79.129997,76,76.169998,3551200,74.197029
"2020-12-01",78.330002,81,78.209999,80.150002,2957200,78.073952
"2020-12-02",79.330002,82.5,79.269997,81.690002,2439200,79.574059
"2020-12-03",81.699997,82.629997,80.059998,80.839996,2610800,78.746071
"2020-12-04",81.879997,82.790001,81,82.699997,2076100,80.557892
"2020-12-07",82.209999,82.919998,81.32,82.449997,2253700,80.314377
"2020-12-08",81.239998,82.699997,81.199997,81.949997,2098000,79.827316
"2020-12-09",82.879997,83.400002,82.120003,83.190002,2174100,81.03521
"2020-12-10",81.989998,84.410004,81.040001,84.160004,3327700,81.980072
"2020-12-11",82.639999,84.010002,81.940002,83.459999,4025900,81.298203
"2020-12-14",84.830002,85.080002,82.050003,82.629997,3313000,80.4897
"2020-12-15",83.660004,85.419998,81.93,85.360001,2140100,83.149002
"2020-12-16",85.260002,86.529999,83.919998,86.349998,2335300,84.113342
"2020-12-17",86.57,87.589996,85.889999,87.480003,2375200,85.214081
"2020-12-18",87.379997,88.199997,84.949997,85.989998,5843500,83.76268
"2020-12-21",86.269997,88.129997,85.209999,87.029999,3128900,84.775734
"2020-12-22",86.989998,87.650002,86.220001,86.839996,2057900,84.59066
"2020-12-23",87.290001,88.919998,87.150002,88.370003,1569500,86.081024
"2020-12-24",88.610001,88.800003,87.419998,88.290001,592600,86.003113
"2020-12-28",88.849998,90.080002,88.25,88.290001,1186400,86.003113
"2020-12-29",88.620003,88.699997,86.790001,88.019997,1044600,85.740089
"2020-12-30",88.169998,89.849998,88.010002,89.300003,1166200,86.986938
"2020-12-31",89.129997,90.660004,88.730003,90.529999,1224900,88.185081
"2021-01-04",91.989998,91.989998,88.099998,89.610001,3621300,87.28891
"2021-01-05",89.269997,91.239998,89.25,90.730003,2477100,88.379898
"2021-01-06",92.5,95.910004,92.349998,95.459999,3101300,92.987381
"2021-01-07",96.760002,98.620003,96.510002,97.550003,3550600,95.023254
"2021-01-08",97.809998,97.860001,95.050003,97.110001,1865100,94.594635
"2021-01-11",95.529999,96.18,94.510002,95.230003,2570700,92.763344
"2021-01-12",95.669998,96.129997,94.169998,95.330002,3011500,92.860748
"2021-01-13",95.459999,98.449997,95.269997,96.989998,3122300,94.477753
"2021-01-14",97.32,98.879997,96.559998,98.43,2024800,95.880455
"2021-01-15",96.730003,97.989998,95.110001,97.760002,2848800,95.227814
"2021-01-19",98.919998,100.209999,98.139999,99.07,3318200,96.503868
"2021-01-20",100.769997,100.959999,98.599998,99.889999,4129400,97.302635
"2021-01-21",98,99.029999,93,94.239998,6009900,91.798981
"2021-01-22",93.559998,94.349998,91.139999,92.269997,2975700,89.880005
"2021-01-25",90.57,91,86.940002,89.059998,4005700,86.753151
"2021-01-26",89.519997,89.559998,86.610001,86.82,2235700,84.571182
"2021-01-27",84.730003,84.730003,81.82,82.18,4599200,80.051369
"2021-01-28",83.690002,86.169998,83.010002,85.849998,3690700,83.626305
"2021-01-29",85.129997,85.279999,82.660004,83.540001,2402500,81.376137
"2021-02-01",84.379997,85.25,81.269997,82.190002,5108100,80.061104
"2021-02-02",84,86.150002,83.459999,85.330002,3023000,83.119774
"2021-02-03",85.169998,87.519997,84.330002,87.300003,3795100,85.038742
"2021-02-04",87.910004,91.699997,87.510002,91.5,3364300,89.129959
