"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"2021-02-05",92.660004,94.550003,92.580002,92.839996,2453500,90.435234
"2021-02-08",93.239998,94.440002,92.580002,94.339996,2465600,91.896385
"2021-02-09",93.550003,94.139999,92.410004,92.660004,1901500,90.259918
"2021-02-10",93.629997,94.389999,92.860001,93.370003,1403200,90.951523
"2021-02-11",93.510002,94.089996,91.459999,92.769997,1187300,90.367058
"2021-02-12",92.900002,94.330002,92.739998,93.720001,1420400,91.292458
"2021-02-16",93.669998,96.5,92.550003,95.900002,3051500,93.415985
"2021-02-17",94.650002,95.019997,90.610001,91.699997,3730900,89.736496
"2021-02-18",91.300003,91.660004,88.660004,90.260002,2088800,88.327332
"2021-02-19",91.389999,94.349998,91.230003,93.919998,2544900,91.908958
"2021-02-22",93.529999,97.400002,93.129997,95.389999,2070300,93.347481
"2021-02-23",95.970001,96.5,92.68,95.300003,1957100,93.259415
"2021-02-24",95.790001,98.470001,94.839996,97.959999,2510600,95.862457
"2021-02-25",98.550003,98.75,93.650002,95,2818700,92.965836
"2021-02-26",94.440002,96,92.400002,94.07,2256800,92.055748
"2021-03-01",96.440002,98.860001,96.419998,97.870003,2051200,95.774391
"2021-03-02",97.639999,98.389999,96.440002,96.540001,1362800,94.472862
"2021-03-03",97.089996,98.900002,96.699997,96.760002,1982400,94.688148
"2021-03-04",95.879997,97.980003,92.269997,95.400002,2050200,93.357269
"2021-03-05",97.480003,98.099998,92.199997,98.019997,1960900,95.921165
"2021-03-08",98.5,99.599998,96.919998,97.919998,2141800,95.823318
"2021-03-09",97.639999,98.910004,96.120003,97.529999,2088000,95.441666
"2021-03-10",98,100.919998,97.889999,99.610001,2174000,97.477127
"2021-03-11",99.410004,103.400002,98.480003,102.269997,2128100,100.08017
"2021-03-12",103.470001,104.489998,101.779999,102.269997,2071300,100.08017
"2021-03-15",101.599998,102.260002,97.510002,100.720001,2936300,98.563354
"2021-03-16",99.959999,100.949997,97.080002,98.620003,2409300,96.508324
"2021-03-17",99.629997,99.989998,97.110001,99.080002,2265600,96.958481
"2021-03-18",99.43,100.129997,95.230003,95.68,2623400,93.631264
"2021-03-19",95,96.5,93.260002,94.779999,8962900,92.750542
"2021-03-22",94.349998,95.169998,93.139999,94.68,1968600,92.652695
"2021-03-23",93.769997,94.610001,89.830002,91.980003,5601000,90.010506
"2021-03-24",93.220001,94.580002,92.690002,92.93,3277900,90.940163
"2021-03-25",92.110001,96.279999,90.330002,95.949997,2476800,93.895493
"2021-03-26",97.529999,98.129997,94.440002,96.959999,1995600,94.883873
"2021-03-29",95.389999,96.239998,93.309998,94.080002,1975100,92.065544
"2021-03-30",94.360001,95.779999,93.879997,95.260002,2781000,93.220268
"2021-03-31",95.480003,96.550003,94.32,94.989998,2285600,92.956047
"2021-04-01",95.550003,97.669998,95.550003,97.199997,1593100,95.118729
"2021-04-05",98.699997,99.150002,97.970001,98.900002,1526500,96.782326
"2021-04-06",98.629997,99.5,98.139999,98.919998,1480700,96.801895
"2021-04-07",99.589996,100.660004,98.360001,98.800003,1294700,96.684479
"2021-04-08",97.870003,99.610001,96.269997,99.519997,1682400,97.389046
"2021-04-09",100.32,100.949997,99.550003,100.18,1604100,98.034912
"2021-04-12",99.989998,100.720001,99.669998,100.449997,1526300,98.299133
"2021-04-13",99.690002,100.040001,97.849998,99.790001,2701500,97.653275
"2021-04-14",99.489998,102.75,99.449997,101.32,2063900,99.150513
"2021-04-15",101.610001,102.779999,99.330002,102,2218200,99.815948
"2021-04-16",103.110001,104,101.449997,102.269997,1601400,100.08017
"2021-04-19",101.540001,101.540001,99.580002,100.610001,3260900,98.455711
"2021-04-20",100.029999,100.220001,96.040001,96.800003,1708000,94.727303
"2021-04-21",96.019997,98.449997,94.910004,98.400002,1788300,96.29303
"2021-04-22",99.139999,101.540001,97.839996,99.5,3212500,97.369476
"2021-04-23",99.25,103.080002,98.529999,102.839996,2207600,100.637962
"2021-04-26",104.790001,107.269997,104.519997,106.190002,2692700,103.916237
"2021-04-27",105.870003,108.129997,105.800003,107.760002,2107200,105.452621
"2021-04-28",107.860001,112.07,107.849998,111.519997,2438700,109.132103
"2021-04-29",112.5,114.699997,112.150002,114.370003,2510900,111.921082
"2021-04-30",113.349998,114.800003,113.199997,114,2181400,111.559013
"2021-05-03",115.57,116.010002,112.639999,114.639999,2001000,112.185295
"2021-05-04",113.309998,116.040001,112.889999,115.419998,2525000,112.948601
"2021-05-05",116.169998,116.980003,114.849998,116.269997,2024800,113.780396
"2021-05-06",117,117.82,114.43,117.730003,1929100,115.209145
"2021-05-07",116.379997,119.730003,115.739998,119.459999,1519900,116.902092
"2021-05-10",120,121.440002,118.720001,118.739998,1933100,116.19751
"2021-05-11",116.75,117.239998,112.900002,114.389999,2553600,111.940651
"2021-05-12",115.239998,116.610001,112.07,112.360001,1414000,109.954109
"2021-05-13",112.040001,115.330002,111.620003,114.730003,1594100,112.273369
"2021-05-14",115.389999,117.230003,114.889999,116.82,1285800,114.318611
"2021-05-17",117.139999,118.269997,116.050003,118.129997,1441300,115.600571
"2021-05-18",118.440002,118.93,115.150002,115.230003,1387600,112.762672
"2021-05-19",112.540001,114.779999,111.559998,114.669998,1437800,112.644791
"2021-05-20",114.830002,115.43,113.209999,114.43,1401200,112.409019
"2021-05-21",115.089996,116.739998,113.910004,113.970001,2634900,111.957153
"2021-05-24",115,115.07,113.730003,114.779999,3142000,112.752846
"2021-05-25",115,117.57,114.050003,114.300003,1452800,112.281326
"2021-05-26",115.050003,115.849998,114.089996,115.459999,1357200,113.42083
"2021-05-27",117.400002,118.269997,116.489998,118.019997,2182800,115.935623
"2021-05-28",118.269997,118.269997,115.730003,117.260002,1182600,115.189049
"2021-06-01",120.239998,121.419998,119.690002,120.879997,1527900,118.745102
"2021-06-02",121.650002,122.82,120.669998,121.029999,1886700,118.892456
"2021-06-03",120.169998,122.949997,119.480003,122.580002,2120000,120.415085
"2021-06-04",122.93,123.980003,122.190002,123.379997,1780000,121.200958
"2021-06-07",123.300003,124.470001,123.059998,123.589996,1908500,121.407242
"2021-06-08",122.550003,124.919998,121.239998,124.190002,1669200,121.996651
"2021-06-09",123.82,123.949997,122.080002,123.029999,1774500,120.85714
"2021-06-10",124.800003,125.379997,122.099998,122.18,1735200,120.022148
"2021-06-11",122.650002,123.919998,122.370003,123.150002,1572000,120.975014
"2021-06-14",122.989998,123.440002,119.830002,120.690002,1892500,118.558472
"2021-06-15",121.139999,123.43,120.510002,123.010002,1577200,120.837494
"2021-06-16",122.629997,123.040001,120.82,122.07,1350300,119.914085
"2021-06-17",122.690002,122.959999,115.870003,117.260002,1821900,115.189049
"2021-06-18",114.050003,115.300003,113.040001,114.110001,3652500,112.094673
"2021-06-21",115.769997,118.190002,115.650002,118.050003,1718300,115.965103
"2021-06-22",117.459999,118.809998,116.279999,118.190002,1396400,116.102631
"2021-06-23",118.75,119.68,118.169998,119.190002,1126300,117.084969
"2021-06-24",120.300003,121.059998,119.190002,120.629997,1131400,118.499519
"2021-06-25",121.639999,123.879997,121.559998,123.57,6483100,121.387596
"2021-06-28",122.559998,123.029999,118.800003,119.040001,1845400,116.937614
"2021-06-29",119.669998,120.699997,115.129997,116.879997,2058900,114.81575
"2021-06-30",116.160004,118.400002,116.099998,118.290001,1760000,116.200851
"2021-07-01",119.400002,119.970001,118.260002,119.690002,1126700,117.576134
"2021-07-02",119.449997,120.75,119.449997,120.199997,998200,118.077126
"2021-07-06",119.260002,120.010002,116.43,117.769997,1547000,115.690033
"2021-07-07",116.580002,118.970001,116.580002,118.309998,1274000,116.220497
"2021-07-08",115.290001,117.830002,113.080002,115.260002,2196700,113.224365
"2021-07-09",121.260002,122.540001,119.970001,122.400002,2699200,120.238266
"2021-07-12",121.440002,127.360001,120.769997,126.589996,2593800,124.354256
"2021-07-13",126.849998,127.650002,125.089996,125.260002,1818300,123.047752
"2021-07-14",125.669998,127.32,122.580002,122.93,1490200,120.758911
"2021-07-15",121.830002,124.699997,121.050003,123.510002,1382100,121.328667
"2021-07-16",124.370003,124.43,120.089996,120.43,1168000,118.303062
"2021-07-19",117.43,117.910004,114.370003,116.720001,2292100,114.658577
"2021-07-20",116.309998,122.050003,115.57,121.279999,1851000,119.138054
"2021-07-21",123.209999,126.739998,122.800003,125.550003,2210400,123.332642
"2021-07-22",125,125.790001,120.129997,123.959999,3171900,121.770714
"2021-07-23",124.830002,126.650002,122.540001,123.010002,1664700,120.837494
"2021-07-26",123.07,125.5,123,124.739998,1897100,122.536934
"2021-07-27",122.949997,125.269997,122,124.5,1266000,122.301178
"2021-07-28",124.5,124.93,121.75,123.32,1347400,121.142014
"2021-07-29",124.720001,126.339996,124.160004,125.489998,1264400,123.273689
"2021-07-30",124.760002,126.970001,123.669998,124.32,1328200,122.124359
"2021-08-02",125.239998,127.860001,123.779999,123.879997,1810900,121.692131
"2021-08-03",124.5,126.220001,120.110001,126.010002,1728800,123.784508
"2021-08-04",124.620003,128.460007,124.220001,126.120003,1471100,123.89257
"2021-08-05",126.889999,128.639999,126.769997,127.099998,1315600,124.855255
"2021-08-06",128.740005,130.929993,128.360001,130.059998,1235700,127.76297
"2021-08-09",128.779999,130.279999,127,129.440002,1124300,127.153931
"2021-08-10",129.369995,132.25,129.369995,132.039993,1589200,129.707993
"2021-08-11",132.330002,133.720001,130.559998,133.619995,1173500,131.260101
"2021-08-12",133.460007,134.610001,132.25,134.259995,1098200,131.888794
"2021-08-13",134.419998,135.690002,134.050003,135.380005,1305100,132.989029
"2021-08-16",134.139999,134.940002,132.350006,134.770004,1626400,132.389786
"2021-08-17",133.210007,133.940002,129.710007,131.320007,1182600,129.000717
"2021-08-18",130.350006,132.720001,128.960007,129.139999,1289400,127.344086
"2021-08-19",126.5,128.559998,124.709999,125.809998,1546900,124.060394
"2021-08-20",125.919998,127.660004,124.949997,127.260002,1120600,125.490234
"2021-08-23",128.479996,129.679993,128.039993,128.440002,915900,126.653831
"2021-08-24",129.039993,130.350006,128.520004,129.309998,731500,127.511726
"2021-08-25",129.440002,132.860001,128.929993,131.789993,863000,129.957214
"2021-08-26",131.649994,132.399994,129.910004,130.270004,691700,128.458389
"2021-08-27",130.720001,133.779999,130.410004,133.479996,840100,131.623718
"2021-08-30",133.729996,133.729996,127.18,127.239998,1539100,125.470512
"2021-08-31",127.540001,129.169998,126.580002,128.220001,2118400,126.436882
"2021-09-01",128.619995,129.729996,124.540001,124.769997,1851800,123.034859
"2021-09-02",125.010002,125.529999,123.150002,124.059998,1577400,122.33474
"2021-09-03",124.139999,124.400002,121.68,122.989998,1447300,121.27961
"2021-09-07",122.339996,123.75,121.18,121.239998,1643900,119.553947
"2021-09-08",120.959999,120.959999,117.550003,118.660004,2149500,117.009842
"2021-09-09",118.669998,122.839996,118.5,120.300003,1729300,118.627022
"2021-09-10",121.540001,122.169998,119.860001,120.489998,1459900,118.814377
"2021-09-13",121.349998,123.18,120.860001,122.559998,1383500,120.855598
"2021-09-14",123.190002,124.279999,119.779999,120.339996,1961800,118.666458
"2021-09-15",120.860001,123.800003,120.480003,123.360001,1598800,121.64447
"2021-09-16",124.360001,126.050003,123.580002,124.300003,1592500,122.571404
"2021-09-17",124.239998,125.779999,122.809998,123.639999,3285800,121.920578
"2021-09-20",119.389999,120.910004,117.459999,120.480003,1764500,118.80452
"2021-09-21",121.699997,123.760002,120.519997,122.830002,1666600,121.121841
"2021-09-22",124.879997,126.190002,124.510002,124.620003,1279700,122.886955
"2021-09-23",125.800003,129.339996,125.57,128.229996,2059700,126.446739
"2021-09-24",127.699997,131.160004,127,130.009995,1384900,128.201996
"2021-09-27",131.210007,132.330002,130.660004,131.229996,1245100,129.405014
"2021-09-28",130.619995,131.550003,128.199997,129,1325100,127.206039
"2021-09-29",130,130,126.809998,126.980003,1239500,125.214127
"2021-09-30",127.43,127.620003,122.769997,122.849998,1965700,121.141563
"2021-10-01",123.529999,128.380005,123.129997,127.190002,1351600,125.421211
"2021-10-04",127.190002,129.800003,125.550003,125.980003,1462300,124.228035
"2021-10-05",127.339996,129.270004,125.739998,127.480003,1441000,125.707176
"2021-10-06",126.010002,127.660004,123.629997,126.489998,1136000,124.730942
"2021-10-07",128.160004,129.429993,127.099998,127.279999,1345100,125.509956
"2021-10-08",127,129.429993,126.150002,128.350006,884900,126.565079
"2021-10-11",128.529999,130.589996,125.510002,125.720001,1407300,123.971649
"2021-10-12",126.25,128.300003,125.260002,127.389999,1086100,125.618423
"2021-10-13",127.150002,127.160004,121.029999,123.040001,2125900,121.328926
"2021-10-14",124.870003,126.919998,123.839996,126.82,1466500,125.056351
"2021-10-15",128.789993,130.610001,128.470001,129.270004,1383900,127.472298
"2021-10-18",128.210007,130.860001,128.169998,130.050003,1291200,128.24144
"2021-10-19",131,131.589996,129.229996,131.169998,1638400,129.345856
"2021-10-20",130.270004,133.399994,129.360001,132.990005,1589400,131.140549
"2021-10-21",131.75,133.380005,123.510002,124.839996,3793300,123.103889
"2021-10-22",125.139999,127.25,124.389999,125.18,2540400,123.439156
"2021-10-25",125.169998,127.300003,123.410004,123.860001,2395600,122.13752
"2021-10-26",124.779999,125.089996,122.760002,123.019997,2259200,121.309196
"2021-10-27",122.019997,122.260002,115.330002,115.440002,2826100,113.83461
"2021-10-28",115.489998,116.489998,113.519997,114.849998,2569400,113.252815
"2021-10-29",115.239998,115.870003,113,113.32,2622500,111.744095
"2021-11-01",114.5,115.540001,114.209999,114.660004,2998900,113.065453
"2021-11-02",116.260002,117.330002,114.32,114.690002,2130800,113.095047
"2021-11-03",114.010002,117.400002,114.010002,115.830002,1810800,114.219193
"2021-11-04",115.75,116.389999,113.93,114.480003,2128800,112.887962
"2021-11-05",115.660004,117.739998,115.620003,116.470001,1401600,114.850288
"2021-11-08",117.540001,118.68,116.110001,116.739998,1187700,115.116524
"2021-11-09",115.900002,116.830002,114.370003,116.809998,1440900,115.185555
"2021-11-10",116.639999,119.599998,116.519997,117.440002,1480100,115.806801
"2021-11-11",117.440002,119.129997,117.110001,118.5,1026900,116.852058
"2021-11-12",118.769997,119.779999,117.830002,119.440002,1133600,117.778992
"2021-11-15",119.290001,120.610001,117.860001,118.18,1063300,116.536507
"2021-11-16",118.339996,119.110001,115.339996,117.239998,1586000,115.609573
"2021-11-17",116.900002,117.599998,115.080002,115.379997,1413200,113.775436
"2021-11-18",115.970001,116.57,113.610001,115.510002,1385900,113.903641
"2021-11-19",114.730003,115.910004,112.449997,114.379997,1836100,112.789352
"2021-11-22",115.790001,117.879997,114.82,116.169998,1664100,114.554459
"2021-11-23",115.959999,119.720001,115.75,119.370003,2259800,118.218781
"2021-11-24",118.480003,120.639999,118.480003,119.5,1534800,118.347527
"2021-11-26",114.790001,115.5,111.040001,114.57,1613400,113.465073
"2021-11-29",116.269997,117.190002,111.760002,113.32,1962800,112.227127
"2021-11-30",111.449997,111.980003,107.269997,107.849998,3742700,106.809875
"2021-12-01",110.529999,111.419998,106,106.129997,2233100,105.106468
"2021-12-02",107.25,111.639999,106.419998,110.089996,1980400,109.028275
"2021-12-03",110.120003,110.5,107.300003,108.669998,2223500,107.621971
"2021-12-06",111.199997,113.790001,110.269997,111.900002,2111000,110.820824
"2021-12-07",113.599998,115.760002,113.260002,114.379997,1917300,113.276901
"2021-12-08",114.300003,115.300003,113.349998,113.580002,1788600,112.484619
"2021-12-09",113.300003,116.18,112.5,115.290001,1668400,114.178131
"2021-12-10",116.309998,117.239998,115.110001,116.769997,2313900,115.643852
"2021-12-13",115.970001,116.540001,112.610001,112.849998,1889100,111.76165
"2021-12-14",112.910004,116.260002,112.730003,115.529999,2615600,114.41581
"2021-12-15",115.300003,115.949997,111.730003,114.989998,2226000,113.88102
"2021-12-16",116.309998,117.57,115.07,115.720001,1459700,114.603981
"2021-12-17",114.699997,115.050003,112.080002,114.110001,4899900,113.009506
"2021-12-20",111.099998,111.510002,108.220001,109.620003,1725700,108.562805
"2021-12-21",111.169998,115.230003,111,115.169998,1487200,114.05928
"2021-12-22",114.730003,115.669998,114.25,114.860001,1073500,113.752274
"2021-12-23",115.720001,117.279999,114.959999,115.339996,1355900,114.227638
"2021-12-27",115.779999,116.199997,114.190002,116.120003,1131700,115.000122
"2021-12-28",115.279999,117.440002,115.209999,116.07,635500,114.950607
"2021-12-29",116.099998,116.730003,115.43,115.769997,529200,114.653496
"2021-12-30",115.910004,117.360001,115.730003,115.830002,623400,114.712921
"2021-12-31",115.480003,116.610001,115.449997,115.559998,765400,114.445518
"2022-01-03",116.93,119.059998,116.790001,118.639999,1305800,117.495819
"2022-01-04",120.459999,123.260002,120.029999,122.300003,2066400,121.120522
"2022-01-05",121.910004,123.75,120.5,120.639999,1547300,119.476524
"2022-01-06",122.57,123.300003,119.779999,122.82,1661700,121.635506
