"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2020-10-02",143.669998,146.940002,143.270004,145.210007,3880000,141.243286
"2020-10-05",145.070007,147.470001,144.179993,146.630005,2790600,142.624527
"2020-10-06",146.929993,147.830002,143.929993,144.130005,2409200,140.19278
"2020-10-07",148.520004,149.889999,146.850006,148.960007,4602800,144.890869
"2020-10-08",152.399994,153.940002,150.5,153.5,4686100,149.306839
"2020-10-09",154.089996,157.149994,154.070007,156.880005,4590600,152.594513
"2020-10-12",156.830002,157.149994,154.419998,154.490005,3242700,150.269791
"2020-10-13",153,154.330002,148.550003,150.080002,5963900,145.98027
"2020-10-14",150.380005,150.600006,147.710007,148.460007,2710200,144.404526
"2020-10-15",146.509995,146.910004,145.380005,146.779999,3785900,142.770401
"2020-10-16",147.110001,148.380005,146,146.119995,2918900,142.128448
"2020-10-19",147,147.410004,142.210007,142.800003,3158900,138.899124
"2020-10-20",143.360001,144.119995,142.110001,143.589996,2188700,139.667542
"2020-10-21",142.289993,143.330002,141.210007,141.309998,1983700,137.449829
"2020-10-22",141.529999,142.259995,140.800003,141.649994,3056600,137.780548
"2020-10-23",142.240005,144.699997,141.720001,142.380005,2427200,138.490585
"2020-10-26",141.899994,142.289993,140.050003,141.699997,2947100,137.829163
"2020-10-27",133.020004,136.080002,131.869995,131.899994,11374600,128.29689
"2020-10-28",130.460007,134.100006,130.309998,131.309998,6188000,127.723007
"2020-10-29",132,133.130005,130.380005,132.550003,4099900,128.929138
"2020-10-30",131.759995,133.100006,129.210007,130.460007,4335300,126.896233
"2020-11-02",132.539993,133.949997,129.990005,131.630005,3449500,128.034271
"2020-11-03",133.639999,134.070007,130.699997,130.979996,3628400,127.402016
"2020-11-04",134.910004,151.979996,134.910004,148.589996,12211700,144.53096
"2020-11-05",147.679993,148.809998,144.699997,145.520004,5731000,141.544846
"2020-11-06",145.050003,147.389999,139.100006,142.740005,6229800,138.840775
"2020-11-09",142.539993,144.75,140.600006,142.330002,5493800,138.441971
"2020-11-10",147.600006,149.199997,143.789993,146.559998,5377000,142.556412
"2020-11-11",147.759995,147.759995,143.369995,144.759995,3046800,140.805588
"2020-11-12",142.929993,143.460007,139.860001,141.029999,3463400,137.882339
"2020-11-13",142.429993,143.210007,141.320007,142.380005,2142700,139.202209
"2020-11-16",143.059998,144.300003,140,140.589996,4957600,137.452133
"2020-11-17",139.570007,141.960007,138.610001,141.199997,3619200,138.048523
"2020-11-18",141.899994,142.419998,140.130005,140.169998,2795100,137.041534
"2020-11-19",140.25,143.889999,138.919998,143.410004,4626100,140.209213
"2020-11-20",142.839996,147.089996,142.839996,145.490005,5063800,142.242783
"2020-11-23",145.539993,145.619995,141.160004,143.380005,3794200,140.179871
"2020-11-24",143.389999,145.639999,143.110001,144.899994,4127000,141.665939
"2020-11-25",144.899994,145.339996,142.610001,144.75,3223700,141.519272
"2020-11-27",145.649994,147.919998,145.360001,147.440002,1754000,144.149261
"2020-11-30",146.339996,148.169998,144.899994,145.649994,5842200,142.3992
"2020-12-01",146.690002,148.059998,145.259995,145.559998,3954400,142.311218
"2020-12-02",145.360001,147.089996,144.380005,145.160004,3757400,141.920151
"2020-12-03",145.699997,146.5,143.130005,144.110001,4059600,140.89357
"2020-12-04",144.070007,148.720001,144,148.449997,3058600,145.136719
"2020-12-07",147.300003,148.330002,146.479996,147.419998,2637200,144.12973
"2020-12-08",146.979996,150.139999,146.910004,149.300003,2754400,145.967728
"2020-12-09",154.589996,158.940002,153.679993,158,8364400,154.473572
"2020-12-10",159.869995,162,158.179993,161,6430600,157.406616
"2020-12-11",159.720001,161.179993,159.059998,160.039993,3441900,156.468033
"2020-12-14",160.690002,162.289993,157.830002,157.910004,4390100,154.385605
"2020-12-15",159.429993,168.229996,158.050003,167.429993,6974300,163.6931
"2020-12-16",169.690002,173.190002,166.75,172.050003,6009900,168.209976
"2020-12-17",171.729996,173.899994,171.100006,172.630005,3521100,168.777023
"2020-12-18",172.520004,172.889999,169,171.399994,7356400,167.574493
"2020-12-21",168.880005,169,165.800003,168.779999,3655900,165.012955
"2020-12-22",167.710007,168.389999,165.869995,166.720001,2447900,162.998947
"2020-12-23",167.449997,168,165.470001,165.479996,1697300,161.786606
"2020-12-24",165.850006,167.940002,165.850006,166.660004,627200,162.940292
"2020-12-28",167.210007,167.600006,165.210007,166.5,1482000,162.783859
"2020-12-29",166.630005,167.75,165.910004,166.580002,1712000,162.862076
"2020-12-30",167.440002,168.389999,166.679993,167.009995,1413300,163.282486
"2020-12-31",167.070007,169.139999,166.289993,168.839996,1643600,165.071609
"2021-01-04",169.020004,169.479996,163.100006,165.5,3164800,161.806168
"2021-01-05",165.190002,166.660004,163.199997,166.320007,2322600,162.60788
"2021-01-06",162.979996,167.279999,162.970001,164.320007,3619700,160.652512
"2021-01-07",164.179993,167.119995,161.779999,165.830002,3025500,162.128815
"2021-01-08",166.220001,166.860001,164.639999,166.410004,3438100,162.695877
"2021-01-11",185,189.300003,182.020004,185.940002,11396500,181.789963
"2021-01-12",182.789993,184.240005,177.440002,178.800003,7179300,174.809341
"2021-01-13",179.830002,187.619995,179.339996,185.5,7303900,181.359802
"2021-01-14",185.270004,188.960007,184.580002,186.690002,4413200,182.523239
"2021-01-15",186.800003,191.779999,186.800003,190.770004,6624600,186.512177
"2021-01-19",196,199.520004,194.070007,198.479996,7729100,194.050079
"2021-01-20",198.770004,201.770004,198.679993,201.259995,5335800,196.768051
"2021-01-21",203.699997,204.720001,198.009995,202.350006,8698800,197.833725
"2021-01-22",202.039993,206.539993,200.559998,206.139999,6128800,201.539124
"2021-01-25",208.240005,212.529999,208.089996,212.350006,5959100,207.610535
"2021-01-26",212.550003,213.229996,210.600006,212.720001,6601500,207.97226
"2021-01-27",211.070007,212.020004,205.100006,207.570007,7358000,202.937225
"2021-01-28",208,211.839996,207.570007,210.119995,5460400,205.430298
"2021-01-29",211.960007,218,204.460007,207.970001,8401700,203.328278
"2021-02-01",209.460007,209.889999,203.100006,203.139999,5383800,198.606064
"2021-02-02",204.380005,205.899994,197.350006,197.559998,5314600,193.15062
"2021-02-03",197.809998,200.589996,196.889999,196.960007,3679000,192.564026
"2021-02-04",196.809998,201.880005,195.639999,201.619995,2924300,197.119995
"2021-02-05",201.619995,202.919998,200.850006,201.770004,2732200,197.266647
"2021-02-08",202.380005,206.429993,201.910004,205.770004,2909300,201.177399
"2021-02-09",203.75,204.949997,200.320007,201.710007,2661300,197.207993
"2021-02-10",204.470001,205.550003,201.639999,204.389999,3062700,199.828186
"2021-02-11",202.869995,204.179993,201.619995,202.580002,3544700,198.885712
"2021-02-12",201.649994,208.220001,201.149994,207.289993,2611300,203.509796
"2021-02-16",205.979996,207.490005,203.610001,205.759995,2741900,202.00769
"2021-02-17",205.009995,206.690002,204.270004,206.460007,3329900,202.694931
