"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"2020-07-01",282.920013,289.119995,282.820007,287.51001,382000,287.387848
"2020-07-02",291.529999,293.700012,285.700012,290.070007,392400,289.946747
"2020-07-06",289.559998,293.299988,283.26001,285.200012,750300,285.078888
"2020-07-07",283.579987,286.839996,281.790009,282.26001,469300,282.140106
"2020-07-08",282.910004,283.809998,277.600006,280.079987,462300,279.961029
"2020-07-09",280.929993,292.98999,278.100006,289.730011,541200,289.606934
"2020-07-10",288.779999,292.98999,285.230011,289.399994,320900,289.277039
"2020-07-13",291.209991,291.209991,285.209991,285.640015,320200,285.518616
"2020-07-14",285.859985,288.320007,281.880005,287.899994,378700,287.777679
"2020-07-15",291.399994,299,290.720001,296.839996,466600,296.713898
"2020-07-16",295.130005,295.589996,287.980011,288.929993,421700,288.807251
"2020-07-17",290.290009,293.070007,287.089996,291.369995,302200,291.246216
"2020-07-20",291.970001,292.019989,284.959991,289.309998,273400,289.187103
"2020-07-21",290.320007,293.369995,289.140015,291.570007,235500,291.446106
"2020-07-22",292.910004,294.790009,287.230011,289.76001,232500,289.666718
"2020-07-23",290.070007,292.149994,283.450012,284.679993,289700,284.588318
"2020-07-24",284.100006,285.709991,280.119995,283.579987,292200,283.488678
"2020-07-27",283.820007,288.859985,283.820007,286.380005,175200,286.287811
"2020-07-28",285.690002,285.799988,281.390015,281.51001,194700,281.419342
"2020-07-29",281.589996,289.049988,281.589996,286.920013,260000,286.827606
"2020-07-30",282.940002,284.309998,277.829987,282.700012,247000,282.608978
"2020-07-31",282.690002,284.130005,278.570007,282.929993,286300,282.838898
"2020-08-03",284.339996,296,282.709991,295.359985,400600,295.264893
"2020-08-04",293.790009,299.380005,291.200012,296.910004,406100,296.814392
"2020-08-05",298.570007,301.75,296.799988,299.149994,270700,299.05368
"2020-08-06",298.450012,300.529999,292.890015,300.380005,246000,300.283295
"2020-08-07",300.660004,304,300.119995,303.920013,269300,303.822174
"2020-08-10",304.679993,308.049988,302.519989,306.829987,346800,306.731201
"2020-08-11",308.329987,308.570007,299.179993,300.309998,320500,300.213287
"2020-08-12",302.230011,309.529999,302.230011,305.320007,243300,305.22168
"2020-08-13",305.029999,306.25,303.399994,304.899994,234500,304.801788
"2020-08-14",304.25,306.23999,301.600006,303.820007,206900,303.722168
"2020-08-17",304.529999,306.459991,302.589996,305,381400,304.901794
"2020-08-18",305.869995,308.440002,301.410004,307.23999,321500,307.141083
"2020-08-19",307,308.609985,302.649994,305.5,271900,305.401642
"2020-08-20",301.440002,304.179993,298.390015,299.26001,275100,299.163666
"2020-08-21",299.589996,301.820007,294.940002,301.600006,370000,301.502899
"2020-08-24",303.420013,303.420013,299.779999,301.910004,232200,301.812775
"2020-08-25",303.429993,305.100006,301.649994,305.029999,248900,304.931763
"2020-08-26",303.5,307.899994,301.850006,305.450012,196500,305.351654
"2020-08-27",305,314.5,302.5,312.429993,292300,312.329376
"2020-08-28",312.75,316.51001,309.369995,315.890015,253900,315.788269
"2020-08-31",315.269989,317.709991,313.429993,314.380005,413800,314.278778
"2020-09-01",314.980011,315.019989,307.959991,309.399994,355500,309.300385
"2020-09-02",310.019989,317.679993,309.380005,317.209991,312600,317.107849
"2020-09-03",316.230011,316.48999,304.920013,306.809998,362700,306.711212
"2020-09-04",320,336,313.480011,323.48999,918100,323.385864
"2020-09-08",320.670013,323.070007,311.940002,318.200012,426600,318.097534
"2020-09-09",320.089996,323.720001,317.070007,319.200012,269400,319.097229
"2020-09-10",321.470001,326.01001,319.079987,324.519989,307300,324.415466
"2020-09-11",325.350006,332.380005,323.660004,326.829987,400400,326.724731
"2020-09-14",328.359985,337.850006,327.899994,334.549988,315700,334.442261
"2020-09-15",335.720001,340.170013,334.75,336.059998,233900,335.951782
"2020-09-16",336.559998,344.51001,336.559998,342.309998,343500,342.199799
"2020-09-17",340.079987,348.869995,335.700012,347.779999,376200,347.66806
"2020-09-18",345.670013,352.399994,343.950012,346.429993,508400,346.318451
"2020-09-21",341.570007,343.570007,335.980011,341.859985,309300,341.749908
