"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2020-12-30",167.509995,168.860001,166.889999,166.979996,561300,163.54982
"2020-12-31",166.679993,170.169998,166.509995,170.059998,485400,166.566559
"2021-01-04",170.639999,171.190002,165.600006,167.5,991100,164.059174
"2021-01-05",167.880005,168.690002,165.729996,166.610001,779100,163.187439
"2021-01-06",166.559998,171.550003,165.699997,170.679993,914600,167.173843
"2021-01-07",170.910004,173.460007,170.639999,171.080002,746500,167.565643
"2021-01-08",171.300003,174.639999,171.300003,174.550003,830300,170.96434
"2021-01-11",173.169998,174.740005,172.75,173.690002,627300,170.122025
"2021-01-12",173.630005,175.539993,172.929993,174.240005,936200,170.660721
"2021-01-13",173.410004,174.649994,172.509995,174.089996,449000,170.513779
"2021-01-14",173.740005,177,171.970001,173.470001,596900,169.906525
"2021-01-15",173.529999,174.309998,171.110001,173.550003,570200,169.984863
"2021-01-19",174.820007,174.820007,171.479996,171.770004,1419300,168.241455
"2021-01-20",171.699997,173.210007,170.520004,172.919998,610600,169.367828
"2021-01-21",172.720001,173.089996,170.470001,172.289993,680600,168.750763
"2021-01-22",172.070007,174.110001,170.830002,173.710007,452700,170.141586
"2021-01-25",174.699997,175.199997,172.669998,173.720001,503000,170.151382
"2021-01-26",173.669998,174.039993,170.369995,172.539993,460200,168.995636
"2021-01-27",171.160004,174.919998,170.229996,171.539993,642400,168.016159
"2021-01-28",171.649994,172.869995,169.679993,169.830002,861300,166.341293
"2021-01-29",170.949997,173.110001,167.070007,167.550003,995400,164.108139
"2021-02-01",168.669998,175.679993,168.669998,174.600006,872700,171.013306
"2021-02-02",175.360001,179.869995,174.710007,178.779999,888100,175.107437
"2021-02-03",178.949997,180.690002,177.119995,179.419998,646300,175.734314
"2021-02-04",179.949997,182.830002,179.020004,182.210007,1096700,178.466995
"2021-02-05",182.389999,183.389999,177.380005,182.089996,1023800,178.349442
"2021-02-08",182.600006,183.899994,181.110001,182.539993,919500,178.790207
"2021-02-09",182.850006,183.929993,181.380005,183.119995,701700,179.358292
"2021-02-10",184,184.399994,182.520004,183.320007,654000,179.554184
"2021-02-11",183.970001,183.970001,181.029999,181.789993,690000,178.055634
"2021-02-12",181.759995,182.740005,180.050003,181.070007,721600,177.350433
"2021-02-16",182.050003,184.399994,180.490005,183.350006,689400,179.583572
"2021-02-17",182.440002,183.149994,181.050003,181.789993,454300,178.055634
"2021-02-18",181.240005,183.330002,180.529999,182.960007,589600,179.201599
"2021-02-19",183.800003,184.880005,182.580002,182.75,579800,178.995911
"2021-02-22",181.490005,182.589996,180.449997,180.550003,759300,176.84108
"2021-02-23",181.259995,181.259995,177.210007,178.550003,577100,174.882187
"2021-02-24",178.550003,182.479996,178.550003,181.080002,644300,177.360214
"2021-02-25",181,181.619995,179.520004,180.520004,594900,176.811707
"2021-02-26",181,181.410004,175.479996,175.479996,958200,171.875229
"2021-03-01",176.729996,182.919998,176.360001,182.449997,778600,178.702042
"2021-03-02",182.119995,182.649994,179.789993,179.839996,947100,176.14566
"2021-03-03",179.539993,180.190002,177.520004,178.330002,581400,174.666702
"2021-03-04",178.839996,179.119995,173.789993,174.910004,939600,171.31694
"2021-03-05",177.089996,179.619995,175.199997,178.869995,671300,175.195587
"2021-03-08",178.729996,182.929993,178.009995,179.210007,565100,175.528625
"2021-03-09",179.610001,180.429993,176.759995,177.029999,697600,173.393417
"2021-03-10",178.720001,179.220001,176,177.759995,825800,174.108398
"2021-03-11",178.320007,180.529999,177.720001,178.529999,532800,174.862579
"2021-03-12",178.600006,179.139999,176.429993,179.110001,499800,176.131149
"2021-03-15",179.839996,181.919998,178.320007,181.850006,515500,178.825577
"2021-03-16",181.470001,182.539993,179.789993,182.479996,483800,179.445084
"2021-03-17",183,183.25,180.729996,181.339996,812100,178.324036
"2021-03-18",179.25,182.630005,178.820007,181.410004,588200,178.392883
"2021-03-19",181.789993,184.520004,180.080002,183.220001,1306900,180.172775
"2021-03-22",183.220001,186.669998,182.979996,185.710007,1013000,182.621368
"2021-03-23",185.949997,187.399994,182.710007,183.880005,907100,180.821793
"2021-03-24",183.210007,185.270004,180.940002,181.039993,541700,178.029022
"2021-03-25",181.649994,184.350006,180.850006,184.089996,656100,181.02829
"2021-03-26",185.130005,189.729996,184.509995,189.600006,613100,186.446671
"2021-03-29",188.029999,190.619995,186.570007,188.880005,1577900,185.738632
