"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume","ETN.Adjusted"
"2020-07-01",87.910004,88.300003,86.540001,87.099998,2183200,83.274208
"2020-07-02",88.720001,89.980003,88.089996,88.239998,1587700,84.36412
"2020-07-06",89.82,90.150002,88.199997,88.879997,1516400,84.976013
"2020-07-07",88.370003,88.580002,87.120003,87.400002,1499500,83.56102
"2020-07-08",87.620003,88.379997,86.540001,87.339996,1561800,83.503662
"2020-07-09",87.099998,87.519997,85.050003,85.639999,2132400,81.878334
"2020-07-10",85.860001,86.5,84.870003,86.440002,1380100,82.643188
"2020-07-13",87.010002,89.169998,86.629997,87.43,1557000,83.589722
"2020-07-14",87.519997,90.980003,86.75,90.669998,2221700,86.687386
"2020-07-15",92.300003,93.839996,91.260002,93.400002,2711500,89.297485
"2020-07-16",92.940002,94.739998,92.550003,93.559998,1397100,89.450447
"2020-07-17",94.139999,95.25,93.629997,94.57,1791700,90.416092
"2020-07-20",94.050003,94.160004,92.43,92.779999,1419200,88.704712
"2020-07-21",93.400002,94.599998,93,93.559998,1303400,89.450447
"2020-07-22",93.160004,94.419998,93.120003,93.970001,903700,89.842453
"2020-07-23",94.029999,94.339996,93.379997,93.830002,1200200,89.708595
"2020-07-24",93.970001,94.5,93.050003,93.610001,1004100,89.49826
"2020-07-27",93.379997,95.400002,92.589996,95.230003,1265100,91.047096
"2020-07-28",94.760002,95.18,93.300003,93.339996,1374000,89.240112
"2020-07-29",95.550003,97.529999,93.839996,96.889999,1964100,92.634186
"2020-07-30",95.300003,95.300003,93.389999,94.459999,1396200,90.310921
"2020-07-31",94.139999,94.169998,91.720001,93.129997,1664100,89.039345
"2020-08-03",93.82,95.489998,93.260002,94.870003,1278500,90.702904
"2020-08-04",94.190002,94.800003,93.260002,94.650002,945600,90.492577
"2020-08-05",95.43,96.800003,95.300003,96.339996,1355100,92.108337
"2020-08-06",96.169998,96.769997,95.540001,96.510002,960700,92.270882
"2020-08-07",96.709999,97.849998,95.959999,97.760002,1139900,93.465973
"2020-08-10",97.919998,99.959999,97.580002,99.760002,1574300,95.378128
"2020-08-11",100.279999,103.730003,100.279999,102.18,2442800,97.691833
"2020-08-12",103.43,103.449997,102.110001,102.550003,2671200,98.045578
"2020-08-13",101.110001,101.919998,100.610001,101.43,1803200,97.670029
"2020-08-14",100.480003,101.839996,100.349998,100.889999,1192200,97.150047
"2020-08-17",101.269997,102.199997,100.309998,100.900002,1513100,97.159676
"2020-08-18",100.690002,101.370003,100.050003,100.709999,1205300,96.976723
"2020-08-19",100.339996,101.510002,99.529999,100.480003,1365700,96.755249
"2020-08-20",99.339996,100.190002,99.059998,99.470001,1209700,95.782692
"2020-08-21",99.580002,101.190002,99.32,100.589996,1658100,96.861168
"2020-08-24",101.389999,102.889999,100.760002,102.879997,1595800,99.066269
"2020-08-25",103.599998,103.82,101.82,102.82,1250100,99.008514
"2020-08-26",102.440002,102.82,101.32,102.400002,1127400,98.604065
"2020-08-27",102.879997,103.260002,101.470001,102.089996,948000,98.305557
"2020-08-28",102.489998,103.57,101.510002,103.510002,1049600,99.672928
"2020-08-31",103.07,103.5,101.760002,102.099998,1690100,98.315201
"2020-09-01",101.75,103.519997,101.32,103.43,1256900,99.595879
"2020-09-02",103.5,106.07,103.089996,105.57,1393800,101.656563
"2020-09-03",105.5,105.839996,101.5,102.150002,3002800,98.363335
"2020-09-04",103.870003,104.550003,101.809998,102.580002,1545500,98.777397
"2020-09-08",101.589996,102.18,99.870003,100.480003,1450900,96.755249
"2020-09-09",101.760002,103.699997,101.199997,102.559998,1346300,98.758133
"2020-09-10",103,103.980003,100.639999,101,1299300,97.255966
"2020-09-11",101.660004,103.410004,101.080002,102.519997,1049900,98.71962
"2020-09-14",103.309998,103.919998,102.629997,103.18,1686200,99.355156
"2020-09-15",103.889999,104.559998,102.790001,102.879997,1490000,99.066269
"2020-09-16",103.68,105.389999,103,104.389999,1896900,100.520302
"2020-09-17",103.309998,105.470001,102.089996,105.010002,1384800,101.117325
"2020-09-18",104.769997,105.889999,103.080002,103.400002,2613100,99.566994
"2020-09-21",101.07,101.519997,96.239998,97.379997,2353600,93.770157
"2020-09-22",97.57,99.559998,97.019997,99.309998,1730400,95.628624
"2020-09-23",99.190002,101.050003,98.68,98.779999,1981000,95.118271
"2020-09-24",98.480003,100.769997,98.050003,99.650002,1859500,95.956017
"2020-09-25",98.510002,100.75,98.400002,99.959999,1605300,96.254517
"2020-09-28",101.529999,103.519997,101.199997,102.339996,1599700,98.546288
"2020-09-29",102.489998,102.489998,100.870003,101.18,1064300,97.429298
"2020-09-30",101.709999,103.650002,100.949997,102.029999,1664800,98.247787
"2020-10-01",102.709999,103.209999,99.660004,100.589996,1355800,96.861168
"2020-10-02",99.129997,104.209999,98.989998,102.650002,1923900,98.84481
"2020-10-05",103.879997,105.470001,103.599998,105.089996,1467400,101.194351
"2020-10-06",105.309998,106.790001,104.330002,104.440002,1330600,100.568459
"2020-10-07",105.790001,107.129997,105.459999,106.949997,1481600,102.985405
"2020-10-08",107.290001,107.919998,106.230003,107.480003,1009200,103.495758
"2020-10-09",108.459999,109.199997,107.300003,107.529999,1512400,103.543907
"2020-10-12",108.610001,109.629997,108,108.209999,1196300,104.198692
"2020-10-13",107.690002,108.529999,106.870003,107.599998,1547900,103.61132
"2020-10-14",107.889999,109.459999,107.660004,108.190002,826500,104.179451
"2020-10-15",106.970001,108.699997,106.639999,108.629997,955600,104.603119
"2020-10-16",109.360001,111.190002,108.809998,109.260002,1520200,105.209778
"2020-10-19",109.459999,109.860001,107.330002,107.889999,1207700,103.890564
"2020-10-20",108.599998,110.650002,108.120003,108.739998,1069800,104.709053
"2020-10-21",108.309998,110.059998,108.239998,108.279999,985600,104.26609
"2020-10-22",108.739998,110.449997,108.739998,109.879997,1199700,105.806793
"2020-10-23",110.800003,111.650002,109.699997,109.809998,1088600,105.73938
"2020-10-26",108.25,108.709999,105.769997,107.419998,1330100,103.437973
"2020-10-27",107.43,107.709999,105.18,105.419998,943200,101.512108
"2020-10-28",103.139999,104.910004,101.839996,102.309998,1446600,98.51741
"2020-10-29",101.790001,105.150002,101.519997,104.220001,1148400,100.356598
"2020-10-30",103.860001,104.68,102.279999,103.790001,1494400,99.942543
"2020-11-02",105.760002,107.709999,105.25,107.339996,2226900,103.360947
"2020-11-03",109.260002,111.989998,106.919998,111.25,2345000,107.125999
"2020-11-04",110.199997,110.199997,104.339996,105.900002,2874900,101.974327
"2020-11-05",107.779999,110.489998,107.370003,109.809998,1975800,106.473328
"2020-11-06",109.839996,111.18,109.25,109.959999,1212500,106.618782
"2020-11-09",116.120003,119.480003,113.419998,113.5,2959800,110.051208
"2020-11-10",113.660004,115.82,113.230003,114.860001,1992500,111.369888
"2020-11-11",116.989998,117,113.199997,114.07,2120700,110.603889
"2020-11-12",113.610001,114.160004,112.370003,113.32,1159200,109.876678
"2020-11-13",114,115.239998,113.489998,114.449997,1679500,110.972336
"2020-11-16",116.800003,117.910004,114.669998,117.5,1913600,113.929665
"2020-11-17",116.190002,116.910004,114.449997,116.07,1307500,112.543129
"2020-11-18",116.139999,118.050003,115.660004,116.75,1282100,113.202454
"2020-11-19",117.580002,118.93,114.910004,118.120003,2244500,114.530823
"2020-11-20",118.230003,118.730003,117.010002,117.400002,2182300,113.83271
"2020-11-23",118.300003,120.339996,118.059998,120.260002,2330100,116.605797
"2020-11-24",121.580002,123.669998,120.690002,123.25,2709100,119.504951
"2020-11-25",122.639999,122.639999,120.709999,122.190002,1774200,118.477165
"2020-11-27",122.699997,122.849998,121.260002,121.900002,1039900,118.195976
"2020-11-30",121.800003,122.150002,120.010002,121.110001,3567100,117.429985
"2020-12-01",122.580002,123.43,120.610001,120.699997,2483200,117.032433
"2020-12-02",119.610001,120.989998,117.989998,118.919998,2101200,115.306519
"2020-12-03",118.790001,119.440002,116.400002,116.730003,3257200,113.183067
"2020-12-04",116.940002,119.660004,116.940002,118.82,1490800,115.209564
"2020-12-07",118.449997,118.589996,116.970001,117.400002,1310400,113.83271
"2020-12-08",116.830002,118.540001,116.269997,117.860001,1618000,114.278725
"2020-12-09",118.419998,118.989998,116.800003,117.889999,1511200,114.307823
"2020-12-10",117.129997,117.129997,114.769997,115.150002,1401500,111.651077
"2020-12-11",114.309998,115.970001,114.099998,115.599998,1279200,112.087395
"2020-12-14",115.970001,116.470001,113.830002,113.839996,1771700,110.380875
"2020-12-15",115.059998,117.129997,113.790001,116.540001,1983500,112.99884
"2020-12-16",116.599998,116.690002,115.07,115.370003,1610600,111.864395
