"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"2020-07-01",58.939999,60.939999,58.549999,60.830002,1901600,56.830666
"2020-07-02",61.68,62.189999,60.200001,60.59,1509500,56.606445
"2020-07-06",61.82,62.029999,59.360001,59.59,3345900,55.672188
"2020-07-07",58.560001,59.080002,57.52,57.59,1762800,53.803684
"2020-07-08",57.669998,57.830002,57.139999,57.48,3393400,53.700912
"2020-07-09",57.310001,57.610001,56.32,56.709999,2638000,52.981537
"2020-07-10",56.599998,57.5,56.490002,56.700001,3866600,52.972198
"2020-07-13",57.110001,57.450001,56.470001,57.02,1679900,53.27116
"2020-07-14",56.900002,58.049999,56.599998,57.02,1745800,53.27116
"2020-07-15",58.009998,58.419998,57.32,57.720001,2094600,53.925137
"2020-07-16",57.290001,57.700001,56.900002,57.220001,1733900,53.458012
"2020-07-17",57.279999,57.5,56.689999,56.98,2035900,53.233784
"2020-07-20",56.5,56.799999,55.040001,55.169998,3426100,51.542789
"2020-07-21",55.279999,55.849998,54.459999,54.57,2954900,50.982239
"2020-07-22",54.18,55.889999,53.790001,55.700001,2916900,52.037945
"2020-07-23",55.439999,55.919998,54.07,54.830002,2014500,51.225143
"2020-07-24",54.740002,54.970001,53.830002,54.34,3184900,50.767353
"2020-07-27",54.080002,54.080002,52.720001,53.330002,2045700,49.823761
"2020-07-28",53.09,55.060001,53.080002,54.66,2456400,51.066322
"2020-07-29",54.259998,54.830002,52.669998,53.59,3319300,50.066666
"2020-07-30",52.799999,54.02,52.689999,53.950001,2100900,50.403
"2020-07-31",53.810001,53.990002,52.580002,53.630001,2452200,50.104031
"2020-08-03",52.619999,53,52.150002,52.330002,2292600,48.889511
"2020-08-04",52.349998,53.700001,51.689999,53.459999,4036200,49.94521
"2020-08-05",54.279999,54.32,53.18,53.32,2921000,49.814415
"2020-08-06",53.150002,54.040001,53.150002,53.639999,2047600,50.11338
"2020-08-07",53.32,55.5,53.32,55.189999,3007100,51.561474
"2020-08-10",55.279999,55.970001,54.849998,55.360001,2269200,51.720295
"2020-08-11",55.98,56.279999,54.48,54.75,2467400,51.150398
"2020-08-12",54.959999,55.279999,54.07,54.82,2303300,51.215801
"2020-08-13",54.419998,54.900002,53.330002,53.509998,1841300,49.99192
"2020-08-14",53.59,55.080002,53.029999,54.389999,2100100,50.814072
"2020-08-17",54.419998,55.400002,54.040001,55.389999,2656200,51.748325
"2020-08-18",55.459999,55.549999,54.450001,55.369999,2148200,51.729637
"2020-08-19",55.290001,55.290001,53.939999,54.150002,2642800,50.589848
"2020-08-20",54.040001,55.509998,53.919998,55.25,1570600,51.617527
"2020-08-21",55.369999,55.57,53.779999,54.689999,1969300,51.094345
"2020-08-24",54.599998,56.02,53.959999,55.91,2327200,52.234135
"2020-08-25",55.869999,56.580002,55.68,56.560001,1784300,52.8414
"2020-08-26",56.209999,56.209999,54.630001,54.919998,1703500,51.309223
"2020-08-27",55.040001,56.779999,55.040001,56.630001,1802800,52.906796
"2020-08-28",56.959999,57.060001,56.09,57.029999,1711600,53.280502
"2020-08-31",56.759998,56.880001,56.009998,56.450001,2143500,52.738636
"2020-09-01",56.68,56.830002,55.759998,56.779999,2320300,53.046928
"2020-09-02",56.810001,57.759998,56.360001,57.689999,2137200,53.89711
"2020-09-03",57.91,59.099998,57.040001,57.400002,1990800,53.626171
"2020-09-04",57.689999,58.810001,57.25,58.110001,2128700,54.289494
"2020-09-08",57.810001,57.950001,56.82,57.389999,2133700,53.616829
"2020-09-09",57.43,58.139999,56.5,56.84,2433000,53.102993
"2020-09-10",56.549999,56.700001,55.169998,55.810001,6098400,52.140709
"2020-09-11",55.77,55.98,54.25,54.669998,2723900,51.075657
"2020-09-14",55.009998,57.130001,55,56.93,2311300,53.18708
"2020-09-15",56.830002,57.41,55.939999,56.330002,2556500,52.626526
"2020-09-16",56.540001,57.380001,56.419998,56.869999,3449900,53.131012
"2020-09-17",56.349998,57.32,55.389999,55.779999,3366100,52.112682
"2020-09-18",55.419998,56,54.27,54.330002,4987100,50.758018
"2020-09-21",53.580002,53.93,51.889999,52.029999,4023200,48.60923
"2020-09-22",52,53.220001,52,52.66,4262500,49.197807
"2020-09-23",52.5,53.310001,51.16,51.25,3268200,47.880516
"2020-09-24",50.720001,51.279999,50.009998,50.509998,3578800,47.750992
"2020-09-25",50.400002,51.580002,50.110001,51.57,2776000,48.753094
"2020-09-28",52.400002,52.91,51.869999,52.540001,2193500,49.670113
"2020-09-29",52.299999,52.459999,50.630001,51.09,2947700,48.299313
"2020-09-30",51.529999,51.950001,50.689999,51.330002,3102100,48.526211
"2020-10-01",51.509998,53.5,51.279999,53.439999,3141800,50.52095
"2020-10-02",52.310001,55.439999,52.029999,55.09,6450200,52.080822
"2020-10-05",56,56.41,54.580002,55.599998,2751400,52.562965
"2020-10-06",55.810001,56.16,54.869999,55.189999,2367100,52.175362
"2020-10-07",55.450001,55.599998,54.330002,54.759998,1748400,51.768845
"2020-10-08",55.18,56.200001,55,56.189999,2096200,53.120731
"2020-10-09",56.32,56.41,55.240002,55.66,1666200,52.61969
"2020-10-12",55.740002,55.799999,54.720001,55.349998,1254300,52.326618
"2020-10-13",54.779999,55.34,53.34,53.5,1864100,50.577671
"2020-10-14",53.470001,53.610001,52.470001,52.810001,1711800,49.925358
"2020-10-15",52.48,53.209999,52.119999,52.310001,1820800,49.452679
"2020-10-16",52.509998,52.650002,51.619999,51.849998,2609100,49.017799
"2020-10-19",52.119999,52.299999,50.66,50.709999,1738600,47.940067
"2020-10-20",51.23,51.389999,50.68,50.91,1683500,48.12915
"2020-10-21",50.509998,51.189999,50.279999,50.509998,2626100,47.750992
"2020-10-22",50.610001,50.990002,50.110001,50.75,3159000,47.977882
"2020-10-23",51.330002,51.439999,50.419998,51.310001,2574000,48.507298
"2020-10-26",51.07,51.290001,49.810001,50.700001,2212200,47.930618
"2020-10-27",50.549999,50.959999,49.689999,49.689999,2135500,46.975784
"2020-10-28",48.389999,48.389999,45.540001,46.240002,6954800,43.714241
"2020-10-29",46,46.759998,45.43,46.259998,4435500,43.733143
"2020-10-30",46.240002,47.139999,46.139999,46.98,2926500,44.413811
"2020-11-02",47.200001,49.360001,46.52,49.310001,3289300,46.616547
"2020-11-03",50,52.970001,50,52.529999,3740200,49.660656
"2020-11-04",52.130001,52.18,50.450001,50.759998,2851900,47.987339
"2020-11-05",51.080002,52.52,50.709999,52.060001,3021600,49.216335
"2020-11-06",51.970001,52.32,51.139999,51.52,2433200,48.705826
"2020-11-09",57.599998,67.419998,57.580002,59.279999,10968000,56.041946
"2020-11-10",59.630001,62.779999,59.630001,61.439999,9555200,58.083969
"2020-11-11",61,61.450001,59,59.59,4562400,56.335022
"2020-11-12",59.209999,59.529999,57.75,58.52,2484000,55.323467
"2020-11-13",58.700001,60.43,58.380001,60.150002,1928000,56.864429
"2020-11-16",61.970001,62.939999,60.720001,62.75,3103100,59.322411
"2020-11-17",61.84,62.93,60.919998,62.5,3169600,59.086063
"2020-11-18",62.689999,63.009998,59.939999,59.959999,2116900,56.684811
"2020-11-19",59.59,60.209999,58.560001,59.860001,3092600,56.590271
"2020-11-20",59.950001,60.709999,59.77,60.560001,2894900,57.252037
"2020-11-23",61,61.380001,60.040001,60.330002,2688800,57.034592
"2020-11-24",61.369999,62.310001,60.669998,61.279999,3999000,57.932705
"2020-11-25",61,61.16,60.09,60.450001,1706700,57.148048
"2020-11-27",60.310001,60.349998,58.799999,59.200001,1470000,55.966324
"2020-11-30",59.09,59.34,57.57,57.919998,5918900,54.756241
"2020-12-01",58.970001,59.459999,58.439999,58.990002,2048700,55.767796
"2020-12-02",58.990002,60.91,58.689999,60.360001,2927800,57.062958
"2020-12-03",60.459999,62.369999,60.189999,61.950001,3164200,58.566109
"2020-12-04",62.419998,63.560001,62.310001,63.369999,3159500,59.908546
"2020-12-07",62.810001,63.41,62.439999,62.709999,2013700,59.284595
"2020-12-08",62.34,62.849998,61.91,62.389999,2034700,58.982071
