"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2020-09-09",111.279999,111.279999,109.769997,109.910004,1074900,103.498276
"2020-09-10",110.610001,111.589996,108.190002,108.220001,2031400,101.906853
"2020-09-11",109.080002,111.260002,108.349998,110.75,1632000,104.289261
"2020-09-14",111.5,115.080002,111.230003,114.18,1504300,107.519173
"2020-09-15",113.699997,114.43,110.699997,111.290001,1998400,104.797768
"2020-09-16",111.150002,115.129997,110.739998,113.639999,2254100,107.010674
"2020-09-17",111.580002,113.589996,111,111.879997,1767400,105.35334
"2020-09-18",110.989998,112.400002,110.669998,111.760002,2233000,105.240341
"2020-09-21",108.919998,110.57,107.480003,108.839996,2097800,102.490692
"2020-09-22",108.18,108.839996,104.169998,105.360001,2879400,99.213699
"2020-09-23",105.730003,107.339996,102.419998,102.480003,2013000,96.501709
"2020-09-24",103.43,105.389999,101.580002,103.449997,1895800,97.415115
"2020-09-25",102.260002,105.050003,102.010002,104.900002,1381300,98.780533
"2020-09-28",106.82,109.150002,106.550003,108.129997,1543000,101.822098
"2020-09-29",107.5,107.760002,105.160004,106.93,1625300,100.692116
"2020-09-30",107.550003,110.279999,107.360001,109.910004,2501100,103.498276
"2020-10-01",110.050003,110.900002,108.370003,109.43,1596500,103.046265
"2020-10-02",108.089996,113,107.790001,112.160004,2125200,105.617012
"2020-10-05",113.470001,114.970001,112.5,114.800003,1852000,108.102997
"2020-10-06",115.989998,117.160004,112.589996,113.169998,1943200,106.568092
"2020-10-07",114.339996,117.040001,114.25,115.18,2387000,108.460838
"2020-10-08",115.800003,117.029999,115.099998,116.540001,2514100,109.741493
"2020-10-09",117.110001,117.220001,114.839996,115.480003,1963500,108.743347
"2020-10-12",115.510002,116.830002,115.220001,116.279999,1517300,109.496658
"2020-10-13",115.860001,116.230003,111.900002,112.510002,2314400,105.946594
"2020-10-14",112.18,114.389999,109.540001,109.830002,2675900,103.42292
"2020-10-15",108.339996,109.559998,107.550003,109.559998,2503100,104.260368
"2020-10-16",109.580002,111.510002,108.889999,111.480003,1982600,106.087502
"2020-10-19",111.910004,112.230003,109.760002,109.989998,1949900,104.669579
"2020-10-20",110.980003,113.849998,110.980003,112.059998,1826000,106.639435
"2020-10-21",112.019997,112.730003,110.459999,110.639999,1281700,105.288132
"2020-10-22",110.870003,115.389999,110.620003,115.32,1825000,109.74176
"2020-10-23",116.220001,116.519997,113.599998,114.809998,1435700,109.256424
"2020-10-26",113.360001,113.400002,110.080002,111.629997,1739900,106.230232
"2020-10-27",111.059998,111.080002,108.980003,109.190002,1793700,103.908272
"2020-10-28",107.709999,110.07,107.639999,108.720001,3221700,103.460999
"2020-10-29",108.190002,110.660004,106.849998,109.82,1813100,104.50779
"2020-10-30",109.459999,112.010002,108.589996,111.879997,2261500,106.46814
"2020-11-02",113.489998,116.139999,112.190002,114.449997,3411600,108.913834
"2020-11-03",117.290001,120.080002,116.860001,119.389999,3057500,113.614868
"2020-11-04",116.199997,116.489998,112.199997,112.860001,2136100,107.400742
"2020-11-05",113.129997,117.599998,113.099998,117.169998,2069300,111.502266
"2020-11-06",117.839996,117.839996,114.139999,114.68,1682200,109.132713
"2020-11-09",125.559998,129.559998,125.050003,127.980003,3978400,121.78936
"2020-11-10",129,129,126,126.739998,3765800,120.609337
"2020-11-11",127.400002,127.400002,123.019997,125.440002,3130700,119.372231
"2020-11-12",123.309998,123.309998,118.790001,121,2269700,115.146996
"2020-11-13",122,123.779999,121.5,122.779999,1560900,116.840897
"2020-11-16",125.769997,127.019997,124.5,126.290001,5431000,120.181107
"2020-11-17",124.919998,127.07,123.269997,126.889999,3668100,120.752083
"2020-11-18",127.519997,131.309998,126.57,129.300003,3782400,123.045502
"2020-11-19",128.059998,130.360001,126.25,130.300003,2205600,123.997139
"2020-11-20",128.809998,130.320007,127.75,128.899994,2245100,122.664841
"2020-11-23",132.220001,134.160004,130.660004,133.649994,2151100,127.185066
"2020-11-24",136.639999,140.240005,136.149994,140.110001,2933900,133.332626
"2020-11-25",139.100006,141.820007,137.479996,140.649994,3066400,133.846481
"2020-11-27",140.600006,140.690002,138.75,139.789993,1178200,133.028061
"2020-11-30",138.279999,139.539993,137.770004,138.070007,4297600,131.391281
"2020-12-01",140.240005,141.399994,139.889999,140.720001,3129500,133.913101
"2020-12-02",139.899994,141.690002,139.639999,141.380005,1849400,134.541199
"2020-12-03",140.720001,142.130005,139.839996,141.25,2609900,134.417465
"2020-12-04",142.800003,143.5,141.429993,142.529999,1526100,135.635559
"2020-12-07",141.440002,141.949997,139.520004,141.809998,1634300,134.950394
"2020-12-08",140.059998,142.429993,139.800003,141.429993,1364800,134.58876
"2020-12-09",142.660004,143.820007,141.490005,143.279999,2053900,136.349258
"2020-12-10",142.5,144.149994,141.669998,143.990005,1635900,137.024933
"2020-12-11",142.940002,143.759995,139.300003,143.660004,1541100,136.710892
"2020-12-14",145.369995,145.419998,141.029999,141.789993,2210900,134.931335
"2020-12-15",142.639999,143.649994,141.070007,143.149994,2206500,136.225555
