"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2020-09-11",425.600006,434,424.98999,431.130005,1743200,429.354156
"2020-09-14",435.440002,439.850006,433.019989,434.100006,1052300,432.532623
"2020-09-15",435.640015,437.470001,433.149994,435.100006,1292600,433.529053
"2020-09-16",438.790009,440.769989,432.619995,433.880005,1842700,432.313446
"2020-09-17",431.160004,438.25,429.029999,432.929993,1304300,431.366821
"2020-09-18",426.73999,433.839996,426.079987,429.049988,1737800,427.500885
"2020-09-21",424.75,426.230011,415.470001,425.470001,1283200,423.933838
"2020-09-22",423.899994,431.309998,422.119995,430.23999,1168600,428.686554
"2020-09-23",430.769989,431.76001,420.200012,420.76001,966500,419.240814
"2020-09-24",419.48999,421.109985,415.579987,418.140015,904700,416.63028
"2020-09-25",415.769989,424.790009,412.799988,422.290009,1112900,420.76532
"2020-09-28",426.51001,431.119995,424.040009,428.390015,1110700,426.843262
"2020-09-29",430.769989,436.299988,430,434.339996,911900,432.77182
"2020-09-30",436.600006,444.799988,435.070007,441.519989,1516300,439.925873
"2020-10-01",445.970001,452.690002,436.109985,438.200012,1452300,436.617889
"2020-10-02",434.209991,441.799988,433.01001,435.059998,949000,433.489197
"2020-10-05",440,451.75,440,450.670013,1149100,449.042877
"2020-10-06",451.859985,452,445.269989,445.890015,1198100,444.280121
"2020-10-07",447.890015,455.950012,447.890015,452.359985,1012900,450.726715
"2020-10-08",454.76001,454.76001,447.170013,453.540009,832400,451.902466
"2020-10-09",457.390015,465.399994,455.290009,464.700012,1066000,463.022156
"2020-10-12",465.779999,471.320007,462.51001,466.720001,927200,465.034821
"2020-10-13",466.890015,470.869995,466.01001,467.529999,916400,465.841949
"2020-10-14",467.01001,472.440002,464.299988,467.01001,851900,465.323853
"2020-10-15",461.970001,466,458.369995,464.559998,936600,462.882629
"2020-10-16",468.200012,473.839996,467.5,468.589996,1070300,466.898102
"2020-10-19",468.869995,471.26001,458.790009,461.290009,1248800,459.624512
"2020-10-20",461.269989,470.380005,461.170013,465.26001,1081900,463.58017
"2020-10-21",475,478.98999,462.420013,468.76001,2212800,467.067505
"2020-10-22",471.690002,485,470.109985,481.98999,1454600,480.249756
"2020-10-23",481,483.709991,473.48999,480.170013,1164400,478.43634
"2020-10-26",475.070007,482.619995,475,482.429993,1310900,480.688202
"2020-10-27",485,490.709991,484.089996,489.299988,1332000,487.533325
"2020-10-28",482.350006,486.230011,475.730011,476.709991,1673300,474.988831
"2020-10-29",479.649994,479.970001,471.109985,471.880005,1330100,470.17627
"2020-10-30",469.059998,475.470001,465.5,473.119995,1251900,471.411804
"2020-11-02",478.799988,489.320007,477.549988,480.549988,1656000,478.814941
"2020-11-03",491.019989,501.730011,488.890015,491.5,1714300,489.725433
"2020-11-04",500,518,499.220001,510.970001,2300100,509.125122
"2020-11-05",525,529.869995,511.75,514.76001,1526100,512.901367
"2020-11-06",518.580017,532.570007,514.51001,527.659973,1367000,525.754761
"2020-11-09",521.780029,523,484.309998,484.98999,4192000,483.238922
"2020-11-10",480.369995,483.980011,462,468.589996,3377200,466.898102
"2020-11-11",472.059998,488.549988,469.070007,484,1917800,482.252502
"2020-11-12",485,498.029999,482.899994,486.559998,1463800,484.803253
"2020-11-13",492.98999,494.359985,486.079987,488.589996,1160800,486.825928
"2020-11-16",495.730011,495.730011,480.130005,480.98999,1737500,479.253357
"2020-11-17",479.100006,483.929993,477.130005,479,1546600,477.270538
"2020-11-18",479.910004,481.440002,451.73999,454.179993,3527800,452.5401
"2020-11-19",458.929993,459.709991,450.049988,453.100006,2093500,451.464081
"2020-11-20",452.779999,457.279999,449.75,451.040009,1868600,449.411499
"2020-11-23",454.5,455.920013,441.76001,446.029999,2251300,444.419586
"2020-11-24",444.299988,445.519989,435.769989,439.559998,2832500,437.9729
"2020-11-25",438.480011,449.690002,438.179993,448.450012,2650200,446.830841
"2020-11-27",453.480011,454.600006,442,453.399994,899700,451.763
"2020-11-30",457.070007,466.589996,455,464.980011,2557000,463.301178
"2020-12-01",470,475.790009,465.299988,471.100006,3041900,469.399017
"2020-12-02",476.470001,482.200012,469.600006,478.890015,2003400,477.160919
"2020-12-03",480,481.450012,471.660004,477.200012,1488100,475.47702
"2020-12-04",476.459991,478.720001,469.23999,474.619995,1650000,472.906342
"2020-12-07",473.839996,478.100006,471,472.890015,1263500,471.182648
"2020-12-08",472.890015,479.549988,472.890015,473.980011,1433700,472.268646
"2020-12-09",477.5,477.5,458.869995,461.380005,2417100,459.714172
"2020-12-10",463.049988,473,462,468.73999,1564300,467.047607
"2020-12-11",468,471.899994,465.040009,471.390015,1192500,469.688019
"2020-12-14",471.410004,477.440002,466.040009,467.130005,1745400,465.660706
"2020-12-15",469.790009,473.480011,465.23999,470.980011,1129100,469.498627
"2020-12-16",466.339996,468.470001,457.579987,457.790009,2058300,456.350128
"2020-12-17",458.359985,464.98999,458.149994,464.940002,1765800,463.477631
"2020-12-18",462.73999,469.149994,455.410004,466.679993,3379600,465.212158
"2020-12-21",462.309998,466.279999,454,462.880005,1282200,461.424133
"2020-12-22",462.359985,465.390015,459.5,465.200012,1043900,463.736786
"2020-12-23",467.829987,469.380005,458.339996,458.339996,1241000,456.898376
"2020-12-24",457.399994,462.209991,456.410004,458.089996,442100,456.649139
"2020-12-28",462.079987,463.5,457.350006,460.730011,736500,459.280853
"2020-12-29",466,466.329987,460.75,462.859985,803200,461.404144
"2020-12-30",465.320007,466.600006,461.480011,461.730011,714800,460.27771
"2020-12-31",461.570007,466.230011,459.529999,465.779999,967200,464.314972
"2021-01-04",469.049988,476.380005,462.170013,471.820007,2220400,470.335999
"2021-01-05",472,482.899994,471,477.720001,2046700,476.217438
"2021-01-06",471.299988,489.959991,470.230011,485.209991,2112300,483.683838
"2021-01-07",489.910004,505.48999,488,500.329987,2144400,498.756287
"2021-01-08",509.880005,519,503.049988,512.299988,2221700,510.68866
"2021-01-11",508.98999,518.650024,508.959991,513.349976,1669600,511.735352
"2021-01-12",512.27002,515.700012,495.940002,498.769989,2039000,497.201172
"2021-01-13",500,505,499.769989,501.709991,1410200,500.131927
"2021-01-14",502,507.320007,496.059998,496.910004,1426700,495.347076
"2021-01-15",497.329987,511.51001,497,503.140015,1892600,501.557465
"2021-01-19",510,513.969971,503.100006,507.380005,1758700,505.784149
"2021-01-20",509.660004,519.76001,509.410004,515.840027,1257100,514.217529
"2021-01-21",515.799988,520,512.01001,512.359985,1514200,510.748474
"2021-01-22",511.709991,517.109985,510.01001,514.599976,1936600,512.981384
"2021-01-25",518.530029,522,515.619995,518.830017,1509700,517.19812
"2021-01-26",516.210022,518.159973,507.200012,507.829987,1006300,506.232666
"2021-01-27",500.220001,501,479.179993,482.480011,2504600,480.962433
"2021-01-28",491.329987,503.339996,489.660004,496.480011,1619700,494.918427
"2021-01-29",494.040009,513.679993,490.630005,509.700012,2586400,508.096802
"2021-02-01",516.840027,526.590027,512,515.469971,2083100,513.848694
"2021-02-02",519.98999,525.72998,518.01001,518.530029,1502000,516.899048
"2021-02-03",518.799988,519.570007,499.299988,500.220001,1704900,498.646606
"2021-02-04",500.220001,503.049988,487.660004,488.959991,2921900,487.422058
"2021-02-05",491.529999,494.369995,487.059998,492.559998,1678600,491.010712
"2021-02-08",497,502.149994,493.23999,495.76001,1418800,494.200653
"2021-02-09",495.290009,499.98999,488.299988,489.299988,1452500,487.760986
"2021-02-10",494.23999,494.23999,483.809998,484.880005,1677800,483.35495
"2021-02-11",488.170013,494.519989,484.100006,494.049988,1027100,492.496063
"2021-02-12",494.160004,511.279999,493.73999,507.829987,1762800,506.232666
"2021-02-16",510,513.609985,498.320007,500.079987,1467300,498.50708
"2021-02-17",497.579987,505.559998,494.089996,498.459991,1006500,496.892181
"2021-02-18",497.850006,499.549988,488.329987,488.799988,1465800,487.262543
