"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"2020-07-01",147.009995,149.839996,145.660004,149.380005,1058900,146.529251
"2020-07-02",150,151.619995,149.270004,150.059998,1115000,147.196259
"2020-07-06",151.490005,152.210007,148.910004,150.380005,1267700,147.510162
"2020-07-07",150.130005,152.600006,149.820007,150.080002,984500,147.215897
"2020-07-08",151.039993,151.660004,148.75,149.690002,1097500,146.833344
"2020-07-09",151.289993,153.289993,150.050003,152.679993,1016500,149.766251
"2020-07-10",152.869995,153.389999,150.820007,152.279999,880800,149.373886
"2020-07-13",153.059998,154.5,148.990005,149.080002,1697400,146.234985
"2020-07-14",147.960007,153.880005,146.75,153.669998,1852300,150.737366
"2020-07-15",152.080002,154.289993,150.389999,150.820007,1556400,147.941772
"2020-07-16",150.410004,152.559998,149.369995,151.869995,1246600,148.971725
"2020-07-17",152.809998,156.300003,152.110001,155.830002,1267700,152.856155
"2020-07-20",159.440002,167.949997,158.460007,167.729996,2306600,164.529068
"2020-07-21",167,169.320007,164.100006,165.809998,2164900,162.645691
"2020-07-22",168.710007,173.559998,167.050003,167.149994,2168000,163.960098
"2020-07-23",153.429993,160.699997,143.919998,145.539993,7656200,142.762527
"2020-07-24",145.479996,147.589996,141.169998,142.490005,3391200,139.770737
"2020-07-27",143.5,144.389999,140.100006,142,2010500,139.29007
"2020-07-28",142.080002,142.080002,137.529999,138.029999,2114800,135.395844
"2020-07-29",138.929993,140.770004,137.669998,139.289993,1540200,136.63179
"2020-07-30",138.399994,142.009995,136.929993,141.690002,1844100,138.986008
"2020-07-31",142.539993,144.149994,138.179993,142.759995,2194500,140.035583
"2020-08-03",142.910004,143.440002,139.309998,139.850006,2254000,137.181122
"2020-08-04",138.850006,142.75,137.800003,142.639999,1467100,139.917877
"2020-08-05",142.75,142.779999,140.149994,142.639999,1342100,139.917877
"2020-08-06",142.289993,142.979996,140.149994,140.789993,1186300,138.103165
"2020-08-07",141.029999,143.309998,140.320007,141.139999,1141100,138.446487
"2020-08-10",141,141,136.009995,137.570007,1241800,134.944641
"2020-08-11",138.130005,138.380005,135.360001,135.729996,1490800,133.139725
"2020-08-12",135.710007,137.889999,135.449997,136.490005,860500,133.885254
"2020-08-13",137,138.479996,136.419998,137.399994,972800,134.777847
"2020-08-14",137.320007,138.460007,135.960007,136.350006,706300,133.74791
"2020-08-17",137.100006,138.740005,136.910004,138.080002,904000,135.444901
"2020-08-18",138.960007,141.119995,138.369995,140.389999,962600,137.710815
"2020-08-19",139.899994,141.979996,139.070007,140.490005,898800,137.808899
"2020-08-20",140.199997,141.990005,139.669998,141.509995,804000,138.809448
"2020-08-21",141.300003,143.729996,140.270004,143.229996,1364800,140.496628
"2020-08-24",144.009995,144.490005,141.270004,142.800003,1004500,140.074814
"2020-08-25",143.259995,144.399994,142.389999,142.910004,924200,140.182693
"2020-08-26",142.919998,144.919998,142.399994,144.289993,906700,141.536362
"2020-08-27",144.149994,144.389999,140.960007,142.240005,982200,139.525482
"2020-08-28",143.080002,146.490005,142.619995,144.029999,957100,141.281357
"2020-08-31",143.589996,145.479996,142.669998,145.199997,1238000,142.429016
"2020-09-01",145.039993,148.470001,144.5,145.229996,1956600,142.45845
"2020-09-02",145.880005,148.470001,144.399994,147.800003,1220400,144.979401
"2020-09-03",147.119995,147.130005,138.470001,140.600006,1779600,137.916809
"2020-09-04",139.059998,141.039993,135.130005,137.139999,1574000,134.522858
"2020-09-08",133.889999,140.800003,133.110001,138.649994,2843200,136.003998
"2020-09-09",140.399994,142.240005,137.369995,141.529999,1618400,138.829056
"2020-09-10",140.449997,142.449997,134.160004,134.880005,1996600,132.633972
"2020-09-11",135.710007,136.929993,131.149994,132.369995,1613400,130.165741
"2020-09-14",134.020004,136.220001,133.330002,135.399994,1320300,133.145309
"2020-09-15",135.779999,137.589996,135.229996,135.919998,1504000,133.656631
"2020-09-16",137.050003,138.630005,134.960007,135.130005,1128000,132.879822
"2020-09-17",132.669998,134.850006,131.410004,133.940002,1424500,131.709625
"2020-09-18",134.139999,135.860001,132.300003,133.990005,3356300,131.758789
"2020-09-21",133.759995,134.839996,132.410004,134.220001,1328200,131.98497
"2020-09-22",135.699997,137.809998,133.899994,137.199997,807000,134.915344
"2020-09-23",136.639999,137.479996,132.860001,133.149994,804900,130.93277
"2020-09-24",132.130005,135.169998,132.070007,133.850006,549400,131.621124
"2020-09-25",133.699997,136.759995,133.339996,136.130005,749500,133.863159
"2020-09-28",137.699997,139,136.690002,138.320007,767200,136.016693
"2020-09-29",137.919998,139.050003,136.889999,136.949997,793800,134.669495
"2020-09-30",137.220001,139.139999,136.059998,137.710007,933300,135.41684
"2020-10-01",139.210007,139.929993,137.669998,139.199997,852600,136.882034
"2020-10-02",137.419998,138.490005,134.600006,134.889999,780700,132.643799
