"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2020-08-10",183.75,187.270004,183.449997,186.850006,3368600,179.618088
"2020-08-11",189.669998,193.889999,188.660004,190.350006,4215200,182.98262
"2020-08-12",191.860001,193.5,190.770004,191.830002,2869900,184.405304
"2020-08-13",190,191.679993,189.089996,189.720001,2248800,182.376999
"2020-08-14",189.589996,193.630005,189.149994,191.919998,2502700,184.491852
"2020-08-17",193,195.089996,192.360001,193.869995,3563000,186.366348
"2020-08-18",194,194.389999,190.600006,190.699997,1688500,183.319061
"2020-08-19",191.630005,192.179993,190.729996,190.949997,1702000,183.559372
"2020-08-20",189.320007,190.75,188.080002,189.919998,2082300,182.569244
"2020-08-21",190.460007,191.789993,188.759995,191.570007,2059300,184.155396
"2020-08-24",192.050003,193.059998,191.100006,192.559998,2045100,185.107071
"2020-08-25",193.699997,195.089996,192.779999,194.899994,2062000,187.356491
"2020-08-26",193.75,195.339996,192.309998,194.320007,1513300,186.798935
"2020-08-27",195.080002,195.800003,194.279999,194.440002,1536000,186.914291
"2020-08-28",193.520004,195.639999,192.850006,195.130005,1849500,188.518066
"2020-08-31",195,196.190002,192.039993,192.440002,2061600,185.919235
"2020-09-01",192.240005,195.889999,191.089996,195.800003,1888100,189.165344
"2020-09-02",196.089996,197.559998,194.419998,196.279999,3394400,189.629089
"2020-09-03",197.75,197.960007,189.300003,190.550003,4180800,184.093246
"2020-09-04",191.990005,194.119995,188.669998,191.139999,3624500,184.663254
"2020-09-08",190.649994,191.460007,188.5,188.660004,2692700,182.267303
"2020-09-09",190.190002,194.949997,190.130005,192.860001,2750700,186.324966
"2020-09-10",193.789993,194.639999,192.039993,193.080002,2084700,186.537506
"2020-09-11",194.009995,197.330002,193.869995,195.940002,1912900,189.300598
"2020-09-14",197.229996,199.850006,195.899994,198.839996,1663600,192.102356
"2020-09-15",199.520004,202.850006,199.520004,202.369995,2328200,195.512711
"2020-09-16",203.740005,205.779999,201.110001,201.419998,2994700,194.594925
"2020-09-17",198.639999,203.320007,196.820007,201.649994,2611300,194.817123
"2020-09-18",201.210007,204.529999,199.690002,199.800003,4164700,193.029831
"2020-09-21",196,196.910004,190.729996,194,2980600,187.426346
"2020-09-22",194.339996,197.990005,194.220001,197.320007,1864500,190.63385
"2020-09-23",198.100006,200.820007,193.630005,194.320007,2199000,187.735489
"2020-09-24",194.300003,198.289993,192.940002,195.669998,1704900,189.039749
"2020-09-25",195.029999,199.529999,194.660004,198.149994,1712100,191.435699
"2020-09-28",201.589996,202.199997,199.130005,199.449997,2070900,192.691666
"2020-09-29",199.589996,200.380005,196.649994,197.240005,2294800,190.556564
"2020-09-30",198.130005,202.199997,196.320007,196.869995,3606200,190.199081
"2020-10-01",198,198,192.100006,194.229996,3147100,187.648544
"2020-10-02",191.029999,198.589996,190.869995,196.350006,3231400,189.696716
"2020-10-05",198.199997,202.25,197.449997,201.320007,3376200,194.498306
"2020-10-06",202,204,199.289993,199.410004,3403800,192.653015
"2020-10-07",201.080002,205.580002,201,204.619995,2214500,197.686478
"2020-10-08",204.889999,205.5,201.559998,203.779999,1720300,196.874954
"2020-10-09",204.639999,206.479996,204.550003,205.779999,1724600,198.807159
"2020-10-12",208.679993,208.820007,205.460007,206.350006,2035500,199.357849
"2020-10-13",205.520004,206.860001,202.75,203,1882400,196.121384
"2020-10-14",203.610001,205.369995,203.440002,204.809998,2053100,197.870071
"2020-10-15",202.160004,209.429993,201.110001,208.809998,2588200,201.734512
"2020-10-16",209.369995,210.949997,207.820007,209.850006,3329500,202.739273
"2020-10-19",208.389999,210.649994,205.169998,205.660004,2110300,198.691238
"2020-10-20",206.550003,210.089996,206.009995,206.779999,1569500,199.773285
"2020-10-21",200.050003,202.270004,198.649994,199.479996,4141200,192.720642
"2020-10-22",193.990005,194.270004,185.830002,187.139999,7578800,180.798767
"2020-10-23",185.020004,189.75,185,188.139999,3897100,181.764893
"2020-10-26",186.529999,186.929993,182,184.699997,4007100,178.441452
"2020-10-27",184.479996,184.690002,178.070007,179.570007,4542000,173.485306
"2020-10-28",175.789993,178.220001,173.070007,173.369995,4092200,167.495392
"2020-10-29",172.830002,177.660004,171.5,176.039993,5987900,170.074905
"2020-10-30",175.289993,177.389999,173.130005,177.190002,3747900,171.185944
"2020-11-02",179.720001,181.690002,176.899994,179.240005,3726500,173.166489
"2020-11-03",181.5,186.960007,180.820007,185.380005,3983600,179.09845
"2020-11-04",189.619995,191.729996,186.399994,186.740005,4391900,180.412369
"2020-11-05",189.619995,193.899994,189.300003,192.070007,3998900,185.561752
"2020-11-06",191.25,191.809998,189.039993,190.070007,1999600,183.629517
"2020-11-09",200,207.779999,196.330002,198,4487000,191.290802
"2020-11-10",198.860001,203.5,197.949997,201.259995,4279800,194.440323
"2020-11-11",201.580002,201.949997,197.740005,200,3134800,193.223038
"2020-11-12",199.529999,201.289993,197.75,200.490005,2923200,193.696426
"2020-11-13",202.149994,204.520004,201.089996,203.440002,2292000,196.546478
"2020-11-16",206.5,209.940002,204.520004,206.710007,3066200,199.705658
"2020-11-17",205.110001,206.600006,201.589996,205.850006,2481000,198.874817
"2020-11-18",205.139999,207.880005,203.949997,204.029999,2244200,197.11647
"2020-11-19",202.619995,204.800003,200.630005,204.550003,1965000,197.618851
"2020-11-20",204.850006,205.990005,202.610001,203.389999,1911100,196.498154
"2020-11-23",205.169998,207.550003,204.639999,207.389999,2133300,200.36264
"2020-11-24",209.460007,211.139999,208.490005,208.699997,2726100,201.628235
"2020-11-25",208.600006,208.600006,206.070007,207.240005,2046900,200.217712
"2020-11-27",207.570007,207.850006,205,205.639999,1429300,199.606201
"2020-11-30",206.479996,206.75,202.889999,204.080002,2537000,198.091965
"2020-12-01",205.699997,208.289993,202.130005,202.399994,4481200,196.461258
"2020-12-02",201.899994,204.529999,201.429993,203.559998,2676300,197.587219
"2020-12-03",204.520004,205.259995,201.809998,202.259995,4152100,196.325363
"2020-12-04",202.100006,206.419998,202.100006,206.050003,2979900,200.004166
"2020-12-07",205.600006,205.929993,203.820007,204.990005,2071800,198.975266
"2020-12-08",203.649994,206.699997,203.210007,205.210007,2043600,199.188828
"2020-12-09",203.830002,206.990005,203.830002,205.880005,1937700,199.839157
"2020-12-10",204.970001,205.740005,201.389999,202.520004,2206000,196.577728
"2020-12-11",200.679993,203.75,200,203.059998,1919600,197.101898
"2020-12-14",205.270004,205.460007,197.910004,198,2163000,192.190369
"2020-12-15",198.809998,201.419998,197.460007,200.300003,1959500,194.422867
"2020-12-16",200.839996,201,198.610001,198.850006,2094900,193.015427
"2020-12-17",200.029999,202.809998,199.009995,202.199997,2705900,196.267136
"2020-12-18",202.089996,204.490005,200.729996,203.600006,5918600,197.626053
"2020-12-21",199.610001,203.800003,199.610001,202.490005,2035100,196.54863
"2020-12-22",201.830002,203.509995,201.440002,201.520004,1444200,195.607086
"2020-12-23",202.830002,203.509995,201.050003,201.169998,1787600,195.267349
"2020-12-24",201.259995,203.850006,200.479996,203.389999,691700,197.422211
"2020-12-28",203.970001,206.539993,203.550003,205.649994,1790200,199.615906
"2020-12-29",206.300003,206.830002,203.380005,204.419998,1735200,198.421982
"2020-12-30",204.869995,206.5,204.610001,205.979996,1279700,199.936203
"2020-12-31",206.350006,208.649994,205.660004,208.220001,1739900,202.110489
"2021-01-04",208.039993,209.029999,201.380005,203.009995,2642400,197.05336
"2021-01-05",202.899994,206.440002,202.860001,205.5,2127300,199.470306
"2021-01-06",205.550003,211.610001,205.130005,209.800003,2512400,203.644135
"2021-01-07",210.610001,213.350006,209.119995,212.720001,2023000,206.478455
"2021-01-08",218,221.279999,216.990005,218.820007,3922900,212.399475
"2021-01-11",220.179993,220.990005,216.949997,217.350006,2969500,210.972595
"2021-01-12",217.059998,220.440002,213.860001,218.639999,3226000,212.224762
"2021-01-13",217.580002,219,215.360001,216.610001,1466000,210.254318
"2021-01-14",217.949997,218.119995,215.710007,216.160004,1720000,209.81752
"2021-01-15",214.509995,217.520004,213.25,216.600006,2325200,210.244629
"2021-01-19",218.210007,218.820007,215.130005,215.279999,2841900,208.963333
"2021-01-20",217.089996,218.460007,215.710007,218.179993,3239600,211.778244
"2021-01-21",210,216.899994,207.889999,207.899994,6344000,201.799881
"2021-01-22",207.610001,209,203.240005,207.130005,4290300,201.052475
"2021-01-25",205.160004,207.149994,201.119995,206.460007,4815200,200.402145
"2021-01-26",207.309998,207.309998,199.399994,200.050003,3867700,194.180222
"2021-01-27",196.020004,198.800003,193.139999,194.330002,3791000,188.628052
"2021-01-28",197.380005,204.979996,195.440002,201.289993,3406500,195.383835
"2021-01-29",199.289993,200.800003,196.770004,197.470001,3508000,191.675919
"2021-02-01",198.820007,200.710007,198.270004,198.600006,2228700,192.772766
"2021-02-02",200.539993,207.130005,200.039993,205.929993,3714100,199.88768
"2021-02-03",205.139999,205.919998,203.860001,204.360001,1731600,198.363724
"2021-02-04",204.779999,206.649994,203.380005,204.449997,2552100,198.451126
"2021-02-05",206.550003,207.679993,203.860001,204.199997,2097000,198.208466
"2021-02-08",205.300003,205.300003,202.119995,204.119995,1995400,198.130783
"2021-02-09",204.440002,205.600006,202.529999,204.649994,1526600,198.645233
"2021-02-10",205.929993,206.190002,202.699997,203.5,1766800,197.528976
"2021-02-11",205.110001,207.869995,204.350006,207.229996,2658000,201.149551
"2021-02-12",206.210007,213.699997,206.210007,213.160004,3318300,206.905533
"2021-02-16",213.369995,215.419998,210.460007,213.990005,2936300,207.711182
"2021-02-17",213.240005,213.880005,209.809998,211.229996,3042700,205.032166
"2021-02-18",209.220001,209.789993,204.160004,207.059998,3621400,200.984512
"2021-02-19",208.039993,211.559998,207.899994,209.059998,3120800,202.925858
"2021-02-22",207.139999,210.369995,206.679993,206.830002,2775900,200.761261
"2021-02-23",207.350006,208.080002,204.679993,206.960007,2677500,200.887451
"2021-02-24",206.350006,212.949997,205.470001,211.149994,2355200,204.954514
"2021-02-25",209.779999,210.889999,207.899994,208.669998,4150200,203.482071
"2021-02-26",210.210007,210.210007,205.850006,205.960007,3707900,200.839447
"2021-03-01",208.580002,211.600006,207.770004,209.179993,4118200,203.97937
"2021-03-02",209.550003,210.639999,207.330002,209.300003,2315500,204.09639
"2021-03-03",209.330002,209.830002,205.990005,206.229996,2307400,201.102722
"2021-03-04",205.979996,206.699997,198.589996,201.080002,3208800,196.080765
"2021-03-05",203,210.149994,200.639999,209.710007,3187200,204.496231
"2021-03-08",210.570007,215.679993,210.169998,210.889999,3068500,205.646851
"2021-03-09",212.050003,214.970001,211.229996,211.699997,2814500,206.436722
"2021-03-10",212.5,215.179993,211.380005,213.119995,2764600,207.821426
"2021-03-11",214.820007,216.539993,213.169998,214.520004,2573500,209.18663
"2021-03-12",215.860001,217.5,213.919998,214.089996,2321100,208.767319
"2021-03-15",214.25,214.889999,209.960007,212.669998,2881100,207.382599
"2021-03-16",213.119995,213.169998,208.910004,211.699997,2786100,206.436722
"2021-03-17",211.429993,214.229996,209.820007,212.300003,2795200,207.02182
"2021-03-18",211.440002,217.710007,211.440002,215.360001,2866600,210.005737
"2021-03-19",215.429993,215.529999,209.210007,210.800003,7005200,205.559113
"2021-03-22",210.080002,211,204.779999,206.270004,5863500,201.141754
"2021-03-23",207.259995,210.529999,206.5,208.050003,3661700,202.877487
"2021-03-24",208,215.800003,208,212.899994,3245100,207.606888
"2021-03-25",212.529999,216.529999,211.820007,216.089996,2689300,210.717575
"2021-03-26",217.160004,223.210007,216.75,222.919998,3653800,217.377777
"2021-03-29",222.800003,223.949997,220.240005,222.979996,2279800,217.436295
"2021-03-30",221.259995,223.419998,220.539993,221.130005,2601500,215.632278
"2021-03-31",221.119995,222.570007,219.179993,220.410004,3246500,214.930206
"2021-04-01",220.880005,221.789993,219.020004,220.210007,2551300,214.735168
"2021-04-05",222.240005,224.619995,222.070007,223.470001,1958400,217.914093
"2021-04-06",223.970001,224.089996,220.800003,221.100006,1590800,215.603043
"2021-04-07",220.899994,221.940002,219.970001,221.339996,1634200,215.837051
"2021-04-08",221.080002,221.580002,220.080002,220.179993,1983900,214.705887
"2021-04-09",220.690002,223.360001,220.470001,223.240005,2383700,217.689819
"2021-04-12",222.559998,225.279999,222.509995,223.550003,2286500,217.992111
"2021-04-13",222.979996,223.389999,220.199997,221.990005,1799100,216.470901
"2021-04-14",222.479996,223.399994,221.550003,222.600006,1515300,217.06575
"2021-04-15",223.389999,224.5,222.369995,223.100006,2008800,217.553314
"2021-04-16",224.910004,225.779999,222.139999,222.710007,2539800,217.173004
"2021-04-19",223.229996,223.509995,221.449997,223.470001,1911000,217.914093
"2021-04-20",222.770004,225.339996,220.139999,220.669998,2766000,215.183716
"2021-04-21",220.080002,226.210007,219.690002,223.429993,3470200,217.875107
"2021-04-22",218.970001,221.110001,216.059998,217.979996,4831400,212.560593
"2021-04-23",219.520004,223.940002,218.570007,223.539993,2975600,217.98233
"2021-04-26",223.979996,226.960007,223.770004,224.589996,2767600,219.006271
"2021-04-27",225.699997,226.800003,223.949997,225.729996,2239600,220.11792
"2021-04-28",225.679993,228.320007,225.520004,226.190002,2172900,220.566483
"2021-04-29",227.589996,227.619995,223.410004,224.479996,2239700,218.899002
"2021-04-30",223.649994,224.350006,220.259995,222.089996,3674700,216.56842
"2021-05-03",224.009995,225.660004,223.210007,223.740005,2771400,218.177414
"2021-05-04",223.169998,225.910004,222.630005,225.669998,2781500,220.059387
"2021-05-05",226.399994,226.940002,223.300003,223.559998,2649800,218.001862
"2021-05-06",224.479996,227.350006,224.110001,227.210007,1852100,221.561142
"2021-05-07",227.729996,229.970001,226.009995,229.479996,2073700,223.774689
"2021-05-10",230.130005,231.259995,228.240005,228.440002,1827200,222.760544
"2021-05-11",226.809998,227.809998,223.860001,226.610001,2085200,220.976044
"2021-05-12",225.529999,226.339996,221.899994,222,2413100,216.480667
"2021-05-13",222,226.679993,222,225.179993,1915000,219.581589
"2021-05-14",226.759995,229.369995,225.830002,227.860001,1631800,222.194962
"2021-05-17",226.710007,227.309998,224.089996,224.759995,3062200,219.172028
"2021-05-18",225,225.229996,221.979996,222.440002,2937200,216.909714
"2021-05-19",220.259995,222.339996,218.020004,222.300003,2832300,216.773193
"2021-05-20",222.020004,222.929993,220.220001,221.949997,2456000,216.431915
"2021-05-21",223.009995,224.380005,221.229996,221.520004,2463200,216.012589
