"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2021-09-07",64.199997,64.400002,62.48,62.816002,4063000,62.816002
"2021-09-08",62.610001,63.147999,61.610001,61.84,5401000,61.84
"2021-09-09",61.84,62.647999,61.82,62.147999,4065500,62.147999
"2021-09-10",62.646,62.964001,61.716,62.098,3319500,62.098
"2021-09-13",62.112,62.287998,58.854,59.383999,8885500,59.383999
"2021-09-14",59.599998,61.136002,59.264,60.116001,6213000,60.116001
"2021-09-15",60.445999,60.798,59.838001,60.306,5027500,60.306
"2021-09-16",60.178001,60.875999,59.714001,60.812,3354000,60.812
"2021-09-17",60.506001,60.882,59.362,59.897999,7779000,59.897999
"2021-09-20",58.402,59.549999,56.827999,59.414001,5185500,59.414001
"2021-09-21",60.400002,60.658001,59.023998,59.919998,3565500,59.919998
"2021-09-22",60.200001,60.638,59.470001,60.324001,3515000,60.324001
"2021-09-23",60.891998,62.290001,60.473999,62.108002,4887000,62.108002
"2021-09-24",61.639999,62.566002,61.424,62.380001,3283000,62.380001
"2021-09-27",61.692001,61.976002,59.838001,60.113998,4127000,60.113998
"2021-09-28",59.574001,60.189999,57.414001,57.576,7433000,57.576
"2021-09-29",58.25,58.806,57.616001,57.765999,5604000,57.765999
"2021-09-30",57.678001,59.023998,57.678001,58.408001,4332000,58.408001
"2021-10-01",58.234001,59.900002,57.810001,59.599998,4479000,59.599998
"2021-10-04",58.507999,58.866001,56.953999,57.773998,5075500,57.773998
"2021-10-05",58.723999,60.200001,58.324001,59.703999,5241000,59.703999
"2021-10-06",58.883999,60.942001,58.577999,60.360001,4171000,60.360001
"2021-10-07",60.925999,62.647999,60.804001,61.924,3705000,61.924
"2021-10-08",62.035999,62.448002,61.07,61.433998,2363000,61.433998
"2021-10-11",61.032001,61.821999,60.57,61.360001,2524000,61.360001
"2021-10-12",62.172001,62.172001,61.146,61.316002,2510500,61.316002
"2021-10-13",61.778,62.799999,61.602001,62.02,3788000,62.02
"2021-10-14",62.978001,63.776001,62.220001,62.762001,4454000,62.762001
"2021-10-15",62.992001,63.316002,62.346001,63.057999,3697500,63.057999
"2021-10-18",63.091999,65.377998,63.091999,65.348,4646500,65.348
"2021-10-19",65.769997,66.617996,65.300003,66.424004,4547000,66.424004
"2021-10-20",66.842003,67.321999,65.723999,66.690002,3533000,66.690002
"2021-10-21",66.767998,66.891998,65.540001,66.867996,3108500,66.867996
"2021-10-22",66.972,67.764,66.260002,67.057999,2282500,67.057999
"2021-10-25",67.519997,69.050003,66.204002,66.382004,4970000,66.382004
"2021-10-26",66.792,66.82,64,64.526001,7187000,64.526001
"2021-10-27",64.839996,65.704002,64.043999,64.122002,3491500,64.122002
"2021-10-28",64.136002,65.528,64.136002,65.475998,2842500,65.475998
"2021-10-29",65.052002,67.587997,65.010002,67.267998,4276500,67.267998
"2021-11-01",67.267998,67.598,63.812,64.821999,5875000,64.821999
"2021-11-02",64.996002,66.396004,64.942001,65.685997,3826500,65.685997
"2021-11-03",66.012001,66.472,64.444,65.984001,3431500,65.984001
"2021-11-04",65.732002,67.706001,65.718002,67.68,5747500,67.68
"2021-11-05",69.846001,69.846001,65.501999,68.237999,8395000,68.237999
"2021-11-08",69,71.07,68.272003,70.237999,6589000,70.237999
"2021-11-09",70.393997,70.828003,68.662003,69.811996,5009500,69.811996
"2021-11-10",69.134003,69.199997,65.879997,66.632004,5811500,66.632004
"2021-11-11",67.778,67.982002,66.907997,67.375999,3304500,67.375999
"2021-11-12",67.867996,68.748001,67.849998,68.433998,2909000,68.433998
"2021-11-15",68.949997,68.949997,66.358002,67.026001,3757000,67.026001
"2021-11-16",66.421997,68.496002,66.421997,68.202003,3391000,68.202003
"2021-11-17",68.246002,68.828003,66.958,68.269997,3756500,68.269997
"2021-11-18",68.199997,69.279999,67.613998,68.702003,3465000,68.702003
"2021-11-19",69.372002,70.127998,68.384003,68.501999,3608000,68.501999
"2021-11-22",68.739998,68.907997,65.061996,66.160004,5159500,66.160004
"2021-11-23",65.314003,66.629997,63.653999,65.496002,5327500,65.496002
"2021-11-24",65.370003,66.676003,63.993999,66.648003,2946000,66.648003
"2021-11-26",66.089996,68.208,65.042,65.477997,3236000,65.477997
"2021-11-29",66.599998,69.099998,66.365997,68.660004,5235500,68.660004
"2021-11-30",68.928001,69.554001,66.066002,66.421997,8660000,66.421997
"2021-12-01",67.519997,67.610001,60.902,61.051998,11505500,61.051998
"2021-12-02",61.051998,62.931999,60.220001,62.622002,8490500,62.622002
"2021-12-03",62.175999,62.650002,59.334,60.563999,10449000,60.563999
"2021-12-06",59.557999,60.104,57.848,58.408001,11292500,58.408001
"2021-12-07",60.638,63.540001,60.598,63.448002,6454000,63.448002
"2021-12-08",63.445999,64.776001,62.285999,64.487999,5147000,64.487999
"2021-12-09",64.575996,64.891998,62.967999,63.284,4041500,63.284
"2021-12-10",64.019997,66.856003,64.019997,66.526001,6902000,66.526001
"2021-12-13",66.912003,67.875999,65.75,66.32,7119500,66.32
"2021-12-14",64.575996,64.629997,61.216,63.16,8491500,63.16
"2021-12-15",63.200001,67.522003,63.183998,67.356003,8266000,67.356003
"2021-12-16",67.096001,67.540001,63.995998,64.584,7288000,64.584
"2021-12-17",63.273998,67.438004,63.023998,66.765999,48309500,66.765999
"2021-12-20",64.730003,66.872002,64.146004,66.106003,7360500,66.106003
"2021-12-21",66.956001,67.956001,64.639999,67.849998,5662000,67.849998
"2021-12-22",68,69.758003,67,69.632004,4233500,69.632004
"2021-12-23",69.599998,70.968002,69.216003,69.804001,3536000,69.804001
"2021-12-27",70.778,73.557999,70.751999,73.533997,5094000,73.533997
"2021-12-28",74,74,72.304001,73.199997,3828500,73.199997
"2021-12-29",73.25,74.353996,72.542,73.348,2975500,73.348
"2021-12-30",73.445999,74.057999,71.760002,71.956001,3754000,71.956001
"2021-12-31",71.952003,72.711998,71.786003,71.879997,2640500,71.879997
"2022-01-03",72.424004,72.424004,66.487999,66.624001,9515000,66.624001
"2022-01-04",66.099998,66.683998,62.534,64.428001,9829000,64.428001
"2022-01-05",63.175999,63.939999,60.582001,60.698002,12033000,60.698002
"2022-01-06",58.897999,63.933998,58.737999,62.799999,12004000,62.799999
"2022-01-07",61.888,63.966,61.816002,62.931999,8805000,62.931999
"2022-01-10",60.844002,64.982002,60.484001,64.942001,11657500,64.942001
"2022-01-11",63.546001,64.800003,62.799999,64.711998,7455500,64.711998
"2022-01-12",65.108002,66.050003,63.641998,64.157997,7013500,64.157997
