"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2020-08-31",37.560001,37.560001,36.779999,36.98,3874600,34.916065
"2020-09-01",36.799999,37.360001,36.540001,37.209999,3136000,35.133221
"2020-09-02",37.139999,37.790001,37.060001,37.669998,3830400,35.567547
"2020-09-03",37.91,38.450001,36.490002,36.849998,5060900,34.793312
"2020-09-04",37.639999,38.220001,37.330002,37.5,6450500,35.40704
"2020-09-08",37.060001,37.200001,35.990002,36.040001,4954500,34.028522
"2020-09-09",36.259998,36.369999,35.84,35.889999,4106800,33.886902
"2020-09-10",36.040001,36.169998,35.509998,35.57,4037800,33.584759
"2020-09-11",35.580002,36.23,35.52,36,3521300,33.990761
"2020-09-14",36.330002,36.709999,35.860001,35.959999,4116400,33.952988
"2020-09-15",35.700001,35.880001,34.48,34.869999,6877500,32.923824
"2020-09-16",34.869999,36.16,34.84,35.57,6385200,33.584759
"2020-09-17",35.09,35.610001,35.049999,35.560001,3181900,33.575317
"2020-09-18",35.450001,35.869999,35.349998,35.400002,5827000,33.42424
"2020-09-21",34.470001,34.82,33.369999,33.970001,4781100,32.074059
"2020-09-22",33.860001,34.169998,33.049999,33.48,4801700,31.611403
"2020-09-23",33.610001,34.200001,33.23,33.25,4213800,31.394241
"2020-09-24",33.310001,33.43,32.669998,33.139999,3805800,31.290377
"2020-09-25",32.82,33.48,32.650002,33.400002,3460900,31.535868
"2020-09-28",33.970001,34.610001,33.860001,34.290001,3291600,32.376194
"2020-09-29",34.080002,34.16,33.630001,33.869999,4204900,31.979637
"2020-09-30",33.869999,34.52,33.869999,34.34,8480000,32.423401
"2020-10-01",34.459999,34.709999,33.91,34.169998,8063900,32.26289
"2020-10-02",33.880001,34.950001,33.810001,34.740002,5850600,32.801083
"2020-10-05",35.040001,35.639999,35.009998,35.380001,3655500,33.405365
"2020-10-06",35.799999,36.200001,35.16,35.23,5064200,33.263733
"2020-10-07",35.419998,36.669998,35.419998,36.459999,6004700,34.425076
"2020-10-08",36.610001,37.209999,36.470001,37.18,3642000,35.104897
"2020-10-09",37.299999,37.98,37.150002,37.700001,5888400,35.595871
"2020-10-12",37.619999,38,37.549999,37.810001,5554000,35.699734
"2020-10-13",37.84,37.84,36.669998,36.880001,4178200,34.82164
"2020-10-14",36.880001,37.16,36.580002,36.59,6360700,34.547821
"2020-10-15",36.27,37.23,36.220001,37.23,8067800,35.152103
"2020-10-16",38.18,38.75,37.48,38.02,7351400,35.898018
"2020-10-19",38.07,38.200001,36.880001,36.959999,3852800,34.897179
"2020-10-20",37.380001,37.709999,36.98,37.099998,3375700,35.029362
"2020-10-21",36.93,37.52,36.849998,36.91,4221400,34.84996
"2020-10-22",36.810001,37.639999,36.549999,37.560001,3810600,35.463692
"2020-10-23",37.869999,38.169998,37.59,37.669998,3727000,35.567547
"2020-10-26",37.169998,37.369999,36.349998,36.73,4531100,34.680008
"2020-10-27",36.310001,36.490002,35.509998,35.560001,4361700,33.861099
"2020-10-28",34.880001,35.09,34.009998,34.080002,8743800,32.451813
"2020-10-29",33.950001,34.599998,33.189999,34.32,6401300,32.68034
"2020-10-30",34.16,34.380001,33.639999,34.360001,5521500,32.718426
"2020-11-02",35.02,35.279999,34.52,35.099998,5640000,33.423073
"2020-11-03",35.830002,36.330002,35.610001,35.990002,6011500,34.270557
"2020-11-04",35.130001,35.650002,34.389999,34.700001,7630300,33.042187
"2020-11-05",34.889999,35.93,34.860001,35.599998,6184300,33.899189
"2020-11-06",35.75,35.849998,34.919998,35.07,4336500,33.394508
"2020-11-09",38.439999,40.060001,38.41,39.16,9647200,37.289104
"2020-11-10",39.169998,39.52,38.43,39.220001,6627700,37.346241
"2020-11-11",39.700001,39.700001,38.23,38.599998,6169500,36.755859
"2020-11-12",38.130001,38.389999,37.330002,37.73,4461000,35.927425
"2020-11-13",38.200001,38.959999,38.040001,38.709999,3872500,36.860603
"2020-11-16",39.77,39.939999,39.220001,39.709999,4664800,37.812832
"2020-11-17",39.029999,39.689999,38.84,39.439999,3870900,37.555729
"2020-11-18",39.650002,40.209999,38.720001,38.740002,7207400,36.889172
"2020-11-19",37.860001,38.599998,37.759998,38.490002,4173100,36.651119
"2020-11-20",37.73,38.099998,37.52,37.880001,6106300,36.070259
"2020-11-23",38.330002,38.830002,38.119999,38.549999,4093500,36.708252
"2020-11-24",39.200001,40.84,39.150002,40.689999,6188900,38.746014
"2020-11-25",40.450001,40.650002,39.830002,40.369999,5737400,38.441292
"2020-11-27",40.799999,40.799999,39.860001,39.950001,2259200,38.041363
"2020-11-30",40.02,40.060001,38.939999,39.119999,6200700,37.251022
"2020-12-01",39.799999,40.099998,39.34,39.459999,6028400,37.57478
"2020-12-02",39.450001,40.150002,39.290001,39.990002,4778800,38.079453
"2020-12-03",40.02,40.279999,39.610001,40.119999,5286700,38.203243
