"","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume","TDG.Adjusted"
"2020-07-01",441.820007,453.380005,435.480011,439.589996,382100,439.589996
"2020-07-02",450.160004,456.350006,441.820007,442.329987,425600,442.329987
"2020-07-06",450.850006,451.190002,430.089996,435.480011,627800,435.480011
"2020-07-07",432.420013,433.049988,418.459991,419.48999,478300,419.48999
"2020-07-08",420.890015,427.950012,418.100006,426.899994,617200,426.899994
"2020-07-09",422.670013,425.640015,405.01001,410.980011,459000,410.980011
"2020-07-10",412.850006,421.679993,406.670013,420.880005,413400,420.880005
"2020-07-13",426.570007,432.640015,412.290009,414.369995,414100,414.369995
"2020-07-14",410.769989,422.959991,408.529999,422.660004,399200,422.660004
"2020-07-15",430.089996,439.23999,430.029999,434.209991,550600,434.209991
"2020-07-16",429.769989,436.950012,425.779999,431.470001,359900,431.470001
"2020-07-17",432.190002,435,425.940002,432.869995,256300,432.869995
"2020-07-20",431.339996,436.970001,426.5,430.850006,545300,430.850006
"2020-07-21",437.480011,448,437.429993,440.880005,231800,440.880005
"2020-07-22",436.070007,450,436.070007,445.570007,269000,445.570007
"2020-07-23",442.459991,444.820007,434.809998,437.470001,304900,437.470001
"2020-07-24",438.940002,438.940002,423.850006,425.559998,348600,425.559998
"2020-07-27",425,430.220001,418.019989,424.179993,185300,424.179993
"2020-07-28",425,433.359985,424.470001,426.950012,355700,426.950012
"2020-07-29",428.059998,435.929993,425.5,433.369995,322500,433.369995
"2020-07-30",427.950012,438.829987,426.76001,433.339996,284600,433.339996
"2020-07-31",430.269989,433.350006,422.51001,431.579987,328300,431.579987
"2020-08-03",430.01001,437.769989,421.470001,436.01001,348700,436.01001
"2020-08-04",435.720001,453.950012,434.570007,448.73999,723600,448.73999
"2020-08-05",452.119995,474.140015,450.170013,471.609985,490600,471.609985
"2020-08-06",466.100006,475.470001,466.01001,472.070007,244400,472.070007
"2020-08-07",480.089996,480.089996,470,475.390015,460500,475.390015
"2020-08-10",477.869995,489.369995,477.339996,482.570007,582300,482.570007
"2020-08-11",494.170013,506.079987,489.829987,490.230011,784500,490.230011
"2020-08-12",499.649994,500,492.720001,498.48999,532400,498.48999
"2020-08-13",492.48999,499.149994,492.48999,495.149994,430800,495.149994
"2020-08-14",491.170013,499.700012,491.170013,498.790009,360500,498.790009
"2020-08-17",500,500,489.309998,489.970001,420500,489.970001
"2020-08-18",488.019989,490.170013,482.200012,483,528200,483
"2020-08-19",486.309998,489.619995,482,482.809998,553800,482.809998
"2020-08-20",478.380005,486.640015,476.179993,482.829987,255200,482.829987
"2020-08-21",481.690002,485.170013,477.859985,479.279999,426100,479.279999
"2020-08-24",481.160004,490.98999,481.160004,488.5,572900,488.5
"2020-08-25",490.910004,493.640015,483.459991,486.049988,315400,486.049988
"2020-08-26",483.899994,489.459991,481.480011,484.890015,248400,484.890015
"2020-08-27",488.559998,502.459991,488.040009,498.320007,428500,498.320007
"2020-08-28",500.589996,507.890015,498.649994,506.769989,394500,506.769989
"2020-08-31",506,507.579987,494.450012,499.670013,306900,499.670013
"2020-09-01",496.170013,505.220001,495.540009,503.779999,295500,503.779999
"2020-09-02",503.059998,507.149994,496.170013,505.149994,269100,505.149994
"2020-09-03",507.190002,508.940002,489.369995,493.820007,356300,493.820007
"2020-09-04",499.410004,506.98999,487.799988,503.320007,380800,503.320007
"2020-09-08",504.390015,513.22998,493.23999,501.929993,635700,501.929993
"2020-09-09",502.950012,505.220001,489.730011,500.929993,342000,500.929993
"2020-09-10",500.209991,510.26001,497.440002,499.470001,337100,499.470001
"2020-09-11",499.609985,508.48999,493.029999,505.75,230600,505.75
"2020-09-14",511.609985,513.049988,502,507.299988,489500,507.299988
"2020-09-15",507,511.929993,504.339996,507.299988,294000,507.299988
"2020-09-16",508.109985,526.22998,504.459991,518.890015,568100,518.890015
"2020-09-17",525.130005,529.200012,514.409973,519.01001,500600,519.01001
"2020-09-18",514.219971,521.659973,505.279999,505.5,1291000,505.5
"2020-09-21",493.899994,494.98999,474.839996,487.809998,656400,487.809998
"2020-09-22",490.579987,502.640015,490.579987,502.029999,361700,502.029999
"2020-09-23",500.850006,505.73999,479.079987,479.279999,338800,479.279999
"2020-09-24",476.980011,487.549988,467.910004,479.600006,271800,479.600006
"2020-09-25",475.070007,497.089996,475.070007,494.779999,266600,494.779999
"2020-09-28",502.339996,511.440002,498.359985,498.600006,399700,498.600006
"2020-09-29",501.279999,501.279999,488.5,489.079987,583200,489.079987
"2020-09-30",489,494.799988,471.220001,475.119995,694000,475.119995
"2020-10-01",481.529999,492.470001,475.170013,481.339996,579900,481.339996
"2020-10-02",468.559998,489.059998,468.559998,485.579987,445400,485.579987
"2020-10-05",490,494.649994,486.48999,487,368500,487
"2020-10-06",493.059998,503.01001,480.410004,480.540009,437900,480.540009
"2020-10-07",488.809998,496.609985,487.5,488.5,336500,488.5
"2020-10-08",492.089996,494.01001,483.200012,490.970001,265000,490.970001
"2020-10-09",493.910004,494.329987,484.209991,485,198400,485
"2020-10-12",486.779999,488.700012,482.450012,486,283500,486
"2020-10-13",480.029999,482.869995,469.339996,473.390015,380200,473.390015
"2020-10-14",474.529999,489.549988,474.529999,483.730011,426500,483.730011
"2020-10-15",479.880005,494.75,477.019989,491.320007,288400,491.320007
"2020-10-16",495.950012,497.940002,487.980011,491.98999,474300,491.98999
"2020-10-19",492.329987,501.709991,482.869995,484.160004,318600,484.160004
"2020-10-20",490,498.959991,488.98999,493.390015,397200,493.390015
"2020-10-21",491.799988,493.709991,480.589996,482.910004,307700,482.910004
"2020-10-22",484.48999,495.929993,484.48999,493.070007,218100,493.070007
"2020-10-23",497.839996,503.890015,492.660004,501.970001,302900,501.970001
"2020-10-26",496.25,497.190002,481,483.200012,414900,483.200012
"2020-10-27",482.809998,484.809998,463.619995,464.019989,600100,464.019989
"2020-10-28",456.809998,465.839996,453.76001,458.140015,804800,458.140015
"2020-10-29",456.290009,478,456.25,476.540009,423600,476.540009
"2020-10-30",473.959991,482.279999,467.660004,477.410004,363200,477.410004
"2020-11-02",482.359985,495.559998,479.109985,494.429993,363800,494.429993
"2020-11-03",504.640015,512.450012,502.799988,508.559998,284700,508.559998
"2020-11-04",510.369995,519.299988,503.339996,512.049988,256200,512.049988
"2020-11-05",512.719971,521.650024,512.719971,519.289978,217800,519.289978
"2020-11-06",519.289978,523.849976,515.359985,520.460022,190400,520.460022
"2020-11-09",574.460022,611.659973,568.159973,568.320007,1109500,568.320007
"2020-11-10",574.609985,579.789978,564.51001,574.380005,581000,574.380005
"2020-11-11",577.349976,577.609985,553.48999,560.809998,455200,560.809998
"2020-11-12",545,569.349976,533.75,556.530029,546400,556.530029
"2020-11-13",558.73999,568.690002,555.51001,566.780029,331400,566.780029
"2020-11-16",588.340027,589.570007,572.109985,573.960022,439600,573.960022
"2020-11-17",567.869995,584.549988,565.099976,577.969971,375900,577.969971
"2020-11-18",589.900024,600.049988,582.099976,587.869995,526800,587.869995
"2020-11-19",584.030029,592.369995,576.599976,590.650024,303200,590.650024
"2020-11-20",590.51001,596.130005,571.409973,574.130005,374400,574.130005
"2020-11-23",581.570007,599.5,580,594.940002,250600,594.940002
"2020-11-24",605.26001,619.320007,600.26001,615.409973,416100,615.409973
"2020-11-25",610.859985,610.859985,600,603.849976,274200,603.849976
"2020-11-27",608.859985,608.859985,590.080017,591.539978,123900,591.539978
"2020-11-30",591,595.359985,575.469971,579.190002,286300,579.190002
"2020-12-01",587.840027,599.190002,583.48999,593.599976,304900,593.599976
"2020-12-02",590.190002,599.950012,585.799988,594.840027,317200,594.840027
"2020-12-03",597.940002,613.75,595.48999,598.640015,392300,598.640015
"2020-12-04",601,613.26001,601,605.669983,215000,605.669983
"2020-12-07",603.549988,605.450012,594.359985,601.01001,216100,601.01001
"2020-12-08",596.109985,609.97998,595.309998,602.099976,214800,602.099976
"2020-12-09",603.369995,603.859985,587.01001,595.5,232300,595.5
"2020-12-10",589.159973,605.969971,589.159973,601.01001,239900,601.01001
"2020-12-11",593.830017,609.169983,593.830017,601.789978,270300,601.789978
"2020-12-14",607.299988,607.299988,595.429993,595.820007,294100,595.820007
"2020-12-15",599.48999,618.640015,595.859985,613.73999,352500,613.73999
"2020-12-16",613.73999,615.830017,601.200012,603.530029,259200,603.530029
"2020-12-17",604.75,606.590027,594.98999,598.349976,289400,598.349976
"2020-12-18",598.330017,611.01001,594.789978,608.330017,564500,608.330017
"2020-12-21",591.52002,602.48999,586.669983,600.710022,318000,600.710022
"2020-12-22",599.179993,603.539978,595.73999,596.22998,187900,596.22998
"2020-12-23",598.799988,616.48999,598.799988,611.900024,167900,611.900024
"2020-12-24",609.070007,610.75,602.400024,606.710022,47700,606.710022
"2020-12-28",608.859985,612.530029,606.059998,609.859985,103300,609.859985
"2020-12-29",614,614,601.580017,607.830017,95900,607.830017
"2020-12-30",607.299988,618.909973,607.299988,616.140015,296700,616.140015
"2020-12-31",615,622.570007,613.01001,618.849976,180300,618.849976
"2021-01-04",611.940002,616.340027,580.219971,587.669983,388400,587.669983
"2021-01-05",592.869995,609.460022,590.169983,599.219971,172300,599.219971
"2021-01-06",600.900024,613.450012,595.659973,598.900024,198200,598.900024
"2021-01-07",604.719971,618.73999,599.900024,605.179993,214200,605.179993
"2021-01-08",604.130005,614.72998,604.130005,613.26001,201900,613.26001
"2021-01-11",607.179993,614.710022,607.179993,612.919983,161800,612.919983
"2021-01-12",612,619.76001,612,617.909973,128500,617.909973
"2021-01-13",616.150024,617.099976,604.369995,611.01001,160200,611.01001
"2021-01-14",610.210022,616.820007,604.030029,606.070007,243800,606.070007
"2021-01-15",605.559998,605.559998,584.5,584.98999,212800,584.98999
"2021-01-19",594.27002,594.51001,572.369995,573.409973,343300,573.409973
"2021-01-20",573.409973,585.150024,571.77002,577.48999,262700,577.48999
"2021-01-21",574.280029,577.409973,566.72998,573.97998,213300,573.97998
"2021-01-22",571.890015,578.780029,569.789978,576.400024,179500,576.400024
"2021-01-25",573.640015,573.640015,555.909973,560.109985,686500,560.109985
"2021-01-26",563.630005,568.890015,543.48999,544.219971,263700,544.219971
"2021-01-27",532.900024,546.659973,517.369995,518.590027,552000,518.590027
"2021-01-28",527.440002,560.219971,525.390015,555.72998,451600,555.72998
"2021-01-29",555.140015,560.799988,537.840027,553.280029,460600,553.280029
"2021-02-01",559.460022,573.090027,555.5,570.309998,347700,570.309998
