"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2020-08-20",136.020004,137.979996,135.649994,137.479996,2279700,131.650192
"2020-08-21",136.800003,139,136.800003,138.429993,2524600,132.559891
"2020-08-24",139.759995,142.25,139.080002,141.679993,2921700,135.672089
"2020-08-25",142.669998,144.929993,140.539993,141.149994,2467500,135.164551
"2020-08-26",140.479996,142.440002,139.809998,141.830002,2379900,135.81572
"2020-08-27",142.130005,144.339996,141.279999,143.369995,3010300,137.290436
"2020-08-28",144.279999,145.850006,142.690002,143.630005,3698700,137.539398
"2020-08-31",143.5,143.600006,142.270004,142.309998,2886500,136.275375
"2020-09-01",141.669998,146.119995,140.910004,146.050003,2673900,139.856796
"2020-09-02",146.869995,149.550003,146.399994,149.270004,4515500,142.940247
"2020-09-03",148.589996,151.199997,145.300003,146.759995,4479100,140.536667
"2020-09-04",148.699997,150.779999,146.039993,148.179993,5129400,141.896454
"2020-09-08",147,150.759995,145.720001,148.520004,4775200,142.222046
"2020-09-09",149.800003,155.479996,149.210007,152.690002,5345100,146.215195
"2020-09-10",152.009995,153.25,148.75,149.860001,4387000,143.505219
"2020-09-11",150.479996,154.399994,150.240005,153.830002,3237100,147.306854
"2020-09-14",154,154.800003,152.210007,153.509995,2569300,147.000443
"2020-09-15",154.199997,154.470001,148.360001,148.600006,4092400,142.29866
"2020-09-16",150,151.979996,148.369995,151.110001,3302000,144.702209
"2020-09-17",149.850006,156.25,149.149994,153.869995,4487000,147.345154
"2020-09-18",153.679993,156.210007,152.059998,152.389999,5113500,145.927933
"2020-09-21",148.559998,149.5,143.869995,145.330002,4278200,139.167313
"2020-09-22",145.009995,147.5,144.5,147.149994,2579500,140.910126
"2020-09-23",147.479996,148.910004,143.600006,144.380005,2420100,138.257614
"2020-09-24",144.020004,147.440002,142.729996,145.139999,2138800,138.985397
"2020-09-25",143.889999,146.699997,143.009995,145.910004,1848900,139.722717
"2020-09-28",148,150.309998,147.410004,147.679993,2212700,141.417664
"2020-09-29",148.369995,148.970001,146.210007,147.410004,1605600,141.159103
"2020-09-30",148,150.949997,147.740005,149.149994,3642800,142.825317
"2020-10-01",149.919998,150.309998,145.649994,146.710007,2157400,140.488815
"2020-10-02",144.270004,151.25,143.75,149.940002,3220500,143.581818
"2020-10-05",152.169998,154.449997,151.619995,153.490005,2597700,146.981323
"2020-10-06",154,155.449997,151.279999,151.529999,2559800,145.104385
"2020-10-07",153.279999,156.059998,153.199997,154.770004,2334200,148.207016
"2020-10-08",155.75,156.729996,154.240005,156.660004,1842900,150.016861
"2020-10-09",157.869995,159.389999,157.399994,158.940002,4084200,152.200195
"2020-10-12",159.970001,163.199997,159.520004,162.610001,4279800,155.714584
"2020-10-13",161.720001,163.179993,161.119995,162.119995,3319000,155.245316
"2020-10-14",162.660004,164.820007,162.5,163.610001,4087100,156.67215
"2020-10-15",160.270004,165.779999,160.149994,165.039993,2958500,158.041489
"2020-10-16",167.25,170.509995,166.619995,168.75,5569000,161.594177
