"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2020-08-26",41.459999,41.459999,40.220001,40.459999,1762900,38.536324
"2020-08-27",41,42.669998,40.939999,41.490002,2170800,39.517357
"2020-08-28",41.950001,42.07,41.150002,41.509998,1645200,39.536404
"2020-08-31",40.970001,40.970001,40.02,40.450001,2092600,38.830826
"2020-09-01",40.139999,41.040001,39.830002,41.040001,1754100,39.397209
"2020-09-02",40.990002,41.700001,40.220001,41.560001,2023700,39.896397
"2020-09-03",41.98,43.09,40.630001,41.029999,1748400,39.387611
"2020-09-04",42.040001,42.049999,40.48,40.939999,1473300,39.301208
"2020-09-08",40.560001,40.68,39.18,39.549999,2144100,37.96685
"2020-09-09",39.919998,40.34,39.310001,39.48,3001800,37.899647
"2020-09-10",39.549999,39.91,38.68,38.900002,2586500,37.342865
"2020-09-11",38.849998,38.919998,38.18,38.639999,1718600,37.093269
"2020-09-14",38.990002,39.580002,38.830002,38.889999,1853200,37.333271
"2020-09-15",38.669998,38.959999,37.439999,37.48,3239700,35.979713
"2020-09-16",37.720001,38.529999,37.25,38.139999,3382600,36.613293
"2020-09-17",37.529999,38.029999,37.169998,37.650002,3415200,36.14291
"2020-09-18",37.490002,38.18,37.189999,37.25,3399600,35.758919
"2020-09-21",36.040001,36.869999,35.580002,36.240002,2355600,34.789345
"2020-09-22",36.150002,36.700001,35.380001,35.84,3977900,34.405357
"2020-09-23",35.98,36.549999,35.259998,35.290001,3339800,33.877369
"2020-09-24",35.25,35.98,34.689999,35.41,2614100,33.992569
"2020-09-25",35.029999,35.939999,34.959999,35.799999,1737300,34.366962
"2020-09-28",36.599998,37.389999,36.529999,36.880001,1928200,35.403725
"2020-09-29",36.68,36.759998,35.619999,36.529999,1872500,35.067734
"2020-09-30",36.82,37.27,36.48,36.860001,2773400,35.384533
"2020-10-01",36.889999,37.220001,36.279999,36.77,1675100,35.298126
"2020-10-02",36.139999,37.830002,36.099998,37.560001,2299900,36.056511
"2020-10-05",38.779999,39.630001,38.57,39.23,3406200,37.65966
"2020-10-06",39.400002,39.630001,37.869999,37.91,2566400,36.392498
"2020-10-07",38.299999,38.93,37.889999,37.950001,2534200,36.430897
"2020-10-08",38.32,39.360001,38.049999,39.330002,2886700,37.755657
"2020-10-09",39.389999,39.470001,38.52,38.610001,3215400,37.064476
"2020-10-12",38.59,39.209999,38.389999,39.040001,1407100,37.477264
"2020-10-13",38.810001,38.810001,37.610001,37.740002,1608300,36.229301
"2020-10-14",37.740002,38.549999,37.389999,37.419998,1318200,35.922104
"2020-10-15",36.93,38.080002,36.900002,37.830002,1440000,36.315697
"2020-10-16",37.84,38.419998,37.5,37.700001,1541900,36.190907
"2020-10-19",37.860001,38.209999,37.130001,37.189999,1616800,35.701317
"2020-10-20",37.720001,38.68,37.57,38.389999,2292100,36.853279
"2020-10-21",38.16,40.689999,38.080002,40.400002,4293500,38.782829
"2020-10-22",38.900002,40.099998,38.029999,39.970001,4095300,38.370033
"2020-10-23",40.470001,40.880001,39.77,40.610001,1447700,38.984425
"2020-10-26",39.98,40.07,38.52,39,2856400,37.438869
"2020-10-27",39,39.099998,37.439999,37.560001,2552600,36.056511
"2020-10-28",36.869999,37.790001,36.619999,37.349998,3011900,35.854916
"2020-10-29",37.290001,38.849998,36.77,38.689999,2973700,37.141273
"2020-10-30",38.110001,39.709999,37.990002,38.52,3732600,36.978081
"2020-11-02",39.369999,39.619999,38.43,39.34,2606600,37.765251
"2020-11-03",39.950001,40.400002,39.470001,39.52,2640900,37.938049
"2020-11-04",38.759998,39.32,37.869999,38.209999,2923100,36.680496
"2020-11-05",38.779999,40.450001,38.66,39.939999,2884400,38.341236
"2020-11-06",40.169998,40.549999,39.299999,39.400002,2677200,37.822861
"2020-11-09",43.290001,46.34,43.290001,44.869999,4445300,43.073891
"2020-11-10",45.16,46.27,44.810001,45.82,2400200,43.985867
"2020-11-11",45.939999,45.939999,44.599998,45.209999,1386800,43.40028
"2020-11-12",44.459999,45.310001,44.110001,44.73,1678600,42.939499
"2020-11-13",45.189999,45.880001,44.759998,45.209999,1891300,43.40028
"2020-11-16",46.950001,47.049999,45.84,46.34,1903100,44.485054
"2020-11-17",45.810001,46.830002,45.23,46.43,1482100,44.571445
"2020-11-18",46.43,47.200001,45.869999,45.880001,1273100,44.043465
"2020-11-19",45.389999,46.349998,44.709999,46.240002,2027600,44.389053
"2020-11-20",45.77,46.32,45.34,45.77,1454900,43.93787
"2020-11-23",46.509998,46.610001,45.779999,46.34,1346800,44.485054
"2020-11-24",47.25,47.98,46.360001,47.529999,2224400,45.627419
"2020-11-25",47.290001,47.290001,46.330002,46.580002,2284900,44.715446
"2020-11-27",46.52,46.580002,45.740002,45.830002,1137800,43.995468
"2020-11-30",45,45.419998,43.93,44.200001,7693700,42.733757
"2020-12-01",45.32,45.650002,44.84,45.43,2851200,43.922955
"2020-12-02",45.07,45.549999,44.720001,45.459999,2656800,43.951962
"2020-12-03",45.400002,46.27,45.110001,45.84,1485000,44.319347
"2020-12-04",46.150002,46.849998,46.150002,46.490002,2747400,44.947796
"2020-12-07",46.150002,46.349998,45.419998,45.540001,1496400,44.029305
"2020-12-08",44.830002,46.310001,44.759998,46.200001,1909100,44.667408
"2020-12-09",46.66,47.790001,46.34,47.57,3917000,45.991966
"2020-12-10",47.09,47.830002,46.549999,47.400002,1849800,45.827606
"2020-12-11",46.84,47.259998,46.23,46.240002,1331100,44.706081
"2020-12-14",46.759998,46.950001,45.52,45.540001,1649000,44.029305
