"","MO.Open","MO.High","MO.Low","MO.Close","MO.Volume","MO.Adjusted"
"2020-07-01",39.43,40.18,39.220001,39.240002,6326100,33.832439
"2020-07-02",39.630001,40.02,39.299999,39.400002,4389500,33.970383
"2020-07-06",39.75,40.009998,39.080002,39.599998,4883100,34.142822
"2020-07-07",39.189999,40.240002,39.119999,39.939999,8659900,34.435966
"2020-07-08",39.82,40.439999,39.610001,39.869999,7530500,34.375614
"2020-07-09",39.73,39.73,38.529999,38.599998,6257000,33.280628
"2020-07-10",38.950001,40.32,38.900002,40.27,8406400,34.720493
"2020-07-13",40.130001,40.720001,39.740002,40.209999,6931300,34.668758
"2020-07-14",40.209999,41.099998,39.880001,41.060001,7783300,35.401623
"2020-07-15",41.34,41.75,40.959999,41,6499600,35.349892
"2020-07-16",40.939999,41.68,40.869999,41.48,5670900,35.763744
"2020-07-17",41.84,41.849998,41.389999,41.540001,6242700,35.815472
"2020-07-20",41.5,41.5,40.48,40.869999,5915800,35.237801
"2020-07-21",41.040001,42.139999,41.040001,41.220001,6212400,35.539574
"2020-07-22",41.099998,41.400002,40.509998,41.34,5437900,35.64304
"2020-07-23",41.48,41.740002,41.259998,41.580002,4803000,35.84996
"2020-07-24",41.799999,42.59,41.59,41.849998,6186800,36.082756
"2020-07-27",42,42.27,41.759998,42.130001,6052100,36.324169
"2020-07-28",42.98,43.200001,42.209999,42.52,10794200,36.660427
"2020-07-29",42.869999,42.869999,41.419998,41.630001,7890100,35.893078
"2020-07-30",41.279999,41.889999,41.18,41.580002,6256700,35.84996
"2020-07-31",41.310001,41.560001,40.669998,41.150002,7572500,35.479221
"2020-08-03",41.110001,41.32,40.669998,41.009998,6063800,35.358509
"2020-08-04",41.200001,41.610001,40.93,41.599998,8747300,35.867207
"2020-08-05",41.689999,42.040001,41.48,41.66,6425900,35.918938
"2020-08-06",41.580002,41.889999,41.32,41.549999,4085500,35.824097
"2020-08-07",41.299999,42.23,41.07,42.169998,5620600,36.358654
"2020-08-10",42.259998,43.25,42.259998,43.220001,6734900,37.263958
"2020-08-11",43.860001,44.150002,43.470001,43.599998,8538700,37.591591
"2020-08-12",43.709999,43.990002,42.900002,42.959999,7866000,37.039791
"2020-08-13",42.75,43.07,42.48,42.57,5347100,36.703533
"2020-08-14",42.360001,42.720001,42.080002,42.540001,4881300,36.677662
"2020-08-17",42.68,43.34,42.57,43.029999,6948700,37.10014
"2020-08-18",43.360001,43.599998,43.029999,43.220001,5865100,37.263958
"2020-08-19",43.369999,44.150002,43.169998,43.650002,6439400,37.634701
"2020-08-20",43.380001,43.810001,43.16,43.5,6160500,37.505371
"2020-08-21",43.59,43.650002,43.139999,43.459999,4334400,37.470882
"2020-08-24",43.580002,44.459999,43.450001,44.040001,7911300,37.970963
"2020-08-25",44.299999,44.299999,43.5,43.52,6117900,37.522617
"2020-08-26",43.220001,43.650002,42.93,43.200001,11083300,37.246719
"2020-08-27",43.43,44.369999,43.360001,43.75,6558300,37.720921
"2020-08-28",43.84,43.950001,43.459999,43.93,5476500,37.87611
"2020-08-31",43.880001,43.990002,43.59,43.740002,7826300,37.712299
"2020-09-01",43.650002,43.689999,43.040001,43.119999,7105300,37.177742
"2020-09-02",43.07,43.900002,42.900002,43.759998,8021200,37.729542
"2020-09-03",43.950001,44.779999,43.009998,43.290001,10906100,37.32431
"2020-09-04",43.509998,43.939999,42.779999,43.490002,9461000,37.49675
"2020-09-08",43.700001,44.07,42.700001,43.07,8765400,37.134628
"2020-09-09",43.369999,44.169998,43.310001,43.790001,16628800,37.755409
"2020-09-10",43.889999,43.889999,43.27,43.349998,7569900,37.376038
"2020-09-11",43.470001,43.720001,43.16,43.59,9282300,37.582973
"2020-09-14",42.900002,43.360001,42.630001,43,10177700,37.82045
"2020-09-15",43.099998,43.389999,42.709999,42.779999,8482700,37.626949
"2020-09-16",42.880001,42.91,41.740002,41.759998,9752100,36.729813
"2020-09-17",41.580002,41.959999,40.82,40.860001,9770500,35.938217
"2020-09-18",40.880001,41.040001,39.490002,39.84,22715200,35.041088
"2020-09-21",39.68,39.799999,38.439999,38.82,10251700,34.143948
"2020-09-22",39,39.419998,38.490002,38.549999,8560100,33.906467
"2020-09-23",38.75,39.049999,37.919998,37.93,8258900,33.361156
"2020-09-24",38,38.619999,37.59,38.330002,7301400,33.712975
"2020-09-25",38.119999,38.41,37.779999,38.27,7854900,33.660206
"2020-09-28",38.470001,39.209999,38.470001,38.950001,8003800,34.258293
"2020-09-29",38.939999,38.950001,38.330002,38.360001,7030200,33.739357
"2020-09-30",38.540001,38.900002,38.330002,38.639999,7706900,33.98563
"2020-10-01",38.669998,38.950001,38.380001,38.919998,7656100,34.231903
"2020-10-02",38.400002,39.220001,38.349998,38.970001,5268300,34.275883
"2020-10-05",39.169998,39.619999,38.919998,39.5,5154800,34.742039
"2020-10-06",39.650002,40.220001,39.48,39.599998,6555800,34.829987
"2020-10-07",39.810001,40.84,39.810001,40.529999,7425000,35.647968
"2020-10-08",40.669998,40.950001,40.23,40.380001,5715600,35.516041
"2020-10-09",40.830002,41.259998,40.59,40.689999,11445000,35.788696
"2020-10-12",40.650002,41.240002,40.380001,40.450001,7167200,35.577606
"2020-10-13",40.380001,40.419998,39.32,39.380001,8704000,34.636497
"2020-10-14",39.279999,39.82,39.119999,39.549999,5087700,34.786022
"2020-10-15",39.16,39.740002,39.049999,39.700001,4206800,34.91795
"2020-10-16",39.91,40.240002,39.529999,39.529999,5968700,34.768429
"2020-10-19",39.560001,39.939999,39.119999,39.18,5184300,34.460583
"2020-10-20",39.470001,39.5,38.630001,38.700001,7308100,34.038399
"2020-10-21",38.490002,38.75,38.43,38.509998,5799800,33.871292
"2020-10-22",38.630001,39.060001,38.439999,38.990002,4621600,34.293472
"2020-10-23",39.27,39.360001,38.779999,39.080002,4504100,34.372631
"2020-10-26",38.880001,38.939999,38.23,38.57,7152800,33.924065
"2020-10-27",38.43,38.57,37.150002,37.169998,9627500,32.692699
"2020-10-28",36.580002,37.139999,36.279999,36.720001,12641100,32.296906
"2020-10-29",36.650002,37.200001,36.23,36.869999,12650800,32.428837
"2020-10-30",36.25,36.75,35.830002,36.080002,12782500,31.733997
"2020-11-02",36.490002,36.77,36.130001,36.48,9370800,32.085808
