"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2020-10-05",141.5,144.520004,141.179993,144.399994,973500,141.066025
"2020-10-06",144.309998,144.970001,141.110001,141.770004,991000,138.496765
"2020-10-07",142.220001,147.399994,142.220001,145.789993,1294500,142.423935
"2020-10-08",146.130005,149.699997,145.199997,149.220001,1024800,145.77475
"2020-10-09",150.089996,152.190002,148.660004,149.929993,900500,146.468353
"2020-10-12",151.5,152.899994,150.220001,150.940002,1406500,147.455032
"2020-10-13",150.399994,153.380005,150.399994,152.919998,1131300,149.389313
"2020-10-14",153.119995,157.070007,150.789993,151.889999,1470900,148.383118
"2020-10-15",150.899994,153.830002,150.449997,152.100006,1150300,148.588272
"2020-10-16",152.410004,154.220001,151.580002,153.089996,2280500,149.555389
"2020-10-19",154.25,155,150.630005,150.979996,1222500,147.494125
"2020-10-20",151.630005,152.490005,148.809998,149.699997,1159500,146.243637
"2020-10-21",150.179993,151.229996,148.529999,149.119995,1243000,145.677063
"2020-10-22",142.089996,142.320007,136.100006,137.020004,4412400,133.85643
"2020-10-23",137.679993,140.279999,136.270004,139.820007,1948400,136.591797
"2020-10-26",138.910004,139.75,134.139999,135.850006,1638300,132.713455
"2020-10-27",136.610001,137.639999,134.110001,134.160004,1345600,131.062469
"2020-10-28",132.399994,135.880005,131.229996,132.559998,1280700,129.499405
"2020-10-29",132.559998,134.139999,130.929993,133.020004,1265600,129.948792
"2020-10-30",132.649994,133.610001,131,133.210007,1393700,130.134399
"2020-11-02",134.600006,135.820007,131.539993,133.399994,1321100,130.320007
"2020-11-03",135,137.360001,134.539993,135.990005,1250500,132.850204
"2020-11-04",137.550003,138.449997,135.360001,135.830002,1508500,132.693909
"2020-11-05",136.919998,140.289993,136.309998,138.979996,1270000,135.771164
"2020-11-06",138.899994,140.860001,137.169998,140.449997,848000,137.20723
"2020-11-09",135.449997,136.990005,129.580002,129.600006,2226000,126.60775
"2020-11-10",128.210007,130.350006,127.779999,129.830002,1971700,126.832443
"2020-11-11",131.699997,133.830002,131.419998,133.039993,954200,129.968307
"2020-11-12",132.910004,133.589996,129.020004,130.809998,1141400,127.789795
"2020-11-13",131.5,133.070007,130.190002,131.979996,1002600,128.932785
"2020-11-16",131.970001,133.139999,130.979996,132.820007,1918100,129.753418
"2020-11-17",132.080002,134.210007,131.119995,131.679993,1459400,128.639709
"2020-11-18",132,132.559998,128.100006,128.419998,1486100,125.454987
"2020-11-19",128.460007,131.789993,128,131.25,1248100,128.21965
"2020-11-20",130.050003,131.399994,128.419998,129.699997,1324500,127.092766
"2020-11-23",130.25,134.919998,130.229996,133.880005,1913300,131.188736
"2020-11-24",135.130005,135.75,133.100006,134.020004,1695400,131.325943
