"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2020-07-01",145.220001,146.479996,142.970001,144.110001,2609500,138.754959
"2020-07-02",145.580002,147.149994,144.550003,145.020004,2758500,139.631165
"2020-07-06",147.25,148.300003,146.130005,147.220001,2336700,141.749405
"2020-07-07",146,146.100006,144.259995,144.970001,2622000,139.583008
"2020-07-08",144.429993,145.929993,143.910004,145.589996,3587800,140.179993
"2020-07-09",144.740005,145.520004,141.330002,141.369995,3167200,136.116791
"2020-07-10",141.630005,143.119995,140.899994,142.449997,2325000,137.156662
"2020-07-13",143.580002,145.880005,142.25,143.490005,2585700,138.158005
"2020-07-14",143.490005,148.309998,142.289993,148.100006,2649800,142.59671
"2020-07-15",151.199997,152.690002,150.869995,151.929993,2984600,146.284393
"2020-07-16",151.009995,153.509995,150.25,153.080002,3697600,147.391647
"2020-07-17",153.5,155.380005,152.460007,155,4886500,149.240326
"2020-07-20",154.119995,154.880005,152.520004,153.389999,4876200,147.69014
"2020-07-21",153.880005,157.020004,153.880005,154.759995,2394000,149.009216
"2020-07-22",154.110001,155.610001,153.910004,154.610001,1798600,148.864792
"2020-07-23",154.360001,155.490005,152.869995,153.729996,2625600,148.017487
"2020-07-24",154,154.25,149.039993,149.429993,4368300,143.877274
"2020-07-27",148.800003,150.960007,147.919998,150.759995,3378300,145.157867
"2020-07-28",150.5,152.080002,149.419998,152.009995,3904200,146.361435
"2020-07-29",151.570007,155.429993,151.169998,154.580002,3311500,148.835892
"2020-07-30",152.929993,153.070007,149.029999,149.160004,2749100,143.617325
"2020-07-31",148.919998,149.479996,147,149.369995,4061200,143.819519
"2020-08-03",150.130005,150.25,147.309998,148.529999,2105400,143.010742
"2020-08-04",147.259995,148.160004,146.210007,147.330002,3078300,141.855331
"2020-08-05",148.789993,151,148.550003,150.820007,4097200,145.215637
"2020-08-06",150.919998,152.899994,150.339996,152.580002,2502700,146.910233
"2020-08-07",152.440002,155.259995,151.860001,155.110001,2520200,149.346222
"2020-08-10",155.160004,159.880005,155.160004,159.429993,2858800,153.505676
"2020-08-11",160.720001,163.25,160.100006,160.279999,3773700,154.324097
"2020-08-12",162.520004,162.820007,158.990005,160.070007,2669400,154.121918
"2020-08-13",157.679993,159.649994,157.570007,158.979996,2574900,153.937943
"2020-08-14",158,160.869995,157.960007,160.279999,2844700,155.196701
"2020-08-17",160.029999,160.880005,158.050003,158.759995,2817200,153.724899
"2020-08-18",158.990005,159.759995,157.220001,157.380005,1869300,152.388687
"2020-08-19",157.570007,158.130005,156.160004,156.850006,2098100,151.875519
"2020-08-20",155.5,157.020004,155.210007,156.169998,1600300,151.217041
"2020-08-21",155.960007,157.759995,155.960007,157.5,2507800,152.504898
"2020-08-24",158.100006,159.449997,156.509995,159.369995,2087000,154.315536
"2020-08-25",164.339996,167,163.520004,164.529999,7400500,159.31192
"2020-08-26",164.800003,166.429993,163.339996,165.309998,3466600,160.067184
"2020-08-27",166.190002,168.690002,165.089996,165.990005,4281100,160.725632
"2020-08-28",166.320007,168.699997,165.460007,168.380005,13011800,163.039825
"2020-08-31",168.580002,168.589996,164.690002,165.550003,4561900,160.299561
"2020-09-01",163.789993,168.160004,163.5,167.970001,3974600,162.642822
"2020-09-02",168.729996,172.929993,167.919998,172.470001,4111900,167.000107
"2020-09-03",173.369995,173.820007,165.059998,166.300003,3527700,161.025772
"2020-09-04",168.720001,169.660004,164.580002,166.690002,3326500,161.403397
"2020-09-08",165.190002,166.440002,163.300003,164.270004,2796800,159.060165
"2020-09-09",165.25,167.550003,164.860001,165.75,2807500,160.49324
"2020-09-10",167.300003,167.300003,163.820007,164.270004,2814900,159.060165
"2020-09-11",164.509995,167.449997,164.270004,166.449997,2116700,161.171021
"2020-09-14",168.009995,169.539993,167.369995,168.470001,2134000,163.126953
"2020-09-15",169.270004,169.990005,168.070007,168.300003,1851200,162.962357
"2020-09-16",169.289993,171.360001,168.479996,170,3152000,164.608444
"2020-09-17",168.039993,171.449997,166.710007,170.339996,2661400,164.937653
"2020-09-18",169.479996,170.470001,167.699997,168.699997,4908000,163.349655
"2020-09-21",164.820007,165.179993,158.589996,161.369995,4459600,156.252136
"2020-09-22",160.850006,163,160.119995,162.679993,2501000,157.520569
"2020-09-23",162.320007,163.899994,157.830002,158.789993,2507600,153.753937
"2020-09-24",158.320007,160.919998,156.850006,158.759995,2238300,153.724899
"2020-09-25",157.649994,162.059998,157.169998,161.490005,2593900,156.368347
"2020-09-28",164.440002,166.149994,163.229996,164.639999,2512600,159.418442
"2020-09-29",164.559998,166.229996,163.470001,164.509995,2169300,159.292572
"2020-09-30",165.770004,167.919998,163.020004,164.610001,2883400,159.389374
"2020-10-01",166.199997,167.139999,162.119995,163.679993,2409300,158.488861
"2020-10-02",161.619995,167,161.350006,165.610001,2339900,160.357651
"2020-10-05",166.990005,169.25,166.740005,168.720001,1750000,163.369049
"2020-10-06",169.110001,171.419998,166.619995,166.889999,2345800,161.597092
"2020-10-07",168.990005,172.199997,168.520004,171.550003,2030200,166.109283
"2020-10-08",172.380005,173.869995,171.479996,173.779999,1977900,168.268539
"2020-10-09",174.399994,176.059998,173.270004,174.380005,2636900,168.849533
"2020-10-12",175.059998,176.979996,174.119995,175.360001,3396300,169.798447
"2020-10-13",173.929993,174.940002,170.520004,171.550003,2315300,166.109283
"2020-10-14",173.089996,174.960007,172.800003,173.470001,2384600,167.968399
"2020-10-15",171.059998,173.539993,170.330002,172.610001,2436600,167.135666
"2020-10-16",173.300003,176.399994,172.800003,174.860001,3628800,169.314285
"2020-10-19",174.589996,175.160004,171.050003,171.589996,2103500,166.147995
"2020-10-20",172.470001,175.720001,172.470001,173.259995,1580300,167.765045
"2020-10-21",172.589996,175.220001,172.550003,172.869995,1827000,167.387421
"2020-10-22",173.610001,177.25,173.039993,176.850006,1882100,171.241196
"2020-10-23",178,178.639999,173.660004,175.539993,1987900,169.972748
"2020-10-26",173.199997,173.199997,167.600006,170.169998,2323700,164.773056
"2020-10-27",169.039993,169.850006,166.660004,166.75,2009300,161.461502
