"","TTWO.Open","TTWO.High","TTWO.Low","TTWO.Close","TTWO.Volume","TTWO.Adjusted"
"2020-09-24",160.270004,165.929993,160.270004,163.289993,768000,163.289993
"2020-09-25",162.570007,166.470001,161.5,165.779999,829800,165.779999
"2020-09-28",167.369995,167.949997,164.820007,167.460007,979100,167.460007
"2020-09-29",166.600006,167.350006,163.910004,164.339996,1216300,164.339996
"2020-09-30",164.789993,166.25,162.809998,165.220001,929100,165.220001
"2020-10-01",166.479996,168.029999,165.679993,166.110001,1047400,166.110001
"2020-10-02",162.619995,164.199997,157.820007,160.149994,1255800,160.149994
"2020-10-05",161.929993,164.960007,161.179993,164.759995,853600,164.759995
"2020-10-06",164.899994,167,161.399994,162.199997,1064400,162.199997
"2020-10-07",162.559998,163.529999,159.490005,160.960007,984800,160.960007
"2020-10-08",162.460007,162.919998,159.070007,160.419998,904800,160.419998
"2020-10-09",161.130005,162.699997,160.759995,161.639999,611900,161.639999
"2020-10-12",164.940002,168.270004,163.929993,167.139999,1784900,167.139999
"2020-10-13",167.279999,170.119995,164.660004,169.160004,1368900,169.160004
"2020-10-14",170.410004,170.990005,166.300003,168.940002,1123700,168.940002
"2020-10-15",166.350006,168.5,165.050003,168.029999,881400,168.029999
"2020-10-16",169,170.800003,167.839996,168.220001,2043700,168.220001
"2020-10-19",170.520004,172,164.419998,165.529999,1005400,165.529999
"2020-10-20",166.699997,167.110001,164.029999,164.440002,1003100,164.440002
"2020-10-21",165.75,166.610001,163.509995,164.550003,782500,164.550003
"2020-10-22",164.279999,164.550003,159.479996,163.289993,1387000,163.289993
"2020-10-23",164.289993,164.75,161.809998,164.429993,646200,164.429993
"2020-10-26",163.960007,166.660004,162.029999,165.050003,830000,165.050003
"2020-10-27",166.300003,167.889999,165.149994,167.360001,722200,167.360001
"2020-10-28",165.979996,166.759995,163.529999,164.389999,845300,164.389999
"2020-10-29",164.660004,165.610001,160.5,162.770004,1257400,162.770004
"2020-10-30",162.460007,162.770004,153.940002,154.919998,1678700,154.919998
"2020-11-02",156.839996,157.110001,151,154.029999,1127000,154.029999
"2020-11-03",154.779999,160.190002,154.199997,158.880005,1163300,158.880005
"2020-11-04",161.630005,166.589996,161.190002,163.720001,1301300,163.720001
"2020-11-05",167.100006,171.539993,164.649994,168.679993,2131000,168.679993
"2020-11-06",172.779999,179.460007,164.240005,175.190002,3182000,175.190002
"2020-11-09",169.5,169.839996,156.160004,159.990005,3189300,159.990005
"2020-11-10",157.759995,157.979996,152.880005,154.889999,3032000,154.889999
"2020-11-11",157.210007,161.809998,156.509995,161.570007,1534700,161.570007
"2020-11-12",162.199997,163.990005,159.580002,160.220001,1410800,160.220001
"2020-11-13",160.199997,162.889999,159.399994,161.830002,1148600,161.830002
"2020-11-16",161.350006,162.649994,159.559998,162.389999,1047000,162.389999
"2020-11-17",162.350006,164.949997,161.789993,162.199997,946300,162.199997
"2020-11-18",161.880005,163.320007,159.839996,161.559998,985500,161.559998
"2020-11-19",160.199997,168.070007,159.550003,165.580002,1688300,165.580002
"2020-11-20",165.990005,172.529999,165.229996,170.050003,1455300,170.050003
"2020-11-23",170.050003,171.589996,166.889999,171.190002,1138100,171.190002
"2020-11-24",171.100006,171.270004,167.289993,169.830002,1222100,169.830002
"2020-11-25",170.550003,174.440002,170.550003,173.979996,889200,173.979996
"2020-11-27",175.869995,177.940002,174.350006,176.410004,615100,176.410004
"2020-11-30",176.779999,181.710007,175.139999,180.509995,2667000,180.509995
"2020-12-01",181.5,181.5,175.25,180.059998,1151200,180.059998
"2020-12-02",178.949997,181.479996,177.789993,181.300003,703000,181.300003
"2020-12-03",181.330002,184.429993,180.220001,180.759995,950900,180.759995
"2020-12-04",180.100006,181.649994,178.889999,180.729996,1126600,180.729996
"2020-12-07",181.380005,184.699997,180.770004,183.389999,1335600,183.389999
"2020-12-08",184.410004,186.729996,182.440002,183.600006,1784900,183.600006
"2020-12-09",181.25,185.139999,181,183.679993,1305800,183.679993
"2020-12-10",182.830002,188.539993,182.350006,187.820007,1507500,187.820007
"2020-12-11",188.190002,191,186.839996,190.210007,1585800,190.210007
"2020-12-14",193.380005,203.690002,193,195.199997,3660300,195.199997
"2020-12-15",195.990005,197.190002,193.630005,194.699997,2440200,194.699997
"2020-12-16",194.539993,197.880005,193.75,195.119995,2920400,195.119995
"2020-12-17",197.009995,197.449997,191.759995,197.399994,2128400,197.399994
"2020-12-18",197.990005,205.839996,197.399994,203.389999,5178300,203.389999
"2020-12-21",203.960007,204.419998,198.279999,201.770004,1087700,201.770004
"2020-12-22",202.740005,204.160004,200.580002,201.860001,706000,201.860001
"2020-12-23",202.800003,203.440002,199.929993,201.820007,684500,201.820007
"2020-12-24",202.470001,204.440002,201.490005,202.5,211600,202.5
"2020-12-28",204.789993,204.789993,200.550003,201.119995,631500,201.119995
"2020-12-29",202.149994,204.860001,200.940002,202.449997,879200,202.449997
"2020-12-30",203.979996,209.259995,202.169998,206.350006,1524100,206.350006
"2020-12-31",207,207.979996,206.059998,207.789993,643900,207.789993
"2021-01-04",208.669998,208.669998,199.039993,201.850006,1849900,201.850006
"2021-01-05",202.110001,205.080002,200.119995,204.740005,878000,204.740005
"2021-01-06",202.449997,206.639999,199.899994,201.529999,1140400,201.529999
"2021-01-07",204.389999,208.610001,203.199997,208.009995,944200,208.009995
"2021-01-08",209.070007,211.440002,207.630005,210.429993,899700,210.429993
"2021-01-11",208.479996,209.130005,206.080002,206.539993,839800,206.539993
"2021-01-12",206.820007,207.130005,198.860001,199.149994,1596700,199.149994
"2021-01-13",198.449997,202.389999,197,199.5,1281400,199.5
"2021-01-14",199.160004,201.350006,194.529999,195.470001,1407800,195.470001
"2021-01-15",195.699997,197.949997,191.809998,196.279999,1688200,196.279999
"2021-01-19",195.850006,200.029999,195.25,198.729996,1678900,198.729996
"2021-01-20",201.029999,207.369995,199.839996,207.050003,1727100,207.050003
"2021-01-21",207.429993,208.720001,203.419998,205.559998,890000,205.559998
"2021-01-22",204.919998,206.699997,202.789993,204.660004,906600,204.660004
"2021-01-25",207.770004,208.710007,201.669998,203.990005,787400,203.990005
"2021-01-26",203.770004,204.080002,199.289993,199.779999,856000,199.779999
"2021-01-27",200.279999,201.070007,193.75,195.380005,1284900,195.380005
"2021-01-28",195.479996,203,195.479996,200.300003,1160800,200.300003
"2021-01-29",198.839996,204.240005,198.610001,200.449997,1000100,200.449997
"2021-02-01",201.789993,203.910004,198.949997,200.940002,1067900,200.940002
"2021-02-02",203.539993,208.149994,201.309998,207.110001,1122300,207.110001
"2021-02-03",207.550003,207.669998,201.800003,202.399994,867000,202.399994
"2021-02-04",202.710007,205.559998,200.75,201.490005,813200,201.490005
"2021-02-05",206.270004,211.399994,205.610001,207.490005,1586600,207.490005
"2021-02-08",210.479996,214.910004,209.440002,213.339996,3019400,213.339996
"2021-02-09",202.690002,203.860001,197.649994,200.309998,5866000,200.309998
"2021-02-10",202.509995,203.75,198.5,199.820007,2599400,199.820007
"2021-02-11",201.690002,201.729996,196,197.119995,1443000,197.119995
"2021-02-12",196.5,200.279999,194.720001,199.860001,1264800,199.860001
"2021-02-16",200.729996,201,194.449997,195.789993,1534200,195.789993
"2021-02-17",194.630005,196.169998,191.100006,195.929993,1066800,195.929993
"2021-02-18",192.639999,196.770004,192.559998,196.229996,808700,196.229996
"2021-02-19",197.949997,198.130005,193.770004,194.860001,1087800,194.860001
"2021-02-22",191.619995,195.399994,189.520004,189.850006,1705400,189.850006
"2021-02-23",184.050003,187.139999,181.110001,185.949997,2062400,185.949997
"2021-02-24",184.800003,187.429993,182.380005,186.990005,1218900,186.990005
"2021-02-25",186.389999,188.5,181.929993,184.679993,1217400,184.679993
"2021-02-26",185.380005,186.990005,182.380005,184.460007,1476400,184.460007
"2021-03-01",186,188.199997,185.169998,187.449997,671300,187.449997
"2021-03-02",188.449997,190.809998,186.309998,188.169998,1086900,188.169998
"2021-03-03",188.199997,188.199997,179.110001,180.149994,1178200,180.149994
"2021-03-04",178.979996,180.720001,170.279999,174.029999,1624900,174.029999
"2021-03-05",173.279999,173.839996,168.339996,170.809998,2226400,170.809998
"2021-03-08",170.179993,171.210007,161.330002,161.619995,2608600,161.619995
"2021-03-09",169,169.899994,166.669998,168.570007,1972300,168.570007
"2021-03-10",170.339996,171.399994,163,164.820007,1194600,164.820007
"2021-03-11",168.940002,171.520004,167.800003,170.610001,1021800,170.610001
"2021-03-12",169.139999,170.639999,166.389999,170.25,642100,170.25
"2021-03-15",171.770004,171.770004,167.919998,169.169998,827700,169.169998
"2021-03-16",172,174.520004,169.75,173.009995,1716600,173.009995
"2021-03-17",171.449997,171.809998,165.5,168.910004,1611700,168.910004
"2021-03-18",167.889999,170.419998,166.559998,167.220001,2264300,167.220001
"2021-03-19",169.169998,171.490005,168.080002,169.740005,1804500,169.740005
"2021-03-22",171.289993,173.399994,170.869995,171.880005,1127400,171.880005
"2021-03-23",172.330002,177.080002,171.559998,173.850006,1622700,173.850006
"2021-03-24",174.490005,174.490005,169.330002,170.259995,1126400,170.259995
"2021-03-25",169.589996,170.490005,167.110001,169.789993,806000,169.789993
"2021-03-26",169.210007,174.389999,168.759995,174.289993,1066000,174.289993
"2021-03-29",173.119995,177.479996,172.809998,176.289993,1208600,176.289993
"2021-03-30",176.169998,177.369995,174.860001,177.089996,2053200,177.089996
"2021-03-31",177.389999,178.490005,176.509995,176.699997,1134100,176.699997
"2021-04-01",177.729996,180.429993,177.679993,180.149994,1211600,180.149994
"2021-04-05",180.589996,184.339996,178.770004,183.380005,1330100,183.380005
"2021-04-06",183.309998,185.289993,182.779999,184,1198100,184
"2021-04-07",184.080002,185.059998,182.509995,183.649994,875800,183.649994
"2021-04-08",185.759995,186.210007,182.130005,183.600006,1020300,183.600006
"2021-04-09",183.570007,184.479996,180.550003,184.020004,850900,184.020004
"2021-04-12",182.350006,182.949997,180.699997,182.759995,861700,182.759995
"2021-04-13",184.369995,185.630005,181.639999,182.660004,1041800,182.660004
"2021-04-14",183.630005,184.830002,180.789993,181.440002,841200,181.440002
"2021-04-15",181.110001,183.210007,180.5,182.5,857000,182.5
"2021-04-16",182.75,182.75,177.669998,178.800003,1137200,178.800003
"2021-04-19",178.25,179.509995,176.110001,177.910004,873700,177.910004
"2021-04-20",178.570007,178.570007,175.899994,177.899994,865100,177.899994
"2021-04-21",176.610001,177.179993,174.050003,176.449997,1269300,176.449997
"2021-04-22",176.369995,179.699997,176.369995,178.380005,993200,178.380005
"2021-04-23",178.350006,179.460007,174.759995,176.190002,1125200,176.190002
"2021-04-26",175.479996,177.490005,174.630005,176.429993,759600,176.429993
"2021-04-27",176.809998,177.360001,173.380005,174.279999,1067600,174.279999
"2021-04-28",175.779999,176.119995,173.320007,174.380005,1150400,174.380005
"2021-04-29",175.300003,176.789993,174.110001,176.470001,940200,176.470001
"2021-04-30",174.529999,176.440002,174.110001,175.380005,672100,175.380005
"2021-05-03",175.300003,176.289993,169.910004,170.300003,1198300,170.300003
"2021-05-04",168.350006,169.330002,164.210007,167.529999,1469500,167.529999
"2021-05-05",168.199997,171.320007,167,167.470001,1084000,167.470001
"2021-05-06",166.740005,168.979996,166.100006,168.639999,1081200,168.639999
"2021-05-07",170.229996,171.490005,169.089996,170.070007,822200,170.070007
"2021-05-10",169.460007,171.429993,166.919998,169.020004,1274600,169.020004
"2021-05-11",166.470001,169.25,166.470001,167.990005,1176300,167.990005
"2021-05-12",166.580002,167.479996,162.350006,164.259995,1038600,164.259995
"2021-05-13",164.080002,165.490005,161.699997,162.740005,813100,162.740005
"2021-05-14",164.800003,167.410004,163.529999,166.990005,1524000,166.990005
"2021-05-17",166.119995,169.050003,165.669998,168.220001,1289700,168.220001
"2021-05-18",168.669998,171.419998,166.720001,167.690002,3687000,167.690002
"2021-05-19",171,179.899994,170.789993,179.350006,4221600,179.350006
"2021-05-20",179.949997,188.339996,179.600006,185.080002,2254100,185.080002
"2021-05-21",185.839996,187.479996,184.169998,184.360001,1365400,184.360001
"2021-05-24",184.360001,186.800003,184.25,185.020004,1015100,185.020004
"2021-05-25",186,186.330002,183.550003,184.619995,807500,184.619995
"2021-05-26",185.479996,188.360001,184.600006,185.669998,816900,185.669998
"2021-05-27",184.75,187.160004,183.580002,186.479996,1549500,186.479996
"2021-05-28",186.279999,187.679993,185.289993,185.559998,753500,185.559998
"2021-06-01",186.830002,187.240005,182.529999,182.759995,1127800,182.759995
"2021-06-02",181.059998,182.509995,176.039993,176.910004,1732500,176.910004
"2021-06-03",178.509995,179.860001,176.529999,177.729996,1268300,177.729996
"2021-06-04",178.539993,184.940002,178.110001,184.449997,1321400,184.449997
"2021-06-07",183.380005,185.429993,183.380005,184.259995,1396800,184.259995
"2021-06-08",184.929993,186.589996,184.369995,184.830002,891900,184.830002
"2021-06-09",184.940002,186.649994,182.899994,183.589996,942600,183.589996
"2021-06-10",183.410004,185.419998,182.610001,184.970001,913900,184.970001
"2021-06-11",184.770004,186.639999,183.940002,186.419998,660800,186.419998
"2021-06-14",186.5,187.899994,185.460007,186.75,853700,186.75
"2021-06-15",186.350006,186.410004,178.039993,178.600006,1497900,178.600006
"2021-06-16",177,177.529999,168.960007,171.649994,3117400,171.649994
"2021-06-17",170.809998,173.440002,169.929993,170.5,1400900,170.5
"2021-06-18",170.850006,172,168.679993,171.279999,1601600,171.279999
"2021-06-21",171.850006,174.320007,169.440002,173.470001,1290100,173.470001
"2021-06-22",173.729996,175.25,172.929993,174.229996,1083100,174.229996
"2021-06-23",173.789993,173.869995,170.130005,171.880005,1300200,171.880005
"2021-06-24",174.270004,175.979996,173.699997,175.059998,1375100,175.059998
"2021-06-25",175.490005,176.100006,173.389999,173.820007,3315200,173.820007
"2021-06-28",175.259995,178.949997,174.970001,178.089996,1525400,178.089996
"2021-06-29",178.009995,179.050003,176.160004,178.100006,818100,178.100006
"2021-06-30",177.800003,178.779999,176.350006,177.020004,1013600,177.020004
"2021-07-01",177.529999,179.839996,176.610001,178.970001,1052500,178.970001
