"","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"2020-07-01",56.694561,57.163181,56.376568,56.451881,3201764,55.996674
"2020-07-02",57.29707,58.100418,56.832638,57.029289,1707416,56.56942
"2020-07-06",58.033474,58.23431,57.50209,57.866108,1461844,57.39949
"2020-07-07",57.514645,57.690376,56.912132,56.953976,1177912,56.494709
"2020-07-08",56.811714,57.188286,56.184101,57.138077,1471404,56.677338
"2020-07-09",56.887028,57.422592,55.966526,56.301254,1422887,55.847256
"2020-07-10",56.393307,56.585773,56.008369,56.284519,2061614,55.830658
"2020-07-13",56.627617,57.456066,56.435146,56.594143,1540475,56.137779
"2020-07-14",56.711296,58.016735,56.092049,57.874477,2311130,57.407795
"2020-07-15",58.761505,59.907951,58.51046,59.573223,2143591,59.092842
"2020-07-16",59.430962,60.376568,58.769875,60.008369,2440310,59.524479
"2020-07-17",60.309624,60.677822,59.966526,60.326359,1460171,59.839909
"2020-07-20",60.200836,60.251045,59.004185,59.205021,1367439,58.727612
"2020-07-21",59.372383,60.075314,59.372383,59.581589,1583734,59.101139
"2020-07-22",59.439331,60.033474,59.305439,59.857742,2358811,59.375061
"2020-07-23",60.117153,61.104603,60.104603,60.694561,1587677,60.205143
"2020-07-24",60.778244,60.778244,59.29707,59.414227,2211109,58.935127
"2020-07-27",59.598328,60.368202,59.435146,60.167362,2539734,59.682194
"2020-07-28",59.941422,60.050209,59.380753,59.439331,2526589,58.960026
"2020-07-29",61.372383,61.899582,60.878662,61.589958,4518295,61.093311
"2020-07-30",60.669456,60.878662,59.933056,60.384937,3320069,59.89801
"2020-07-31",60.133892,60.133892,58.376568,58.736401,3474702,58.262764
"2020-08-03",59.004185,59.104603,58.008369,58.209206,4481489,57.739822
"2020-08-04",58.108788,58.569038,57.824268,58.133892,3714777,57.665115
"2020-08-05",58.594143,59.205021,58.033474,58.594143,4757654,58.121655
"2020-08-06",58.410042,59.422592,58.372383,59.163181,3819579,58.686108
"2020-08-07",59.146442,60.506275,58.878662,60.443516,2697952,59.956116
"2020-08-10",60.543934,60.694561,60.004185,60.133892,5260510,59.648987
"2020-08-11",60.945606,61.665272,60.761505,61.472801,9803422,60.9771
"2020-08-12",61.924686,62.761505,61.029289,62.711296,3512225,62.205608
"2020-08-13",62.058578,62.241005,61.263599,61.73222,1972706,61.234428
"2020-08-14",61.506275,62.284519,61.384937,61.573223,1153414,61.076714
"2020-08-17",61.548119,61.891212,61.054394,61.48954,2192945,60.993702
"2020-08-18",61.271969,61.439331,60.192471,60.317993,2121603,59.831608
"2020-08-19",60.50209,60.535564,59.615063,59.75732,2467795,59.275448
"2020-08-20",59.121338,60.23431,59.054394,60.158997,1738845,59.673897
"2020-08-21",60.309624,60.535564,59.355648,60.016735,1886547,59.532776
"2020-08-24",60.393307,60.661087,59.807529,60.251045,1951555,59.765194
"2020-08-25",60.368202,60.51046,58.887028,59.037659,5197772,58.561596
"2020-08-26",59.121338,59.671131,58.518829,59.414227,3947205,58.935127
"2020-08-27",59.698746,60.04184,59.251045,59.280334,4062881,58.860344
"2020-08-28",59.380753,61.054394,58.870293,60.945606,3541502,60.513821
"2020-08-31",60.711296,61.029289,60.087868,60.343098,1961115,59.915585
"2020-09-01",60,62.084518,59.966526,61.581589,3373963,61.145294
"2020-09-02",61.707111,62.493725,61.221756,62.200836,2551923,61.760155
"2020-09-03",62.410042,62.619247,60.887028,61.338913,2853660,60.904339
"2020-09-04",62.175732,62.803349,61.740585,62.100418,4111398,61.66045
"2020-09-08",61.907951,62.485355,61.079498,61.631798,4918381,61.195148
"2020-09-09",62.225941,63.76569,61.631798,63.313808,5517793,62.865238
"2020-09-10",63.76569,64.694557,63.589958,63.974895,5897086,63.521648
"2020-09-11",64.209206,65.171547,63.832638,64.744766,3996080,64.286072
"2020-09-14",65.271965,65.841003,64.786613,64.962341,3483067,64.50209
"2020-09-15",65.146446,65.740585,64.393303,64.602509,2738104,64.144821
"2020-09-16",64.828453,65.351463,64.025108,64.351463,6061757,63.895546
"2020-09-17",63.623432,65.355652,63.305439,64.811714,5738868,64.352539
"2020-09-18",64.560669,65.255234,63.112972,63.422592,12827847,62.973255
"2020-09-21",62.184101,62.694561,59.598328,60.560669,4687985,60.131611
