"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"2020-07-01",266.890015,269.320007,261.869995,264.769989,1093800,264.769989
"2020-07-02",265.48999,267.980011,264.119995,265.119995,942900,265.119995
"2020-07-06",268.040009,270.709991,267.130005,269.799988,859400,269.799988
"2020-07-07",269.299988,272.049988,267.570007,268.350006,2069800,268.350006
"2020-07-08",294.320007,294.98999,278.170013,280.190002,3257800,280.190002
"2020-07-09",282.299988,282.98999,274.279999,278.700012,1115600,278.700012
"2020-07-10",277.179993,279.48999,275.350006,278.880005,955300,278.880005
"2020-07-13",279.279999,282.859985,275.899994,276.519989,1209800,276.519989
"2020-07-14",275.149994,281.76001,274.140015,281.269989,895700,281.269989
"2020-07-15",282.130005,284.690002,280.390015,282.959991,1136600,282.959991
"2020-07-16",282.220001,282.320007,276.809998,279.540009,944300,279.540009
"2020-07-17",280.660004,283.480011,279.269989,281.880005,903600,281.880005
"2020-07-20",281.140015,284.230011,281.140015,283.399994,739700,283.399994
"2020-07-21",285,285,280.029999,280.190002,888500,280.190002
"2020-07-22",285.359985,286.480011,279.100006,280.809998,1392100,280.809998
"2020-07-23",282.26001,282.26001,277.529999,278.51001,948000,278.51001
"2020-07-24",277.26001,277.320007,270.660004,272.329987,862300,272.329987
"2020-07-27",282.679993,287.25,279.549988,286.190002,1968100,286.190002
"2020-07-28",286.269989,287,280.160004,280.350006,1158900,280.350006
"2020-07-29",281.190002,283.420013,274.890015,277.359985,816600,277.359985
"2020-07-30",273.019989,277.440002,272.940002,274.859985,723200,274.859985
"2020-07-31",273.440002,274.709991,269.309998,274.690002,1289700,274.690002
"2020-08-03",274.700012,279.910004,274.700012,278.160004,976400,278.160004
"2020-08-04",278.079987,278.600006,275.25,276.079987,1101000,276.079987
"2020-08-05",276.649994,278.630005,274.429993,276.170013,903100,276.170013
"2020-08-06",275.76001,279,274.950012,277.660004,756500,277.660004
"2020-08-07",311.140015,312,299.290009,305.709991,4454600,305.709991
"2020-08-10",308,308.5,298.420013,300.26001,1525000,300.26001
"2020-08-11",300.269989,301.5,289.170013,289.940002,1443900,289.940002
"2020-08-12",290.690002,296.269989,290.690002,293.220001,1016400,293.220001
"2020-08-13",291.869995,294.089996,287.329987,288.540009,905300,288.540009
"2020-08-14",287.98999,290.549988,287.790009,289.450012,619200,289.450012
"2020-08-17",289.850006,294.940002,288.320007,289.160004,1066300,289.160004
"2020-08-18",289.299988,291.190002,285.049988,288.880005,1029300,288.880005
"2020-08-19",284.799988,286.950012,279.459991,279.980011,1542400,279.980011
"2020-08-20",278.390015,279.339996,275.059998,277.519989,957200,277.519989
"2020-08-21",277.649994,278.220001,274.640015,277.070007,927300,277.070007
"2020-08-24",277.480011,279.720001,274.890015,276.559998,1006400,276.559998
"2020-08-25",276.269989,281.109985,275.630005,279.029999,1294700,279.029999
"2020-08-26",279.140015,281.600006,276,279.170013,917800,279.170013
"2020-08-27",280.149994,282.390015,278.369995,279.26001,1503200,279.26001
"2020-08-28",279.519989,281.769989,278.890015,281.459991,814200,281.459991
"2020-08-31",281.649994,287.950012,280.779999,287.640015,1639500,287.640015
"2020-09-01",287.480011,287.619995,277.309998,279.75,1254300,279.75
"2020-09-02",281.059998,288.029999,280.540009,285.600006,1040700,285.600006
"2020-09-03",286.220001,287.369995,274.019989,276.149994,1402600,276.149994
"2020-09-04",278.119995,280.480011,274.079987,276,1240700,276
"2020-09-08",274.200012,275.140015,268.040009,268.899994,1246500,268.899994
"2020-09-09",270.140015,274.779999,268.549988,272.51001,960900,272.51001
"2020-09-10",271.309998,274.170013,265.790009,266.51001,1095600,266.51001
"2020-09-11",267.929993,271,266.690002,269.910004,846100,269.910004
"2020-09-14",271.279999,279.399994,271.269989,278.290009,1102400,278.290009
"2020-09-15",280.040009,283.290009,276.450012,278.450012,1105400,278.450012
"2020-09-16",280.98999,285,274.26001,276.390015,1550700,276.390015
"2020-09-17",272.5,277.549988,272.160004,275.369995,972600,275.369995
"2020-09-18",275.640015,276.01001,269.869995,274.480011,3069200,274.480011
"2020-09-21",272.230011,272.700012,265.049988,268.299988,1733200,268.299988
"2020-09-22",269,273.549988,267.420013,272.76001,1050000,272.76001
"2020-09-23",273.109985,278.380005,271.209991,272.200012,982900,272.200012
"2020-09-24",271,272.079987,267.589996,270.040009,761800,270.040009
"2020-09-25",268.290009,274.26001,267.5,273.279999,737500,273.279999
"2020-09-28",282,287.950012,279.179993,282.040009,1782100,282.040009
"2020-09-29",280.839996,285.450012,280.230011,282.350006,864800,282.350006
"2020-09-30",283.869995,284.850006,280.790009,283.679993,1200000,283.679993
"2020-10-01",284.959991,286.170013,280.589996,285.570007,971600,285.570007
"2020-10-02",281.649994,285.470001,276.059998,277.640015,976000,277.640015
"2020-10-05",278.670013,285.920013,277.359985,284.179993,888000,284.179993
"2020-10-06",284.170013,285.899994,279.390015,281.149994,758100,281.149994
"2020-10-07",282.23999,287.079987,280.899994,285.75,646500,285.75
"2020-10-08",287.399994,288.440002,285.350006,286.920013,504300,286.920013
"2020-10-09",287.160004,289,285.170013,286.540009,946300,286.540009
"2020-10-12",289.279999,293.339996,285.779999,291.480011,1130100,291.480011
"2020-10-13",288.529999,292.769989,287.130005,291.459991,683000,291.459991
