"","MDLZ.Open","MDLZ.High","MDLZ.Low","MDLZ.Close","MDLZ.Volume","MDLZ.Adjusted"
"2020-07-01",51.060001,51.330002,50.889999,51.080002,5087500,48.89537
"2020-07-02",51.169998,52.049999,51.169998,51.490002,5529400,49.287827
"2020-07-06",51.720001,52.080002,51.200001,51.619999,4346600,49.41227
"2020-07-07",51.360001,51.740002,51.290001,51.5,4954600,49.297401
"2020-07-08",51.369999,51.490002,50.900002,51.240002,3881100,49.048519
"2020-07-09",51.130001,51.200001,50,50.259998,5077000,48.110435
"2020-07-10",50.599998,51.52,50.310001,51.439999,5196000,49.239964
"2020-07-13",51.970001,52.200001,51.509998,51.650002,5932800,49.440994
"2020-07-14",51.299999,53.029999,51.299999,52.849998,6908200,50.589664
"2020-07-15",53.349998,53.540001,52.360001,52.57,9312400,50.321644
"2020-07-16",52.57,53.439999,52.509998,53.040001,5336400,50.771545
"2020-07-17",53.43,54.34,53.139999,54.07,5672100,51.757492
"2020-07-20",54,54.07,53.259998,53.419998,5034600,51.135288
"2020-07-21",53.450001,54.799999,53.439999,54.040001,5546400,51.728764
"2020-07-22",54.099998,54.650002,53.82,54.549999,4853300,52.216957
"2020-07-23",54.939999,55.18,54.57,54.880001,5232600,52.532848
"2020-07-24",55.349998,55.630001,54.540001,54.869999,5456900,52.52327
"2020-07-27",54.849998,55.630001,54.549999,55.580002,5039200,53.202908
"2020-07-28",55.549999,56,55.459999,55.709999,6363900,53.327343
"2020-07-29",57.259998,57.700001,55.919998,56.790001,9324200,54.361153
"2020-07-30",56.150002,56.380001,55.700001,55.77,7897200,53.384781
"2020-07-31",55.389999,55.68,54.57,55.490002,7444400,53.11676
"2020-08-03",55.599998,55.959999,55.360001,55.490002,4318500,53.11676
"2020-08-04",55.330002,55.84,54.970001,55.580002,4717000,53.202908
"2020-08-05",55.369999,55.689999,55.099998,55.150002,4589200,52.791294
"2020-08-06",54.400002,55.529999,54.400002,55.490002,6048000,53.11676
"2020-08-07",55.459999,55.689999,55.279999,55.599998,5190300,53.222046
"2020-08-10",55.450001,55.700001,55.220001,55.490002,4450700,53.11676
"2020-08-11",55.700001,55.889999,55.060001,55.200001,4752100,52.839157
"2020-08-12",55.049999,56.41,55.029999,56.029999,6796800,53.633659
"2020-08-13",56.189999,56.349998,55.860001,56.009998,3731000,53.614513
"2020-08-14",56.09,56.419998,55.869999,56.119999,3934100,53.71981
"2020-08-17",55.990002,56.689999,55.860001,56.52,4856700,54.102703
"2020-08-18",56.580002,57.34,56.43,57.27,7077300,54.820625
"2020-08-19",57.169998,57.330002,56.66,56.759998,7431900,54.332432
"2020-08-20",56.400002,57.27,56.25,57.240002,5137000,54.791908
"2020-08-21",57.029999,57.73,57.029999,57.470001,6411200,55.012077
"2020-08-24",57.439999,58,57.389999,57.98,4441100,55.500263
"2020-08-25",58.009998,58.240002,57.630001,57.889999,4781600,55.414112
"2020-08-26",57.849998,58.400002,57.540001,58.360001,4798100,55.86401
"2020-08-27",58.639999,58.869999,58.060001,58.130001,4473100,55.643845
"2020-08-28",58,58.360001,57.509998,58.310001,3865000,55.816147
"2020-08-31",58.200001,58.799999,58.029999,58.419998,6261900,55.921436
"2020-09-01",58.400002,58.43,57.59,58.200001,5355800,55.710854
"2020-09-02",58.169998,59.25,58.009998,59.009998,5295900,56.48621
"2020-09-03",59.029999,59.720001,57.419998,57.830002,9118600,55.356674
"2020-09-04",58.349998,58.349998,57.080002,57.880001,8867400,55.404541
"2020-09-08",57.360001,57.880001,56.119999,56.389999,8459500,53.978264
