"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"2021-07-22",84.849998,85.050003,84.139999,84.889999,2296700,82.555717
"2021-07-23",86,86.589996,84.760002,85.349998,1850100,83.003082
"2021-07-26",85.019997,86.18,85.019997,86.160004,1587100,83.790817
"2021-07-27",85.419998,86.639999,84.809998,85.699997,1467900,83.343445
"2021-07-28",86.040001,87.040001,85.110001,86.239998,1294400,83.868599
"2021-07-29",86.980003,88.400002,86.300003,87.959999,1301000,85.541306
"2021-07-30",87.639999,88.309998,86.639999,87.139999,1398400,84.743851
"2021-08-02",87.870003,89.290001,86.730003,87.010002,1393500,84.617424
"2021-08-03",87.400002,88.349998,85.75,88.019997,1324700,85.599648
"2021-08-04",87.07,87.720001,86.519997,86.589996,1346900,84.208977
"2021-08-05",87.239998,87.550003,86.699997,87.489998,1335700,85.084236
"2021-08-06",89.019997,90.519997,88.540001,90,1516600,87.525208
"2021-08-09",89.400002,91.370003,88.849998,90.57,1013100,88.079536
"2021-08-10",90.330002,91.730003,90.160004,91.279999,1106500,88.770012
"2021-08-11",91.75,92.629997,90.949997,92.010002,1233900,89.479942
"2021-08-12",91.620003,91.989998,90.830002,91.459999,1250100,88.945061
"2021-08-13",91.25,91.599998,90.75,90.790001,1280900,88.293488
"2021-08-16",89.959999,90.510002,89.029999,90.059998,1638300,87.583557
"2021-08-17",89.120003,89.440002,87.449997,88.150002,1637400,85.726074
"2021-08-18",87.779999,89.050003,87.150002,87.349998,1745800,84.948074
"2021-08-19",86.040001,86.379997,84.720001,85.5,1644800,83.148949
"2021-08-20",85.43,86.279999,85.029999,86.089996,1551900,83.722733
"2021-08-23",86.800003,88.360001,86.800003,88.120003,1189300,85.696907
"2021-08-24",88.589996,89.970001,88.290001,89.57,1189700,87.107033
"2021-08-25",90.360001,92.379997,89.75,92,2741500,89.470222
"2021-08-26",92.080002,92.760002,91.489998,92.5,2148200,89.956474
