"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2020-07-01",33.465908,33.67424,32.689396,32.964016,2474736,30.393492
"2020-07-02",33.390152,33.901516,33.172348,33.47538,2166806,30.864983
"2020-07-06",34.29924,34.545456,33.617424,34.034092,2773901,31.380121
"2020-07-07",33.607956,33.683712,33.10606,33.371212,3431366,30.768932
"2020-07-08",33.238636,33.304924,32.026516,32.329544,3188909,29.808496
"2020-07-09",32.20644,32.329544,31.193182,31.354168,2921530,28.90918
"2020-07-10",31.467802,32.755684,31.467802,32.708332,2085706,30.157743
"2020-07-13",32.765152,33.314396,32.433712,32.8125,2788579,30.25379
"2020-07-14",32.859848,33.76894,32.642044,33.579544,3546787,30.961021
"2020-07-15",34.640152,34.839016,33.939396,34.384472,2869469,31.70318
"2020-07-16",34.375,35.672348,34.195076,35.407196,3708566,32.646156
"2020-07-17",35.558712,35.558712,34.839016,34.96212,2546333,32.235779
"2020-07-20",34.696972,34.876896,34.204544,34.422348,2218973,31.7381
"2020-07-21",34.327652,35.104168,34.327652,34.66856,1602586,31.965115
"2020-07-22",34.554924,34.886364,34.261364,34.70644,1796256,32.000038
"2020-07-23",34.602272,34.92424,34.384472,34.6875,1687277,31.982578
"2020-07-24",34.848484,34.990528,34.270832,34.39394,1446931,31.711912
"2020-07-27",34.33712,34.96212,34.015152,34.895832,2320666,32.174664
"2020-07-28",34.782196,34.876896,34.109848,34.251896,2693222,31.580944
"2020-07-29",34.441288,35,34.185604,34.801136,3310138,32.087357
"2020-07-30",35.29356,35.64394,33.51326,33.863636,3855667,31.222958
"2020-07-31",33.428028,33.645832,32.528408,32.945076,4274582,30.376028
"2020-08-03",33.352272,33.778408,33.011364,33.560604,4006992,30.943558
"2020-08-04",33.36174,33.759472,33.115528,33.409092,3469910,30.803858
"2020-08-05",33.740528,34.176136,33.67424,33.693184,2970845,31.065798
"2020-08-06",33.617424,33.958332,33.390152,33.39962,2828496,30.795124
"2020-08-07",32.357956,33.636364,32.121212,33.607956,4726656,30.987217
"2020-08-10",33.778408,34.41288,33.645832,34.384472,2811283,31.70318
"2020-08-11",35.321972,36.297348,34.952652,35.056816,3710573,32.323093
"2020-08-12",35.359848,35.473484,34.507576,34.772728,2880134,32.061161
"2020-08-13",34.015152,34.734848,33.920456,34.554924,2909280,32.311749
"2020-08-14",34.280304,35.38826,34.176136,35.29356,3201158,33.002441
"2020-08-17",35.3125,35.3125,34.592804,34.6875,1932797,32.435726
"2020-08-18",34.545456,34.810604,34.261364,34.318184,1847789,32.090382
"2020-08-19",34.41288,34.905304,34.185604,34.280304,1685693,32.054962
"2020-08-20",33.854168,34.119316,33.589016,33.78788,1696042,31.594505
"2020-08-21",33.428028,33.683712,32.964016,33.314396,2790374,31.151754
"2020-08-24",33.863636,35.435604,33.816288,35.29356,3188803,33.002441
"2020-08-25",35.464016,35.539772,34.270832,34.289772,2029210,32.063816
"2020-08-26",34.176136,34.318184,33.873104,34.251896,1637011,32.0284
"2020-08-27",34.280304,34.914772,34.261364,34.659092,1853069,32.409161
