"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2020-08-11",211.490005,215,211.110001,212.039993,1528400,201.902863
"2020-08-12",213.490005,214.320007,211.399994,213.199997,847500,203.007416
"2020-08-13",211.779999,211.910004,209.289993,210.229996,844600,200.179382
"2020-08-14",209.979996,215.429993,209.220001,213.509995,943000,203.302567
"2020-08-17",214.240005,214.889999,210.220001,210.460007,955800,200.398407
"2020-08-18",211,212.630005,209.490005,209.910004,869800,199.87468
"2020-08-19",209.539993,212.770004,209.270004,211.169998,904500,201.074448
"2020-08-20",208.910004,209.770004,207.309998,209,680400,200.251389
"2020-08-21",208.240005,210.509995,207.240005,209.029999,727000,200.280151
"2020-08-24",210.559998,211.940002,209.660004,211.119995,525800,202.282669
"2020-08-25",212.270004,213.690002,209.570007,210.059998,629400,201.267029
"2020-08-26",209.649994,210.380005,207.699997,209.149994,594800,200.395126
"2020-08-27",210,210.550003,206.710007,207.669998,637600,198.977051
"2020-08-28",208.449997,209.419998,206.630005,208.720001,408800,199.983109
"2020-08-31",208.610001,209.070007,206.850006,207.25,720700,198.574631
"2020-09-01",207.75,211.5,206.119995,211.059998,1026200,202.225174
"2020-09-02",211.520004,213.619995,211.520004,212.839996,1046000,203.930679
"2020-09-03",212.509995,213.710007,202.820007,204.559998,1041000,195.997269
"2020-09-04",206.660004,208.449997,202.880005,204.360001,927900,195.805649
"2020-09-08",205.669998,207.399994,202.229996,204.059998,1363100,195.518188
"2020-09-09",206.190002,213.809998,205.509995,212.070007,1085400,203.192917
"2020-09-10",211.460007,211.460007,204.850006,207.160004,1129200,198.488434
"2020-09-11",207.660004,211.330002,207.279999,207.910004,913300,199.207031
"2020-09-14",209.139999,211.880005,208.210007,210.580002,743100,201.765259
"2020-09-15",211.759995,213.979996,210.110001,210.130005,737700,201.334122
"2020-09-16",212.289993,213.699997,209.229996,209.600006,1020100,200.826294
"2020-09-17",207.479996,214.800003,206.350006,210.440002,1016500,201.631134
"2020-09-18",209.690002,214.100006,209.610001,211.899994,1904800,203.029999
"2020-09-21",208.100006,209.050003,202.050003,203.869995,888800,195.336151
"2020-09-22",203.770004,206.229996,202.259995,204.279999,876200,195.728958
"2020-09-23",206,207.889999,202.449997,203.009995,840500,194.512161
"2020-09-24",202.529999,208.419998,199.699997,205.419998,730500,196.821243
"2020-09-25",205.070007,210.130005,204.639999,208.630005,979900,199.896912
"2020-09-28",211,214.399994,210.559998,212.789993,874900,203.882767
"2020-09-29",213.479996,214.190002,210.610001,212.899994,735600,203.988129
"2020-09-30",213.860001,217.259995,209.490005,211.160004,1349300,202.320984
"2020-10-01",212.889999,213.089996,205.149994,207.039993,1095300,198.373428
"2020-10-02",203.669998,212.610001,203.509995,210.339996,1003700,201.535324
"2020-10-05",213.220001,219.800003,212.25,217.850006,1258200,208.730957
"2020-10-06",218.330002,220.820007,215.649994,216.330002,1142900,207.274582
"2020-10-07",219.070007,223.600006,218.759995,221.520004,723000,212.247345
"2020-10-08",222.089996,222.570007,218.509995,221.009995,752300,211.758682
"2020-10-09",222.899994,225.839996,221.360001,223.320007,931200,213.972
"2020-10-12",224.460007,224.5,220.889999,221.75,715900,212.467697
"2020-10-13",220.949997,221.75,217.210007,220.449997,621400,211.222107
"2020-10-14",222,224.309998,220.809998,221.770004,851900,212.486862
"2020-10-15",219.259995,223.419998,218.309998,222.449997,737000,213.138397
"2020-10-16",224.389999,227.149994,222.100006,222.800003,1227800,213.473755
"2020-10-19",223.350006,224.869995,220.350006,221.149994,679700,211.892792
"2020-10-20",222.869995,224.779999,221.520004,222.270004,850400,212.965912
"2020-10-21",223.160004,226.630005,221.940002,222.25,835300,212.946793
"2020-10-22",222.75,225.759995,222.479996,223.589996,862500,214.230667
"2020-10-23",224.770004,227.509995,223.979996,226.279999,1041300,216.808075
"2020-10-26",223.179993,223.800003,218.059998,220.679993,907800,211.44249
"2020-10-27",230.919998,231.350006,219.610001,219.779999,1755700,210.58017
"2020-10-28",214.800003,218.910004,213.199997,213.589996,1327900,204.649246
"2020-10-29",214.029999,219.490005,212.800003,217.440002,1057200,208.33812
"2020-10-30",216.050003,219.979996,214.320007,219.889999,1092400,210.685562
"2020-11-02",223.070007,228.190002,222.399994,227.679993,1285400,218.14946
"2020-11-03",230.399994,233.020004,229.130005,232.029999,1077900,222.317398
"2020-11-04",229.860001,230.759995,221.130005,222.800003,1154800,213.473755
"2020-11-05",226.160004,232.600006,225.679993,229.570007,757700,219.960388
"2020-11-06",230.149994,232.740005,228.570007,229.050003,724400,219.462143
"2020-11-09",240,244.669998,228.949997,228.970001,1435400,219.385483
"2020-11-10",229.289993,235.339996,228.550003,233.860001,909600,224.070801
"2020-11-11",234.889999,235.649994,230.5,234.899994,973300,225.067261
"2020-11-12",233.710007,235.020004,230.229996,233.139999,974200,223.38092
"2020-11-13",234.789993,236.869995,233.820007,236.550003,859200,226.648163
"2020-11-16",240,240,228.580002,231.860001,1313800,222.154495
"2020-11-17",230.929993,232,227.350006,231.080002,952400,221.40715
"2020-11-18",231.679993,235.779999,231.25,233.460007,987800,223.687546
"2020-11-19",229.779999,233.710007,227.649994,233.139999,872600,224.680145
"2020-11-20",232.050003,232.949997,228.600006,230.649994,1087400,222.280502
