"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2020-07-01",139.419998,140.699997,134.940002,135.610001,1285900,130.91011
"2020-07-02",138,141.949997,136.820007,138.139999,975400,133.352417
"2020-07-06",141.449997,142.190002,139.470001,141.089996,887000,136.20018
"2020-07-07",139.309998,140.009995,137.970001,138.889999,817200,134.076416
"2020-07-08",139.429993,139.809998,137.110001,139.279999,729800,134.452896
"2020-07-09",138.970001,139.690002,135.160004,137.039993,860800,132.290543
"2020-07-10",137.679993,140.080002,137.110001,139.919998,649200,135.07074
"2020-07-13",141.410004,145.740005,140.470001,142.039993,1161000,137.117249
"2020-07-14",141.300003,146.960007,139.889999,146.429993,1131100,141.355103
"2020-07-15",150.110001,152.919998,148.669998,151.509995,1394800,146.259033
"2020-07-16",151.070007,153.479996,149.130005,152.820007,924500,147.523666
"2020-07-17",153.960007,154.330002,152.539993,153.360001,604500,148.044907
"2020-07-20",152.289993,153,150.5,152.210007,762100,146.934784
"2020-07-21",153.729996,154.770004,152.119995,153.789993,831700,148.459991
"2020-07-22",153.699997,155.179993,151.850006,152.309998,1089000,147.031326
"2020-07-23",152.929993,154.25,151.240005,152.360001,1098500,147.079575
"2020-07-24",152.699997,153.419998,150.589996,152.910004,1440200,147.610535
"2020-07-27",152.770004,158.339996,151.580002,157.610001,1153100,152.147644
"2020-07-28",156.369995,156.660004,152.309998,152.710007,1488700,147.41748
"2020-07-29",153.270004,156.240005,153.270004,156.080002,1504700,150.67067
"2020-07-30",154.089996,157.139999,150.509995,154.460007,1151500,149.106796
"2020-07-31",154,154.449997,148.880005,153.320007,1558700,148.006302
"2020-08-03",154.270004,155.830002,153,154.399994,885600,149.048889
"2020-08-04",153.839996,155.960007,153.580002,154.649994,969800,149.290207
"2020-08-05",155.649994,157.899994,155.410004,157.300003,906400,151.848373
"2020-08-06",156.580002,157.460007,154.75,155.039993,699200,149.666702
"2020-08-07",155.179993,157.350006,154.330002,157.259995,765700,151.809769
"2020-08-10",157.5,160.740005,157.020004,159.970001,1601800,154.425858
"2020-08-11",161.580002,164.240005,160.639999,161.410004,1629600,155.815948
"2020-08-12",162.690002,162.979996,159.279999,160.339996,841200,154.783035
"2020-08-13",159.050003,160.220001,158.320007,158.399994,911900,152.910248
"2020-08-14",157.940002,159.990005,157.029999,158.779999,695200,153.277084
"2020-08-17",159,160.179993,158.419998,159.770004,686300,154.232758
"2020-08-18",159.809998,161.949997,159.559998,159.919998,948300,154.377579
"2020-08-19",160.110001,160.789993,158.539993,158.970001,600700,153.460495
"2020-08-20",157.229996,158.550003,156.270004,158.149994,776100,152.6689
"2020-08-21",158.149994,159.789993,157.699997,159.179993,571000,153.663223
"2020-08-24",160.149994,161.039993,159.410004,160.369995,764400,154.811966
"2020-08-25",161.339996,161.660004,158.570007,159.710007,534400,154.174866
"2020-08-26",159.389999,160.429993,158.539993,159.699997,670300,154.165222
"2020-08-27",161.119995,161.720001,159.380005,159.479996,455300,153.952805
"2020-08-28",161.729996,165.580002,161.169998,165.520004,1479800,159.783493
"2020-08-31",164.850006,164.850006,161.130005,161.300003,968800,156.371063
"2020-09-01",160.389999,165.860001,160.309998,165.339996,1156200,160.287598
"2020-09-02",165.589996,168.25,165.020004,166.25,1123800,161.169785
"2020-09-03",166.570007,166.740005,159,160.529999,929000,155.624573
"2020-09-04",162.929993,163.639999,157.919998,160.130005,653700,155.236801
"2020-09-08",158.360001,159.139999,154.979996,155.600006,972900,150.84523
"2020-09-09",156.600006,159.660004,156.600006,157.600006,964000,152.784119
