"","VRSK.Open","VRSK.High","VRSK.Low","VRSK.Close","VRSK.Volume","VRSK.Adjusted"
"2020-07-01",169.229996,173.190002,168.479996,172.419998,762900,170.269943
"2020-07-02",173.509995,174.289993,171.75,173.110001,955500,170.951355
"2020-07-06",175.570007,176.479996,172.070007,173.559998,972000,171.395721
"2020-07-07",172.729996,175.800003,169.839996,172.929993,836700,170.773575
"2020-07-08",174.830002,174.830002,171.149994,172.830002,793100,170.67482
"2020-07-09",172.490005,173.990005,170.580002,173.199997,766700,171.040222
"2020-07-10",173.600006,174.289993,170.710007,174.169998,470500,171.998138
"2020-07-13",175.210007,176.449997,172.050003,172.850006,832900,170.694595
"2020-07-14",171.059998,174.830002,169.710007,174.589996,837200,172.412872
"2020-07-15",175.600006,176.100006,173.259995,175.399994,821000,173.212799
"2020-07-16",175.369995,176.070007,173.839996,175.419998,621500,173.232513
"2020-07-17",176.119995,178.550003,175.179993,178.399994,510700,176.175385
"2020-07-20",178,182.550003,178,181.600006,686500,179.33548
"2020-07-21",181.830002,182.050003,180.059998,180.679993,632100,178.426941
"2020-07-22",181.320007,181.820007,180.139999,181.350006,489100,179.088623
"2020-07-23",181.240005,183.919998,179.240005,180.630005,814300,178.377579
"2020-07-24",180.690002,181.440002,179.350006,179.779999,520500,177.538177
"2020-07-27",181.139999,183.449997,181.100006,183.210007,699200,180.925415
"2020-07-28",183.350006,184.759995,181.389999,182.429993,754000,180.15509
"2020-07-29",182.800003,188.389999,182.800003,187.649994,786300,185.310013
"2020-07-30",185.740005,187.460007,184,187.169998,459600,184.835999
"2020-07-31",187.899994,188.75,184.850006,188.710007,542500,186.356842
"2020-08-03",188.850006,190,186.699997,186.960007,753900,184.628647
"2020-08-04",187.25,188.610001,185.889999,187.720001,1062900,185.379196
"2020-08-05",188.259995,188.839996,184.479996,186.660004,626100,184.332367
"2020-08-06",187.490005,189.940002,186.839996,189.559998,608500,187.196198
"2020-08-07",188.910004,191.210007,188.440002,191.160004,597100,188.776276
"2020-08-10",190.199997,190.729996,188.929993,189.649994,526400,187.285095
"2020-08-11",190.770004,190.770004,187.199997,187.889999,464700,185.547012
"2020-08-12",188.460007,192.399994,187.889999,190.429993,589200,188.055359
"2020-08-13",189.869995,191.389999,189.789993,190.710007,469200,188.331879
"2020-08-14",190.740005,191.970001,188.470001,189.149994,317900,186.791321
"2020-08-17",189.589996,191.199997,188.119995,189.070007,611700,186.712341
"2020-08-18",189,189.539993,188.25,189.130005,490300,186.771576
"2020-08-19",189.630005,189.899994,186.710007,187.240005,450400,184.905136
"2020-08-20",186.229996,187.259995,185.740005,185.860001,568600,183.542358
"2020-08-21",185.240005,186.059998,184.279999,185.649994,689300,183.334976
"2020-08-24",186.330002,186.639999,184.520004,185.110001,588200,182.801727
"2020-08-25",186.320007,186.320007,184.220001,185.970001,930800,183.650986
"2020-08-26",185.160004,187.059998,184.350006,186.410004,774800,184.085495
"2020-08-27",187.389999,188.490005,185.520004,186.610001,855900,184.283005
"2020-08-28",186.380005,187.429993,184.699997,187.350006,955500,185.013779
"2020-08-31",187.020004,187.199997,184.809998,186.669998,902900,184.342239
"2020-09-01",186.380005,188.080002,185.360001,187.690002,639700,185.349518
"2020-09-02",188.300003,193.610001,188.009995,192.789993,900700,190.38591
"2020-09-03",192.580002,192.770004,185.610001,187.279999,900100,184.944656
"2020-09-04",188.300003,189.619995,181.690002,182.770004,697800,180.490891
"2020-09-08",181.470001,181.470001,177.559998,178.089996,866200,175.869232
"2020-09-09",179.339996,184.25,178.860001,182.960007,767800,180.678513
"2020-09-10",182.800003,184.649994,180.470001,181.5,659300,179.236725
"2020-09-11",181.759995,183.970001,179.25,181.639999,551500,179.374969
"2020-09-14",182.940002,186.080002,182.119995,185.080002,971300,183.044174
"2020-09-15",186.320007,187.929993,185.309998,187.839996,593400,185.773804
"2020-09-16",189.479996,189.770004,186.580002,186.789993,521700,184.735352
"2020-09-17",184.850006,186.059998,182.009995,184.789993,738600,182.75737
"2020-09-18",183.279999,185.050003,180.070007,181.580002,1187000,179.582687
"2020-09-21",180.139999,180.369995,176.389999,178.679993,682000,176.714569
"2020-09-22",179.520004,180.759995,178.059998,180.389999,554500,178.405762
"2020-09-23",181.089996,181.089996,176.559998,177.080002,477200,175.132187
"2020-09-24",176.169998,178.779999,175.369995,177.229996,400400,175.280502
"2020-09-25",176.960007,181.729996,175.759995,181.339996,515600,179.345306
"2020-09-28",183.330002,185.110001,182.960007,184.520004,623700,182.490356
"2020-09-29",185.020004,188.029999,184.360001,184.380005,946900,182.351868
"2020-09-30",184.699997,186.699997,183.190002,185.309998,1001800,183.271652
"2020-10-01",185.729996,188.729996,184.929993,185.639999,808400,183.598022
"2020-10-02",182.639999,184.740005,180.729996,182.100006,601000,180.09697
"2020-10-05",183.080002,183.570007,180.520004,181.789993,352400,179.790359
"2020-10-06",181.580002,183.020004,179.5,179.789993,507900,177.812347
"2020-10-07",181.710007,183.220001,180.809998,183.029999,562400,181.016724
"2020-10-08",184.419998,185.229996,182.300003,184.899994,401200,182.866165
"2020-10-09",185.940002,188.029999,184.880005,187.179993,561800,185.121048
"2020-10-12",189.589996,193.690002,188.789993,192.75,923700,190.629807
"2020-10-13",193.570007,195.100006,190.800003,193.649994,599200,191.519913
"2020-10-14",193.490005,195.020004,191.169998,191.759995,570600,189.650681
"2020-10-15",189.759995,192.529999,189.199997,192.020004,338100,189.907837
"2020-10-16",192.559998,194.960007,191.229996,192.470001,367700,190.35289
"2020-10-19",192.169998,194.210007,187.570007,188.5,430700,186.426559
"2020-10-20",189.570007,192.449997,188.389999,190.360001,436400,188.266113
"2020-10-21",189.229996,191.399994,188.660004,189.179993,510200,187.099091
"2020-10-22",189.820007,190.179993,187.949997,188.880005,364900,186.802368
"2020-10-23",189.240005,190.929993,187.330002,189.25,376900,187.168304
"2020-10-26",187.490005,188.259995,184.100006,185.490005,457400,183.449661
"2020-10-27",186.169998,187.300003,184.699997,185.149994,579200,183.113388
"2020-10-28",182.389999,183.690002,178.910004,179.490005,567300,177.515656
"2020-10-29",174.820007,181.429993,174.820007,179.220001,619900,177.248657
"2020-10-30",178.210007,179.809998,175.440002,177.970001,886200,176.01236
"2020-11-02",180.509995,183.679993,180.509995,182.149994,697400,180.146393
"2020-11-03",184.350006,189.130005,184.350006,187.949997,607100,185.882599
"2020-11-04",191.490005,197.559998,189.559998,196.389999,1202200,194.229752
"2020-11-05",200.309998,204.850006,192.240005,194.410004,879700,192.271545
"2020-11-06",196.460007,198.330002,195.169998,197.350006,459400,195.179199
"2020-11-09",204.630005,206.429993,195.970001,196.309998,815800,194.150635
"2020-11-10",193.740005,196.759995,192.770004,195.100006,578500,192.953949
"2020-11-11",196.75,200.369995,194.089996,199.830002,518700,197.631912
"2020-11-12",199.419998,200.960007,197.600006,199.179993,345300,196.989075
"2020-11-13",200.360001,203.949997,200.360001,203.699997,751300,201.459351
"2020-11-16",204.350006,205.789993,203.490005,205.25,475400,202.992325
"2020-11-17",204.080002,206.259995,203.309998,205.279999,474500,203.021942
"2020-11-18",205.580002,206.050003,203.669998,203.899994,393000,201.657135
"2020-11-19",203.899994,206.830002,201.710007,205.720001,650800,203.457138
"2020-11-20",204.020004,206.339996,203.429993,204.369995,573000,202.121994
"2020-11-23",203.919998,204.300003,197.820007,198.119995,827300,195.94072
"2020-11-24",197.880005,199.429993,194.470001,194.479996,983000,192.340775
"2020-11-25",195.639999,197.759995,194.300003,195.619995,762700,193.468216
"2020-11-27",197.990005,198.759995,195.009995,198.229996,350900,196.049515
"2020-11-30",197.770004,201.149994,196.339996,198.309998,1175400,196.128632
"2020-12-01",202.050003,203,199.380005,200.139999,1127900,197.938522
"2020-12-02",199.679993,201.080002,195.309998,195.990005,972900,193.834167
"2020-12-03",195.5,198.039993,193.5,193.850006,623400,191.717712
"2020-12-04",194.649994,196.199997,194.110001,195.679993,569400,193.527588
"2020-12-07",195.220001,196.080002,194.029999,194.449997,517300,192.311096
"2020-12-08",194.25,195.889999,193.710007,194.929993,456700,192.785828
"2020-12-09",194.830002,196.520004,191.470001,193.449997,581500,191.322113
"2020-12-10",193.240005,193.639999,191.470001,192.199997,484300,190.085846
"2020-12-11",192.210007,194.210007,191.330002,193.990005,369500,191.856171
"2020-12-14",194.139999,197.729996,194.029999,194.770004,495600,192.896072
"2020-12-15",196.020004,198.679993,194.449997,196.139999,538700,194.252884
"2020-12-16",197.259995,198.029999,195.259995,195.880005,824200,193.995377
"2020-12-17",197.610001,201.259995,197.389999,201.240005,729100,199.303833
"2020-12-18",201.770004,204.970001,201.029999,204.470001,1558000,202.502747
"2020-12-21",201.690002,203.339996,198.270004,202.770004,585100,200.819107
"2020-12-22",201.529999,202.720001,200.809998,201.929993,582400,199.987167
"2020-12-23",202.729996,203.100006,199.899994,199.970001,357500,198.046036
"2020-12-24",200.300003,201.779999,199.949997,201.229996,145000,199.293915
"2020-12-28",203.330002,208.75,202.520004,207.979996,917700,205.978943
"2020-12-29",209.639999,210.660004,205.130005,205.669998,415800,203.691208
"2020-12-30",205.389999,207.220001,205.139999,205.779999,339900,203.800125
"2020-12-31",206.039993,207.789993,205.210007,207.589996,358200,205.592728
"2021-01-04",207.600006,209.669998,202.089996,202.880005,733400,200.92804
"2021-01-05",203.330002,204.449997,200.110001,201.970001,622300,200.026779
"2021-01-06",199.860001,202.679993,198.940002,200.059998,825400,198.135178
"2021-01-07",201.580002,202.960007,199.309998,200.970001,762700,199.036423
"2021-01-08",201.25,202.050003,199.600006,200.899994,626400,198.967087
"2021-01-11",200.580002,200.779999,197.399994,197.869995,469400,195.966232
"2021-01-12",197.270004,197.970001,193.779999,196.639999,454400,194.748062
"2021-01-13",196.830002,198.690002,195.919998,196.880005,653500,194.985764
"2021-01-14",197.380005,197.800003,192.25,193.880005,671800,192.014633
"2021-01-15",192.339996,193.160004,188.740005,190.020004,1173300,188.191772
"2021-01-19",189.389999,192.600006,189.389999,191.369995,636100,189.528763
