"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2021-11-17",80.360001,82.230003,79.5,79.889999,1704000,79.081726
"2021-11-18",79.610001,81.809998,78.910004,80.739998,1539900,79.923126
"2021-11-19",78.599998,78.949997,75.370003,76.07,2533100,75.300377
"2021-11-22",76.129997,79.400002,75.830002,77.610001,1631700,76.824799
"2021-11-23",79.230003,82.209999,79.010002,81.580002,1878200,80.754639
"2021-11-24",80.639999,82.980003,80.639999,81.650002,1077100,80.823921
"2021-11-26",76.720001,77.690002,74.400002,76.040001,2566000,75.270683
"2021-11-29",78.440002,79.059998,75.82,76.07,1982700,75.300377
"2021-11-30",74.07,76.900002,73.800003,74.519997,3962600,73.76606
"2021-12-01",76.860001,78.269997,72.720001,72.860001,2839400,72.122864
"2021-12-02",72.730003,77.720001,71.059998,77.139999,2201300,76.35955
"2021-12-03",78.599998,78.790001,75.199997,75.879997,1848500,75.112297
"2021-12-06",77.910004,78.410004,76.199997,77.160004,2298300,76.379356
"2021-12-07",78.93,82.269997,78.809998,79.970001,2131000,79.160919
"2021-12-08",80.529999,81.580002,80.18,80.559998,1665100,79.744949
"2021-12-09",79.400002,80.099998,78.220001,78.75,1830700,77.953262
"2021-12-10",79.760002,79.940002,77.540001,79.160004,1481400,78.359123
"2021-12-13",77.639999,78,75.970001,77.059998,1652600,76.280365
"2021-12-14",76.139999,77.050003,75.129997,76.18,2153000,75.654709
"2021-12-15",75.919998,76.120003,73.07,75.389999,2004600,74.870148
"2021-12-16",76.300003,78.57,75.550003,75.629997,1789700,75.108498
"2021-12-17",75.279999,75.379997,71.339996,71.620003,5259200,71.126152
"2021-12-20",69.730003,71.300003,68.32,71.18,2281500,70.689178
"2021-12-21",72.339996,74.830002,72.050003,74.5,2432100,73.98629
"2021-12-22",74.110001,75.059998,73.110001,74.110001,1504100,73.598984
"2021-12-23",74.489998,75.220001,73.470001,73.489998,1216500,72.983253
"2021-12-27",73.290001,75.660004,72.379997,75.610001,1394900,75.088638
"2021-12-28",75.980003,76.529999,74.900002,75.279999,827000,74.76091
"2021-12-29",74.949997,75.919998,74.339996,74.669998,784200,74.155113
"2021-12-30",74.949997,75.790001,73.709999,73.959999,1018100,73.450012
"2021-12-31",73.599998,74.559998,73.410004,74.029999,952200,73.519531
