"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume","CTAS.Adjusted"
"2020-07-01",271.709991,272.029999,266.190002,267.970001,659900,261.472168
"2020-07-02",271.320007,276.48999,270.179993,270.649994,454700,264.087219
"2020-07-06",275.410004,277,272.649994,273.630005,484700,266.994965
"2020-07-07",270.880005,272.920013,269.079987,269.980011,442200,263.433472
"2020-07-08",268.48999,272,268.079987,271.309998,404800,264.731232
"2020-07-09",269.369995,270.73999,261.790009,266.140015,434100,259.686554
"2020-07-10",263.929993,268.140015,263.720001,266.880005,280500,260.40863
"2020-07-13",269.809998,272.609985,265.519989,266.359985,540700,259.901184
"2020-07-14",262.519989,270.799988,261.649994,270.299988,345700,263.745728
"2020-07-15",271.339996,279.209991,271.269989,278.399994,413400,271.649261
"2020-07-16",277.350006,278.75,274.549988,277.450012,452800,270.722351
"2020-07-17",279.940002,280.619995,275,280.059998,290800,273.269043
"2020-07-20",279.910004,280.779999,276.709991,277.820007,417000,271.083344
"2020-07-21",283.160004,285.890015,280.529999,284.079987,354100,277.191528
"2020-07-22",284.75,290,283.829987,289.359985,506100,282.343536
"2020-07-23",284.98999,311.019989,282.690002,303.01001,1066200,295.662537
"2020-07-24",303.869995,307.089996,295.48999,302.600006,731200,295.262451
"2020-07-27",302.630005,303.799988,296.799988,298.279999,546900,291.04718
"2020-07-28",298.790009,299.540009,293.320007,293.559998,508200,286.441681
"2020-07-29",297.220001,306.570007,295.839996,305.799988,648300,298.384888
"2020-07-30",301.450012,303.890015,295.519989,301.809998,570100,294.491638
"2020-07-31",301.649994,302.160004,296.980011,301.869995,736600,294.550201
"2020-08-03",301.720001,303.119995,298.350006,298.73999,543800,291.496094
"2020-08-04",298.630005,304,297.049988,301.640015,598500,294.325775
"2020-08-05",304.709991,305.98999,297.480011,299.970001,409900,292.696228
"2020-08-06",299.730011,303.51001,298.019989,303.029999,358300,295.682037
"2020-08-07",302.670013,310.380005,300,310.01001,441600,302.492798
"2020-08-10",310.450012,316.519989,309.609985,316.399994,542200,308.727814
"2020-08-11",320.350006,324.390015,316.579987,318.329987,668500,310.611053
"2020-08-12",319.209991,324.359985,319.209991,319.890015,344200,312.133209
"2020-08-13",317.709991,321.23999,317.450012,318.980011,253800,311.2453
"2020-08-14",316.769989,321.290009,314.970001,316.440002,378000,308.766846
"2020-08-17",318.459991,321.480011,317.850006,320.98999,360200,313.206512
"2020-08-18",321.01001,322.149994,318.26001,318.769989,268700,311.040375
"2020-08-19",320.839996,321,317.269989,318.5,205100,310.776947
"2020-08-20",315.309998,321.809998,315.309998,320.029999,220500,312.269836
"2020-08-21",318.910004,320.980011,316.51001,320.390015,400400,312.621094
"2020-08-24",323.829987,325.869995,322.019989,325.359985,254700,317.470581
"2020-08-25",327.570007,327.76001,323.48999,324.730011,293300,316.855865
"2020-08-26",324,327.670013,322.160004,325.950012,238600,318.046234
"2020-08-27",327.880005,331.869995,326.959991,328.779999,270000,320.807617
"2020-08-28",328.700012,334.600006,328.700012,333.880005,345600,325.783966
"2020-08-31",333.25,334.709991,330.809998,333.23999,359300,325.159454
"2020-09-01",332.410004,336.899994,330.049988,335.309998,329500,327.179321
"2020-09-02",337.549988,343.369995,335.130005,342.380005,324300,334.07785
"2020-09-03",344.230011,344.970001,326.809998,330.700012,534100,322.681091
"2020-09-04",332.269989,334.089996,325.470001,331.109985,604300,323.081116
"2020-09-08",328.880005,328.880005,317.890015,318.779999,641400,311.05014
"2020-09-09",321.799988,328.059998,319.149994,325.929993,490900,318.026764
"2020-09-10",325.839996,325.940002,314.829987,317.480011,464100,309.781677
"2020-09-11",318.179993,323.829987,317.190002,320.950012,307800,313.16748
"2020-09-14",324.339996,328.910004,323.779999,327.809998,333300,319.861176
"2020-09-15",329.100006,331.410004,327.190002,328.170013,368100,320.212463
"2020-09-16",331.190002,331.190002,325.73999,326.209991,388900,318.299957
"2020-09-17",317.649994,327.420013,317.01001,325.01001,543300,317.129059
"2020-09-18",332.029999,332.859985,317.170013,318.269989,1213900,310.55249
"2020-09-21",313.529999,316.839996,307.649994,316.589996,498400,308.913269
"2020-09-22",317.390015,326.709991,316.890015,324.01001,602500,316.153351
"2020-09-23",339.950012,339.950012,313.329987,316.709991,825000,309.030304
"2020-09-24",321.910004,322,315.070007,318.640015,587200,310.913513
"2020-09-25",315.899994,328.470001,314.769989,327.170013,425900,319.236725
"2020-09-28",330,337.350006,330,336,546700,327.852631
"2020-09-29",327.75,335.160004,327.75,330.279999,326700,322.271271
"2020-09-30",334.76001,337.149994,330.399994,332.829987,525400,324.759369
"2020-10-01",341.359985,344.149994,333.01001,341.929993,510800,333.638794
"2020-10-02",334.220001,339.950012,333.73999,335.049988,459000,326.925598
"2020-10-05",338.279999,339.769989,334.929993,336.399994,324200,328.242889
"2020-10-06",336.410004,339.369995,324.190002,330.720001,570800,322.700623
"2020-10-07",335.799988,337.600006,333.630005,335.700012,309400,327.559875
"2020-10-08",338.910004,340.26001,336.119995,337.980011,353700,329.784576
"2020-10-09",339.579987,342.600006,337.119995,339.529999,354400,331.296936
"2020-10-12",338.959991,351.309998,338.959991,349,588000,340.537354
"2020-10-13",348.339996,353.660004,346.670013,352.679993,425700,344.128113
"2020-10-14",355.109985,358.690002,350.079987,351.190002,431900,342.674255
"2020-10-15",346.75,350.100006,343.589996,348.380005,335900,339.932373
"2020-10-16",350,353.459991,348.209991,348.399994,336700,339.951904
"2020-10-19",348.070007,350.059998,340.01001,341.320007,329500,333.043579
"2020-10-20",343.410004,348.480011,343.029999,343.660004,322200,335.326843
"2020-10-21",341.730011,345.079987,338.48999,338.690002,447200,330.477356
"2020-10-22",340.290009,341.649994,334.540009,338.5,337400,330.291962
"2020-10-23",339.559998,339.959991,333.959991,338.070007,298300,329.872375
"2020-10-26",334.089996,334.980011,324.679993,328.929993,330900,320.954041
"2020-10-27",330.660004,332,323.01001,324.01001,541800,316.153351
"2020-10-28",314.609985,321.359985,314.609985,315.540009,530900,307.888733
"2020-10-29",314.440002,323.700012,311.690002,319.920013,389100,312.162537
"2020-10-30",318.309998,320.459991,311.799988,314.549988,577100,306.922668
"2020-11-02",321.649994,323.48999,316.089996,320.369995,356500,312.601563
