"","REG.Open","REG.High","REG.Low","REG.Close","REG.Volume","REG.Adjusted"
"2020-08-26",41.18,41.189999,39.880001,40.099998,782400,37.405327
"2020-08-27",40.630001,41.310001,40.540001,40.650002,749900,37.918373
"2020-08-28",40.66,40.66,39.57,40.439999,1092400,37.722477
"2020-08-31",40.599998,40.599998,39.349998,39.709999,1382500,37.041538
"2020-09-01",39.330002,39.619999,38.880001,39.400002,1008300,36.752373
"2020-09-02",39.48,41.130001,39.09,41.029999,2427200,38.272831
"2020-09-03",41.119999,42.23,40.709999,41.23,1181100,38.4594
"2020-09-04",41.43,42.360001,41.25,41.529999,903400,38.739231
"2020-09-08",41.32,41.470001,40.57,40.970001,1712600,38.216869
"2020-09-09",41.18,41.619999,40.290001,40.869999,1550600,38.123581
"2020-09-10",40.970001,41,39.27,39.34,1750600,36.696404
"2020-09-11",39.23,39.439999,37.880001,38.599998,1300100,36.006123
"2020-09-14",38.849998,40.240002,38.830002,40.040001,1772500,37.349365
"2020-09-15",40.52,41.529999,40.220001,41.209999,1529100,38.440735
"2020-09-16",41.34,41.900002,40.889999,41.610001,1603100,38.813858
"2020-09-17",41.029999,41.490002,40.599998,41.290001,1400400,38.515366
"2020-09-18",41.07,41.48,39.959999,40.07,4733000,37.377346
"2020-09-21",39.419998,39.419998,36.830002,37.209999,2275200,34.70953
"2020-09-22",37.290001,38.16,37.189999,37.259998,1804900,34.756176
"2020-09-23",37.220001,37.73,36.150002,36.529999,1056100,34.075226
"2020-09-24",36.549999,37.459999,35.990002,36.779999,974300,34.30843
"2020-09-25",36.59,37.57,36.419998,37.419998,844800,34.905422
"2020-09-28",38.59,39.07,38.189999,38.560001,940900,35.968815
"2020-09-29",38.25,38.639999,37,37.77,785800,35.231903
"2020-09-30",38.139999,38.779999,37.580002,38.02,1268900,35.465103
"2020-10-01",38.049999,39.41,38.049999,39.400002,1139500,36.752373
"2020-10-02",38.57,40.380001,38.220001,40.200001,1215800,37.498611
"2020-10-05",40.619999,40.799999,39.459999,40.110001,882900,37.414654
"2020-10-06",40.48,40.849998,39.75,39.950001,898200,37.265408
"2020-10-07",40.240002,40.34,39.169998,39.43,679800,36.780357
"2020-10-08",39.73,40.470001,39.580002,40.439999,1953100,37.722477
"2020-10-09",40.93,40.93,39.450001,39.580002,665700,36.920273
"2020-10-12",39.52,40.009998,39.029999,39.75,555000,37.07885
"2020-10-13",39.259998,39.52,37.939999,38.240002,890300,35.670326
"2020-10-14",38.400002,38.720001,37.439999,37.66,722400,35.129292
"2020-10-15",37.360001,38.689999,37.279999,38.540001,675900,35.950157
"2020-10-16",38.610001,38.610001,37.200001,37.540001,648700,35.017361
"2020-10-19",37.799999,37.799999,36.919998,37,830500,34.513645
"2020-10-20",37.41,37.84,37.25,37.5,587200,34.980042
"2020-10-21",37.310001,37.419998,36.77,37.139999,520800,34.644245
"2020-10-22",37.16,38.279999,37.060001,38.18,684900,35.614349
"2020-10-23",38.470001,38.919998,37.82,38.290001,731600,35.716957
"2020-10-26",37.860001,38.290001,37.119999,37.549999,753900,35.026684
"2020-10-27",37.34,37.790001,36.220001,36.220001,715600,33.786057
"2020-10-28",35.580002,35.939999,35.040001,35.360001,834400,32.983856
"2020-10-29",35.040001,36.02,34.57,35.459999,1113000,33.077133
"2020-10-30",35.490002,35.880001,34.619999,35.59,826500,33.198395
"2020-11-02",35.880001,36.259998,35.110001,36.200001,887100,33.767403
"2020-11-03",36.880001,37.720001,36.369999,37.43,1389300,34.914753
"2020-11-04",37.720001,37.720001,35.849998,35.900002,1099700,33.487564
"2020-11-05",36.200001,36.759998,35.75,36.18,898700,33.748745
"2020-11-06",36.580002,36.709999,33.290001,34.049999,2641800,31.761883
"2020-11-09",38,47.220001,37.630001,45.959999,5281200,42.871544
"2020-11-10",45.950001,48.119999,45.75,46.75,2789200,43.608456
"2020-11-11",46.34,46.639999,44.07,46.07,2857000,42.974152
"2020-11-12",46.91,46.91,42.950001,43.900002,1851000,40.949978
"2020-11-13",44.470001,45.990002,43.919998,45.73,922500,42.656998
"2020-11-16",47.830002,49.52,46.619999,49.009998,1537800,45.716587
"2020-11-17",48.150002,48.889999,47.18,48.27,779100,45.026318
"2020-11-18",48.060001,49.830002,47.040001,47.119999,1453900,43.95359
"2020-11-19",46.279999,47.959999,45.310001,47.759998,1030300,44.550587
"2020-11-20",47.720001,47.830002,46.830002,47.259998,816400,44.084187
"2020-11-23",47.779999,49.580002,47.25,48.459999,1370600,45.203545
"2020-11-24",49.330002,50.650002,48.700001,48.790001,1680400,45.511372
"2020-11-25",48.299999,48.299999,47,47.59,1154600,44.392014
"2020-11-27",47.369999,47.860001,46.68,46.889999,370000,43.739048
"2020-11-30",46.540001,46.720001,45.299999,45.580002,1689400,42.517082
"2020-12-01",46.34,47.610001,46.02,46.549999,1463300,43.421894
"2020-12-02",45.77,47.84,45.580002,47.529999,1233200,44.336044
"2020-12-03",47.990002,49.049999,47.610001,48.360001,1126700,45.110268
"2020-12-04",48.77,49.380001,48.709999,49.080002,932300,45.781887
"2020-12-07",48.419998,49.259998,47.830002,48.080002,638000,44.849087
"2020-12-08",47.380001,48.630001,47.380001,47.73,844300,44.522606
"2020-12-09",48.259998,48.259998,47.279999,47.700001,840800,44.494617
"2020-12-10",47.43,47.98,47.189999,47.610001,950400,44.410671
"2020-12-11",47.130001,47.580002,46.619999,47.080002,806600,43.916286
"2020-12-14",47.740002,48.220001,46.59,46.880001,856600,43.729725
"2020-12-15",46.25,47.950001,46.099998,47.880001,1234500,45.236668
"2020-12-16",47.849998,47.93,46.57,47.34,1204900,44.726479
"2020-12-17",47.310001,47.610001,46.75,47.490002,1261500,44.868202
"2020-12-18",47.490002,47.52,45.580002,45.93,2603800,43.394318
"2020-12-21",45.41,45.540001,44.43,45.240002,920100,42.742416
"2020-12-22",45.59,45.759998,44.689999,45.240002,1167200,42.742416
"2020-12-23",45.759998,46.139999,45.009998,45.16,654400,42.666832
"2020-12-24",45.580002,45.68,44.82,45.41,261300,42.90303
"2020-12-28",45.599998,46.349998,45.389999,45.77,678800,43.243156
"2020-12-29",46.080002,46.720001,44.919998,45.310001,744900,42.808556
"2020-12-30",45.619999,46.459999,45.360001,45.59,712800,43.07309
"2020-12-31",45.73,45.73,44.82,45.59,868800,43.07309
"2021-01-04",45.77,46.380001,43.900002,44.27,1749400,41.825966
"2021-01-05",44.919998,45.32,44.130001,44.299999,1256400,41.854313
"2021-01-06",44.970001,46.18,44.939999,45.599998,1213800,43.082539
"2021-01-07",45.220001,45.720001,44.77,45.009998,1172500,42.525112
"2021-01-08",45.09,45.509998,44.75,45.490002,1067100,42.978615
"2021-01-11",44.77,45.080002,43.490002,44.02,1206400,41.589767
"2021-01-12",43.950001,44.790001,43.900002,44.75,747700,42.279469
"2021-01-13",44.639999,46.52,44.639999,46.369999,1310000,43.810024
"2021-01-14",47.119999,47.529999,46.299999,47.060001,1060400,44.461941
"2021-01-15",46.66,47.220001,46.09,47.07,1592000,44.471378
"2021-01-19",47.25,47.25,45.799999,46.939999,783600,44.34856
"2021-01-20",47.099998,48.669998,46.240002,48.169998,944800,45.510654
"2021-01-21",47.48,47.860001,46.360001,46.849998,1016800,44.263527
"2021-01-22",46.490002,47.049999,46.080002,46.93,1331100,44.339111
"2021-01-25",46.959999,48.650002,46.5,47.700001,1724000,45.066601
"2021-01-26",48.110001,48.619999,47.169998,47.93,1005300,45.283905
"2021-01-27",47.389999,48.610001,46.880001,47.130001,1379100,44.528076
"2021-01-28",47.43,48.98,46.959999,47.68,1387800,45.047707
"2021-01-29",47.130001,48.310001,46.349998,47.18,4012300,44.575306
"2021-02-01",47.860001,47.860001,45.57,46.939999,1265900,44.34856
"2021-02-02",47.279999,47.32,46.389999,46.869999,1006000,44.282425
"2021-02-03",46.810001,47.849998,46.09,47.599998,1221800,44.97213
"2021-02-04",47.669998,49.5,47.23,49.169998,1320200,46.455448
"2021-02-05",49.759998,49.93,48.98,49.110001,1231700,46.398758
"2021-02-08",49.009998,49.380001,48.470001,48.959999,1106800,46.257038
"2021-02-09",49.34,49.880001,49,49.540001,656100,46.805023
"2021-02-10",49.68,50.98,49.599998,50.16,852600,47.390797
"2021-02-11",50.59,51.34,49.919998,51.25,1135300,48.420616
"2021-02-12",50.790001,52.73,50.529999,52.619999,1187500,49.714977
"2021-02-16",52.630001,53.349998,51.959999,52.23,1165100,49.346516
"2021-02-17",51.990002,53.25,51.939999,53.209999,865600,50.272408
"2021-02-18",52.93,53.59,52.57,53.490002,1079000,50.536953
"2021-02-19",53.5,53.830002,52.599998,52.799999,1145100,49.885048
"2021-02-22",53.060001,54.700001,52.700001,53.810001,1314700,50.839287
"2021-02-23",54.490002,55.380001,53.900002,55.220001,803100,52.17144
"2021-02-24",55.110001,56.380001,54.52,56.299999,1000200,53.191814
"2021-02-25",55,56.66,54,55.25,1379000,52.199787
"2021-02-26",54.849998,55.200001,53.799999,54.779999,1696700,51.755733
"2021-03-01",55.560001,56.529999,55.290001,55.290001,1305400,52.237579
"2021-03-02",55.169998,55.169998,53.830002,54.16,1671200,51.169964
"2021-03-03",53.970001,57.150002,53.779999,56.66,1855600,53.53194
"2021-03-04",56.18,57.16,55.279999,56.279999,1620200,53.17292
"2021-03-05",56.84,57.990002,55.349998,57.68,1303700,54.49564
"2021-03-08",58.240002,59.73,57.380001,59.18,846900,55.912819
"2021-03-09",58.73,58.860001,57.549999,58.549999,2006800,55.3176
"2021-03-10",58.18,60.150002,58.009998,59.650002,1955700,56.356876
"2021-03-11",59.02,60.139999,58.84,58.98,1749000,55.723866
"2021-03-12",58.869999,59.5,58.09,59.150002,1014500,56.453991
"2021-03-15",59.259998,59.540001,57.689999,58.970001,1051300,56.2822
"2021-03-16",59.25,59.25,57.75,58.450001,1398900,55.785896
"2021-03-17",58.299999,58.849998,57.860001,58.150002,1269100,55.499577
"2021-03-18",58.189999,58.73,57.279999,57.43,1328400,54.812389
"2021-03-19",57.43,57.5,55.900002,56.060001,2288300,53.504833
"2021-03-22",56,56.119999,55.139999,55.970001,813800,53.418938
"2021-03-23",55.939999,56.02,54.630001,54.849998,757000,52.349983
"2021-03-24",55.099998,56.669998,55.099998,55.400002,1023100,52.874916
"2021-03-25",54.98,57.110001,54.5,57.049999,1405900,54.449707
"2021-03-26",57.82,58.009998,56.830002,57.970001,1033600,55.327778
"2021-03-29",57.110001,57.560001,56.110001,56.75,1055800,54.163383
"2021-03-30",56.720001,57.369999,56,57.07,1049100,54.468792
"2021-03-31",56.580002,57.200001,56.189999,56.709999,1646000,54.12521
"2021-04-01",56.93,57.66,56.509998,57.619999,959100,54.993729
"2021-04-05",57.939999,58.02,56.459999,57.279999,1620400,54.669228
"2021-04-06",57.34,57.619999,56.810001,57.279999,1533200,54.669228
"2021-04-07",57.490002,58.310001,56.959999,58.27,988800,55.614101
"2021-04-08",57.959999,58.299999,57.57,58.02,882000,55.375496
"2021-04-09",58.66,58.66,57.93,58.360001,1319000,55.700005
"2021-04-12",58.43,58.66,57.439999,58.349998,951700,55.690456
"2021-04-13",57.860001,59.259998,57.860001,59.220001,1304100,56.520802
"2021-04-14",59.07,59.669998,58,58.18,1145700,55.528206
"2021-04-15",58.5,59.32,58.5,59.130001,1257000,56.434906
"2021-04-16",59.630001,59.639999,58.810001,59.459999,690300,56.749859
"2021-04-19",59.5,59.860001,58.73,59.759998,886300,57.036182
"2021-04-20",59.32,60.5,59.32,60.130001,895900,57.389328
"2021-04-21",60.09,61.779999,59.799999,61.73,1049200,58.916401
"2021-04-22",61.689999,62.959999,61.360001,61.720001,1798900,58.906857
"2021-04-23",61.950001,62.290001,61.27,62.119999,812300,59.288624
"2021-04-26",62.41,63.060001,62.07,62.369999,665700,59.527229
"2021-04-27",62.400002,63.299999,62.099998,62.970001,663500,60.099884
"2021-04-28",63.349998,63.48,62.52,62.669998,704600,59.813557
"2021-04-29",63.299999,64.190002,63.09,63.630001,568100,60.729801
"2021-04-30",63.639999,63.91,63.099998,63.66,1062300,60.75843
"2021-05-03",64.129997,64.629997,63.560001,63.919998,959300,61.006584
"2021-05-04",64.019997,64.75,63.16,63.43,993200,60.538914
"2021-05-05",63.23,63.330002,62.299999,62.540001,1259600,59.68948
"2021-05-06",63.049999,64.040001,62.779999,63.82,1393400,60.91114
"2021-05-07",63.82,66.360001,63.799999,65.360001,1317600,62.380947
"2021-05-10",66.120003,67.139999,65.379997,65.43,973900,62.447758
"2021-05-11",64.860001,65.25,63.950001,64.519997,1022600,61.579231
"2021-05-12",64.370003,64.629997,62.450001,62.619999,1455100,59.765831
"2021-05-13",62.52,63.470001,62.209999,63.040001,1191000,60.166691
"2021-05-14",63.360001,64.010002,63.18,63.77,731700,60.863415
"2021-05-17",63.950001,63.950001,63.279999,63.599998,998200,60.701168
"2021-05-18",63.52,64.349998,63.130001,63.630001,804100,60.729801
"2021-05-19",63.189999,63.299999,61.66,62.790001,1117100,59.928085
"2021-05-20",63.169998,63.400002,62.09,62.75,1587900,59.889912
"2021-05-21",62.619999,63.599998,62.200001,63.360001,1064500,60.472107
"2021-05-24",64.059998,64.059998,63.310001,63.720001,948800,60.815697
"2021-05-25",63.75,64.32,63.259998,63.310001,867900,60.424385
"2021-05-26",62.98,64.279999,62.860001,63.98,793200,61.063847
"2021-05-27",64.389999,64.709999,63.889999,64.120003,3253800,61.197468
"2021-05-28",64.709999,64.940002,64.120003,64.599998,874600,61.655586
"2021-06-01",64.760002,66.540001,64.599998,66.349998,859600,63.325825
"2021-06-02",66.669998,67.540001,66.040001,67.440002,914200,64.366142
"2021-06-03",67.470001,67.589996,66.480003,66.809998,874100,63.764862
"2021-06-04",66.809998,66.839996,65.660004,65.790001,963300,62.791344
"2021-06-07",65.900002,67.220001,65.830002,66.800003,841500,63.755318
"2021-06-08",66.82,67.970001,66.82,67.599998,1071600,64.518852
"2021-06-09",67.639999,67.989998,67.309998,67.540001,902900,64.461586
"2021-06-10",67.720001,68.400002,67.32,68.059998,862000,64.957886
"2021-06-11",68.339996,68.339996,67.269997,68.199997,938100,65.091499
"2021-06-14",67.379997,68.089996,66.389999,66.839996,869200,64.354942
"2021-06-15",66.610001,66.949997,65.980003,66.32,776500,63.854279
"2021-06-16",66.220001,66.739998,65.5,65.580002,1413400,63.141792
"2021-06-17",65.730003,65.910004,64.099998,64.82,802300,62.410046
"2021-06-18",64.120003,65.309998,63.09,63.330002,2582600,60.975441
"2021-06-21",63.869999,65.669998,63.73,65.449997,1093400,63.016621
"2021-06-22",65.339996,65.419998,64.580002,64.599998,713800,62.198223
"2021-06-23",64.639999,65.330002,64.440002,64.82,762600,62.410046
"2021-06-24",64.769997,65.040001,64.25,64.559998,718000,62.159706
"2021-06-25",64.519997,65.209999,64.330002,65.059998,846500,62.641121
"2021-06-28",65.099998,65.269997,63.669998,64.230003,604200,61.841984
"2021-06-29",64.370003,65.239998,64.190002,64.410004,698800,62.015297
"2021-06-30",64.589996,64.800003,63.860001,64.07,955600,61.687931
"2021-07-01",63.02,65.389999,63.02,64.82,718400,62.410046
"2021-07-02",64.860001,65.290001,64.18,64.510002,559300,62.111572
"2021-07-06",63.990002,64.449997,62.950001,63.869999,982700,61.495365
"2021-07-07",63.799999,63.799999,62.689999,63.259998,755000,60.908043
"2021-07-08",62.610001,63.689999,62.34,63.32,1027500,60.965813
"2021-07-09",64.050003,65.110001,63.689999,65.010002,619800,62.592983
"2021-07-12",64.650002,66.290001,64.489998,66.190002,746400,63.729118
"2021-07-13",66.690002,66.769997,64.510002,64.779999,874000,62.371529
"2021-07-14",64.800003,65.639999,64.410004,65.339996,745200,62.910706
"2021-07-15",65.010002,65.519997,62.959999,64.949997,916200,62.535206
"2021-07-16",65.059998,65.849998,64.309998,64.699997,1090900,62.294506
"2021-07-19",63.73,63.73,61.48,61.900002,690600,59.59861
"2021-07-20",62.360001,64.919998,62.009998,64.510002,745500,62.111572
"2021-07-21",64.980003,66.449997,64.769997,65.93,1027900,63.478775
"2021-07-22",65.629997,65.629997,64.150002,64.419998,391400,62.024914
"2021-07-23",65.07,65.279999,64.110001,65.050003,400900,62.631496
"2021-07-26",65.099998,65.800003,64.230003,64.870003,502200,62.458191
"2021-07-27",64.68,65.830002,64.389999,65.32,858500,62.89146
"2021-07-28",65.459999,65.690002,64.150002,64.610001,401900,62.207855
"2021-07-29",64.809998,66.300003,64.760002,65.300003,551900,62.872204
"2021-07-30",65.089996,66.379997,65.089996,65.410004,1125700,62.978119
"2021-08-02",65.989998,67.129997,64.510002,64.57,711300,62.169342
"2021-08-03",64.709999,64.910004,63.619999,64.309998,807800,61.919006
"2021-08-04",63.93,64.410004,62.98,63.029999,701600,60.686596
"2021-08-05",63.48,65.360001,63.23,65.32,1171100,62.89146
"2021-08-06",67.510002,68.32,66.239998,66.400002,985000,63.931301
"2021-08-09",65.660004,66.349998,65.160004,65.389999,606200,62.958855
"2021-08-10",65.760002,66.779999,65.089996,66.269997,636900,63.806133
"2021-08-11",66.639999,66.900002,65.809998,66.760002,495500,64.277924
"2021-08-12",66.809998,66.980003,65.669998,66.389999,415700,63.92168
"2021-08-13",66.669998,66.940002,65.830002,66.220001,619500,63.757999
"2021-08-16",65.949997,66.559998,65.199997,65.559998,470500,63.122532
"2021-08-17",65.220001,65.220001,63.540001,64.57,435600,62.169342
"2021-08-18",64.489998,65.050003,63.830002,64.480003,806800,62.082691
"2021-08-19",64.139999,64.839996,63.509998,64.400002,557200,62.005665
"2021-08-20",64,65.120003,63.200001,64.870003,586800,62.458191
"2021-08-23",65.419998,65.510002,64.75,65.050003,476100,62.631496
"2021-08-24",65.290001,65.589996,64.760002,65.489998,635300,63.055134
"2021-08-25",65.669998,67.32,65.160004,67.099998,886700,64.605278
"2021-08-26",66.959999,67.209999,66.300003,66.769997,1024400,64.287544
"2021-08-27",67.160004,68.260002,67,68.029999,789000,65.50071
"2021-08-30",68.290001,68.330002,67.360001,68.199997,1051400,65.664375
"2021-08-31",68.290001,69.080002,68.110001,68.620003,1493900,66.068764
"2021-09-01",68.860001,69.239998,68.370003,69,992400,66.434647
"2021-09-02",69.349998,69.459999,68.389999,69.209999,778500,66.636826
"2021-09-03",69.209999,69.470001,68.5,69.339996,868100,66.761986
"2021-09-07",69.519997,69.519997,68.150002,69.040001,916500,66.473152
"2021-09-08",68.870003,69.5,68.019997,69.040001,683900,66.473152
"2021-09-09",68.910004,69.010002,68.169998,68.400002,1010500,65.856941
"2021-09-10",68.650002,68.650002,66.199997,66.239998,1382700,63.777241
"2021-09-13",66.610001,68.709999,66.580002,68.059998,602000,65.529579
"2021-09-14",67.900002,68.139999,66.940002,67.510002,704900,65.573296
"2021-09-15",67.779999,68.860001,67.470001,68.75,1102200,66.777725
"2021-09-16",68.669998,69.599998,68.129997,69.260002,804800,67.273087
"2021-09-17",69.010002,69.5,67.879997,68.309998,2378000,66.350334
"2021-09-20",67.290001,68,66.300003,67.580002,991400,65.641289
"2021-09-21",68.019997,68.5,67.120003,67.18,729500,65.252762
"2021-09-22",67.809998,68.470001,67.269997,68.089996,730000,66.13665
"2021-09-23",68.330002,68.959999,67.879997,68.279999,574900,66.321198
"2021-09-24",67.959999,68.650002,67.900002,68.300003,585800,66.340637
"2021-09-27",68.550003,69.610001,68.169998,68.43,721300,66.466904
"2021-09-28",68.32,68.699997,67.620003,68.160004,898500,66.204651
"2021-09-29",68.449997,68.940002,68.169998,68.650002,712300,66.680595
"2021-09-30",68.959999,68.959999,66.849998,67.330002,2007700,65.39846
"2021-10-01",67.699997,69.669998,67.57,69.279999,1108600,67.292511
"2021-10-04",69.220001,70.059998,68.230003,69.440002,1159800,67.447922
"2021-10-05",69.559998,69.75,68.43,68.660004,936100,66.690308
"2021-10-06",68.18,69.260002,67.309998,69.220001,1097600,67.234238
"2021-10-07",69.910004,70.559998,69.529999,69.940002,837100,67.933586
"2021-10-08",69.779999,70.32,69.32,69.43,535900,67.43821
"2021-10-11",69.68,69.839996,68.779999,69.730003,579000,67.729607
"2021-10-12",69.129997,70.099998,69.129997,69.709999,1017100,67.710182
"2021-10-13",69.510002,70.010002,69.169998,69.93,739900,67.923866
"2021-10-14",70.470001,70.589996,69.919998,70.139999,750000,68.127846
"2021-10-15",70.580002,71.330002,70.440002,70.660004,766600,68.632935
"2021-10-18",70.099998,71.269997,70.099998,71.059998,4e+05,69.021446
"2021-10-19",71.260002,71.260002,69.370003,69.510002,578800,67.515915
"2021-10-20",69.400002,71.220001,69.110001,71.150002,722800,69.108864
"2021-10-21",70.949997,71.150002,69.849998,70.010002,519700,68.001579
"2021-10-22",70.190002,70.550003,69.709999,70.019997,389200,68.011276
"2021-10-25",70.019997,70.690002,69.720001,70.400002,483200,68.380394
"2021-10-26",70.669998,71.610001,70.349998,71.449997,984800,69.400261
"2021-10-27",71.07,71.290001,70.059998,71.040001,1024800,69.002029
"2021-10-28",70.75,70.949997,69.57,70.879997,757100,68.846619
"2021-10-29",70.709999,71.059998,69.93,70.410004,1658100,68.390099
"2021-11-01",70.410004,71.57,69.589996,71.32,623700,69.273987
"2021-11-02",72.059998,72.639999,71.639999,72.279999,716600,70.206451
"2021-11-03",72.290001,74.760002,72.290001,74.379997,891400,72.246208
"2021-11-04",74.709999,75.139999,73.599998,74.010002,679600,71.886826
"2021-11-05",75.239998,78.07,75,75.949997,784500,73.771172
"2021-11-08",75.860001,76.18,73.059998,73.459999,690400,71.3526
"2021-11-09",73.410004,73.940002,73.080002,73.699997,565000,71.585716
"2021-11-10",73.639999,74.620003,73.610001,74.360001,789500,72.226784
"2021-11-11",74.360001,75.230003,73.690002,75.160004,460300,73.00383
"2021-11-12",75.160004,75.360001,74.330002,74.650002,768200,72.508461
"2021-11-15",74.760002,75.059998,74.220001,75.029999,942300,72.877563
"2021-11-16",75.029999,75.389999,73.870003,74.389999,905500,72.25592
"2021-11-17",74.029999,74.790001,72.860001,74.690002,830500,72.547318
"2021-11-18",74.919998,75.309998,74.290001,74.760002,973100,72.615311
"2021-11-19",73.919998,74.169998,72.989998,73.800003,1091500,71.682854
"2021-11-22",74.449997,74.449997,73.529999,73.769997,866400,71.653702
"2021-11-23",73.75,74.370003,73.43,73.860001,1199200,71.741127
"2021-11-24",73.839996,74.690002,72.980003,74.349998,736400,72.217072
"2021-11-26",72.849998,72.849998,69.940002,71.260002,718200,69.215714
"2021-11-29",71.43,71.68,70.139999,70.760002,943100,68.730064
"2021-11-30",70.599998,70.599998,68.760002,69.339996,2371100,67.350784
"2021-12-01",71.150002,72.160004,68.629997,68.68,1422700,66.709732
"2021-12-02",69.040001,72.330002,68.809998,71.889999,935700,69.827644
"2021-12-03",72.110001,72.110001,70.949997,71.769997,731900,69.711082
"2021-12-06",72.669998,74.220001,72.660004,73.120003,718600,71.022362
"2021-12-07",73.57,74.599998,73.349998,74.129997,783800,72.00338
"2021-12-08",74.18,74.879997,73.879997,74.32,686200,72.187927
"2021-12-09",73.730003,73.730003,72.690002,73.120003,600700,71.022362
"2021-12-10",73.660004,74.220001,72.510002,73.269997,964300,71.168045
"2021-12-13",73.059998,73.529999,71.769997,72.879997,823000,70.789238
"2021-12-14",72.730003,73.160004,71.620003,71.860001,921200,69.798508
"2021-12-15",71.720001,71.870003,70.129997,71.82,1023300,70.371704
"2021-12-16",71.389999,72.980003,71.230003,71.650002,843400,70.205132
"2021-12-17",71.580002,72.519997,71.010002,71.550003,1855900,70.107147
"2021-12-20",69.150002,70.629997,68.830002,70.07,1032000,68.656998
"2021-12-21",70.760002,72.989998,70.5,72.93,788300,71.45932
"2021-12-22",72.849998,73.57,72.849998,72.940002,558200,71.469116
"2021-12-23",73.529999,73.900002,72.440002,72.860001,461900,71.390732
"2021-12-27",72.779999,73.580002,72.410004,73.550003,628800,72.066818
"2021-12-28",73.510002,74.190002,73.269997,73.860001,797900,72.370567
"2021-12-29",74.040001,74.440002,73.300003,74.290001,498000,72.791893
"2021-12-30",74.330002,75.449997,73.900002,74.790001,666000,73.281815
"2021-12-31",74.790001,75.889999,74.790001,75.349998,584800,73.830521
"2022-01-03",76.209999,77.199997,75.279999,76.120003,986500,74.584999
"2022-01-04",76.279999,78.779999,76.279999,77.860001,951100,76.289902
"2022-01-05",78.019997,78.449997,76.07,76.230003,816500,74.692772
"2022-01-06",76.68,77.260002,75.849998,76.440002,667700,74.898544
"2022-01-07",76.260002,76.559998,75.599998,75.739998,1114100,74.212654
"2022-01-10",75.510002,76.389999,74.849998,76.279999,905100,74.741768
"2022-01-11",76.32,76.449997,74.339996,76.389999,661800,74.849541
"2022-01-12",76.290001,76.720001,75.550003,76.440002,727800,74.898544
"2022-01-13",76.739998,78.330002,76.669998,77.040001,924000,75.486435
"2022-01-14",76.660004,76.830002,75.089996,75.800003,641000,74.271446
"2022-01-18",75.480003,75.870003,74.370003,74.800003,664200,73.291618
"2022-01-19",74.949997,75.489998,72.760002,72.919998,650700,71.449524
