"","C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted"
"2020-07-01",51.759998,52,50.150002,50.349998,19206900,46.461277
"2020-07-02",52.119999,52.459999,50.279999,50.549999,22042700,46.645824
"2020-07-06",51.869999,52.560001,51.189999,51.970001,22613100,47.956161
"2020-07-07",51.25,51.360001,50.09,50.32,21235300,46.433594
"2020-07-08",50.200001,51.07,49.939999,50.880001,19115300,46.950348
"2020-07-09",50.73,51.080002,49.029999,49.450001,24263900,45.630798
"2020-07-10",49.450001,52.689999,49.450001,52.650002,28027800,48.583645
"2020-07-13",53.330002,53.599998,51.860001,52.200001,27151800,48.168392
"2020-07-14",51.290001,52.080002,50.009998,50.150002,35814400,46.276726
"2020-07-15",51.900002,52.110001,50.68,51.84,27676300,47.836197
"2020-07-16",51.279999,52.459999,50.939999,51.459999,18824000,47.485554
"2020-07-17",51.220001,51.48,50.200001,50.220001,19747400,46.341324
"2020-07-20",49.990002,50.580002,49.75,50.139999,23472600,46.267498
"2020-07-21",50.900002,51.82,50.669998,51.73,21943200,47.734699
"2020-07-22",51.540001,52.279999,51.150002,51.66,17873400,47.670105
"2020-07-23",51.450001,52.23,51.130001,52.080002,17090400,48.057663
"2020-07-24",52.099998,52.48,51.5,51.669998,16258900,47.679329
"2020-07-27",51.459999,51.459999,50.610001,51.290001,13991400,47.328686
"2020-07-28",51.02,51.66,50.970001,51.27,13121400,47.31023
"2020-07-29",51.169998,52.59,50.990002,52.52,16991000,48.46368
"2020-07-30",51.110001,51.200001,49.860001,50.869999,24154600,46.94112
"2020-07-31",50.259998,50.310001,49.369999,50.009998,22485800,46.61488
"2020-08-03",50.560001,50.849998,49.689999,50.389999,15856600,46.969086
"2020-08-04",50.23,50.32,49.849998,50.139999,16230800,46.736053
"2020-08-05",50.5,51.310001,50.470001,51.040001,16412400,47.574959
"2020-08-06",50.75,51.290001,50.580002,50.889999,11025000,47.435135
"2020-08-07",50.52,52.23,50.130001,52.119999,21499100,48.581631
"2020-08-10",52.290001,53.209999,52.25,52.860001,16850400,49.271397
"2020-08-11",54.450001,55.029999,53.540001,53.759998,25256500,50.110294
"2020-08-12",54.939999,55.02,52.75,53.349998,19337900,49.728134
"2020-08-13",52.830002,53.48,52.57,52.889999,13815300,49.299358
"2020-08-14",52.450001,53.349998,52.360001,52.93,13861300,49.336643
"2020-08-17",52.630001,52.82,51.349998,51.419998,19788700,47.929153
"2020-08-18",51.52,51.529999,50.279999,50.34,17100800,46.922478
"2020-08-19",50.68,51.330002,50,50.290001,20837300,46.875874
"2020-08-20",49.529999,50.02,49.23,49.580002,15920900,46.214073
"2020-08-21",49.450001,50.080002,49.16,49.299999,17416000,45.953083
"2020-08-24",49.900002,51.130001,49.450001,51.060001,19745100,47.593601
"2020-08-25",51.849998,52.509998,50.970001,51.650002,17244800,48.143543
"2020-08-26",51.66,51.790001,50.82,50.849998,14541600,47.39785
"2020-08-27",50.720001,52.209999,50.650002,51.720001,19393500,48.208794
"2020-08-28",52.07,52.369999,51.529999,52.279999,16990300,48.73077
"2020-08-31",51.91,52.040001,51.099998,51.119999,16280100,47.649525
"2020-09-01",50.880001,51.57,50.540001,51.200001,16903400,47.724098
"2020-09-02",51.040001,52.139999,50.66,51.950001,15348600,48.423176
"2020-09-03",52.439999,53.639999,51.23,51.5,25003200,48.003727
"2020-09-04",52.470001,53.360001,51.439999,52.52,25124000,48.954475
"2020-09-08",51.919998,52.09,50.66,51.040001,28128600,47.574959
"2020-09-09",51.200001,51.59,50.619999,51.400002,19193900,47.910519
"2020-09-10",51.720001,52.5,50.700001,50.950001,22324400,47.491062
"2020-09-11",50.889999,51.689999,50.799999,51,21033200,47.537666
"2020-09-14",51.490002,52.080002,47.900002,48.150002,58798300,44.881153
"2020-09-15",48.119999,48.389999,44.669998,44.810001,84689700,41.767899
