"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2020-08-24",211.850006,214.190002,210.429993,212.039993,521900,208.992279
"2020-08-25",212.139999,213.190002,208.279999,211.300003,322000,208.262939
"2020-08-26",210.369995,210.369995,205.720001,208.470001,468300,205.473618
"2020-08-27",209.360001,212.550003,208.479996,209.080002,434200,206.07486
"2020-08-28",209.729996,209.729996,204.570007,207.320007,579300,204.340149
"2020-08-31",207.050003,207.050003,202.639999,202.869995,612000,200.505371
"2020-09-01",203.029999,207.889999,201.289993,207.860001,529400,205.437225
"2020-09-02",206.5,214.240005,205.050003,212.570007,563200,210.0923
"2020-09-03",212.690002,215.960007,208.479996,211.039993,717900,208.580124
"2020-09-04",213.649994,216.979996,212,215.110001,985000,212.602707
"2020-09-08",211.649994,212.169998,205.139999,206.929993,842900,204.518036
"2020-09-09",205.279999,206.669998,201.039993,203.449997,641700,201.078613
"2020-09-10",203.550003,209.270004,202.220001,207.330002,453800,204.913391
"2020-09-11",207.970001,216.330002,206.179993,209.919998,558600,207.47319
"2020-09-14",210.539993,217.580002,210.149994,216.479996,545800,213.956726
"2020-09-15",218.220001,222.770004,217.539993,218.100006,460500,215.557846
"2020-09-16",219.740005,227.919998,217.169998,224.949997,713400,222.328003
"2020-09-17",222.210007,228.100006,220.240005,226.979996,657100,224.33432
"2020-09-18",227.449997,229.740005,224.100006,225.220001,765800,222.594864
"2020-09-21",219.059998,220.339996,215.740005,218.309998,1296700,215.765381
"2020-09-22",219.25,221.880005,217.229996,221.470001,443000,218.888565
"2020-09-23",221.649994,225.429993,218.960007,220,861900,217.435699
"2020-09-24",218.199997,223.960007,216.660004,220.919998,631600,218.344986
"2020-09-25",218.649994,226.889999,217.990005,226.070007,477700,223.434967
"2020-09-28",229.289993,234.289993,228.580002,231.880005,528900,229.177246
"2020-09-29",231.130005,232.259995,227.240005,231.059998,466000,228.366821
"2020-09-30",232.720001,238.630005,231.809998,235.360001,655100,232.616684
"2020-10-01",237.279999,241.240005,233.130005,234.869995,673900,232.132401
"2020-10-02",230.589996,244.789993,230.589996,240.550003,804300,237.74617
"2020-10-05",243.75,252.759995,242.820007,249.179993,1105800,246.275558
"2020-10-06",251.779999,261.640015,248.740005,249.639999,1102400,246.730255
"2020-10-07",253.460007,268.359985,252.639999,264.76001,1370400,261.673981
"2020-10-08",270,276.290009,269.350006,275.820007,934300,272.605103
"2020-10-09",276.399994,277.429993,266.890015,273.100006,993600,269.916809
"2020-10-12",274.649994,275.109985,269.170013,270.170013,647800,267.020966
"2020-10-13",260.51001,263.690002,257.519989,261.019989,789000,257.97757
"2020-10-14",262.26001,264.589996,258.5,259.829987,434200,256.801422
"2020-10-15",256.779999,259.279999,254.190002,256.859985,775500,253.866043
"2020-10-16",258.630005,262.519989,256.579987,258.970001,498400,255.951477
"2020-10-19",259.01001,259.339996,254.039993,256.700012,340100,253.707947
"2020-10-20",260.160004,261.179993,254.720001,257.089996,376000,254.093384
"2020-10-21",256.179993,260.709991,254.570007,256.230011,320400,253.243408
"2020-10-22",254.020004,261.829987,254,259.100006,512500,256.080017
"2020-10-23",261.940002,262.929993,258.480011,262.410004,255100,259.35141
"2020-10-26",258.149994,259.019989,252.070007,254.25,391900,251.286484
"2020-10-27",254.880005,258.640015,253.740005,255.529999,368500,252.551575
"2020-10-28",249.139999,252.169998,243.75,247.449997,553800,244.56575
"2020-10-29",250.910004,269.029999,250,263.600006,1114300,260.527557
"2020-10-30",260.76001,269.779999,259.290009,266.350006,604600,263.245422
"2020-11-02",269.839996,275.48999,268.399994,270.98999,858900,267.83136
"2020-11-03",275.5,278,271.609985,276.160004,481900,272.941101
"2020-11-04",252.639999,266.390015,239.699997,253.759995,1817500,250.8022
"2020-11-05",256.119995,266.059998,255.039993,260.209991,941200,257.176971
"2020-11-06",256.920013,265.700012,253.350006,256.179993,525900,253.193985
"2020-11-09",270.970001,275.959991,257.01001,261.429993,646500,258.382751
"2020-11-10",263.450012,277.420013,263.25,266.019989,597700,262.919312
"2020-11-11",266.690002,266.690002,258.320007,265.98999,464600,262.889648
"2020-11-12",263.880005,263.98999,258.829987,260.570007,485600,257.532806
"2020-11-13",262.459991,270,260.589996,264.140015,446800,261.061188
"2020-11-16",270.820007,274.709991,266.679993,271.209991,472400,268.048828
"2020-11-17",268.809998,270.670013,265.970001,269.329987,294000,266.190704
"2020-11-18",270.73999,274.630005,268.109985,269.359985,305100,266.220367
"2020-11-19",268.049988,274.230011,266.410004,269.549988,282500,266.408142
"2020-11-20",266.559998,266.809998,259.119995,265.600006,412200,262.504211
"2020-11-23",269,271.179993,265.98999,266.890015,319000,263.779144
"2020-11-24",270.149994,277.559998,267.329987,274.920013,585400,271.715607
"2020-11-25",272.559998,274.089996,265.25,272.679993,259300,269.501648
"2020-11-27",272.450012,272.920013,268.170013,271.01001,158000,267.851166
"2020-11-30",269.279999,269.279999,261.820007,265.630005,500200,263.087219
"2020-12-01",270.459991,278.899994,268.170013,275.470001,723100,272.832977
"2020-12-02",273.459991,275.459991,270.01001,273.459991,374800,270.842194
"2020-12-03",271.940002,282.839996,268.079987,281.149994,545900,278.458649
"2020-12-04",282,287.149994,281.380005,284.940002,438900,282.212341
"2020-12-07",283.01001,286.420013,281.079987,284.940002,378000,282.212341
"2020-12-08",282.269989,287.51001,280.410004,282.829987,405500,280.122528
"2020-12-09",281,281.609985,274.549988,277.179993,590000,274.526672
"2020-12-10",274.670013,274.670013,264.579987,266.73999,728600,264.186554
"2020-12-11",266.709991,268.920013,264.179993,267.200012,434600,264.642181
"2020-12-14",270.160004,270.420013,258.179993,259.700012,575400,257.213959
"2020-12-15",262.109985,266.850006,259.26001,266.559998,599200,264.00827
"2020-12-16",266.670013,267.320007,261.640015,262.230011,493100,259.719757
"2020-12-17",263.859985,266.359985,262.450012,265.730011,452200,263.186218
"2020-12-18",267.600006,277.380005,267.059998,276.350006,1249500,273.70459
"2020-12-21",270.720001,278.850006,269.079987,275.670013,453500,273.031067
"2020-12-22",277.390015,278.769989,272.980011,273.299988,576500,270.683746
"2020-12-23",273.109985,275.609985,270.76001,273.790009,285200,271.169037
"2020-12-24",274.940002,275.75,271.070007,275.049988,79500,272.416992
"2020-12-28",276.339996,281.970001,274.25,278.690002,286600,276.022186
"2020-12-29",279.5,281.179993,273.209991,274.079987,359400,271.456299
"2020-12-30",276.029999,282.399994,275.5,280.940002,334700,278.25061
"2020-12-31",279.649994,284.609985,278.109985,283.970001,299000,281.251648
"2021-01-04",284,288.850006,276.329987,277.799988,703600,275.140656
"2021-01-05",277.540009,283.390015,274.640015,280.869995,730700,278.181274
"2021-01-06",300,307.399994,297.029999,302.660004,2489100,299.762695
"2021-01-07",309.459991,309.869995,302.059998,307.820007,754300,304.873322
"2021-01-08",307.209991,311.450012,304.850006,310.429993,497800,307.458344
"2021-01-11",305.73999,311.459991,303.790009,310.059998,369700,307.091888
"2021-01-12",310.059998,319.01001,308.26001,314.809998,442800,311.796417
"2021-01-13",312.140015,313.809998,303,305.029999,597200,302.110046
"2021-01-14",307.089996,308.359985,301.179993,302.829987,669600,299.93103
"2021-01-15",300.829987,304.429993,296.440002,303.579987,531900,300.673859
"2021-01-19",305,309.480011,302.579987,307,617700,304.061188
"2021-01-20",307.410004,311.029999,306.519989,310,616600,307.03244
"2021-01-21",308.390015,314.679993,307.079987,310,601800,307.03244
"2021-01-22",307.589996,311.929993,305.609985,309.600006,643500,306.636261
"2021-01-25",309,310.079987,303.48999,308,926800,305.051605
"2021-01-26",309.940002,310,292.929993,293.089996,671600,290.284302
"2021-01-27",287.730011,292.73999,280.380005,284.98999,682300,282.261841
"2021-01-28",288.940002,291.579987,286.290009,288.899994,429300,286.13443
"2021-01-29",286.579987,292.070007,282.549988,287.410004,713000,284.658661
"2021-02-01",289.570007,297.059998,287.649994,295.859985,509100,293.027802
"2021-02-02",298.26001,298.809998,294.589996,294.640015,344000,291.819489
"2021-02-03",295.519989,297.25,293.070007,294.880005,472000,292.05722
"2021-02-04",295.940002,298.089996,292.910004,295.190002,401000,292.364227
"2021-02-05",299.279999,299.320007,294.690002,297.600006,345600,294.75119
"2021-02-08",300,303.320007,297.570007,300.910004,463200,298.029449
"2021-02-09",302.26001,311.73999,300.100006,305.920013,539600,302.991516
"2021-02-10",309.019989,317.230011,305.380005,316,657100,312.975006
"2021-02-11",317.75,321.609985,315.109985,318.559998,523100,315.510468
"2021-02-12",317.179993,332.309998,317.179993,330.829987,578600,327.663055
"2021-02-16",332.220001,333.98999,321.619995,325.649994,470200,322.532623
"2021-02-17",322.73999,325.769989,315.799988,325.299988,359000,322.185974
"2021-02-18",322.829987,325.940002,319.579987,325.149994,283300,322.037415
"2021-02-19",328.140015,338.769989,326.809998,336.339996,628200,333.1203
"2021-02-22",334.23999,335.660004,327.200012,328.100006,492600,324.959198
"2021-02-23",330.5,337.480011,321.230011,335.809998,538800,332.595337
"2021-02-24",336.350006,348.329987,333.98999,347.570007,560300,344.242798
"2021-02-25",347.359985,347.359985,334.079987,336.309998,394800,333.090576
"2021-02-26",336.299988,339.549988,329.440002,336.869995,471800,334.21167
"2021-03-01",344.329987,353.559998,343.660004,347.559998,725100,344.817322
"2021-03-02",348.320007,349.619995,334.579987,336.589996,591100,333.933868
"2021-03-03",336.140015,341.540009,336.140015,337.200012,410500,334.539063
"2021-03-04",335.440002,338.970001,322.549988,329.720001,465500,327.118103
"2021-03-05",334.98999,335.769989,316.369995,329.790009,1037900,327.187531
"2021-03-08",330,340.640015,328.25,334.100006,473900,331.463531
"2021-03-09",335.970001,337.119995,330.440002,332.799988,296400,330.173767
"2021-03-10",333.109985,342.75,330.01001,340.859985,360100,338.170166
"2021-03-11",345.859985,349.609985,338,340.779999,366300,338.09082
"2021-03-12",341.179993,344.450012,338.25,343.829987,267100,341.116699
"2021-03-15",342.649994,345.269989,338.269989,343.709991,302900,340.99765
"2021-03-16",343.709991,344.940002,337,337.679993,403100,335.015259
"2021-03-17",338.660004,340.390015,333.679993,340,332800,337.316986
"2021-03-18",340.959991,345.140015,337.660004,339.790009,370500,337.108673
"2021-03-19",337.450012,337.769989,331.48999,332.059998,649700,329.439636
"2021-03-22",331.640015,332.200012,318.660004,321.820007,1013400,319.280396
"2021-03-23",321.070007,322.380005,312.420013,316.380005,655400,313.883331
"2021-03-24",320.700012,327.869995,319.98999,322.25,382700,319.707062
"2021-03-25",322.869995,335.070007,317.23999,333.230011,490000,330.600433
"2021-03-26",343,344.899994,335.5,341.23999,706900,338.54718
"2021-03-29",343.450012,347.019989,338.359985,340.700012,555500,338.011444
"2021-03-30",338.070007,348.130005,338.070007,343.630005,503000,340.918335
"2021-03-31",348,352.359985,331.670013,335.820007,883300,333.169952
