"","ORLY.Open","ORLY.High","ORLY.Low","ORLY.Close","ORLY.Volume","ORLY.Adjusted"
"2020-07-01",419.940002,427.660004,416.130005,426.079987,532500,426.079987
"2020-07-02",430.640015,432.190002,424.829987,427.850006,456800,427.850006
"2020-07-06",432.799988,433.73999,423.519989,425.839996,503700,425.839996
"2020-07-07",424.899994,428.5,422.089996,422.170013,597500,422.170013
"2020-07-08",421.369995,424.089996,414.679993,420.48999,640500,420.48999
"2020-07-09",420.579987,422,414.5,419.410004,385500,419.410004
"2020-07-10",418.380005,421.019989,413,420.76001,475900,420.76001
"2020-07-13",423.359985,429.25,418.23999,419.790009,561200,419.790009
"2020-07-14",417.410004,429.440002,417.26001,427.899994,360200,427.899994
"2020-07-15",430.480011,435.200012,427.299988,432.929993,370400,432.929993
"2020-07-16",431.48999,435,429.109985,431.670013,400800,431.670013
"2020-07-17",435.049988,435.049988,429,431.73999,377700,431.73999
"2020-07-20",437.929993,442.630005,430.700012,438.170013,634900,438.170013
"2020-07-21",439.890015,448.559998,439.890015,446.470001,559100,446.470001
"2020-07-22",447.820007,454.470001,447.820007,450.769989,428600,450.769989
"2020-07-23",451.049988,463.019989,444.109985,447.850006,660900,447.850006
"2020-07-24",446.040009,451.230011,442.149994,442.339996,812900,442.339996
"2020-07-27",443.709991,451.859985,443.619995,450.450012,897800,450.450012
"2020-07-28",456.390015,458.679993,449.660004,450.049988,607800,450.049988
"2020-07-29",450.769989,458.910004,448.359985,455.769989,820800,455.769989
"2020-07-30",480,487.950012,470.299988,480.519989,1524500,480.519989
"2020-07-31",479.309998,481.119995,471.25,477.380005,656000,477.380005
"2020-08-03",479.609985,480.700012,471.01001,473.790009,560600,473.790009
"2020-08-04",470.01001,476.529999,467.040009,472.880005,558000,472.880005
"2020-08-05",474.720001,475.670013,466.589996,468.529999,412200,468.529999
"2020-08-06",466.850006,470.619995,463.320007,466.070007,526400,466.070007
"2020-08-07",463.209991,469.730011,462.690002,465.179993,454200,465.179993
"2020-08-10",465,468.880005,459.700012,461.149994,424700,461.149994
"2020-08-11",463.309998,463.309998,452.529999,454.019989,708400,454.019989
"2020-08-12",456.269989,466.399994,456.269989,463.51001,454000,463.51001
"2020-08-13",461,466.730011,459.079987,461.339996,358400,461.339996
"2020-08-14",461.100006,466.649994,461,463.549988,338000,463.549988
"2020-08-17",464,471,463.980011,469.459991,374300,469.459991
"2020-08-18",475,477.220001,465.920013,470.100006,516900,470.100006
"2020-08-19",470.01001,473.230011,464.850006,466.059998,516200,466.059998
"2020-08-20",462.51001,467.309998,461.089996,461.98999,533000,461.98999
"2020-08-21",460.880005,463.309998,458.01001,460.329987,504200,460.329987
"2020-08-24",462.76001,465.190002,460.630005,463.910004,440200,463.910004
"2020-08-25",462.029999,466.130005,461.829987,465.940002,393700,465.940002
"2020-08-26",462.850006,468.130005,461.899994,462.700012,327800,462.700012
"2020-08-27",466.890015,467.450012,461.390015,462.579987,331600,462.579987
"2020-08-28",462.320007,465.869995,458.940002,462.950012,379200,462.950012
"2020-08-31",461.98999,468.549988,459.98999,465.630005,508500,465.630005
"2020-09-01",467.350006,474.630005,464.01001,473.200012,461400,473.200012
"2020-09-02",473.359985,484.529999,472.769989,482.619995,489000,482.619995
"2020-09-03",482.609985,485,468.709991,471.950012,584900,471.950012
"2020-09-04",471.730011,475.910004,463.630005,471.01001,479100,471.01001
"2020-09-08",468.470001,477.440002,461.359985,470.410004,557300,470.410004
"2020-09-09",471.480011,481.76001,471.01001,476.279999,410100,476.279999
"2020-09-10",476.799988,480.649994,467.429993,469.269989,367500,469.269989
"2020-09-11",473.079987,476.040009,469.630005,474.649994,334600,474.649994
"2020-09-14",475.980011,483.26001,474.950012,478.119995,347800,478.119995
"2020-09-15",480,480.700012,476.399994,477.410004,245300,477.410004
"2020-09-16",480,480.309998,468.519989,469.920013,420800,469.920013
"2020-09-17",461,470.529999,461,467.390015,405500,467.390015
"2020-09-18",468.119995,470.01001,457.190002,463.899994,677900,463.899994
"2020-09-21",460.73999,461.649994,446.679993,453.959991,645700,453.959991
"2020-09-22",456.570007,464,451.279999,455.399994,530500,455.399994
"2020-09-23",454.790009,458.929993,448.049988,448.619995,517800,448.619995
"2020-09-24",445.029999,447.160004,437.570007,443.970001,874100,443.970001
"2020-09-25",437.350006,447.790009,437.350006,444.679993,464800,444.679993
"2020-09-28",450.170013,458.01001,449.940002,457.339996,485700,457.339996
"2020-09-29",457.359985,459.029999,452.700012,453.320007,403200,453.320007
"2020-09-30",455.679993,464.609985,453.579987,461.079987,515800,461.079987
