"","MKTX.Open","MKTX.High","MKTX.Low","MKTX.Close","MKTX.Volume","MKTX.Adjusted"
"2021-01-14",536.099976,536.099976,510.420013,512.080017,270500,506.869965
"2021-01-15",512.530029,529.820007,510.01001,523,422800,517.678894
"2021-01-19",533.51001,533.51001,509.179993,515.890015,419700,510.641174
"2021-01-20",515.960022,518.5,507.98999,517.369995,287400,512.106201
"2021-01-21",519.340027,519.340027,509.109985,514.130005,220500,508.899139
"2021-01-22",516.97998,519.469971,509.029999,509.700012,323400,504.514191
"2021-01-25",510.549988,516.140015,502.179993,509.350006,286800,504.167725
"2021-01-26",509.899994,513,503.25,509.809998,352100,504.623077
"2021-01-27",509.559998,537.919983,501,534.429993,702900,528.992554
"2021-01-28",530,545.97998,530,536.549988,422500,531.090942
"2021-01-29",532.719971,542.690002,527.340027,540.76001,306700,535.25824
"2021-02-01",549.549988,575.380005,544.969971,568.72998,368500,562.943604
"2021-02-02",568,589.25,568,580.109985,292500,574.207825
"2021-02-03",580.570007,587.890015,562.210022,563.809998,265400,558.073669
"2021-02-04",563.98999,572.840027,558.799988,566.200012,173800,560.43927
"2021-02-05",570.950012,574.98999,564.890015,571.659973,176700,565.84375
"2021-02-08",572.320007,576.130005,563.330017,569.719971,175700,563.923462
"2021-02-09",567.070007,572.179993,552.049988,557.76001,201900,552.725525
"2021-02-10",561.349976,561.349976,549.929993,553.98999,172100,548.989563
"2021-02-11",557.969971,560.599976,541.349976,545.719971,197700,540.794189
"2021-02-12",547.52002,553.440002,544.460022,552.549988,164000,547.5625
"2021-02-16",556.580017,556.580017,532.210022,537.52002,271100,532.668213
"2021-02-17",531.539978,541.890015,527.530029,535.710022,244600,530.874634
"2021-02-18",532.75,543.830017,531.330017,543.690002,167900,538.782593
"2021-02-19",548.409973,557.98999,545.72998,550.210022,243700,545.243652
"2021-02-22",547.130005,547.130005,529.23999,541.070007,241000,536.186157
"2021-02-23",537.859985,552.909973,530.090027,549.140015,403600,544.18335
"2021-02-24",544.140015,548.72998,536,545.460022,225900,540.53656
"2021-02-25",545.719971,557.059998,544.090027,551.77002,224100,546.789612
"2021-02-26",551.669983,561.210022,543.130005,555.940002,282800,550.921997
"2021-03-01",564.929993,580.98999,563.820007,579.070007,241900,573.843201
"2021-03-02",582,587.049988,574.219971,578.880005,245400,573.654968
"2021-03-03",573.890015,575.099976,508.630005,509.350006,534300,504.752472
"2021-03-04",505.279999,510.600006,478.779999,484.929993,461300,480.552887
"2021-03-05",488.100006,506.820007,471.040009,504.369995,612900,499.817474
"2021-03-08",504.98999,522.530029,496.880005,512.969971,349100,508.339783
"2021-03-09",518.340027,540.400024,518.27002,524.090027,350500,519.359497
"2021-03-10",530.109985,530.109985,512.47998,516.789978,211100,512.125366
"2021-03-11",517.119995,526.72998,515.530029,523.820007,200400,519.091858
"2021-03-12",522.799988,523.909973,507.579987,518.969971,225800,514.285645
"2021-03-15",523.73999,534.169983,513.219971,525.409973,246700,520.66748
"2021-03-16",529.77002,533.400024,511.48999,516.909973,198400,512.244202
"2021-03-17",515.599976,518.789978,505.929993,513,306300,508.369537
"2021-03-18",507.5,517.51001,500,501.420013,291400,496.894073
"2021-03-19",504.73999,513.900024,500.209991,510.119995,667300,505.515533
"2021-03-22",507.470001,523.070007,507.470001,521.280029,202100,516.574829
"2021-03-23",518.289978,530.169983,514.52002,526.119995,283500,521.371094
"2021-03-24",523.75,523.75,496.339996,500.929993,271800,496.408478
"2021-03-25",500.049988,500.619995,488.799988,497.709991,293000,493.217529
"2021-03-26",497.160004,519.289978,495.380005,517.799988,263600,513.126221
"2021-03-29",516.109985,524.179993,507.839996,516.679993,192300,512.016296
"2021-03-30",515.460022,518.630005,495.029999,495.75,218900,491.275238
"2021-03-31",499.440002,510.570007,497.480011,497.920013,346300,493.425659
"2021-04-01",504.059998,526.599976,502.769989,520.280029,245300,515.583801
"2021-04-05",522.830017,523,508,520,227700,515.306396
"2021-04-06",508.25,535.549988,508.25,533.059998,288700,528.248474
"2021-04-07",534.619995,537,511.440002,521.01001,214400,516.307312
"2021-04-08",527.640015,535.530029,523.02002,531.47998,203900,526.682739
"2021-04-09",529.130005,536.869995,521.429993,534.559998,192900,529.734924
"2021-04-12",532.400024,536.01001,523,535.450012,180800,530.616882
"2021-04-13",536,546.159973,535.099976,539.679993,257300,534.808716
"2021-04-14",541.369995,544.47998,532.030029,534.840027,181600,530.012512
"2021-04-15",538.48999,545.77002,535.47998,539.150024,151900,534.283508
"2021-04-16",544.380005,544.380005,528.429993,534.950012,256700,530.121399
"2021-04-19",536.01001,540.460022,526.130005,533.619995,172300,528.803406
"2021-04-20",536,539.059998,528.599976,529.119995,137000,524.344055
"2021-04-21",529.820007,533.359985,519.539978,523.25,178900,518.527039
"2021-04-22",500,509.950012,494.709991,502.880005,509100,498.340881
"2021-04-23",501.5,510.709991,492.350006,507.459991,303200,502.879517
"2021-04-26",509.559998,514.609985,501.779999,505.209991,202800,500.649811
"2021-04-27",503.799988,505.920013,494.130005,495.649994,210400,491.176117
"2021-04-28",498.079987,498.079987,486.410004,489.369995,225600,484.95282
"2021-04-29",487,497.75,487,495.769989,231500,491.295044
