"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"2020-08-21",101.57,101.989998,101.25,101.574997,714200,98.502426
"2020-08-24",101.794998,102.080002,100.894997,101.419998,660800,98.352127
"2020-08-25",102.129997,102.129997,100.815002,101.389999,583800,98.323044
"2020-08-26",101.209999,103.290001,100.434998,102.75,828400,99.641891
"2020-08-27",102.974998,103.620003,102.675003,102.724998,525400,99.617653
"2020-08-28",102.559998,102.809998,101.375,102.294998,573600,99.200653
"2020-08-31",102.224998,103.434998,102.169998,103.099998,759200,99.9813
"2020-09-01",102.684998,103.095001,101.695,102.964996,650400,99.850395
"2020-09-02",103.5,105.214996,103.165001,104.889999,847800,101.717155
"2020-09-03",104.449997,105.535004,101.205002,102.004997,891200,98.919426
"2020-09-04",102.199997,102.684998,99.400002,100.925003,1151000,97.872101
"2020-09-08",100.885002,100.925003,98.580002,98.760002,1175600,95.772591
"2020-09-09",99.510002,102.919998,99.510002,101.345001,1246800,98.279396
"2020-09-10",100.925003,101.355003,98.440002,99.095001,792800,96.09745
"2020-09-11",99.355003,99.684998,98.419998,99.32,746400,96.315651
"2020-09-14",100,101.410004,99.495003,100.050003,1044600,97.023582
"2020-09-15",100.364998,101.580002,99.82,100.175003,1067200,97.144798
"2020-09-16",100.68,101.300003,99.25,99.339996,1057800,96.335045
"2020-09-17",97.985001,98.364998,95.555,96.364998,1771200,93.450027
"2020-09-18",96.209999,97.294998,94.199997,94.980003,1790600,92.106941
"2020-09-21",94.264999,95.464996,93.714996,95.199997,1185600,92.320274
"2020-09-22",95.025002,96.470001,94.855003,96.195,1355400,93.285179
"2020-09-23",96.684998,96.800003,92.544998,92.745003,1410600,89.939537
"2020-09-24",93.029999,96.195,92.904999,94.425003,1240200,91.568733
"2020-09-25",94.5,96.084999,94.154999,95.785004,1080600,92.887581
"2020-09-28",97.370003,98.279999,96.889999,97.589996,2829800,94.637978
"2020-09-29",96.400002,96.580002,91.610001,94.945,4796800,92.072983
"2020-09-30",95.690002,98.084999,95.5,97.050003,1861400,94.114326
"2020-10-01",97.370003,97.730003,95.565002,96.599998,1524400,93.677917
"2020-10-02",95.385002,96.955002,95.074997,96.419998,1006000,93.804413
"2020-10-05",96.665001,97.669998,96.404999,97.540001,816400,94.89402
"2020-10-06",97.885002,97.885002,95.620003,95.82,1087000,93.220688
"2020-10-07",96.330002,97.519997,96.059998,97.089996,977000,94.456223
"2020-10-08",97.459999,97.625,96.834999,97.165001,695200,94.529198
"2020-10-09",97.894997,98.514999,97.635002,98.055,732400,95.395042
"2020-10-12",98.055,100.605003,97.995003,100.449997,1039600,97.725082
"2020-10-13",100.264999,101.665001,99.305,100.114998,1297600,97.39917
"2020-10-14",99.870003,100.769997,98.870003,99.004997,635000,96.319267
"2020-10-15",98.360001,100.055,98.135002,99.574997,699200,96.873817
"2020-10-16",100.065002,100.989998,99.690002,99.695,809000,96.990562
"2020-10-19",99.974998,100.709999,98.565002,98.764999,681000,96.085793
"2020-10-20",98.900002,99.370003,97.849998,97.970001,533000,95.312355
"2020-10-21",97.945,98.675003,97.544998,97.669998,398800,95.020485
"2020-10-22",97.5,97.815002,96.864998,97.315002,554400,94.675133
"2020-10-23",97.764999,98.459999,97.315002,98.230003,553800,95.565308
"2020-10-26",97.415001,97.970001,96.364998,97.029999,535600,94.39785
"2020-10-27",97.25,97.639999,96.019997,96.105003,1094800,93.49794
"2020-10-28",94.860001,95.529999,92.699997,92.834999,907800,90.31665
"2020-10-29",92.794998,93.495003,91.925003,91.949997,863000,89.45565
"2020-10-30",91.550003,92.154999,89.254997,90.254997,1375600,87.806625
"2020-11-02",91.690002,93.285004,91.57,92.584999,1005000,90.073433
"2020-11-03",93.589996,94.709999,93.010002,93.839996,698600,91.294388
"2020-11-04",94.415001,96.275002,94.18,94.489998,787000,91.926758
"2020-11-05",95.894997,95.964996,93.824997,94.269997,826400,91.712723
"2020-11-06",94.379997,95.940002,93.5,94.330002,718600,91.771095
"2020-11-09",95.875,97,88.919998,89.160004,2137200,86.741348
"2020-11-10",89.5,91.93,89.080002,90.970001,1152800,88.502243
"2020-11-11",91.824997,93.540001,91.705002,93.445,1027000,90.910118
"2020-11-12",94.080002,94.364998,91.440002,92.489998,623000,89.981003
"2020-11-13",92.440002,92.980003,91.150002,92.309998,596200,89.805893
"2020-11-16",92.595001,92.915001,90.764999,92.089996,1145400,89.591858
"2020-11-17",91.614998,92.364998,90.904999,91.330002,1334200,88.852486
"2020-11-18",91.480003,92.419998,90.875,91.095001,1096800,88.623856
"2020-11-19",90.910004,91.809998,90.095001,91.620003,864400,89.134613
"2020-11-20",92.025002,92.654999,91.434998,91.834999,957600,89.343781
"2020-11-23",92.114998,92.510002,90.915001,91.5,1054200,89.017868
"2020-11-24",92.5,94.040001,92.065002,93.269997,1804400,90.739838
"2020-11-25",93.339996,94.434998,92.610001,92.794998,731000,90.27774
"2020-11-27",93.5,94.099998,92.125,93.239998,575200,90.710663
"2020-11-30",92.904999,93.610001,91.135002,93.489998,1792400,90.95388
"2020-12-01",95.019997,95.019997,92.339996,93.639999,1425100,91.099815
"2020-12-02",93.489998,94.400002,91.160004,91.419998,980900,88.940048
"2020-12-03",91.400002,92.910004,91.260002,92.650002,837600,90.136681
"2020-12-04",92.510002,93.949997,92.010002,93.949997,838700,91.401398
"2020-12-07",93.889999,94.309998,92.169998,92.639999,816200,90.126938
"2020-12-08",92.169998,93.849998,92.050003,93.440002,710800,90.905235
"2020-12-09",93.330002,93.410004,91.760002,93.120003,827000,90.593925
"2020-12-10",93.220001,93.639999,92.449997,93.050003,655700,90.525826
"2020-12-11",92.900002,93.720001,92.800003,93.419998,828800,90.88578
"2020-12-14",93.839996,94.980003,93.239998,93.279999,759200,90.749573
"2020-12-15",93.300003,93.809998,91.580002,91.769997,1312800,89.28054
"2020-12-16",91.980003,93.169998,91.809998,92.709999,982900,90.195045
"2020-12-17",93.139999,95.339996,92.93,94.599998,1182800,92.033775
"2020-12-18",94.489998,95.050003,92.279999,93.370003,2191300,90.837143
"2020-12-21",92.260002,94.120003,91.889999,93.690002,1221200,91.148476
"2020-12-22",93.610001,93.82,92.360001,92.959999,808700,90.438271
