"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2020-07-01",42.349998,42.830002,40.68,40.740002,5600000,37.764046
"2020-07-02",41.82,42.509998,41.580002,41.779999,4775000,38.728073
"2020-07-06",42.630001,42.869999,41.360001,41.630001,5825100,38.589043
"2020-07-07",41.150002,41.630001,40.57,40.639999,5995100,37.671352
"2020-07-08",40.580002,41.57,40.299999,41.040001,4896800,38.042137
"2020-07-09",40.66,40.889999,38.290001,38.349998,9189500,35.54863
"2020-07-10",38.360001,39.82,38.220001,39.689999,9218300,36.790745
"2020-07-13",40.130001,40.509998,39,39.66,5887000,36.762936
"2020-07-14",39.439999,41.34,39.27,41.310001,4953500,38.292419
"2020-07-15",42.189999,42.419998,41.049999,41.619999,5777100,38.579765
"2020-07-16",41.290001,42.060001,40.66,41.59,4655700,38.55196
"2020-07-17",41.349998,41.669998,39.779999,39.959999,6699300,37.4189
"2020-07-20",39.959999,40.34,39.240002,39.330002,6407600,36.828964
"2020-07-21",40.099998,42.080002,40,41.66,7950900,39.010803
"2020-07-22",41.07,41.25,40.32,40.889999,5158400,38.289764
"2020-07-23",40.529999,41.130001,40.23,40.459999,5953500,37.887112
"2020-07-24",40.740002,41.360001,40.16,40.279999,5202600,37.718552
"2020-07-27",39.919998,40.48,39.439999,39.77,5312400,37.240986
"2020-07-28",39.57,39.959999,38.799999,38.959999,6188300,36.482491
"2020-07-29",38.970001,39.939999,38.599998,39.939999,6305200,37.400173
"2020-07-30",38.119999,38.470001,35.900002,37.639999,13421000,35.246429
"2020-07-31",37.049999,37.599998,36.709999,37.389999,7719900,35.012333
"2020-08-03",37.27,37.389999,36.689999,36.709999,8064700,34.375576
"2020-08-04",36.66,38.07,36.470001,37.639999,5808100,35.246429
"2020-08-05",38.5,38.689999,37.709999,38.02,7315000,35.602272
"2020-08-06",37.639999,38.43,37.610001,38.049999,6588700,35.630363
"2020-08-07",37.869999,38.389999,37.349998,38.299999,4445300,35.86446
"2020-08-10",38.509998,39.669998,38.450001,39.639999,5612600,37.119255
"2020-08-11",40.57,41.150002,39.580002,39.709999,7975900,37.184803
"2020-08-12",40.369999,41.68,40.25,41.66,11822500,39.010803
"2020-08-13",41.150002,41.830002,40.619999,40.630001,8286400,38.046299
"2020-08-14",40.220001,41,39.959999,40.82,3349800,38.224216
"2020-08-17",40.75,40.98,39.91,40.700001,6089300,38.111851
"2020-08-18",40.619999,41.330002,40.130001,40.330002,5711500,37.765377
"2020-08-19",40.110001,40.32,39.52,39.650002,4526200,37.12862
"2020-08-20",39.060001,39.310001,38.73,38.77,3943200,36.304577
"2020-08-21",38.639999,38.810001,37.950001,38.16,5034200,35.733368
"2020-08-24",38.34,39.560001,38.09,38.869999,5357400,36.39822
"2020-08-25",39.41,39.450001,38.450001,38.849998,4160600,36.379486
"2020-08-26",38.830002,38.959999,37.52,37.560001,6753300,35.171528
"2020-08-27",37.77,38.279999,37.5,38.150002,6231600,35.724003
"2020-08-28",38.330002,38.459999,37.880001,38.380001,5058100,35.939381
"2020-08-31",38.349998,38.450001,37.57,37.889999,6165700,35.480534
"2020-09-01",37.419998,37.599998,36.619999,37.16,6267700,34.796951
"2020-09-02",37,37.169998,36.380001,36.380001,7441600,34.066563
"2020-09-03",36.029999,36.869999,35.84,35.990002,8733400,33.701359
"2020-09-04",36.360001,36.689999,35.669998,35.860001,8285300,33.579632
"2020-09-08",35.299999,35.299999,33.740002,34.060001,9338600,31.894098
"2020-09-09",34.849998,34.849998,34.220001,34.459999,6440000,32.268654
"2020-09-10",34.43,34.52,32.860001,32.919998,8582800,30.826584
"2020-09-11",32.880001,33.439999,32.639999,33.110001,6769100,31.004505
"2020-09-14",33.240002,33.869999,33.009998,33.52,5436000,31.388426
"2020-09-15",33.73,34.220001,33.610001,33.799999,8333400,31.650625
"2020-09-16",34.119999,35.529999,33.650002,35.080002,9240700,32.849232
"2020-09-17",34.400002,36.110001,34.16,36.09,13147700,33.795002
"2020-09-18",35.799999,36.450001,35.400002,35.869999,12409800,33.588989
"2020-09-21",34.810001,35.080002,34.09,34.360001,11316000,32.175011
"2020-09-22",34.34,34.810001,34.009998,34.299999,7963000,32.118832
"2020-09-23",34.360001,34.59,32.880001,32.919998,7714500,30.826584
"2020-09-24",32.810001,34.259998,32.459999,33.599998,7084000,31.463343
"2020-09-25",33.09,33.990002,32.98,33.700001,5240900,31.556984
"2020-09-28",34.34,34.740002,33.619999,33.709999,8958400,31.566345
"2020-09-29",33.720001,33.779999,32.169998,32.459999,6662600,30.395838
"2020-09-30",32.73,33.290001,32.549999,32.84,8111700,30.751675
"2020-10-01",32.23,32.740002,31.690001,32.43,7929600,30.367744
"2020-10-02",31.58,33.290001,31.450001,33.07,7069100,30.967049
"2020-10-05",33.560001,34.310001,33.23,34.279999,5652500,32.100105
"2020-10-06",34.880001,35.080002,33.119999,33.299999,6645600,31.182415
"2020-10-07",33.470001,34.529999,33.32,34.330002,6633200,32.146919
"2020-10-08",34.5,35.619999,34.299999,35.529999,6758800,33.270607
"2020-10-09",35.939999,35.970001,34.84,35.130001,6382000,32.896053
"2020-10-12",35.07,35.84,34.73,35.59,7214600,33.326797
"2020-10-13",35.529999,36,34.700001,34.880001,8121000,32.661953
"2020-10-14",34.040001,35.529999,34.040001,34.529999,9817400,32.334202
"2020-10-15",33.869999,35.470001,33.669998,35.400002,8633700,33.148876
"2020-10-16",34.810001,34.970001,33.75,33.77,8312900,32.011372
"2020-10-19",34.119999,34.200001,32.68,32.700001,21684100,30.997093
"2020-10-20",32.91,33.049999,32.07,32.580002,19243000,30.883341
"2020-10-21",32.169998,32.41,30.58,30.639999,19210200,29.044369
"2020-10-22",30.620001,31.969999,30.469999,31.91,15029400,30.248234
"2020-10-23",32.27,33.189999,31.92,32.540001,15335200,30.845425
"2020-10-26",31.76,31.93,30.08,30.32,11522800,28.741035
"2020-10-27",30.16,30.690001,29.959999,30.26,13017800,28.68416
"2020-10-28",29.360001,29.809999,28.549999,28.790001,15274500,27.290712
"2020-10-29",28.120001,29.190001,27.530001,29.16,15560100,27.641441
"2020-10-30",28.93,28.969999,27.629999,28.620001,15681700,27.129564
"2020-11-02",29.42,30.549999,28.51,30.23,13762900,28.655722
"2020-11-03",30.719999,30.74,29.139999,29.309999,12131300,27.783632
"2020-11-04",29.59,30.620001,29.209999,30.379999,15178400,28.797913
"2020-11-05",30.1,30.91,30.040001,30.120001,10316600,28.551453
"2020-11-06",30.129999,30.65,28.780001,29.190001,10484500,27.669884
"2020-11-09",33.16,34.830002,32.869999,33.380001,17614500,31.641684
"2020-11-10",34.349998,35.540001,33.59,35.529999,20650600,33.679714
"2020-11-11",35.959999,36.200001,35.060001,35.279999,17225000,33.442738
"2020-11-12",34.599998,35.209999,33.599998,34.009998,10944500,32.238873
"2020-11-13",34.349998,35.560001,34.25,35.360001,11997500,33.518562
"2020-11-16",36.950001,38.130001,36.400002,38.080002,18701200,36.096924
"2020-11-17",37.52,39.130001,37.240002,38.849998,14466800,36.826817
"2020-11-18",38.959999,40.869999,38.650002,39.18,23319600,37.139637
"2020-11-19",38.709999,39.610001,38.380001,39.470001,12504100,37.414532
"2020-11-20",39.310001,39.93,39.139999,39.650002,12037800,37.585159
"2020-11-23",40.360001,42.84,40.27,42.709999,14643900,40.485798
"2020-11-24",44.080002,45.360001,43.779999,44.41,15439200,42.097279
"2020-11-25",44,44.439999,43.360001,43.630001,15644800,41.357895
"2020-11-27",43.400002,43.91,42.400002,42.779999,4694000,40.552158
"2020-11-30",41.93,42.040001,39.540001,39.560001,20248600,37.499851
"2020-12-01",40.900002,40.950001,39.220001,39.27,12424900,37.224953
"2020-12-02",39.18,40.970001,38.830002,39.970001,12460200,37.8885
"2020-12-03",40.049999,42.150002,39.630001,41.200001,16215400,39.054447
"2020-12-04",42.290001,44.349998,42.110001,44.27,12730500,41.964561
"2020-12-07",43.349998,43.439999,42.52,42.82,10586100,40.590076
"2020-12-08",42,43.439999,41.700001,42.68,10575500,40.457367
"2020-12-09",43.279999,43.5,41.720001,42.700001,10773100,40.476326
"2020-12-10",42.610001,44.220001,42.450001,44,14997800,41.708633
"2020-12-11",43.509998,43.82,43.169998,43.48,14242300,41.215702
"2020-12-14",44.080002,44.25,42.259998,42.32,17094500,40.116116
"2020-12-15",42.66,42.98,41.709999,42.799999,9853600,40.571114
"2020-12-16",42.849998,42.939999,42.130001,42.32,9311000,40.116116
"2020-12-17",42.77,42.77,41.619999,41.970001,9294200,39.784344
"2020-12-18",41.990002,42.200001,40.73,40.98,20819300,38.845901
"2020-12-21",39.41,40.919998,38.93,40.240002,10998100,38.14444
"2020-12-22",40.200001,40.279999,38.880001,39.029999,9189600,36.997448
"2020-12-23",39.41,40.709999,39.330002,40.080002,6137600,37.992775
"2020-12-24",40.009998,40.009998,38.959999,39.490002,3530300,37.433495
"2020-12-28",39.560001,40.470001,39.099998,39.299999,6178200,37.253391
"2020-12-29",39.360001,39.939999,38.77,39.07,7003100,37.03537
"2020-12-30",38.990002,40.040001,38.810001,40.009998,6268900,37.926407
"2020-12-31",39.91,40.290001,39.610001,39.990002,7612500,37.907455
"2021-01-04",40.5,40.650002,39.18,39.57,8597600,37.509331
"2021-01-05",40.240002,42.869999,40,41.84,12393600,39.661106
"2021-01-06",42.529999,43.950001,41.919998,43.509998,11035300,41.244141
"2021-01-07",44.049999,44.990002,43.599998,44.700001,9648200,42.372169
"2021-01-08",45,45.48,44.189999,44.700001,9448700,42.372169
"2021-01-11",44.099998,45.709999,43.310001,45.360001,10839600,42.997803
"2021-01-12",46.02,47.669998,45.720001,47.419998,13013700,44.950523
"2021-01-13",47.349998,47.470001,46.599998,47.029999,11839900,44.580833
"2021-01-14",47.419998,48.290001,46.77,47.869999,12857900,45.37709
"2021-01-15",47.279999,47.279999,44.529999,45.119999,30004600,42.770298
"2021-01-19",45.150002,46.150002,44.860001,46,14498800,43.604473
"2021-01-20",46.369999,46.490002,45.299999,45.360001,21178000,42.997803
"2021-01-21",45.41,45.700001,42.700001,43.189999,16897000,40.940811
"2021-01-22",42.060001,42.98,41.75,42.689999,9535400,40.466843
"2021-01-25",42.130001,42.630001,41.240002,42.580002,10739700,40.362576
"2021-01-26",43.07,43.700001,41.610001,41.68,7616300,39.509445
"2021-01-27",40.98,42.09,40.209999,40.650002,8841600,38.533085
"2021-01-28",41.110001,41.639999,40.380001,41.110001,10283300,38.969131
"2021-01-29",40.610001,41.459999,39.98,40.029999,11660400,37.945374
"2021-02-01",40.43,40.98,39.700001,40.709999,9229400,38.589962
"2021-02-02",41.549999,42.299999,40.900002,40.970001,8834000,38.836422
"2021-02-03",41.25,43.630001,41.009998,43.209999,11133600,40.959763
"2021-02-04",43.610001,44.02,42.59,44.009998,11372300,41.718102
"2021-02-05",44.889999,44.919998,44.09,44.419998,9543400,42.10675
"2021-02-08",45.25,47.23,45.099998,46.779999,12181600,44.343853
