"","LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted"
"2020-07-01",211.550003,215.649994,210.729996,214.770004,2126100,208.490097
"2020-07-02",218.520004,222.029999,218.520004,221.259995,2837900,214.790314
"2020-07-06",225,225.589996,221.619995,224.649994,2860700,218.081207
"2020-07-07",222.740005,225.880005,222.380005,224.529999,2171600,217.964706
"2020-07-08",226.309998,227.490005,218.639999,221.520004,3063600,215.04274
"2020-07-09",225.660004,226.330002,220.270004,221.949997,2312400,215.460159
"2020-07-10",224.210007,226.589996,223.110001,225.949997,1448300,219.343201
"2020-07-13",227.919998,230.889999,225.779999,225.820007,1498000,219.21701
"2020-07-14",225.729996,233.889999,225.490005,233.130005,2554800,226.313263
"2020-07-15",240.729996,241.179993,235.600006,237.630005,2616100,230.681671
"2020-07-16",245.169998,245.520004,237.470001,238.889999,3216400,231.904846
"2020-07-17",241.320007,243.669998,240.979996,242.600006,1900900,235.506363
"2020-07-20",242.559998,243.880005,239.839996,240.320007,1966500,233.29303
"2020-07-21",243.699997,245.990005,243.009995,244,1686900,236.865417
"2020-07-22",244.550003,246.350006,242.360001,245.339996,1390500,238.166229
"2020-07-23",245.539993,248.25,244.600006,245.979996,1068900,238.787537
"2020-07-24",242.990005,244.860001,242.529999,244.070007,1304400,236.93338
"2020-07-27",246.050003,248.880005,245.25,246.860001,1469200,239.6418
"2020-07-28",247.110001,247.589996,243.580002,243.699997,1677400,236.574173
"2020-07-29",244.710007,245.619995,243.639999,244.710007,1967900,237.554688
"2020-07-30",240.75,242.979996,237.050003,242.020004,1855500,234.943329
"2020-07-31",246.839996,247.100006,241.449997,245.110001,3184700,237.942978
"2020-08-03",247.600006,248.110001,244.089996,244.309998,2577700,237.166351
"2020-08-04",242.449997,245.5,242.029999,243.850006,2435500,236.719803
"2020-08-05",247.5,251.360001,246.759995,248.270004,2166600,241.010559
"2020-08-06",247.470001,248,244.669998,246.660004,1938800,239.447647
"2020-08-07",244.779999,245.669998,243.690002,245.309998,1750100,238.137115
"2020-08-10",242.889999,243.990005,241.699997,243.339996,1159100,236.224731
"2020-08-11",247.580002,248.240005,244.490005,244.850006,1506500,237.690598
"2020-08-12",247.910004,251,247.360001,248.630005,1323300,241.360016
"2020-08-13",247.210007,249.919998,247.210007,249.240005,1147700,241.952194
"2020-08-14",247.889999,249.550003,247.389999,248.5,979300,241.233841
"2020-08-17",249.639999,250.580002,247.490005,248.429993,973500,241.165863
"2020-08-18",249.740005,250.25,246.009995,246.880005,1013400,239.661194
"2020-08-19",248.270004,249.320007,246.600006,247.240005,1626100,240.010696
"2020-08-20",244.330002,245.699997,243.789993,245.309998,1905400,238.137115
"2020-08-21",240.440002,244.929993,240.240005,244.300003,1781100,237.156647
"2020-08-24",250.779999,250.880005,248.630005,248.910004,1363000,241.631851
"2020-08-25",250.440002,251.380005,249.259995,250.080002,1064400,242.767654
"2020-08-26",249.710007,254.25,249.039993,252.880005,844900,245.485764
"2020-08-27",253.759995,254.009995,250.139999,250.929993,1084000,243.592789
