"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2020-08-21",415.519989,419.019989,412.350006,418.790009,473500,413.344177
"2020-08-24",420.029999,422.75,405.079987,406.079987,593900,400.799377
"2020-08-25",408.970001,408.970001,401.839996,405.839996,527700,400.562531
"2020-08-26",404.209991,405.089996,397.589996,403.730011,535000,398.47998
"2020-08-27",404.519989,411.519989,401.679993,407.450012,650500,402.151611
"2020-08-28",408.850006,413.209991,404.790009,408.040009,537400,402.733856
"2020-08-31",407.75,416.279999,406.690002,415.170013,1035200,409.77124
"2020-09-01",413.140015,418.51001,413.140015,414.850006,597400,409.455383
"2020-09-02",417.320007,429.070007,415.369995,427.769989,736900,422.207336
"2020-09-03",428.179993,431.119995,414.230011,421.279999,814800,415.801727
"2020-09-04",421.209991,421.309998,409.75,413.190002,738900,407.816925
"2020-09-08",411.459991,411.459991,401.549988,405.369995,630900,400.098602
"2020-09-09",406.950012,411.980011,405.640015,408.220001,464600,402.91156
"2020-09-10",409.119995,411,392.799988,393.369995,557200,388.2547
"2020-09-11",395.779999,397.130005,386.329987,391.359985,731900,386.270813
"2020-09-14",395.440002,406.23999,394.26001,403.630005,430300,398.381226
"2020-09-15",404.73999,407,398.609985,399.98999,509400,394.788605
"2020-09-16",403.480011,406.089996,398.640015,399.070007,420400,393.880585
"2020-09-17",396.339996,399.299988,391.519989,397.5,559200,392.330963
"2020-09-18",397.899994,405.51001,397.029999,402.630005,1275300,397.394257
"2020-09-21",393.959991,395.26001,383.209991,394.51001,1151800,389.379852
"2020-09-22",395.809998,398.559998,385.109985,386.76001,1087000,381.730621
"2020-09-23",388.600006,391.399994,384.459991,385.420013,998300,380.408051
"2020-09-24",383.809998,388.070007,382.720001,387,379100,381.967468
"2020-09-25",384.399994,401.149994,384.399994,400.850006,684000,395.637421
"2020-09-28",403.970001,409.470001,399.269989,400,697300,394.798462
"2020-09-29",400.589996,404.23999,398.640015,401.5,847600,396.899078
"2020-09-30",403.200012,419.059998,401.130005,413.890015,701700,409.147125
"2020-10-01",415.920013,417.140015,409.690002,415.359985,541300,410.60025
"2020-10-02",414.329987,415.279999,405.140015,408.309998,521400,403.631042
"2020-10-05",412.799988,419.880005,410.640015,419.619995,356600,414.811462
"2020-10-06",420.670013,421.559998,414.339996,416.200012,702900,411.430634
"2020-10-07",418.26001,430.230011,417.640015,429.410004,492600,424.489288
"2020-10-08",430.100006,434.070007,425.51001,427.320007,452400,422.423187
"2020-10-09",429.589996,435.769989,429.040009,433.440002,348900,428.473083
"2020-10-12",436.600006,440.350006,429.839996,430.519989,634500,425.586578
"2020-10-13",427.640015,435.829987,426.01001,432.809998,359500,427.850281
"2020-10-14",429.5,431.670013,422.290009,423,357900,418.152679
"2020-10-15",419.200012,435.519989,418.209991,435.359985,537400,430.371094
"2020-10-16",435.75,445.200012,434.230011,437.720001,455600,432.704041
"2020-10-19",437.410004,442.440002,431.01001,433.079987,549200,428.117218
"2020-10-20",434.549988,440.660004,431.5,436.410004,380800,431.409058
"2020-10-21",435.570007,439.920013,433.679993,437.230011,878500,432.219635
