"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2020-09-24",1239.48999,1245.930054,1215.52002,1229.280029,240500,1229.280029
"2020-09-25",1223.859985,1253.47998,1217.390015,1244.5,234400,1244.5
"2020-09-28",1263.160034,1274.939941,1243.5,1263.349976,196100,1263.349976
"2020-09-29",1263.26001,1266.699951,1245.130005,1261.609985,178800,1261.609985
"2020-09-30",1261.800049,1272,1234.369995,1243.709961,286900,1243.709961
"2020-10-01",1255.569946,1265,1231,1238.02002,349000,1238.02002
"2020-10-02",1214.300049,1265.709961,1214,1254.800049,281600,1254.800049
"2020-10-05",1258.069946,1264,1242,1253.01001,200200,1253.01001
"2020-10-06",1252.47998,1291.97998,1248.030029,1256.410034,469500,1256.410034
"2020-10-07",1272.599976,1295.349976,1266.060059,1278.680054,241700,1278.680054
"2020-10-08",1287.920044,1288,1260,1281.75,241500,1281.75
"2020-10-09",1287.47998,1292,1276.900024,1281.98999,243800,1281.98999
"2020-10-12",1291.189941,1292.119995,1275.47998,1278.930054,204800,1278.930054
"2020-10-13",1282.290039,1330,1272.069946,1325.219971,400400,1325.219971
"2020-10-14",1330.170044,1341.98999,1314.800049,1321.369995,284600,1321.369995
"2020-10-15",1306.150024,1344.900024,1305,1343.25,261800,1343.25
"2020-10-16",1348.880005,1356.75,1335.530029,1339.680054,297500,1339.680054
"2020-10-19",1345,1357.300049,1328,1335.589966,320200,1335.589966
"2020-10-20",1345,1364.359985,1337.930054,1348.469971,330600,1348.469971
"2020-10-21",1344.079956,1366.660034,1338,1366.660034,792300,1366.660034
"2020-10-22",1292.209961,1313.97998,1253.890015,1300.290039,1296500,1300.290039
"2020-10-23",1299.859985,1348.5,1296,1339.079956,762700,1339.079956
"2020-10-26",1323.130005,1326.339966,1285,1311.97998,544100,1311.97998
"2020-10-27",1310.72998,1314.140015,1296.439941,1310.150024,298100,1310.150024
"2020-10-28",1292.050049,1295.660034,1251.150024,1253.540039,479400,1253.540039
"2020-10-29",1253.02002,1264.390015,1239.069946,1242.800049,284300,1242.800049
"2020-10-30",1237.699951,1245.170044,1191.310059,1201.47998,491300,1201.47998
"2020-11-02",1210,1210,1172.290039,1188.540039,368700,1188.540039
"2020-11-03",1198.420044,1216.640015,1188.23999,1209.550049,322300,1209.550049
"2020-11-04",1238,1299,1234.900024,1277.369995,561400,1277.369995
"2020-11-05",1309.719971,1312.359985,1283.849976,1310.319946,298900,1310.319946
"2020-11-06",1305,1331.48999,1299.459961,1326.170044,269000,1326.170044
"2020-11-09",1325.160034,1346,1274.030029,1278.130005,502800,1278.130005
"2020-11-10",1271.949951,1280.400024,1220.199951,1243.050049,552600,1243.050049
"2020-11-11",1260.73999,1319.98999,1258,1303.930054,350700,1303.930054
"2020-11-12",1300,1312.890015,1256.52002,1259.27002,322700,1259.27002
"2020-11-13",1268.849976,1278,1246.5,1251.430054,246000,1251.430054
"2020-11-16",1257.859985,1269.449951,1241.380005,1260.670044,242900,1260.670044
"2020-11-17",1268.430054,1272.420044,1257.099976,1268.47998,160300,1268.47998
"2020-11-18",1265.619995,1301.27002,1262.880005,1296,302800,1296
"2020-11-19",1288.810059,1315,1285,1310.459961,241800,1310.459961
"2020-11-20",1307.319946,1308.51001,1288.050049,1292.569946,202500,1292.569946
"2020-11-23",1295.939941,1295.939941,1271.920044,1281,261700,1281
"2020-11-24",1285.72998,1290.25,1261.22998,1262.819946,349300,1262.819946
"2020-11-25",1269.199951,1280.800049,1265.26001,1276.680054,189500,1276.680054
"2020-11-27",1277,1299.5,1271.449951,1297.77002,154600,1297.77002
"2020-11-30",1297.680054,1297.680054,1264.959961,1289.430054,268000,1289.430054
"2020-12-01",1290,1323.97998,1275.209961,1321.060059,335400,1321.060059
"2020-12-02",1314.449951,1316.849976,1287.060059,1297,220500,1297
