"","CPB.Open","CPB.High","CPB.Low","CPB.Close","CPB.Volume","CPB.Adjusted"
"2020-07-01",49.549999,49.849998,49.169998,49.310001,1434100,45.942707
"2020-07-02",49.459999,49.869999,49.099998,49.32,1685500,45.952023
"2020-07-06",49.470001,49.860001,49.02,49.310001,1939800,45.942707
"2020-07-07",49.169998,49.849998,49,49.73,1646700,46.334023
"2020-07-08",49.599998,49.639999,49.18,49.529999,1214400,46.147678
"2020-07-09",49.34,49.860001,49.259998,49.41,1180300,46.035877
"2020-07-10",49.5,50.75,49.5,50.279999,2111400,46.84647
"2020-07-13",50.32,50.470001,49.709999,49.830002,1818500,46.4272
"2020-07-14",49.509998,50.5,49.509998,50.310001,2213400,47.205986
"2020-07-15",50.509998,50.700001,49.080002,49.209999,1625100,46.173851
"2020-07-16",49.169998,49.84,49.169998,49.549999,2113400,46.492878
"2020-07-17",49.799999,49.959999,49.490002,49.599998,2455200,46.539791
"2020-07-20",49.5,49.59,48.869999,49.220001,1488900,46.183235
"2020-07-21",49.150002,49.950001,49.150002,49.349998,2452100,46.305206
"2020-07-22",49.439999,49.439999,48.290001,49.34,1411400,46.295834
"2020-07-23",49.25,49.900002,49.099998,49.630001,1853000,46.56794
"2020-07-24",49.75,50.23,49.209999,49.400002,1076500,46.352135
"2020-07-27",49.209999,49.560001,49.060001,49.490002,1439700,46.436577
"2020-07-28",49.509998,50.639999,49.509998,50.23,2220500,47.130924
"2020-07-29",50.599998,50.779999,49.98,50.200001,1770200,47.102772
"2020-07-30",50.150002,50.200001,49.099998,49.310001,1376600,46.267681
"2020-07-31",49.299999,49.869999,48.959999,49.57,1615500,46.511646
"2020-08-03",49.68,50.209999,49.439999,49.709999,2127500,46.643005
"2020-08-04",49.66,50.540001,49.610001,50.450001,2151300,47.337349
"2020-08-05",50.290001,50.459999,49.41,49.740002,1835800,46.671154
"2020-08-06",49.75,50,49.310001,49.880001,1249900,46.802517
"2020-08-07",49.900002,50.09,49.259998,49.970001,1242400,46.886963
"2020-08-10",50.18,50.459999,49.790001,50.400002,1104200,47.290436
"2020-08-11",50.34,50.560001,49.68,49.77,1535900,46.699299
"2020-08-12",50,51.27,49.93,50.959999,1345800,47.81588
"2020-08-13",50.990002,51.380001,50.529999,51.18,864700,48.022305
"2020-08-14",51.290001,51.950001,51.040001,51.630001,1246900,48.444546
"2020-08-17",51.650002,52.549999,51.41,52.279999,1550700,49.054443
"2020-08-18",52.259998,52.82,51.849998,52.439999,1487800,49.204571
"2020-08-19",52.470001,52.75,52.23,52.380001,1033600,49.148273
"2020-08-20",52.139999,52.84,52.040001,52.400002,1490700,49.167038
"2020-08-21",52.540001,52.689999,52.040001,52.540001,2132500,49.298401
"2020-08-24",52.75,53.099998,52.150002,52.689999,1510600,49.43914
"2020-08-25",53,53.18,52.540001,53.029999,1359600,49.758167
"2020-08-26",52.900002,53.5,52.389999,53.48,1375400,50.180405
"2020-08-27",53.509998,54.080002,53.259998,53.290001,1432100,50.002129
"2020-08-28",53.290001,53.290001,51.93,52.139999,1827300,48.923077
"2020-08-31",52.349998,52.709999,52.02,52.610001,2018800,49.36409
"2020-09-01",52.810001,52.880001,51.189999,51.400002,3060900,48.228737
"2020-09-02",51.700001,52.82,51.349998,52.450001,2801200,49.213959
"2020-09-03",49.740002,52.369999,47.799999,48.529999,6513600,45.535809
"2020-09-04",48.91,49.029999,46.709999,47.580002,3866100,44.644417
"2020-09-08",47.330002,47.490002,44.529999,45.220001,6034500,42.430023
"2020-09-09",45.82,46.48,45.43,45.59,3064400,42.777203
"2020-09-10",45.599998,46.16,45.110001,45.32,3364000,42.523857
"2020-09-11",45.299999,45.700001,44.970001,45.5,3329900,42.692753
"2020-09-14",45.689999,46.43,45.360001,45.82,2785200,42.993011
"2020-09-15",45.889999,45.98,45.310001,45.52,3923100,42.711514
"2020-09-16",45.630001,46.02,45.110001,45.259998,2494400,42.467552
"2020-09-17",45.23,45.720001,44.889999,45.59,2852100,42.777203
"2020-09-18",45.5,46.290001,45.27,45.439999,7982900,42.636459
"2020-09-21",45.299999,47.049999,45.279999,46.07,3348900,43.227581
"2020-09-22",46.18,46.389999,45.389999,45.66,3599000,42.84288
"2020-09-23",45.860001,46.18,45.18,45.18,2353800,42.392498
"2020-09-24",45.080002,46.91,44.950001,46.810001,3078900,43.921932
"2020-09-25",46.73,47.959999,46.529999,47.560001,2416900,44.625656
"2020-09-28",47.889999,48.369999,47.450001,47.98,2128900,45.019741
"2020-09-29",48.119999,48.189999,47.720001,48.02,1693400,45.05727
