"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2022-01-06",29.360001,29.91,28.780001,29.620001,7626800,29.317373
"2022-01-07",29.85,30.299999,29.42,29.67,8355400,29.366863
"2022-01-10",29.639999,29.84,28.65,29.42,10408600,29.119419
"2022-01-11",29.76,32.139999,29.49,32,12299200,31.673058
"2022-01-12",32.830002,33.09,31.889999,32.650002,16272500,32.316422
"2022-01-13",32.66,33.310001,31.950001,32.09,8109000,31.762138
"2022-01-14",32.310001,33.369999,31.67,33.290001,11022000,32.949879
"2022-01-18",34.099998,34.400002,32.470001,32.970001,9779200,32.633148
"2022-01-19",33.369999,33.529999,32.099998,32.380001,8146800,32.049179
"2022-01-20",31.780001,32.869999,31.15,31.25,8783800,31.050589
"2022-01-21",30.799999,31.040001,29.469999,30.1,9839500,29.907928
"2022-01-24",28.99,30.690001,27.98,30.540001,10338600,30.345121
"2022-01-25",30.299999,33.400002,29.610001,33.07,14303100,32.858974
"2022-01-26",33.540001,34.290001,32.330002,33.110001,12034100,32.89872
"2022-01-27",33.860001,34.490002,32.27,32.950001,8766200,32.739742
"2022-01-28",33.07,33.98,32.09,33.169998,7526800,32.958336
"2022-01-31",33.099998,33.549999,32.389999,33.209999,7038300,32.998081
"2022-02-01",33.02,34.990002,32.610001,34.709999,9075600,34.488506
"2022-02-02",34.759998,34.91,33.82,34.77,6537600,34.548126
